Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2006-10-30,AFL,EQ,75.0,77.0,80.0,69.3,69.9,70.5,74.15,2534268,18792634205000.0,,491613,0.19399999999999998
2006-10-31,AFL,EQ,70.5,70.3,76.7,70.3,71.8,71.35,73.79,1358745,10026477940000.0,,146330,0.1077
2006-11-01,AFL,EQ,71.35,72.0,72.85,69.05,70.05,70.15,70.64,319705,2258297550000.0,,51878,0.1623
2006-11-02,AFL,EQ,70.15,70.8,70.85,67.35,68.55,68.2,69.38,133011,922854185000.0,,40508,0.3045
2006-11-03,AFL,EQ,68.2,69.25,69.7,65.1,65.25,65.55,67.11,105202,706058880000.0,,45156,0.4292
2006-11-06,AFL,EQ,65.55,66.0,66.5,63.0,63.95,63.8,64.12,119001,763003880000.0,,49656,0.4173
2006-11-07,AFL,EQ,63.8,64.0,69.0,63.3,63.8,63.9,65.01,103179,670749680000.0,,30578,0.2964
2006-11-08,AFL,EQ,63.9,64.1,64.9,59.5,61.6,61.95,62.54,61359,383732790000.0,,24755,0.40340000000000004
2006-11-09,AFL,EQ,61.95,65.0,65.0,57.5,59.25,59.0,61.21,146828,898690350000.0,,76197,0.519
2006-11-10,AFL,EQ,59.0,60.0,62.0,58.8,59.4,59.15,59.37,66947,397436150000.0,,21953,0.3279
2006-11-13,AFL,EQ,59.15,60.0,61.45,60.0,60.35,60.35,60.63,71432,433082680000.0,,33002,0.462
2006-11-14,AFL,EQ,60.35,61.15,61.15,58.0,58.5,58.4,58.74,107814,633343010000.0,,81397,0.755
2006-11-15,AFL,EQ,58.4,58.4,67.5,57.8,63.4,64.35,65.09,554968,3612130665000.0,,132235,0.23829999999999998
2006-11-16,AFL,EQ,64.35,63.5,67.7,63.3,65.4,65.6,66.25,524573,3475074204999.9995,,126250,0.2407
2006-11-17,AFL,EQ,65.6,64.6,66.0,62.05,62.65,62.95,63.35,115635,732550465000.0,,36436,0.31510000000000005
2006-11-20,AFL,EQ,62.95,63.0,67.3,59.15,60.7,61.25,60.8,104068,632783095000.0,,33266,0.3197
2006-11-21,AFL,EQ,61.25,61.0,65.0,60.95,62.75,63.1,63.37,169206,1072255025000.0,,34392,0.20329999999999998
2006-11-22,AFL,EQ,63.1,63.8,64.4,61.75,62.85,62.45,63.16,37416,236309185000.0,,13390,0.3579
2006-11-23,AFL,EQ,62.45,63.0,65.2,61.25,61.55,61.8,62.67,54563,341972355000.0,,18091,0.33159999999999995
2006-11-24,AFL,EQ,61.8,62.0,63.7,60.65,61.05,61.35,61.92,73414,454563695000.0,,26017,0.3544
2006-11-27,AFL,EQ,61.35,61.8,62.75,61.0,61.5,61.15,61.91,51044,315999275000.0,,20756,0.40659999999999996
2006-11-28,AFL,EQ,61.15,60.9,62.3,60.0,60.1,60.2,61.47,54623,335741080000.0,,35262,0.6456000000000001
2006-11-29,AFL,EQ,60.2,61.4,61.9,59.6,59.6,60.0,60.7,47806,290172545000.0,,21985,0.45990000000000003
