Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-04-12,ISFT,EQ,145.0,150.0,167.4,124.0,158.4,159.1,155.99,22110514,344895690425000.0,,1733018,0.0784
2010-04-13,ISFT,EQ,159.1,159.0,159.0,152.0,154.0,154.4,154.81,3371371,52190934255000.0,,327241,0.0971
2010-04-15,ISFT,EQ,154.4,154.05,156.4,151.7,153.25,153.35,154.18,957308,14759603200000.0,,198933,0.2078
2010-04-16,ISFT,EQ,153.35,153.1,153.1,137.2,139.35,140.0,142.65,1068372,15240509735000.0,,97587,0.0913
2010-04-19,ISFT,EQ,140.0,135.35,145.0,133.0,138.5,138.1,140.77,700175,9856419040000.0,,134126,0.1916
2010-04-20,ISFT,EQ,138.1,139.75,140.35,132.0,133.0,133.7,134.29,236207,3171964245000.0,,34299,0.1452
2010-04-21,ISFT,EQ,133.7,134.0,134.0,130.5,131.15,131.3,131.72,125554,1653811165000.0,,26734,0.2129
2010-04-22,ISFT,EQ,131.3,131.4,131.4,126.1,126.1,127.2,128.18,142223,1823055235000.0002,,41100,0.289
2010-04-23,ISFT,EQ,127.2,126.0,126.0,114.55,118.7,118.15,118.24,479609,5671075415000.0,,173265,0.3613
2010-04-26,ISFT,EQ,118.15,118.5,137.25,113.35,132.8,133.4,132.19,3182346,42068854215000.0,,245346,0.0771
2010-04-27,ISFT,EQ,133.4,132.4,132.8,122.4,127.1,125.75,126.34,1039992,13139668720000.0,,179406,0.17250000000000001
2010-04-28,ISFT,EQ,125.75,124.0,129.3,120.5,124.1,123.5,125.25,514618,6445723195000.0,,90189,0.1753
2010-04-29,ISFT,EQ,123.5,124.0,127.7,123.6,125.15,125.45,125.86,176943,2227038960000.0,,27765,0.1569
2010-04-30,ISFT,EQ,125.45,126.0,127.95,120.55,127.0,124.3,124.67,281479,3509303554999.9995,,171435,0.6091
2010-05-03,ISFT,EQ,124.3,125.5,137.8,124.0,126.5,127.65,132.21,1714033,22661554100000.0,,228092,0.1331
2010-05-04,ISFT,EQ,127.65,127.9,133.75,126.1,130.0,130.15,131.39,731734,9614209765000.0,,159040,0.21730000000000002
2010-05-05,ISFT,EQ,130.15,128.0,129.25,124.55,126.85,126.65,126.94,430793,5468435370000.0,,222618,0.5168
2010-05-06,ISFT,EQ,126.65,127.4,130.95,125.4,126.7,126.85,127.76,287571,3674012625000.0,,126255,0.439
2010-05-07,ISFT,EQ,126.85,125.1,126.0,121.2,122.05,122.3,123.65,80035,989652740000.0,,33483,0.41840000000000005
2010-05-10,ISFT,EQ,122.3,124.9,126.65,123.1,126.0,125.95,125.85,561668,7068492580000.0,,310780,0.5533
2010-05-11,ISFT,EQ,125.95,126.1,130.0,125.75,126.3,126.3,128.35,265012,3401482520000.0005,,148313,0.5596
2010-05-12,ISFT,EQ,126.3,126.9,127.9,124.1,124.8,125.15,125.32,71671,898181435000.0,,49493,0.6906
2010-05-13,ISFT,EQ,125.15,126.85,126.85,122.2,123.0,123.35,124.36,50372,626420355000.0,,33783,0.6707
2010-05-14,ISFT,EQ,123.35,122.1,124.0,117.55,118.1,119.15,122.39,155782,1906657800000.0,,87294,0.5604
2010-05-17,ISFT,EQ,119.15,118.95,118.95,112.1,114.0,114.8,116.26,64116,745413680000.0,,44577,0.6953
2010-05-18,ISFT,EQ,114.8,114.5,127.5,112.6,119.35,119.1,121.2,239461,2902194105000.0,,80377,0.3357
2010-05-19,ISFT,EQ,119.1,117.75,124.8,114.1,114.95,116.1,120.04,98314,1180170240000.0,,18999,0.1932
2010-05-20,ISFT,EQ,116.1,116.3,121.0,113.15,114.05,114.1,116.88,35163,410985785000.0,,11277,0.3207
2010-05-21,ISFT,EQ,114.1,112.1,112.1,105.5,105.6,106.2,108.68,65552,712419355000.0,,35969,0.5487
2010-05-24,ISFT,EQ,106.2,108.7,126.8,107.4,120.0,121.35,121.7,535208,6513736720000.0,,200046,0.3738
2010-05-25,ISFT,EQ,121.35,120.0,122.0,112.0,112.5,112.95,117.28,241116,2827928430000.0,,34466,0.1429
2010-05-26,ISFT,EQ,112.95,115.5,121.0,114.0,115.2,115.7,116.88,117653,1375131095000.0,,16998,0.1445
2010-05-27,ISFT,EQ,115.7,116.9,118.5,112.4,114.3,114.65,115.94,48080,557421715000.0,,13463,0.28
2010-05-28,ISFT,EQ,114.65,116.3,119.6,115.9,115.9,116.35,117.37,46429,544917180000.0,,14574,0.3139
2010-05-31,ISFT,EQ,116.35,115.0,121.5,115.0,117.7,117.45,119.06,79008,940650165000.0,,18121,0.22940000000000002
2010-06-01,ISFT,EQ,117.45,116.35,120.25,114.0,114.85,114.85,117.15,51664,605256950000.0,,23494,0.4547
2010-06-02,ISFT,EQ,114.85,120.0,120.0,113.2,115.0,114.5,115.36,32241,371918100000.0,,14692,0.4557
2010-06-03,ISFT,EQ,114.5,116.9,119.0,114.5,115.0,114.95,116.57,47108,549132034999.99994,,18549,0.39380000000000004
2010-06-04,ISFT,EQ,114.95,115.9,116.85,112.25,113.0,113.5,114.83,23804,273351845000.00003,,11380,0.4781
2010-06-07,ISFT,EQ,113.5,107.0,116.45,107.0,112.2,112.45,113.63,62178,706508800000.0,,10588,0.1703
2010-06-08,ISFT,EQ,112.45,112.9,115.9,112.55,112.9,112.85,114.14,47547,542691890000.00006,,11582,0.2436
2010-06-09,ISFT,EQ,112.85,113.5,127.95,113.5,119.5,120.25,123.17,1196188,14733560080000.002,,135185,0.113
2010-06-10,ISFT,EQ,120.25,120.35,125.35,119.3,122.2,123.1,123.76,557953,6905173509999.999,,97116,0.1741
2010-06-11,ISFT,EQ,123.1,120.9,124.7,119.0,119.5,119.65,121.22,227236,2754664510000.0,,122405,0.5387
2010-06-14,ISFT,EQ,119.65,120.9,124.9,120.4,121.5,121.8,122.37,77448,947736919999.9999,,21582,0.2787
2010-06-15,ISFT,EQ,121.8,123.9,126.5,121.0,122.7,122.6,123.79,133508,1652689985000.0,,35981,0.2695
2010-06-16,ISFT,EQ,122.6,123.25,125.4,120.3,121.05,120.9,121.87,47669,580955775000.0,,18655,0.39130000000000004
2010-06-17,ISFT,EQ,120.9,121.85,124.85,120.9,122.15,122.35,123.13,51400,632906395000.0,,11205,0.218
2010-06-18,ISFT,EQ,122.35,122.7,123.8,119.25,120.0,120.2,121.6,30959,376472470000.0,,18897,0.6104
2010-06-21,ISFT,EQ,120.2,121.3,122.9,120.1,120.5,120.35,121.49,27289,331545805000.0,,8686,0.31829999999999997
2010-06-22,ISFT,EQ,120.35,119.45,121.35,119.1,120.15,119.85,120.37,15696,188929645000.0,,6112,0.38939999999999997
2010-06-23,ISFT,EQ,119.85,119.9,122.0,119.6,120.25,120.5,120.96,101805,1231444350000.0,,71699,0.7043
2010-06-24,ISFT,EQ,120.5,121.5,123.85,119.8,120.75,120.4,121.1,38948,471676645000.0,,18968,0.48700000000000004
2010-06-25,ISFT,EQ,120.4,120.0,123.85,120.0,121.0,121.2,122.64,58971,723203355000.0,,11238,0.1906
2010-06-28,ISFT,EQ,121.2,121.9,124.75,120.0,122.0,122.1,122.73,47889,587719510000.0,,20363,0.4252
2010-06-29,ISFT,EQ,122.1,122.9,122.9,117.75,118.85,118.5,119.53,37065,443054930000.0,,21515,0.5805
2010-06-30,ISFT,EQ,118.5,118.0,120.9,111.25,118.1,118.3,118.46,19065,225846215000.0,,6567,0.34450000000000003
2010-07-01,ISFT,EQ,118.3,117.1,120.75,117.1,120.15,120.05,118.31,51985,615025015000.0,,45407,0.8734999999999999
2010-07-02,ISFT,EQ,120.05,120.9,127.2,120.9,123.5,122.85,124.81,164245,2049888730000.0,,71697,0.4365
2010-07-05,ISFT,EQ,122.85,122.0,124.5,121.3,122.2,122.55,122.89,22825,280485735000.0,,8037,0.3521
2010-07-06,ISFT,EQ,122.55,122.15,124.0,121.15,122.0,121.45,122.32,21813,266824340000.0,,9876,0.45280000000000004
2010-07-07,ISFT,EQ,121.45,121.9,123.95,121.15,122.0,122.1,122.59,83547,1024217240000.0,,66171,0.792
2010-07-08,ISFT,EQ,122.1,122.8,123.55,120.55,120.65,121.05,121.87,45466,554079005000.0,,38337,0.8432
2010-07-09,ISFT,EQ,121.05,122.1,122.1,120.0,120.2,120.3,121.17,14007,169724665000.0,,7827,0.5588000000000001
2010-07-12,ISFT,EQ,120.3,120.6,122.5,120.05,120.2,120.45,121.25,16397,198821710000.0,,8153,0.4972
2010-07-13,ISFT,EQ,120.45,120.9,122.9,120.55,122.6,121.9,121.79,32216,392356500000.0,,16286,0.5055
2010-07-14,ISFT,EQ,121.9,122.9,123.45,120.8,121.75,121.65,122.05,29318,357814605000.0,,17211,0.5870000000000001
