Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-09-13,JAGSNPHARM,EQ,136.0,150.0,150.0,150.0,,150.0,150.0,100,1500000000.0,,,
1996-09-18,JAGSNPHARM,EQ,150.0,148.0,150.0,148.0,,150.0,149.0,200,2980000000.0,,,
1996-09-19,JAGSNPHARM,EQ,150.0,152.0,160.0,152.0,,160.0,157.0,300,4710000000.0,,,
1996-09-20,JAGSNPHARM,EQ,160.0,155.25,162.0,155.1,,162.0,158.83,700,11118000000.0,,,
1996-09-23,JAGSNPHARM,EQ,162.0,160.0,165.0,160.0,,164.0,162.09,1100,17830000000.0,,,
1996-09-24,JAGSNPHARM,EQ,164.0,161.0,165.0,160.1,,160.2,163.28,1600,26125500000.0,,,
1996-09-25,JAGSNPHARM,EQ,160.2,160.0,163.5,160.0,,163.5,161.75,200,3235000000.0,,,
1996-09-26,JAGSNPHARM,EQ,163.5,156.0,160.0,155.1,,160.0,157.65,400,6306000000.0,,,
1996-09-27,JAGSNPHARM,EQ,160.0,149.0,157.0,149.0,,157.0,153.0,1200,18360000000.0,,,
1996-09-30,JAGSNPHARM,EQ,157.0,153.0,154.9,150.05,,151.05,152.39,500,7619500000.0,,,
1996-10-01,JAGSNPHARM,EQ,151.05,145.5,149.9,145.0,,149.8,148.75,1600,23800000000.0,,,
1996-10-03,JAGSNPHARM,EQ,149.8,145.0,145.0,145.0,,145.0,145.0,200,2900000000.0,,,
1996-10-04,JAGSNPHARM,EQ,145.0,145.0,150.0,145.0,,148.5,148.2,500,7410000000.0,,,
1996-10-09,JAGSNPHARM,EQ,148.5,139.5,142.0,139.5,,142.0,140.21,700,9814500000.0,,,
1996-10-10,JAGSNPHARM,EQ,142.0,140.0,148.0,140.0,,148.0,145.25,800,11620000000.0,,,
1996-10-11,JAGSNPHARM,EQ,148.0,136.0,136.0,136.0,,136.0,136.0,100,1360000000.0,,,
1996-10-14,JAGSNPHARM,EQ,136.0,138.0,149.0,138.0,,146.35,143.2,500,7160000000.0,,,
1996-10-15,JAGSNPHARM,EQ,146.35,137.0,140.0,137.0,,140.0,138.5,200,2770000000.0,,,
1996-10-17,JAGSNPHARM,EQ,140.0,145.0,150.0,144.0,,150.0,146.64,700,10265000000.0,,,
1996-10-18,JAGSNPHARM,EQ,150.0,141.2,143.0,140.0,,142.0,141.55,400,5662000000.0,,,
1996-10-22,JAGSNPHARM,EQ,142.0,143.5,145.0,137.05,,143.0,143.43,2100,30120500000.0,,,
1996-10-24,JAGSNPHARM,EQ,143.0,137.0,137.0,137.0,,137.0,137.0,100,1370000000.0,,,
1996-10-25,JAGSNPHARM,EQ,137.0,140.0,147.0,140.0,,147.0,144.0,300,4320000000.0,,,
1996-10-29,JAGSNPHARM,EQ,147.0,140.0,140.0,140.0,,140.0,140.0,100,1400000000.0,,,
1996-10-31,JAGSNPHARM,EQ,140.0,135.05,140.0,135.05,,137.75,137.76,1300,17909000000.0,,,
1996-11-01,JAGSNPHARM,EQ,137.75,139.0,139.9,134.5,,135.75,137.63,500,6881500000.0,,,
1996-11-04,JAGSNPHARM,EQ,135.75,135.05,135.05,135.05,,135.05,135.05,100,1350500000.0,,,
1996-11-05,JAGSNPHARM,EQ,135.05,134.9,135.0,134.9,,135.0,134.96,700,9447500000.0,,,
1996-11-06,JAGSNPHARM,EQ,135.0,139.0,139.0,139.0,,139.0,139.0,100,1390000000.0,,,
1996-11-07,JAGSNPHARM,EQ,139.0,137.2,138.0,137.2,,138.0,137.49,400,5499500000.0,,,
1996-11-11,JAGSNPHARM,EQ,138.0,125.0,125.0,125.0,,125.0,125.0,100,1250000000.0,,,
1996-11-13,JAGSNPHARM,EQ,125.0,134.0,136.5,134.0,,136.5,135.88,400,5435000000.0,,,
1996-11-14,JAGSNPHARM,EQ,136.5,125.0,136.0,125.0,,136.0,130.5,200,2610000000.0,,,
1996-11-15,JAGSNPHARM,EQ,136.0,131.5,136.0,131.5,,136.0,133.43,700,9340000000.0,,,
1996-11-18,JAGSNPHARM,EQ,136.0,137.5,137.5,137.5,,137.5,137.5,300,4125000000.0,,,
1996-11-19,JAGSNPHARM,EQ,137.5,136.0,139.5,136.0,,139.5,138.47,1900,26310000000.0,,,
1996-11-20,JAGSNPHARM,EQ,139.5,139.5,142.0,139.5,,142.0,140.33,300,4210000000.0,,,
1996-11-21,JAGSNPHARM,EQ,142.0,135.0,135.0,135.0,,135.0,135.0,100,1350000000.0,,,
1996-11-22,JAGSNPHARM,EQ,135.0,135.0,135.0,135.0,,135.0,135.0,300,4050000000.0,,,
1996-11-26,JAGSNPHARM,EQ,135.0,123.0,136.0,123.0,,135.25,132.19,400,5287500000.0,,,
1996-11-27,JAGSNPHARM,EQ,135.25,131.0,135.0,131.0,,135.0,133.67,300,4010000000.0,,,
1996-11-28,JAGSNPHARM,EQ,135.0,126.5,126.5,126.5,,126.5,126.5,200,2530000000.0,,,
1996-11-29,JAGSNPHARM,EQ,126.5,128.0,128.0,128.0,,128.0,128.0,100,1280000000.0,,,
1996-12-02,JAGSNPHARM,EQ,128.0,127.5,130.0,127.5,,130.0,128.33,300,3850000000.0,,,
1996-12-03,JAGSNPHARM,EQ,130.0,125.0,130.0,125.0,,130.0,128.49,400,5139500000.0,,,
1996-12-04,JAGSNPHARM,EQ,130.0,117.5,129.0,117.5,,126.25,123.46,700,8642000000.0,,,
1996-12-05,JAGSNPHARM,EQ,126.25,124.0,127.95,124.0,,127.0,126.6,700,8862000000.0,,,
1996-12-06,JAGSNPHARM,EQ,127.0,127.75,130.0,127.75,,130.0,129.12,600,7747000000.0,,,
1996-12-10,JAGSNPHARM,EQ,130.0,128.75,129.3,128.0,,129.3,128.66,500,6433000000.0,,,
1996-12-11,JAGSNPHARM,EQ,129.3,130.0,130.0,130.0,,130.0,130.0,100,1300000000.0,,,
1996-12-12,JAGSNPHARM,EQ,130.0,130.05,130.05,130.0,,130.0,130.03,200,2600500000.0,,,
1996-12-17,JAGSNPHARM,EQ,130.0,127.0,127.75,127.0,,127.75,127.38,200,2547500000.0,,,
1996-12-18,JAGSNPHARM,EQ,127.75,127.0,135.0,127.0,,135.0,129.67,300,3890000000.0,,,
1996-12-23,JAGSNPHARM,EQ,135.0,127.0,127.0,125.0,,125.0,126.0,200,2520000000.0,,,
1996-12-31,JAGSNPHARM,EQ,125.0,123.0,128.75,121.0,,128.75,124.25,600,7455000000.0,,,
1997-01-01,JAGSNPHARM,EQ,128.75,133.95,141.5,133.75,,141.5,135.8,400,5432000000.0,,,
1997-01-02,JAGSNPHARM,EQ,141.5,143.5,143.5,135.0,,135.0,138.5,300,4155000000.0,,,
1997-01-03,JAGSNPHARM,EQ,135.0,134.9,134.9,134.9,,134.9,134.9,100,1349000000.0,,,
1997-01-06,JAGSNPHARM,EQ,134.9,140.0,140.0,140.0,,140.0,140.0,100,1400000000.0,,,
1997-01-07,JAGSNPHARM,EQ,140.0,134.95,134.95,126.55,,126.55,132.15,300,3964500000.0,,,
1997-01-08,JAGSNPHARM,EQ,126.55,134.0,134.0,132.0,,132.0,133.0,200,2660000000.0,,,
