Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2003-12-09,BALASPONGE,EQ,10.0,12.0,13.8,11.6,13.1,13.1,12.83,947481,1215427230000.0,,684000,0.7219
2003-12-10,BALASPONGE,EQ,13.1,14.0,15.75,13.9,15.75,15.75,15.01,681539,1022777780000.0001,,494127,0.725
2003-12-11,BALASPONGE,EQ,15.75,17.45,18.85,16.95,17.0,17.3,17.79,1119482,1991936114999.9998,,785548,0.7017
2003-12-12,BALASPONGE,EQ,17.3,17.0,17.25,14.95,16.2,16.15,16.22,916457,1486496025000.0,,441471,0.4817
2003-12-15,BALASPONGE,EQ,16.15,16.9,19.4,16.15,19.4,19.3,18.24,1522232,2776781355000.0,,781879,0.5136000000000001
2003-12-16,BALASPONGE,EQ,19.3,19.9,23.2,18.6,23.2,22.2,21.03,1842178,3874274095000.0005,,808869,0.4391
2003-12-17,BALASPONGE,EQ,22.2,23.0,26.65,23.0,26.65,26.65,25.32,2373218,6008258510000.0,,1115059,0.46990000000000004
2003-12-18,BALASPONGE,EQ,26.65,27.9,32.0,27.5,32.0,32.0,30.55,2237013,6835012720000.0,,854699,0.3821
2003-12-19,BALASPONGE,EQ,32.0,34.4,38.4,30.5,31.05,32.05,34.44,2654124,9142104725000.0,,1183441,0.4459
2003-12-22,BALASPONGE,EQ,32.05,33.0,33.0,26.15,29.9,29.35,29.26,1632603,4776838840000.0,,566513,0.34700000000000003
2003-12-23,BALASPONGE,EQ,29.35,30.2,33.65,30.2,31.0,30.9,31.75,1784624,5666722210000.0,,641019,0.3592
2003-12-24,BALASPONGE,EQ,30.9,32.0,32.0,29.5,29.55,30.05,30.3,727845,2205423925000.0,,320090,0.43979999999999997
2003-12-26,BALASPONGE,EQ,30.05,30.4,30.4,25.0,28.4,28.75,28.61,802803,2297094890000.0,,395260,0.49229999999999996
2003-12-29,BALASPONGE,EQ,28.75,28.7,29.4,26.75,27.45,27.35,27.94,778701,2175304360000.0002,,539163,0.6924
2003-12-30,BALASPONGE,EQ,27.35,27.95,28.4,25.05,26.0,25.4,26.63,692796,1845098414999.9998,,423764,0.6117
2003-12-31,BALASPONGE,EQ,25.4,24.0,29.5,24.0,28.05,28.05,27.84,1073172,2987275855000.0,,412736,0.3846
2004-01-01,BALASPONGE,EQ,28.05,28.5,29.0,27.5,28.2,28.1,28.11,382027,1073836990000.0,,200267,0.5242
