Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-04-17,JAYAGROGN,EQ,0.0,90.0,90.0,90.0,,90.0,90.0,100,900000000.0,,,
1996-04-22,JAYAGROGN,EQ,90.0,99.25,99.25,99.25,,99.25,99.25,1300,12902500000.0,,,
1996-04-23,JAYAGROGN,EQ,99.25,98.0,98.0,97.95,,97.95,97.98,400,3919000000.0,,,
1996-04-30,JAYAGROGN,EQ,97.95,102.0,102.0,102.0,,102.0,102.0,100,1020000000.0,,,
1996-05-02,JAYAGROGN,EQ,102.0,100.0,110.0,100.0,,109.5,102.71,1400,14379000000.0,,,
1996-05-03,JAYAGROGN,EQ,109.5,112.0,120.0,112.0,,120.0,116.0,300,3480000000.0,,,
1996-05-06,JAYAGROGN,EQ,120.0,125.0,129.0,125.0,,129.0,127.0,200,2540000000.0,,,
1996-05-07,JAYAGROGN,EQ,129.0,129.0,135.5,135.0,,135.5,135.13,400,5405000000.0,,,
1996-05-08,JAYAGROGN,EQ,135.5,128.0,133.0,127.0,,130.5,128.91,1400,18047500000.0,,,
1996-05-09,JAYAGROGN,EQ,130.5,128.0,130.0,125.1,,125.9,126.97,1500,19045500000.0,,,
1996-05-10,JAYAGROGN,EQ,125.9,118.25,120.0,118.25,,120.0,118.83,300,3565000000.0,,,
1996-05-13,JAYAGROGN,EQ,120.0,123.0,123.0,115.0,,115.0,119.01,500,5950500000.0,,,
1996-05-14,JAYAGROGN,EQ,115.0,115.0,110.25,107.0,,107.0,108.56,900,9770000000.0,,,
1996-05-17,JAYAGROGN,EQ,107.0,115.0,115.0,110.0,,110.0,114.0,500,5700000000.0,,,
1996-05-21,JAYAGROGN,EQ,110.0,103.0,103.0,103.0,,103.0,103.0,100,1030000000.0,,,
1996-05-22,JAYAGROGN,EQ,103.0,100.1,100.1,100.1,,100.1,100.1,100,1001000000.0,,,
1996-05-28,JAYAGROGN,EQ,100.1,96.5,96.5,96.5,,96.5,96.5,100,965000000.0,,,
1996-05-29,JAYAGROGN,EQ,96.5,106.0,106.0,106.0,,106.0,106.0,100,1060000000.0,,,
1996-05-30,JAYAGROGN,EQ,106.0,106.0,110.0,110.0,,110.0,110.0,200,2200000000.0,,,
1996-05-31,JAYAGROGN,EQ,110.0,117.0,117.0,113.0,,113.0,115.95,800,9276000000.0,,,
1996-06-03,JAYAGROGN,EQ,113.0,112.0,112.0,112.0,,112.0,112.0,100,1120000000.0,,,
1996-06-04,JAYAGROGN,EQ,112.0,110.0,113.0,110.0,,112.25,112.04,600,6722500000.0,,,
1996-06-07,JAYAGROGN,EQ,112.25,112.0,112.0,112.0,,112.0,112.0,100,1120000000.0,,,
1996-06-10,JAYAGROGN,EQ,112.0,112.0,114.0,112.0,,114.0,113.67,600,6820000000.0,,,
1996-06-11,JAYAGROGN,EQ,114.0,119.0,119.0,109.0,,110.0,113.54,2900,32926000000.0,,,
1996-06-12,JAYAGROGN,EQ,110.0,120.0,120.0,112.0,,114.75,114.29,1400,16001000000.0,,,
1996-06-13,JAYAGROGN,EQ,114.75,115.5,115.5,110.25,,110.25,112.34,1400,15728000000.0,,,
1996-06-14,JAYAGROGN,EQ,110.25,114.0,121.0,109.0,,109.0,113.12,2300,26018000000.0,,,
1996-06-17,JAYAGROGN,EQ,109.0,117.0,117.0,111.4,,111.4,113.28,800,9062500000.0,,,
1996-06-18,JAYAGROGN,EQ,111.4,110.5,114.5,110.5,,110.9,113.4,3100,35154500000.0,,,
1996-06-19,JAYAGROGN,EQ,110.9,113.0,113.0,108.5,,108.7,109.31,900,9837500000.0,,,
1996-06-20,JAYAGROGN,EQ,108.7,107.0,107.0,107.0,,107.0,107.0,200,2140000000.0,,,
1996-06-21,JAYAGROGN,EQ,107.0,106.9,106.9,103.0,,103.0,104.18,500,5209000000.0,,,
1996-06-24,JAYAGROGN,EQ,103.0,104.0,104.0,104.0,,104.0,104.0,100,1040000000.0,,,
1996-06-25,JAYAGROGN,EQ,104.0,109.5,109.5,105.0,,105.0,106.29,700,7440000000.0,,,
1996-06-26,JAYAGROGN,EQ,105.0,104.05,104.05,103.25,,103.25,103.64,400,4145500000.0,,,
1996-06-27,JAYAGROGN,EQ,103.25,100.5,100.5,100.25,,100.25,100.38,200,2007500000.0,,,
1996-07-02,JAYAGROGN,EQ,100.25,95.75,95.75,95.5,,95.65,95.67,300,2870000000.0,,,
1996-07-04,JAYAGROGN,EQ,95.65,95.0,95.0,92.0,,92.0,94.0,300,2820000000.0,,,
1996-07-05,JAYAGROGN,EQ,92.0,94.0,94.0,91.0,,91.2,92.81,1000,9281000000.0,,,
1996-07-08,JAYAGROGN,EQ,86.0,90.0,90.0,90.0,,90.0,90.0,100,900000000.0,,,
1996-07-09,JAYAGROGN,EQ,90.0,92.5,92.55,92.5,,92.55,92.53,700,6477000000.0,,,
1996-07-10,JAYAGROGN,EQ,92.55,96.0,96.0,96.0,,96.0,96.0,100,960000000.0,,,
1996-07-11,JAYAGROGN,EQ,96.0,100.0,103.5,98.5,,99.0,100.92,6300,63580500000.0,,,
1996-07-12,JAYAGROGN,EQ,99.0,98.0,98.0,98.0,,98.0,98.0,100,980000000.0,,,
1996-07-15,JAYAGROGN,EQ,98.0,99.0,99.0,96.5,,96.5,97.33,300,2920000000.0,,,
1996-07-16,JAYAGROGN,EQ,96.5,88.5,91.0,88.5,,88.6,88.81,1600,14210000000.0,,,
1996-07-17,JAYAGROGN,EQ,88.6,92.5,92.5,89.0,,89.0,91.1,500,4555000000.0,,,
1996-07-22,JAYAGROGN,EQ,92.0,90.0,90.0,90.0,,90.0,90.0,200,1800000000.0,,,
1996-07-23,JAYAGROGN,EQ,90.0,90.0,91.0,90.0,,90.05,90.35,300,2710500000.0,,,
1996-07-24,JAYAGROGN,EQ,90.05,88.0,88.0,88.0,,88.0,88.0,100,880000000.0,,,
1996-07-25,JAYAGROGN,EQ,88.0,90.0,90.0,89.25,,89.25,89.75,300,2692500000.0,,,
1996-07-26,JAYAGROGN,EQ,89.25,89.0,89.05,89.0,,89.05,89.01,600,5340500000.0,,,
1996-07-29,JAYAGROGN,EQ,89.05,86.0,86.0,86.0,,86.0,86.0,200,1720000000.0,,,
1996-07-30,JAYAGROGN,EQ,86.0,87.25,87.5,86.0,,86.0,86.88,800,6950000000.0,,,
1996-07-31,JAYAGROGN,EQ,86.0,86.0,86.25,86.0,,86.25,86.13,200,1722500000.0,,,
1996-08-02,JAYAGROGN,EQ,86.25,82.25,82.25,82.25,,82.25,82.25,300,2467500000.0,,,
1996-08-05,JAYAGROGN,EQ,82.25,82.3,82.3,82.0,,82.0,82.05,1900,15589500000.0,,,
1996-08-06,JAYAGROGN,EQ,82.0,81.9,82.0,81.9,,82.0,81.98,400,3279000000.0,,,
1996-08-07,JAYAGROGN,EQ,82.0,89.9,89.9,88.0,,88.0,88.32,600,5299000000.0,,,
1996-08-09,JAYAGROGN,EQ,88.0,85.0,90.0,85.0,,87.0,87.17,900,7845000000.0,,,
1996-08-12,JAYAGROGN,EQ,87.0,86.05,86.05,84.5,,84.5,85.31,500,4265500000.0,,,
