Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2005-04-07,JINDALPHOT,EQ,10.0,60.0,254.0,60.0,248.0,239.65,229.19,2932542,67211007310000.0,,238401,0.08130000000000001
2005-04-08,JINDALPHOT,EQ,239.65,241.0,287.6,240.0,287.6,287.6,269.51,2039092,54955522479999.99,,228945,0.11230000000000001
2005-04-11,JINDALPHOT,EQ,287.6,300.0,322.8,277.65,280.0,283.65,301.58,2641213,79655009780000.0,,254271,0.09630000000000001
2005-04-12,JINDALPHOT,EQ,283.65,283.4,340.4,278.0,340.4,335.65,313.31,3251140,101862346390000.0,,248369,0.0764
2005-04-13,JINDALPHOT,EQ,335.65,349.7,349.7,309.1,310.5,313.8,322.45,4410083,142203690740000.0,,341259,0.07740000000000001
2005-04-15,JINDALPHOT,EQ,313.8,310.55,310.55,283.1,297.9,296.15,296.46,2283206,67688884729999.99,,122541,0.053700000000000005
2005-04-18,JINDALPHOT,EQ,296.15,291.0,312.0,284.15,298.0,299.0,301.59,1616380,48748245310000.0,,148591,0.0919
2005-04-19,JINDALPHOT,EQ,299.0,302.5,308.0,281.15,281.15,285.95,298.37,796627,23769207135000.0,,61522,0.0772
2005-04-20,JINDALPHOT,EQ,285.95,298.7,298.85,286.55,297.25,294.35,293.16,854663,25054929030000.0,,91722,0.1073
2005-04-21,JINDALPHOT,EQ,294.35,295.0,304.7,292.0,298.0,299.9,298.14,482273,14378325405000.002,,44679,0.0926
2005-04-22,JINDALPHOT,EQ,299.9,300.0,316.5,297.4,311.0,309.85,308.76,740723,22870488735000.0,,76166,0.1028
2005-04-25,JINDALPHOT,EQ,309.85,306.0,310.75,301.15,302.5,303.45,306.28,245969,7533656220000.0,,41076,0.167
2005-04-26,JINDALPHOT,EQ,303.45,310.75,339.7,304.0,335.3,335.35,326.43,1825583,59592642360000.0,,212097,0.1162
2005-04-27,JINDALPHOT,EQ,335.35,331.0,338.7,303.1,307.45,308.65,325.9,1013349,33025310930000.0,,143011,0.1411
2005-04-28,JINDALPHOT,EQ,308.65,310.9,318.0,303.15,305.0,307.75,309.8,568857,17623286130000.0,,55379,0.0974
