Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1999-09-22,JINDALSTEL,EQ,151.5,156.65,156.65,153.0,156.65,156.65,155.49,4800,74634500000.0,,,
1999-09-23,JINDALSTEL,EQ,156.65,157.0,158.5,152.0,154.05,154.05,155.91,12100,188646000000.0,,,
1999-09-24,JINDALSTEL,EQ,154.05,153.0,165.0,153.0,164.5,163.8,159.03,12000,190833500000.0,,,
1999-09-27,JINDALSTEL,EQ,163.8,165.0,172.5,161.2,161.2,163.2,168.33,17300,291213500000.0,,,
1999-09-28,JINDALSTEL,EQ,163.2,157.6,160.85,153.1,155.5,154.4,156.36,17700,276758000000.0,,,
1999-09-29,JINDALSTEL,EQ,154.4,158.0,166.75,158.0,166.2,166.45,165.68,15700,260111000000.0,,,
1999-09-30,JINDALSTEL,EQ,166.45,162.0,165.0,162.0,162.9,162.95,163.22,12200,199127000000.0,,,
1999-10-01,JINDALSTEL,EQ,162.95,162.0,167.4,162.0,165.05,164.9,165.16,14200,234531000000.0,,,
1999-10-04,JINDALSTEL,EQ,164.9,160.0,165.0,160.0,160.0,160.05,161.16,8100,130536000000.0,,,
1999-10-05,JINDALSTEL,EQ,160.05,157.5,169.0,157.5,169.0,165.7,162.69,18400,299358500000.0,,,
1999-10-06,JINDALSTEL,EQ,165.7,175.0,179.0,174.9,179.0,179.0,178.79,12100,216330000000.0,,,
1999-10-07,JINDALSTEL,EQ,179.0,190.0,193.35,190.0,193.35,193.35,193.17,3400,65678500000.0,,,
1999-10-08,JINDALSTEL,EQ,193.35,208.85,208.85,195.55,208.85,208.85,205.54,65700,1350415500000.0,,,
1999-10-11,JINDALSTEL,EQ,208.85,221.0,225.6,216.35,225.6,225.6,222.63,18400,409638000000.0,,,
1999-10-12,JINDALSTEL,EQ,225.6,241.0,243.65,233.0,243.65,243.65,241.36,18100,436864000000.0,,,
1999-10-13,JINDALSTEL,EQ,243.65,262.95,263.15,250.0,263.15,263.15,261.27,8400,219465000000.0,,,
1999-10-14,JINDALSTEL,EQ,263.15,284.2,284.2,284.2,284.2,284.2,284.2,2800,79576000000.0,,,
1999-10-15,JINDALSTEL,EQ,284.2,306.95,306.95,278.0,293.5,294.2,298.49,64700,1931204500000.0,,,
1999-10-18,JINDALSTEL,EQ,294.2,313.4,317.5,286.1,303.0,298.3,298.36,59500,1775214000000.0,,,
1999-10-20,JINDALSTEL,EQ,298.3,320.0,322.2,319.95,322.2,322.2,321.84,20300,653340000000.0,,,
1999-10-21,JINDALSTEL,EQ,322.2,334.9,339.0,308.05,312.0,315.3,320.95,44000,1412169000000.0,,,
1999-10-22,JINDALSTEL,EQ,315.3,315.0,316.0,306.2,316.0,314.5,311.19,23100,718843500000.0,,,
1999-10-23,JINDALSTEL,EQ,314.5,315.6,315.6,309.8,315.0,313.4,313.1,2300,72014000000.0,,,
1999-10-25,JINDALSTEL,EQ,313.4,311.1,320.0,290.0,291.1,293.05,301.93,16900,510263000000.0,,,
1999-10-26,JINDALSTEL,EQ,293.05,303.0,303.0,280.0,282.0,284.3,285.12,28900,824005500000.0,,,
1999-10-27,JINDALSTEL,EQ,284.3,296.9,297.0,274.2,275.15,275.2,285.77,18300,522952000000.0,,,
1999-10-28,JINDALSTEL,EQ,275.2,280.1,280.1,256.1,268.8,269.5,268.21,22100,592738000000.0,,,
1999-10-29,JINDALSTEL,EQ,269.5,259.0,259.0,247.95,247.95,247.95,250.96,19000,476818000000.0,,,
1999-11-01,JINDALSTEL,EQ,247.95,231.0,231.0,228.15,228.15,228.15,228.76,5300,121243000000.0,,,
1999-11-02,JINDALSTEL,EQ,228.15,212.0,224.5,209.9,224.5,221.35,212.77,37200,791486000000.0,,,
1999-11-03,JINDALSTEL,EQ,221.35,229.0,239.0,222.5,227.5,227.85,231.25,20100,464817000000.0,,,
1999-11-04,JINDALSTEL,EQ,227.85,225.5,230.5,213.2,226.55,228.4,221.97,17400,386227000000.0,,,
1999-11-05,JINDALSTEL,EQ,228.4,218.0,236.0,218.0,232.0,230.4,226.04,17900,404605500000.0,,,
