Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2002-01-18,JISLJALEQS,EQ,15.9,12.5,12.5,12.5,12.5,12.5,12.5,35,43750000.0,,35.0,1.0
2002-01-22,JISLJALEQS,EQ,12.5,13.0,13.0,13.0,13.0,13.0,13.0,50,65000000.0,,50.0,1.0
2002-01-31,JISLJALEQS,EQ,13.0,13.55,13.55,13.55,13.55,13.55,13.55,35,47425000.0,,35.0,1.0
2002-02-04,JISLJALEQS,EQ,13.55,14.1,14.1,14.1,14.1,14.1,14.1,35,49350000.0,,35.0,1.0
2002-02-05,JISLJALEQS,EQ,14.1,14.7,14.7,14.7,14.7,14.7,14.7,50,73500000.0,,50.0,1.0
2002-02-06,JISLJALEQS,EQ,14.7,15.3,15.3,15.3,15.3,15.3,15.3,321,491130000.0,,321.0,1.0
2002-02-07,JISLJALEQS,EQ,15.3,15.95,15.95,15.95,15.95,15.95,15.95,300,478500000.0,,300.0,1.0
2002-02-08,JISLJALEQS,EQ,15.95,16.6,16.6,16.6,16.6,16.6,16.6,358,594280000.0,,358.0,1.0
2002-02-11,JISLJALEQS,EQ,16.6,16.25,16.25,16.25,16.25,16.25,16.25,75,121875000.0,,75.0,1.0
2002-02-18,JISLJALEQS,EQ,16.25,16.4,16.75,16.4,16.75,16.75,16.4,86,141075000.0,,86.0,1.0
2002-02-19,JISLJALEQS,EQ,16.75,16.5,17.1,16.5,17.1,17.1,16.99,379,643840000.0,,379.0,1.0
2002-02-20,JISLJALEQS,EQ,17.1,16.6,16.6,16.55,16.55,16.6,16.59,250,414750000.0,,,
2002-02-22,JISLJALEQS,EQ,16.6,16.5,16.5,16.5,16.5,16.5,16.5,50,82500000.0,,50.0,1.0
2002-02-25,JISLJALEQS,EQ,16.5,16.75,16.75,16.75,16.75,16.75,16.75,285,477375000.0,,285.0,1.0
2002-02-26,JISLJALEQS,EQ,16.75,17.25,17.25,17.25,17.25,17.25,17.25,170,293250000.0,,170.0,1.0
2002-02-27,JISLJALEQS,EQ,17.25,17.25,17.5,17.25,17.5,17.5,17.38,200,347500000.0,,200.0,1.0
2002-02-28,JISLJALEQS,EQ,17.5,17.6,17.75,17.6,17.65,17.65,17.66,759,1340135000.0,,759.0,1.0
2002-03-04,JISLJALEQS,EQ,17.65,17.55,17.8,17.55,17.8,17.8,17.73,350,620500000.0,,350.0,1.0
2002-03-05,JISLJALEQS,EQ,17.8,17.7,18.55,17.7,18.55,18.55,18.01,500,900500000.0,,350.0,0.7000000000000001
2002-03-06,JISLJALEQS,EQ,18.55,19.3,19.3,19.3,19.3,19.3,19.3,35,67550000.0,,35.0,1.0
2002-03-07,JISLJALEQS,EQ,19.3,20.1,20.1,20.1,20.1,20.1,20.1,2035,4090350000.0,,2035.0,1.0
2002-03-08,JISLJALEQS,EQ,20.1,20.9,20.9,20.9,20.9,20.9,20.9,2314,4836260000.0,,2264.0,0.9784
2002-03-11,JISLJALEQS,EQ,20.9,21.75,21.75,21.75,21.75,21.75,21.75,250,543750000.0,,,
2002-03-12,JISLJALEQS,EQ,21.75,22.0,22.65,22.0,22.65,22.65,22.19,700,1553000000.0,,850.0,0.8947
2002-03-13,JISLJALEQS,EQ,22.65,23.6,23.6,23.6,23.6,23.6,23.6,200,472000000.0,,200.0,1.0
2002-03-14,JISLJALEQS,EQ,23.6,24.55,24.55,24.55,24.55,24.55,24.55,50,122750000.0,,50.0,1.0
2002-03-15,JISLJALEQS,EQ,24.55,25.55,25.55,25.55,25.55,25.55,25.55,58,148190000.0,,58.0,1.0
2002-03-18,JISLJALEQS,EQ,25.55,26.6,26.6,26.6,26.6,26.6,26.6,364,968240000.0,,364.0,1.0
2002-03-19,JISLJALEQS,EQ,26.6,27.7,27.7,27.7,27.7,27.7,27.7,679,1880830000.0,,679.0,1.0
2002-03-20,JISLJALEQS,EQ,27.7,28.85,28.85,26.6,27.2,26.95,27.99,11382,31858915000.000004,,6811.0,0.5984
2002-03-21,JISLJALEQS,EQ,26.95,27.8,27.8,25.9,26.3,26.6,26.72,2767,7394264999.999999,,1593.0,0.5757
2002-03-22,JISLJALEQS,EQ,26.6,25.75,25.75,25.55,25.55,25.55,25.75,552,1421380000.0,,550.0,0.9964000000000001
2002-03-26,JISLJALEQS,EQ,25.55,24.95,25.25,24.95,25.25,25.25,25.18,500,1259220000.0,,500.0,1.0
2002-03-27,JISLJALEQS,EQ,25.25,24.25,26.25,24.25,26.0,25.3,25.29,3379,8546480000.0,,2975.0,0.8804000000000001
2002-03-28,JISLJALEQS,EQ,25.3,26.35,26.35,26.35,26.35,26.35,26.35,209534,552122090000.0,,209531.0,1.0
2002-04-01,JISLJALEQS,EQ,26.35,27.4,27.4,27.4,27.4,27.4,27.4,335,917900000.0,,335.0,1.0
