Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1998-08-03,J&KBANK,EQ,0.0,35.0,35.0,35.0,35.0,35.0,35.0,300,1050000000.0,,,
1998-08-04,J&KBANK,EQ,35.0,32.2,32.2,32.2,32.2,32.2,32.2,6400,20608000000.0,,,
1998-08-05,J&KBANK,EQ,32.2,29.65,32.45,29.65,30.5,30.3,30.2,50200,151587000000.0,,,
1998-08-06,J&KBANK,EQ,30.3,31.8,31.8,29.55,29.7,29.85,30.19,19800,59769000000.0,,,
1998-08-07,J&KBANK,EQ,29.85,29.95,29.95,29.0,29.5,29.4,29.56,5400,15963500000.0,,,
1998-08-10,J&KBANK,EQ,29.4,29.8,29.8,28.95,29.25,29.35,29.29,8800,25771500000.0,,,
1998-08-11,J&KBANK,EQ,29.35,28.8,29.3,27.15,27.2,27.3,28.35,14100,39980500000.0,,,
1998-08-12,J&KBANK,EQ,27.3,27.65,28.0,27.1,27.4,27.65,27.51,2400,6602000000.0,,,
1998-08-13,J&KBANK,EQ,27.65,27.15,27.75,27.0,27.75,27.65,27.26,9500,25892500000.0,,,
1998-08-14,J&KBANK,EQ,27.65,28.65,28.65,27.2,27.5,27.5,27.44,4100,11251500000.0,,,
1998-08-17,J&KBANK,EQ,27.5,27.5,27.85,27.25,27.8,27.8,27.59,2200,6069000000.0,,,
1998-08-18,J&KBANK,EQ,27.8,27.5,27.7,26.9,26.9,27.0,27.18,2400,6523000000.0,,,
1998-08-19,J&KBANK,EQ,27.0,27.8,27.85,27.0,27.35,27.35,27.3,4000,10918500000.0,,,
1998-08-20,J&KBANK,EQ,27.35,27.15,27.5,27.15,27.5,27.5,27.46,1700,4668500000.0,,,
1998-08-21,J&KBANK,EQ,27.5,27.0,27.85,27.0,27.85,27.85,27.37,900,2463500000.0,,,
1998-08-24,J&KBANK,EQ,27.85,27.7,30.1,27.7,30.1,30.1,29.6,4600,13615500000.0,,,
1998-08-25,J&KBANK,EQ,30.1,30.6,31.45,28.75,29.65,29.65,29.97,6700,20078000000.0,,,
1998-08-27,J&KBANK,EQ,29.65,30.0,30.9,29.25,29.3,29.4,29.97,3500,10491000000.0,,,
1998-08-28,J&KBANK,EQ,29.4,29.25,31.25,29.25,30.0,30.0,30.7,26000,79832500000.0,,,
1998-08-31,J&KBANK,EQ,30.0,30.0,30.0,29.15,29.5,29.5,29.42,6000,17653500000.0,,,
1998-09-01,J&KBANK,EQ,29.5,29.0,30.05,28.7,28.9,29.05,29.43,6300,18539500000.0,,,
1998-09-02,J&KBANK,EQ,29.05,28.95,28.95,28.95,28.95,28.95,28.95,400,1158000000.0,,,
1998-09-03,J&KBANK,EQ,28.95,29.0,29.1,28.75,28.8,28.8,28.93,1400,4050500000.0,,,
1998-09-04,J&KBANK,EQ,28.8,30.0,30.0,28.5,29.0,29.0,28.96,2900,8398500000.0,,,
1998-09-07,J&KBANK,EQ,29.0,29.0,29.5,28.55,28.7,28.7,28.91,1200,3469000000.0,,,
1998-09-08,J&KBANK,EQ,28.7,28.75,28.75,27.3,27.3,27.4,27.71,9000,24941500000.0,,,
1998-09-09,J&KBANK,EQ,27.4,28.85,28.85,27.6,28.0,28.0,28.01,5400,15128000000.0,,,
1998-09-10,J&KBANK,EQ,28.0,28.0,28.0,27.0,27.0,27.0,27.21,3600,9795500000.0,,,
1998-09-11,J&KBANK,EQ,27.0,26.0,27.0,26.0,27.0,27.0,26.92,12200,32838500000.0,,,
1998-09-14,J&KBANK,EQ,27.0,27.45,27.45,26.7,26.7,26.7,26.88,2600,6988000000.0,,,
1998-09-15,J&KBANK,EQ,26.7,26.5,26.5,25.5,26.0,25.9,25.9,3800,9841500000.0,,,
1998-09-16,J&KBANK,EQ,25.9,26.0,26.0,25.35,25.55,25.6,25.58,4000,10232500000.0,,,
1998-09-17,J&KBANK,EQ,25.6,26.0,26.0,25.6,25.6,25.6,25.91,3100,8031000000.0,,,
1998-09-18,J&KBANK,EQ,25.6,25.35,25.95,24.8,24.8,25.05,25.15,7300,18358500000.0,,,
1998-09-21,J&KBANK,EQ,25.05,26.0,26.1,25.35,25.35,25.35,25.56,1400,3579000000.0,,,
1998-09-22,J&KBANK,EQ,25.35,25.9,26.0,25.05,25.1,25.15,25.4,1500,3810500000.0,,,
1998-09-23,J&KBANK,EQ,25.15,26.8,26.8,25.55,25.7,25.7,25.86,2200,5689500000.0,,,
1998-09-24,J&KBANK,EQ,25.7,26.65,26.65,25.15,26.0,25.95,25.83,5400,13946000000.0,,,
1998-09-25,J&KBANK,EQ,25.95,26.0,26.0,25.65,25.7,25.7,25.95,8300,21536500000.0,,,
1998-09-28,J&KBANK,EQ,25.7,25.9,27.8,25.9,26.2,27.65,27.44,24300,66686000000.0,,,
1998-09-29,J&KBANK,EQ,27.65,26.1,27.75,26.1,27.3,27.7,27.04,9200,24881000000.0,,,
1998-09-30,J&KBANK,EQ,27.7,27.5,27.5,26.6,26.95,26.95,26.89,1200,3226500000.0,,,
1998-10-05,J&KBANK,EQ,26.95,25.6,26.25,25.0,25.0,25.0,25.39,4200,10664000000.0,,,
1998-10-06,J&KBANK,EQ,25.0,24.0,24.9,23.9,24.0,24.0,24.11,10300,24836000000.0,,,
1998-10-07,J&KBANK,EQ,24.0,25.7,25.7,24.3,24.75,24.8,24.74,3100,7669000000.0,,,
1998-10-08,J&KBANK,EQ,24.8,24.5,24.5,22.9,22.9,22.9,23.32,5300,12361000000.0,,,
1998-10-09,J&KBANK,EQ,22.9,22.6,22.8,22.1,22.7,22.7,22.43,3300,7403500000.0,,,
1998-10-12,J&KBANK,EQ,22.7,22.05,22.3,20.9,21.25,21.25,21.61,1800,3890000000.0,,,
1998-10-13,J&KBANK,EQ,21.25,20.25,20.75,20.0,20.7,20.1,20.19,5200,10498000000.0,,,
1998-10-14,J&KBANK,EQ,20.1,21.0,21.65,20.25,21.15,21.2,20.82,3400,7080000000.0,,,
1998-10-15,J&KBANK,EQ,21.2,22.3,22.3,21.3,21.6,21.55,21.62,1000,2162000000.0,,,
1998-10-16,J&KBANK,EQ,21.55,21.75,23.3,21.75,23.25,23.25,22.73,5300,12048000000.0,,,
1998-10-19,J&KBANK,EQ,23.25,21.5,24.0,21.5,23.0,23.1,23.66,3200,7572500000.0,,,
1998-10-20,J&KBANK,EQ,23.1,23.45,23.45,21.3,21.3,21.45,21.8,9500,20708500000.0,,,
1998-10-22,J&KBANK,EQ,21.45,22.85,22.85,21.35,22.5,22.3,22.27,1600,3563500000.0,,,
1998-10-23,J&KBANK,EQ,22.3,22.05,22.9,21.85,22.85,22.85,22.24,1200,2668500000.0,,,
1998-10-26,J&KBANK,EQ,22.85,24.6,24.7,24.5,24.7,24.7,24.68,8700,21471000000.0,,,
1998-10-27,J&KBANK,EQ,24.7,26.1,26.2,24.2,25.25,25.0,24.89,7100,17674000000.0,,,
1998-10-28,J&KBANK,EQ,25.0,26.8,26.8,23.25,23.3,24.4,25.07,11300,28328500000.0,,,
1998-10-29,J&KBANK,EQ,24.4,24.05,24.25,24.0,24.0,24.0,24.02,2700,6485000000.0,,,
1998-10-30,J&KBANK,EQ,24.0,24.5,24.5,24.0,24.0,24.0,24.39,4800,11708000000.0,,,
1998-11-02,J&KBANK,EQ,24.0,24.5,24.5,22.5,22.5,22.65,22.91,5000,11455000000.0,,,
1998-11-03,J&KBANK,EQ,22.65,23.75,23.75,21.25,21.35,21.7,21.57,20300,43791000000.0,,,
1998-11-05,J&KBANK,EQ,21.7,22.0,22.1,21.35,22.1,21.9,21.66,2300,4981500000.0,,,
1998-11-06,J&KBANK,EQ,21.9,22.05,22.1,21.95,22.0,22.0,22.02,6300,13870000000.0,,,
1998-11-09,J&KBANK,EQ,22.0,23.0,23.2,22.5,22.75,22.75,22.8,3200,7297500000.0,,,
1998-11-10,J&KBANK,EQ,22.75,22.75,23.9,22.55,23.4,23.4,23.11,2000,4621500000.0,,,
1998-11-11,J&KBANK,EQ,23.4,23.75,23.95,23.25,23.25,23.3,23.58,5000,11790500000.0,,,
1998-11-12,J&KBANK,EQ,23.3,23.2,23.2,22.8,23.0,23.0,22.98,1300,2988000000.0,,,
1998-11-13,J&KBANK,EQ,23.0,23.0,23.0,22.55,23.0,22.8,22.88,1800,4118500000.0,,,
1998-11-16,J&KBANK,EQ,22.8,23.0,23.55,22.5,22.95,22.95,23.02,2600,5986000000.0,,,
1998-11-17,J&KBANK,EQ,22.95,22.25,23.75,22.25,22.75,22.6,22.68,5900,13382500000.0,,,
