Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2008-02-12,JKIL,EQ,110.0,109.0,119.0,84.2,103.5,103.35,100.12,20451929,204762361325000.0,,771833,0.037700000000000004
2008-02-13,JKIL,EQ,103.35,105.0,112.0,98.3,101.35,101.85,106.17,5302931,56299153395000.01,,207011,0.039
2008-02-14,JKIL,EQ,101.85,107.7,109.0,101.8,103.3,103.8,105.34,1521771,16030555740000.0,,125239,0.08230000000000001
2008-02-15,JKIL,EQ,103.8,100.0,102.9,96.7,101.0,100.3,100.7,1049020,10563431810000.0,,69711,0.0665
2008-02-18,JKIL,EQ,100.3,103.8,119.75,100.05,118.5,118.45,114.27,5026190,57434835104999.99,,387514,0.0771
2008-02-19,JKIL,EQ,118.45,119.9,125.8,109.2,110.35,111.0,118.76,3554039,42207007170000.0,,395882,0.11140000000000001
2008-02-20,JKIL,EQ,111.0,111.0,113.6,107.0,108.4,108.25,110.24,1159969,12787673960000.0,,90500,0.078
2008-02-21,JKIL,EQ,108.25,111.0,114.7,107.55,109.5,109.5,111.08,617854,6863309340000.001,,102338,0.1656
2008-02-22,JKIL,EQ,109.5,108.0,109.6,104.0,104.65,105.6,107.08,223882,2397380350000.0,,60283,0.2693
2008-02-25,JKIL,EQ,105.6,108.8,108.8,99.5,100.5,100.45,101.5,284494,2887478370000.0,,80792,0.284
2008-02-26,JKIL,EQ,100.45,102.85,110.6,100.5,105.75,104.4,106.99,1076570,11518597545000.0,,112259,0.1043
2008-02-27,JKIL,EQ,104.4,105.3,113.0,104.55,105.6,105.8,109.57,1183534,12968560845000.0,,105097,0.0888
2008-02-28,JKIL,EQ,105.8,107.0,111.0,105.0,107.45,106.85,107.88,500837,5402827790000.0,,67697,0.1352
2008-02-29,JKIL,EQ,106.85,105.9,107.95,101.4,102.1,102.85,104.53,178046,1861198600000.0,,41432,0.2327
2008-03-03,JKIL,EQ,102.85,100.0,102.5,95.0,96.75,96.3,99.46,236120,2348397105000.0,,65155,0.2759
2008-03-04,JKIL,EQ,96.3,100.0,100.0,90.2,93.75,93.2,93.97,192748,1811329870000.0,,41239,0.214
2008-03-05,JKIL,EQ,93.2,93.8,95.0,88.0,91.0,89.5,90.56,105681,957077325000.0,,19656,0.18600000000000003
2008-03-07,JKIL,EQ,89.5,85.1,87.0,78.35,81.0,81.65,81.21,147241,1195785835000.0,,41443,0.2815
2008-03-10,JKIL,EQ,81.65,78.25,89.0,74.1,84.2,84.0,81.36,175549,1428286115000.0,,33090,0.18850000000000003
2008-03-11,JKIL,EQ,84.0,78.45,94.3,78.45,92.0,91.65,90.76,281179,2552040480000.0,,43755,0.15560000000000002
2008-03-12,JKIL,EQ,91.65,95.0,98.7,86.8,87.3,88.15,92.82,133579,1239844245000.0,,30020,0.22469999999999998
2008-03-13,JKIL,EQ,88.15,85.0,87.0,80.0,80.9,81.15,83.65,91602,766280065000.0,,32364,0.3533
