Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2007-04-02,JMTAUTOLTD,EQ,90.5,94.0,97.5,90.0,91.0,90.35,93.18,2245,20919100000.0,,571,0.2543
2007-04-03,JMTAUTOLTD,EQ,90.35,91.95,94.8,91.95,94.75,94.75,93.17,70,652200000.0,,40,0.5714
2007-04-04,JMTAUTOLTD,EQ,94.75,94.8,96.4,94.8,96.0,95.65,95.68,800,7654220000.0,,782,0.9775
2007-04-05,JMTAUTOLTD,EQ,95.65,96.25,96.25,96.25,96.25,96.25,96.25,100,962500000.0,,100,1.0
2007-04-09,JMTAUTOLTD,EQ,96.25,101.0,102.0,97.0,101.0,100.4,99.78,861,8590975000.0,,861,1.0
2007-04-10,JMTAUTOLTD,EQ,100.4,94.2,101.0,94.2,97.0,97.05,100.82,104,1048540000.0,,101,0.9712000000000001
2007-04-11,JMTAUTOLTD,EQ,97.05,90.2,102.95,90.0,99.2,99.2,97.13,2221,21572700000.0,,1920,0.8645
2007-04-12,JMTAUTOLTD,EQ,99.2,99.95,100.0,92.6,100.0,100.0,98.94,180,1780925000.0,,145,0.8056000000000001
2007-04-13,JMTAUTOLTD,EQ,100.0,96.15,99.5,96.15,99.5,99.5,98.94,600,5936500000.0,,600,1.0
2007-04-16,JMTAUTOLTD,EQ,99.5,100.0,101.9,96.2,98.5,97.6,98.63,320,3156200000.0,,270,0.8438
2007-04-17,JMTAUTOLTD,EQ,97.6,100.5,105.0,100.5,100.5,102.35,103.34,2258,23334250000.0,,2208,0.9779000000000001
2007-04-18,JMTAUTOLTD,EQ,102.35,103.0,104.0,103.0,103.0,103.35,103.17,565,5829000000.0,,540,0.9558
2007-04-19,JMTAUTOLTD,EQ,103.35,95.2,105.0,95.2,105.0,104.9,102.42,835,8552414999.999999,,584,0.6994
2007-04-20,JMTAUTOLTD,EQ,104.9,96.3,104.8,96.3,101.5,101.0,100.09,166,1661550000.0,,36,0.2169
2007-04-23,JMTAUTOLTD,EQ,101.0,100.0,101.0,100.0,101.0,101.0,100.84,358,3610000000.0,,335,0.9358
2007-04-24,JMTAUTOLTD,EQ,101.0,97.6,100.0,97.6,98.1,98.8,98.67,385,3798750000.0,,280,0.7273000000000001
2007-04-25,JMTAUTOLTD,EQ,98.8,98.0,98.05,98.0,98.0,98.0,98.01,150,1470075000.0,,150,1.0
2007-04-26,JMTAUTOLTD,EQ,98.0,99.0,101.0,98.0,100.0,100.0,100.09,4360,43640000000.0,,4360,1.0
2007-04-27,JMTAUTOLTD,EQ,100.0,96.0,96.0,96.0,96.0,96.0,96.0,100,960000000.0,,100,1.0
2007-04-30,JMTAUTOLTD,EQ,96.0,101.0,103.0,101.0,101.0,101.0,101.23,130,1316000000.0,,130,1.0
