Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2004-06-14,JPASSOCIAT,EQ,10.0,99.0,116.8,98.35,111.0,112.65,111.27,2201698,24497372355000.0,,949099.0,0.4311
2004-06-15,JPASSOCIAT,EQ,112.65,112.7,112.75,92.4,97.2,97.55,98.62,2131723,21022567855000.0,,558683.0,0.2621
2004-06-16,JPASSOCIAT,EQ,97.55,99.0,101.45,94.7,99.3,99.15,99.09,1569619,15552810075000.0,,324770.0,0.20690000000000003
2004-06-17,JPASSOCIAT,EQ,99.15,99.05,100.3,95.75,100.3,99.55,97.62,1115492,10889793200000.0,,373095.0,0.3345
2004-06-18,JPASSOCIAT,EQ,99.55,99.2,99.2,94.05,94.2,94.7,96.84,397134,3845956460000.0,,128077.0,0.3225
2004-06-21,JPASSOCIAT,EQ,94.7,95.9,95.95,83.55,84.45,86.65,90.45,462745,4185552650000.0,,223677.0,0.48340000000000005
2004-06-22,JPASSOCIAT,EQ,86.65,86.7,86.7,78.25,80.55,80.55,82.38,962744,7931413650000.0,,303148.0,0.3149
2004-06-23,JPASSOCIAT,EQ,80.55,81.7,84.9,74.6,75.45,76.35,81.0,897732,7271401945000.0,,260190.0,0.2898
2004-06-24,JPASSOCIAT,EQ,76.35,76.8,79.45,73.65,78.55,78.25,76.03,1119016,8507945345000.0,,390184.0,0.34869999999999995
2004-06-25,JPASSOCIAT,EQ,78.25,79.85,90.4,78.2,89.95,89.45,85.32,1614037,13770861410000.0,,512063.0,0.3173
2004-06-28,JPASSOCIAT,EQ,89.45,91.0,107.35,88.05,102.5,103.25,99.65,3466997,34547054275000.0,,975807.0,0.2815
2004-06-29,JPASSOCIAT,EQ,103.25,104.0,105.35,97.15,98.2,98.75,100.21,2538024,25432734350000.0,,531630.0,0.2095
2004-06-30,JPASSOCIAT,EQ,98.75,99.8,105.6,98.65,103.55,102.5,103.01,2169569,22349060620000.0,,338615.0,0.1561
2004-07-01,JPASSOCIAT,EQ,102.5,104.0,105.7,102.1,105.5,104.65,104.29,1095527,11424917760000.0,,255414.0,0.2331
2004-07-02,JPASSOCIAT,EQ,104.65,105.0,105.0,100.5,101.1,101.5,102.06,962673,9825010075000.0,,217998.0,0.22649999999999998
2004-07-05,JPASSOCIAT,EQ,101.5,102.0,104.0,96.4,96.95,98.0,100.58,582705,5860735605000.0,,152349.0,0.2615
2004-07-06,JPASSOCIAT,EQ,98.0,98.0,100.9,98.0,100.5,100.4,99.82,749358,7480003345000.0,,100118.0,0.1336
2004-07-07,JPASSOCIAT,EQ,100.4,100.5,102.5,98.1,98.65,98.6,100.58,638127,6418565900000.0,,153482.0,0.24050000000000002
2004-07-08,JPASSOCIAT,EQ,98.6,99.45,101.95,93.55,96.0,95.55,99.53,1277744,12716956925000.0,,399942.0,0.313
2004-07-09,JPASSOCIAT,EQ,95.55,95.0,99.95,90.2,98.9,99.25,96.89,383365,3714557029999.9995,,145820.0,0.3804
2004-07-12,JPASSOCIAT,EQ,99.25,99.9,99.95,97.5,98.9,98.05,98.09,300495,2947593535000.0,,206591.0,0.6875
2004-07-13,JPASSOCIAT,EQ,98.05,98.75,99.75,94.75,95.0,95.4,96.68,172840,1671071615000.0,,56638.0,0.32770000000000005
2004-07-14,JPASSOCIAT,EQ,95.4,96.0,96.7,90.6,91.35,92.0,93.44,713025,6662345495000.0,,412977.0,0.5792
2004-07-15,JPASSOCIAT,EQ,92.0,92.1,100.8,89.6,99.3,99.1,96.2,1536218,14778763065000.0,,394699.0,0.2569
2004-07-16,JPASSOCIAT,EQ,99.1,100.85,102.4,99.1,99.65,100.05,100.87,642238,6478148865000.0,,194524.0,0.3029
2004-07-19,JPASSOCIAT,EQ,100.05,100.8,102.65,99.05,99.7,99.65,100.62,314847,3168010880000.0,,78443.0,0.24910000000000002
2004-07-20,JPASSOCIAT,EQ,99.65,99.0,103.0,99.0,102.1,102.15,101.45,591450,6000452040000.0,,180944.0,0.3059
2004-07-21,JPASSOCIAT,EQ,102.15,102.35,104.4,99.95,101.8,101.15,102.39,448362,4590804815000.0,,135907.0,0.3031
2004-07-22,JPASSOCIAT,EQ,101.15,103.8,103.8,100.0,100.1,100.05,100.86,340710,3436340070000.0005,,184789.0,0.5424
2004-07-23,JPASSOCIAT,EQ,100.05,101.0,103.5,100.0,103.0,102.65,102.11,479150,4892574410000.0,,196997.0,0.4111
2004-07-26,JPASSOCIAT,EQ,102.65,102.35,110.9,101.0,110.1,109.55,107.8,1342876,14476276155000.002,,373816.0,0.2784
2004-07-27,JPASSOCIAT,EQ,109.55,110.9,113.0,102.7,103.5,103.45,107.59,707512,7612449770000.0,,238817.0,0.3375
2004-07-28,JPASSOCIAT,EQ,103.45,104.3,106.6,104.2,105.4,105.15,105.32,353795,3726188035000.0,,118412.0,0.3347
2004-07-29,JPASSOCIAT,EQ,105.15,106.2,110.0,104.5,108.1,108.05,107.9,534236,5764597035000.0,,145104.0,0.2716
2004-07-30,JPASSOCIAT,EQ,108.05,109.0,110.15,104.5,105.0,106.25,107.73,512247,5518367500000.0,,166658.0,0.32530000000000003
2004-08-02,JPASSOCIAT,EQ,106.25,106.7,108.8,106.4,108.05,107.9,107.59,350844,3774840854999.9995,,131001.0,0.37340000000000007
2004-08-03,JPASSOCIAT,EQ,107.9,107.65,117.75,107.65,114.1,113.45,114.78,1943747,22310435370000.0,,580739.0,0.2988
2004-08-04,JPASSOCIAT,EQ,113.45,109.0,114.7,109.0,112.0,112.0,112.47,779156,8763519550000.0,,244084.0,0.31329999999999997
2004-08-05,JPASSOCIAT,EQ,112.0,113.5,116.0,113.0,115.0,115.3,114.61,677862,7769291209999.999,,177180.0,0.2614
2004-08-06,JPASSOCIAT,EQ,115.3,114.95,124.0,114.95,119.25,118.95,120.94,2634212,31858275920000.0,,657332.0,0.2495
2004-08-09,JPASSOCIAT,EQ,118.95,119.0,124.7,118.2,121.9,121.5,122.23,1649044,20156696460000.0,,628535.0,0.3812
2004-08-10,JPASSOCIAT,EQ,121.5,122.2,124.9,122.0,124.5,124.3,123.55,1486258,18362676135000.0,,536179.0,0.3608
2004-08-11,JPASSOCIAT,EQ,124.3,125.5,125.7,121.5,122.35,122.0,122.37,965729,11817528960000.0,,592084.0,0.6131000000000001
2004-08-12,JPASSOCIAT,EQ,122.0,122.0,124.4,113.7,118.75,117.45,118.17,1371307,16204618150000.0,,483001.0,0.3522
2004-08-13,JPASSOCIAT,EQ,117.45,118.4,125.0,116.0,123.55,123.9,120.94,1206014,14586038755000.002,,373701.0,0.3099
2004-08-16,JPASSOCIAT,EQ,123.9,124.2,125.0,119.4,122.2,121.5,122.33,683155,8357097115000.001,,156440.0,0.22899999999999998
2004-08-17,JPASSOCIAT,EQ,121.5,122.8,130.85,122.55,128.95,129.25,128.11,1793732,22980196725000.0,,428624.0,0.239
2004-08-18,JPASSOCIAT,EQ,129.25,128.7,132.25,128.65,130.0,130.2,130.25,1607481,20937154360000.0,,699788.0,0.4353
2004-08-19,JPASSOCIAT,EQ,130.2,131.4,136.0,130.0,134.25,134.0,132.47,1143459,15147146885000.0,,317489.0,0.2777
2004-08-20,JPASSOCIAT,EQ,134.0,135.0,136.6,130.75,133.5,132.95,134.31,1248047,16762166010000.0,,242415.0,0.1942
2004-08-23,JPASSOCIAT,EQ,132.95,135.0,135.75,131.0,135.0,134.35,133.36,996893,13294414225000.0,,349427.0,0.3505
2004-08-24,JPASSOCIAT,EQ,134.35,135.7,136.6,132.6,134.75,134.65,134.75,682733,9199914715000.0,,197174.0,0.2888
2004-08-25,JPASSOCIAT,EQ,134.65,135.6,138.5,134.0,137.6,137.65,136.24,693514,9448725835000.0,,188698.0,0.2721
2004-08-26,JPASSOCIAT,EQ,137.65,138.5,139.5,136.15,137.1,137.65,138.15,682543,9429590275000.0,,195185.0,0.28600000000000003
2004-08-27,JPASSOCIAT,EQ,137.65,138.5,138.5,134.0,134.5,134.95,136.27,353483,4816910750000.0,,144598.0,0.40909999999999996
2004-08-30,JPASSOCIAT,EQ,134.95,134.65,138.1,132.5,137.5,136.6,135.67,796179,10802013125000.0,,319889.0,0.4018
2004-08-31,JPASSOCIAT,EQ,136.6,137.7,143.9,135.4,140.8,140.6,140.25,1331549,18674394385000.0,,436686.0,0.32799999999999996
2004-09-01,JPASSOCIAT,EQ,140.6,141.0,143.0,139.85,140.25,140.85,141.27,788223,11135537165000.0,,298480.0,0.3787
2004-09-02,JPASSOCIAT,EQ,140.85,141.7,141.75,135.6,136.7,136.5,138.2,615186,8501732745000.0,,277464.0,0.451
2004-09-03,JPASSOCIAT,EQ,136.5,136.5,137.5,134.25,135.05,135.5,136.05,282450,3842859190000.0,,77658.0,0.2749
2004-09-06,JPASSOCIAT,EQ,135.5,135.5,139.9,135.5,136.0,136.4,137.34,414325,5690303990000.0,,97365.0,0.23500000000000001
2004-09-07,JPASSOCIAT,EQ,136.4,135.85,137.5,133.35,133.85,134.65,135.81,280669,3811844220000.0005,,88434.0,0.31510000000000005
2004-09-08,JPASSOCIAT,EQ,134.65,135.1,145.0,134.75,144.25,144.4,141.69,1456479,20637428840000.0,,511067.0,0.35090000000000005
2004-09-09,JPASSOCIAT,EQ,144.4,145.0,149.55,142.95,147.65,148.2,147.22,2252476,33161066095000.0,,743413.0,0.33
2004-09-10,JPASSOCIAT,EQ,148.2,148.0,149.0,139.9,142.45,141.9,145.24,828196,12028533215000.0,,323046.0,0.3901
2004-09-13,JPASSOCIAT,EQ,141.9,141.5,146.9,141.45,143.85,143.9,144.72,487805,7059548605000.0,,194733.0,0.3992
2004-09-14,JPASSOCIAT,EQ,143.9,144.95,144.95,141.2,143.5,143.65,142.89,326299,4662490035000.0,,117151.0,0.359
2004-09-15,JPASSOCIAT,EQ,143.65,143.55,143.9,138.75,139.0,139.4,140.66,506563,7125283190000.001,,235218.0,0.4643
2004-09-16,JPASSOCIAT,EQ,139.4,140.25,142.0,139.5,139.6,140.25,140.71,271648,3822449500000.0,,102490.0,0.37729999999999997
