Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2005-04-18,JPHYDRO,EQ,32.0,32.0,35.5,30.65,31.15,31.15,32.06,46198201,148129673405000.0,,14690928,0.318
2005-04-19,JPHYDRO,EQ,31.15,31.15,32.5,29.75,29.9,29.9,31.03,26251794,81448548815000.0,,8257013,0.3145
2005-04-20,JPHYDRO,EQ,29.9,30.4,30.4,27.95,28.9,28.95,28.77,20545352,59116338350000.0,,6537378,0.3182
2005-04-21,JPHYDRO,EQ,28.95,28.95,30.95,28.35,30.75,30.75,29.79,19432325,57896238804999.99,,3623448,0.1865
2005-04-22,JPHYDRO,EQ,30.75,31.25,31.45,30.3,30.6,30.75,30.88,11600062,35817479355000.0,,2109315,0.1818
2005-04-25,JPHYDRO,EQ,30.75,30.75,30.9,30.15,30.4,30.35,30.55,4734673,14462546000000.0,,1231666,0.2601
2005-04-26,JPHYDRO,EQ,30.35,30.35,30.6,29.55,29.7,29.65,29.97,5334820,15986939090000.0,,2032360,0.381
2005-04-27,JPHYDRO,EQ,29.65,29.7,30.35,29.35,29.6,29.55,29.78,6053054,18023486890000.0,,2018794,0.3335
2005-04-28,JPHYDRO,EQ,29.55,29.7,30.1,29.05,29.5,29.25,29.51,5584982,16480850119999.998,,2609129,0.4672
2005-04-29,JPHYDRO,EQ,29.25,29.5,29.6,28.85,29.0,28.95,29.17,2484674,7247893084999.999,,876796,0.3529
2005-05-02,JPHYDRO,EQ,28.95,29.0,29.3,28.15,28.5,28.5,28.46,2063858,5873594405000.0,,700499,0.3394
2005-05-03,JPHYDRO,EQ,28.5,28.6,28.7,28.05,28.1,28.1,28.25,3236806,9144037345000.0,,1671065,0.5163
2005-05-04,JPHYDRO,EQ,28.1,28.2,29.1,28.2,28.65,28.7,28.64,3039332,8705556805000.0,,697457,0.2295
2005-05-05,JPHYDRO,EQ,28.7,28.95,29.2,28.7,28.85,28.85,28.92,1927777,5575778830000.0,,607449,0.31510000000000005
2005-05-06,JPHYDRO,EQ,28.85,28.8,28.95,28.5,28.75,28.75,28.7,1106917,3177194440000.0,,413228,0.37329999999999997
2005-05-09,JPHYDRO,EQ,28.75,28.85,29.5,28.6,28.9,28.95,29.01,2429854,7049174745000.0,,673610,0.2772
2005-05-10,JPHYDRO,EQ,28.95,29.1,29.9,28.8,29.1,29.1,29.35,3827050,11231073595000.0,,1006801,0.2631
2005-05-11,JPHYDRO,EQ,29.1,28.9,29.2,28.6,28.8,28.9,28.98,1372273,3976208120000.0005,,677967,0.494
2005-05-12,JPHYDRO,EQ,28.9,28.6,29.4,28.6,28.8,28.8,28.98,2106497,6104753330000.0,,969227,0.4601
2005-05-13,JPHYDRO,EQ,28.8,28.8,28.85,28.55,28.6,28.6,28.67,1504843,4314650010000.0,,937140,0.6227
2005-05-16,JPHYDRO,EQ,28.6,28.7,28.75,28.5,28.5,28.6,28.67,1108549,3178525700000.0,,687344,0.62
2005-05-17,JPHYDRO,EQ,28.6,28.6,28.7,28.0,28.1,28.05,28.3,2030722,5746933670000.0,,1367381,0.6733
2005-05-18,JPHYDRO,EQ,28.05,28.25,28.3,27.75,27.8,27.85,28.0,1902078,5325947210000.0,,1023947,0.5383
2005-05-19,JPHYDRO,EQ,27.85,28.0,28.15,27.85,27.85,27.9,28.03,1761669,4938060495000.0,,1027875,0.5835
2005-05-20,JPHYDRO,EQ,27.9,28.0,28.1,27.7,27.75,27.75,27.81,1125535,3130530055000.0,,656784,0.5835
2005-05-23,JPHYDRO,EQ,27.75,27.85,28.45,27.7,27.9,27.95,27.99,2873240,8041464555000.0,,1464499,0.5097
2005-05-24,JPHYDRO,EQ,27.95,28.0,28.25,27.75,28.05,28.0,27.99,3087888,8642706934999.999,,1961654,0.6353
2005-05-25,JPHYDRO,EQ,28.0,28.5,28.5,27.95,28.05,28.0,28.05,1276867,3581648404999.9995,,721273,0.5649000000000001
2005-05-26,JPHYDRO,EQ,28.0,28.0,28.1,27.1,27.4,27.25,27.53,3340875,9195942170000.0,,1960595,0.5869
2005-05-27,JPHYDRO,EQ,27.25,27.7,27.9,27.4,27.45,27.45,27.64,1849012,5110625385000.0,,847885,0.4586
2005-05-30,JPHYDRO,EQ,27.45,27.55,27.7,27.0,27.05,27.05,27.17,1633938,4439060430000.0,,1006033,0.6157
2005-05-31,JPHYDRO,EQ,27.05,27.1,27.75,27.0,27.4,27.35,27.39,1642233,4498773770000.0,,557922,0.3397
2005-06-01,JPHYDRO,EQ,27.35,27.45,27.6,27.3,27.4,27.4,27.45,765291,2100945360000.0002,,369104,0.4823
2005-06-02,JPHYDRO,EQ,27.4,27.4,27.5,27.1,27.15,27.15,27.27,574796,1567603835000.0,,282126,0.4908
2005-06-03,JPHYDRO,EQ,27.15,27.25,27.45,27.1,27.15,27.25,27.27,726713,1981457545000.0,,305552,0.4205
2005-06-04,JPHYDRO,EQ,27.25,27.1,27.55,27.1,27.5,27.45,27.43,418910,1149081990000.0,,242707,0.5794
2005-06-06,JPHYDRO,EQ,27.45,27.6,28.9,27.55,28.7,28.7,28.51,4230752,12060338335000.0,,1281083,0.3028
2005-06-07,JPHYDRO,EQ,28.7,28.7,30.65,28.2,30.65,30.25,29.48,6460529,19047120055000.0,,1972558,0.3053
2005-06-08,JPHYDRO,EQ,30.25,30.9,31.4,30.3,30.35,30.45,30.83,8063139,24856959705000.0,,2351122,0.2916
2005-06-09,JPHYDRO,EQ,30.45,30.25,31.25,30.1,30.5,30.55,30.68,5616776,17230162450000.0,,1324669,0.23579999999999998
2005-06-10,JPHYDRO,EQ,30.55,31.5,31.5,29.55,29.85,29.8,30.23,2684708,8116230905000.0,,742559,0.2766
2005-06-13,JPHYDRO,EQ,29.8,30.1,30.1,29.15,29.65,29.7,29.71,1791906,5323328335000.0,,498014,0.2779
2005-06-14,JPHYDRO,EQ,29.7,30.1,30.35,29.6,29.7,29.75,29.9,1815550,5429093925000.0,,507443,0.2795
2005-06-15,JPHYDRO,EQ,29.75,30.25,30.25,29.5,29.6,29.6,29.75,1371752,4080312220000.0005,,531218,0.3873
2005-06-16,JPHYDRO,EQ,29.6,29.75,29.75,28.5,28.5,28.55,28.88,1285710,3713393190000.0,,457660,0.35600000000000004
2005-06-17,JPHYDRO,EQ,28.55,28.7,28.7,28.0,28.2,28.2,28.22,1391742,3927440025000.0,,809389,0.5816
2005-06-20,JPHYDRO,EQ,28.2,28.2,29.15,28.0,28.4,28.4,28.43,1546216,4395240375000.0,,518721,0.33549999999999996
2005-06-21,JPHYDRO,EQ,28.4,28.45,28.95,28.15,28.15,28.25,28.46,1393281,3965359750000.0,,471847,0.3387
2005-06-22,JPHYDRO,EQ,28.25,28.45,28.65,28.2,28.2,28.25,28.37,887477,2517823495000.0,,412071,0.4643
2005-06-23,JPHYDRO,EQ,28.25,28.45,28.7,28.2,28.55,28.55,28.47,868200,2472173235000.0,,308175,0.355
2005-06-24,JPHYDRO,EQ,28.55,28.5,28.65,28.3,28.4,28.45,28.47,919464,2617612840000.0,,374279,0.4071
2005-06-27,JPHYDRO,EQ,28.45,27.6,28.65,27.6,28.25,28.4,28.51,756299,2155997160000.0002,,358140,0.47350000000000003
2005-06-28,JPHYDRO,EQ,28.4,28.25,28.6,28.0,28.05,28.1,28.3,900575,2548829290000.0,,380922,0.423
2005-06-29,JPHYDRO,EQ,28.1,28.3,28.4,28.05,28.05,28.1,28.14,1485531,4179904565000.0,,869243,0.5851
2005-06-30,JPHYDRO,EQ,28.1,28.25,28.25,26.8,27.6,27.5,27.75,4974211,13803828750000.0,,3191481,0.6416
2005-07-01,JPHYDRO,EQ,27.5,28.1,28.35,27.6,28.15,28.05,28.0,1434853,4017930215000.0,,580020,0.4042
2005-07-04,JPHYDRO,EQ,28.05,28.2,29.15,28.0,29.05,28.95,28.6,2187854,6256492075000.0,,1032451,0.4719
2005-07-05,JPHYDRO,EQ,28.95,29.4,29.45,28.3,28.55,28.45,28.78,1749630,5034733740000.0,,698571,0.3993
2005-07-06,JPHYDRO,EQ,28.45,28.65,29.0,28.45,28.9,28.85,28.74,1062516,3053889470000.0,,356605,0.3356
2005-07-07,JPHYDRO,EQ,28.85,28.95,29.2,28.25,28.4,28.35,28.68,1375329,3943787395000.0005,,525727,0.3823
2005-07-08,JPHYDRO,EQ,28.35,28.35,28.7,28.1,28.45,28.5,28.47,785718,2237238970000.0,,386429,0.4918
2005-07-11,JPHYDRO,EQ,28.5,28.75,28.75,28.45,28.6,28.6,28.58,991916,2834843990000.0,,583933,0.5887
2005-07-12,JPHYDRO,EQ,28.6,28.65,28.75,28.1,28.25,28.3,28.42,748547,2127320530000.0,,394642,0.5272
2005-07-13,JPHYDRO,EQ,28.3,28.55,28.7,27.75,27.8,27.9,28.22,2053709,5795807240000.0,,1298814,0.6324000000000001
2005-07-14,JPHYDRO,EQ,27.9,27.25,29.45,27.25,29.3,29.25,29.0,4992064,14478554665000.0,,1643621,0.32920000000000005
2005-07-15,JPHYDRO,EQ,29.25,29.45,30.1,28.9,30.0,29.85,29.55,3376685,9978784720000.0,,1399824,0.4146
2005-07-18,JPHYDRO,EQ,29.85,30.1,31.65,29.95,31.45,31.15,30.72,6481704,19909378285000.0,,2550347,0.3935
2005-07-19,JPHYDRO,EQ,31.15,32.0,33.0,31.0,31.5,31.4,31.56,6954109,21948104530000.0,,3169282,0.4557
2005-07-20,JPHYDRO,EQ,31.4,31.5,32.85,31.25,32.0,32.0,32.18,8592647,27648301589999.996,,2948068,0.3431
2005-07-21,JPHYDRO,EQ,32.0,32.4,32.95,30.7,31.3,31.15,31.76,4635378,14721888590000.0,,1996022,0.43060000000000004
2005-07-22,JPHYDRO,EQ,31.15,31.0,31.65,30.9,31.15,31.3,31.35,2275117,7133253545000.0,,1145735,0.5036
2005-07-25,JPHYDRO,EQ,31.3,31.6,32.1,31.25,31.3,31.35,31.6,2472403,7813749995000.0,,1243305,0.5029
2005-07-26,JPHYDRO,EQ,31.35,31.4,31.7,30.4,30.55,30.55,30.88,1952915,6029926655000.0,,963685,0.49350000000000005
2005-07-27,JPHYDRO,EQ,30.55,30.6,30.85,30.1,30.15,30.2,30.32,910692,2761378945000.0,,427070,0.469
2005-07-29,JPHYDRO,EQ,30.2,30.0,30.25,29.5,29.8,29.7,29.87,3333321,9955698545000.0,,2241759,0.6725
2005-08-01,JPHYDRO,EQ,29.7,29.45,30.65,29.1,30.55,30.45,29.91,1879191,5620478520000.0,,760346,0.4046
2005-08-02,JPHYDRO,EQ,30.45,30.45,31.35,30.45,30.9,30.9,31.0,2241507,6948198415000.001,,945680,0.4219
2005-08-03,JPHYDRO,EQ,30.9,31.1,31.1,30.2,30.35,30.3,30.53,1026892,3134640275000.0,,466428,0.45420000000000005
