Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-01-04,JSWENERGY,EQ,100.0,106.0,106.35,100.0,100.2,100.85,101.88,76470142,779047573635000.0,,31194613,0.4079
2010-01-05,JSWENERGY,EQ,100.85,101.75,117.8,100.05,112.9,113.0,109.51,63811259,698766362410000.0,,14333134,0.22460000000000002
2010-01-06,JSWENERGY,EQ,113.0,113.7,117.95,111.25,113.15,112.85,114.33,19904390,227559226405000.03,,4411824,0.2217
2010-01-07,JSWENERGY,EQ,112.85,113.5,114.9,111.25,113.2,113.1,113.34,9317790,105606935625000.0,,3287666,0.3528
2010-01-08,JSWENERGY,EQ,113.1,113.9,115.6,112.75,113.1,113.1,114.12,5981165,68258296660000.0,,2393924,0.40020000000000006
2010-01-11,JSWENERGY,EQ,113.1,114.0,120.8,113.6,120.0,119.8,118.35,20381891,241227582569999.97,,5648537,0.2771
2010-01-12,JSWENERGY,EQ,119.8,120.0,123.8,118.5,119.2,119.55,121.08,16633327,201403396025000.0,,3794076,0.2281
2010-01-13,JSWENERGY,EQ,119.55,118.0,118.95,116.1,117.2,117.7,117.75,6750788,79488638860000.0,,2348581,0.3479
2010-01-14,JSWENERGY,EQ,117.7,118.5,122.0,117.8,118.5,119.1,120.12,7584404,91105678895000.0,,2223603,0.2932
2010-01-15,JSWENERGY,EQ,119.1,119.3,120.3,116.6,116.95,117.2,118.57,3256652,38613651640000.0,,1265958,0.3887
2010-01-18,JSWENERGY,EQ,117.2,116.4,117.85,114.7,114.9,115.4,116.12,3039817,35299312380000.0,,1714405,0.564
2010-01-19,JSWENERGY,EQ,115.4,114.8,116.75,113.5,114.0,113.8,114.96,3044950,35006067539999.996,,1476730,0.485
2010-01-20,JSWENERGY,EQ,113.8,114.25,118.7,114.2,115.55,115.45,116.48,6037703,70329408029999.99,,2412122,0.3995
2010-01-21,JSWENERGY,EQ,115.45,115.0,116.7,111.35,112.85,113.1,114.24,4459218,50940528885000.0,,2033970,0.4561
2010-01-22,JSWENERGY,EQ,113.1,111.0,113.5,108.25,111.75,111.6,111.36,3937412,43846409080000.0,,1681487,0.42710000000000004
2010-01-25,JSWENERGY,EQ,111.6,111.0,112.75,109.0,109.15,110.05,111.42,1766337,19681294370000.0,,848401,0.4803
2010-01-27,JSWENERGY,EQ,110.05,109.0,110.0,106.0,107.0,107.6,108.07,3409342,36844701000000.0,,1990457,0.5838
2010-01-28,JSWENERGY,EQ,107.6,108.4,109.8,106.2,106.9,106.6,107.55,1693008,18207524920000.0,,731479,0.43210000000000004
2010-01-29,JSWENERGY,EQ,106.6,106.0,107.0,101.8,106.75,106.75,104.57,2198552,22990378910000.0,,737277,0.33530000000000004
2010-02-01,JSWENERGY,EQ,106.75,106.25,109.2,105.5,107.0,107.35,108.02,1462462,15797945390000.0,,582199,0.3981
2010-02-02,JSWENERGY,EQ,107.35,108.9,111.65,104.4,104.6,105.15,108.86,4616372,50252420405000.0,,2017017,0.4369
2010-02-03,JSWENERGY,EQ,105.15,106.5,110.2,105.95,109.85,109.85,109.01,2902575,31641655050000.0,,1415661,0.4877
2010-02-04,JSWENERGY,EQ,109.85,111.0,112.25,105.75,106.3,106.05,108.41,2169447,23519305200000.0,,900894,0.4153
2010-02-05,JSWENERGY,EQ,106.05,102.75,104.7,102.05,103.2,103.05,103.51,2111039,21851704700000.0,,1087600,0.5152
2010-02-06,JSWENERGY,EQ,103.05,104.05,110.35,104.05,109.65,109.5,108.63,1583110,17197386075000.0,,887498,0.5606
2010-02-08,JSWENERGY,EQ,109.5,111.2,111.85,106.9,107.9,107.8,108.91,2582448,28124703089999.996,,637719,0.2469
2010-02-09,JSWENERGY,EQ,107.8,108.0,112.8,107.5,110.85,110.85,111.26,5416636,60268161179999.99,,1979235,0.3654
2010-02-10,JSWENERGY,EQ,110.85,111.9,112.4,108.55,108.8,109.4,110.37,1838076,20286838775000.0,,958708,0.5216
2010-02-11,JSWENERGY,EQ,109.4,109.95,110.8,108.25,108.5,108.9,109.61,1376423,15087519465000.0,,679713,0.4938
2010-02-15,JSWENERGY,EQ,108.9,109.35,110.0,106.1,106.9,106.65,107.53,1744171,18754325325000.0,,1098775,0.63
2010-02-16,JSWENERGY,EQ,106.65,108.5,110.0,106.8,109.65,109.4,108.75,1370373,14902794850000.0,,847088,0.6181
2010-02-17,JSWENERGY,EQ,109.4,110.6,110.7,108.4,108.8,108.8,109.56,1265832,13867870975000.0,,747946,0.5909000000000001
2010-02-18,JSWENERGY,EQ,108.8,109.0,111.8,107.7,109.3,109.3,110.01,2251734,24772076930000.0,,916062,0.4068
2010-02-19,JSWENERGY,EQ,109.3,108.4,109.0,106.05,107.2,107.15,107.54,972696,10459973050000.0,,429469,0.4415
2010-02-22,JSWENERGY,EQ,107.15,108.5,109.5,104.6,105.1,105.2,106.95,825240,8825608200000.0,,367234,0.445
2010-02-23,JSWENERGY,EQ,105.2,105.3,107.0,104.6,105.5,105.05,105.73,865744,9153164535000.0,,433007,0.5002000000000001
2010-02-24,JSWENERGY,EQ,105.05,104.5,105.75,103.9,104.0,104.2,104.56,771490,8066621755000.0,,341348,0.4425
2010-02-25,JSWENERGY,EQ,104.2,104.9,105.0,104.0,104.05,104.1,104.5,587345,6137919020000.0,,282813,0.4815
2010-02-26,JSWENERGY,EQ,104.1,104.7,105.9,103.15,103.4,103.65,104.87,1600523,16784827290000.0,,851915,0.5323
2010-03-02,JSWENERGY,EQ,103.65,104.4,105.8,104.1,104.8,104.75,104.96,844223,8861040100000.0,,519462,0.6153000000000001
2010-03-03,JSWENERGY,EQ,104.75,105.0,108.25,104.75,106.2,106.0,106.68,1903928,20312045905000.0,,1004495,0.5276
2010-03-04,JSWENERGY,EQ,106.0,106.0,106.9,105.05,105.65,105.55,106.0,1024300,10857816590000.0,,626392,0.6115
2010-03-05,JSWENERGY,EQ,105.55,106.4,110.2,105.8,110.15,109.5,108.39,4297257,46576111035000.0,,2249047,0.5234000000000001
2010-03-08,JSWENERGY,EQ,109.5,111.0,112.9,109.8,111.9,111.0,111.63,4371956,48805966555000.0,,2440507,0.5582
2010-03-09,JSWENERGY,EQ,111.0,111.5,112.0,107.45,107.85,107.75,109.06,1063789,11601670470000.0,,561430,0.5278
2010-03-10,JSWENERGY,EQ,107.75,107.95,108.75,106.3,107.15,106.8,107.36,953114,10232541005000.0,,550641,0.5777
2010-03-11,JSWENERGY,EQ,106.8,106.95,108.3,104.7,106.35,105.95,106.13,1585272,16824268940000.0,,927655,0.5852
2010-03-12,JSWENERGY,EQ,105.95,106.5,106.9,105.1,105.8,106.0,106.07,1050143,11139018425000.0,,600175,0.5715
2010-03-15,JSWENERGY,EQ,106.0,105.6,106.0,104.75,105.0,105.15,105.4,1014599,10693725945000.0,,693334,0.6834
2010-03-16,JSWENERGY,EQ,105.15,105.15,108.05,105.0,108.05,107.4,106.62,1222947,13038948260000.0,,687046,0.5618
2010-03-17,JSWENERGY,EQ,107.4,108.25,112.85,108.15,111.25,111.05,110.81,3706671,41073519100000.0,,2171371,0.5858
2010-03-18,JSWENERGY,EQ,111.05,112.1,112.1,108.8,110.0,110.0,109.87,1343072,14756475100000.0,,835310,0.6219
2010-03-19,JSWENERGY,EQ,110.0,110.0,110.4,107.15,107.65,107.8,108.91,1144119,12460588520000.0,,699654,0.6115
2010-03-22,JSWENERGY,EQ,107.8,106.1,109.0,106.1,108.4,108.1,107.44,1934736,20787167645000.0,,1483741,0.7669
2010-03-23,JSWENERGY,EQ,108.1,108.5,112.6,107.8,112.0,112.0,110.58,3185029,35221445795000.0,,1731021,0.5435
2010-03-25,JSWENERGY,EQ,112.0,111.5,115.35,110.2,113.8,114.1,113.51,3725741,42292222200000.0,,1594241,0.4279
2010-03-26,JSWENERGY,EQ,114.1,115.5,117.45,113.55,114.2,114.65,115.48,5024715,58025330070000.01,,2488751,0.4953
2010-03-29,JSWENERGY,EQ,114.65,115.0,116.35,111.65,112.0,112.1,113.93,1980249,22561515530000.0,,1079673,0.5452
2010-03-30,JSWENERGY,EQ,112.1,112.6,114.45,111.75,111.75,111.85,112.9,1314004,14835442190000.0,,836335,0.6365
2010-03-31,JSWENERGY,EQ,111.85,112.1,113.5,111.35,111.95,111.85,112.66,795377,8960629365000.0,,472137,0.5936
2010-04-01,JSWENERGY,EQ,111.85,112.65,116.15,112.3,115.3,115.1,114.87,1733918,19916730300000.0,,897141,0.5174000000000001
2010-04-05,JSWENERGY,EQ,115.1,115.65,118.4,115.25,117.75,117.65,116.89,2762777,32293677950000.0,,1648347,0.5966
2010-04-06,JSWENERGY,EQ,117.65,118.0,118.35,115.0,116.45,116.25,116.57,1387394,16172776444999.998,,856815,0.6176
2010-04-07,JSWENERGY,EQ,116.25,116.75,119.6,116.15,117.05,117.45,118.45,3910838,46323969080000.0,,1891623,0.48369999999999996
2010-04-08,JSWENERGY,EQ,117.45,116.75,117.7,115.75,117.0,116.7,116.73,1188986,13879493775000.0,,558283,0.46950000000000003
2010-04-09,JSWENERGY,EQ,116.7,117.25,119.75,116.9,117.6,117.4,118.41,1938694,22955488075000.0,,820757,0.42340000000000005
2010-04-12,JSWENERGY,EQ,117.4,117.05,118.55,116.55,117.3,117.35,117.5,870769,10231121605000.0,,540239,0.6204
2010-04-13,JSWENERGY,EQ,117.35,117.2,117.8,115.75,116.45,116.15,116.55,1274676,14855893500000.0,,874227,0.6858
2010-04-15,JSWENERGY,EQ,116.15,116.5,117.9,115.3,116.1,115.9,116.46,926626,10791261200000.0,,531155,0.5732
2010-04-16,JSWENERGY,EQ,115.9,115.95,122.85,114.8,119.5,120.1,120.03,6311303,75757518310000.0,,2616818,0.4146
2010-04-19,JSWENERGY,EQ,120.1,130.0,130.0,117.25,118.5,118.9,121.5,7616511,92537308630000.0,,2596419,0.34090000000000004
2010-04-20,JSWENERGY,EQ,118.9,118.8,121.4,118.8,120.0,119.95,120.32,2001107,24076953305000.0,,958731,0.47909999999999997
2010-04-21,JSWENERGY,EQ,119.95,120.75,122.45,119.25,121.25,121.45,121.08,7031952,85139715585000.0,,4547594,0.6467
2010-04-22,JSWENERGY,EQ,121.45,121.0,122.2,119.8,121.0,120.9,121.07,2719623,32926588464999.996,,1240327,0.4561
2010-04-23,JSWENERGY,EQ,120.9,121.4,122.0,120.45,121.6,121.75,121.44,1766398,21451176835000.0,,781721,0.4426
2010-04-26,JSWENERGY,EQ,121.75,122.0,122.5,118.3,119.5,119.25,120.22,2088695,25110202910000.0,,1059897,0.5074000000000001
2010-04-27,JSWENERGY,EQ,119.25,119.75,120.0,116.55,116.65,117.6,118.62,1184984,14056829290000.0,,696055,0.5874
2010-04-28,JSWENERGY,EQ,117.6,116.75,121.9,115.5,118.75,119.0,119.87,4033324,48347674990000.0,,1409910,0.3496
2010-04-29,JSWENERGY,EQ,119.0,119.95,126.4,119.25,123.85,123.75,123.39,5671303,69977331379999.99,,2425659,0.4277
2010-04-30,JSWENERGY,EQ,123.75,124.75,126.9,124.1,125.0,125.65,125.46,4520120,56707640985000.0,,2361422,0.5224
2010-05-03,JSWENERGY,EQ,125.65,125.75,130.1,124.25,129.15,129.3,128.53,6644999,85405969420000.0,,3350667,0.5042
