Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2007-12-19,JYOTHYLAB,EQ,690.0,895.0,895.0,741.15,780.0,794.05,790.73,5136540,406162908350000.0,,1338600.0,0.2606
2007-12-20,JYOTHYLAB,EQ,794.05,785.0,796.25,770.0,788.8,781.65,782.72,693888,54312050175000.0,,294079.0,0.4238
2007-12-24,JYOTHYLAB,EQ,781.65,790.0,834.0,786.3,815.0,811.05,811.8,598209,48562649190000.0,,176408.0,0.2949
2007-12-26,JYOTHYLAB,EQ,811.05,842.0,842.0,805.05,816.5,815.95,812.97,246913,20073204530000.0,,114033.0,0.4618
2007-12-27,JYOTHYLAB,EQ,815.95,819.95,855.0,813.0,830.9,830.25,832.62,396703,33030287389999.996,,138788.0,0.34990000000000004
2007-12-28,JYOTHYLAB,EQ,830.25,825.0,860.0,825.0,858.05,856.15,844.5,284981,24066690230000.0,,148695.0,0.5218
2007-12-31,JYOTHYLAB,EQ,856.15,840.0,869.0,840.0,862.1,862.85,858.38,156848,13463492819999.998,,104583.0,0.6668000000000001
2008-01-01,JYOTHYLAB,EQ,862.85,858.0,874.4,858.0,864.0,862.85,862.89,74728,6448198325000.0,,50816.0,0.68
2008-01-02,JYOTHYLAB,EQ,862.85,862.0,960.05,852.6,890.0,896.2,901.12,296440,26712813480000.0,,133961.0,0.45189999999999997
2008-01-03,JYOTHYLAB,EQ,896.2,889.9,919.4,860.0,861.0,861.15,872.85,82866,7232950695000.0,,41213.0,0.49729999999999996
2008-01-04,JYOTHYLAB,EQ,861.15,869.0,890.0,863.5,874.0,876.75,876.37,103336,9056028270000.0,,68320.0,0.6611
2008-01-07,JYOTHYLAB,EQ,876.75,871.0,879.0,860.0,872.05,873.6,868.62,44841,3894969725000.0,,34154.0,0.7617
2008-01-08,JYOTHYLAB,EQ,873.6,875.0,890.0,850.0,860.5,856.5,864.45,48930,4229740750000.0,,42394.0,0.8664000000000001
2008-01-09,JYOTHYLAB,EQ,856.5,850.0,868.0,849.0,865.0,861.35,858.92,42682,3666059815000.0,,35670.0,0.8357
2008-01-10,JYOTHYLAB,EQ,861.35,865.0,866.9,855.0,862.0,859.95,860.14,70770,6087200005000.0,,67155.0,0.9489000000000001
2008-01-11,JYOTHYLAB,EQ,859.95,865.0,866.0,852.0,864.0,860.35,860.14,45143,3882937610000.0,,40038.0,0.8869
2008-01-14,JYOTHYLAB,EQ,860.35,860.0,875.0,860.0,860.05,860.1,860.53,11173,961475280000.0001,,7821.0,0.7000000000000001
2008-01-15,JYOTHYLAB,EQ,860.1,861.0,865.0,860.0,860.15,861.0,860.57,10869,935355060000.0,,8746.0,0.8047
2008-01-16,JYOTHYLAB,EQ,861.0,860.0,885.0,855.05,885.0,874.0,863.42,20230,1746690589999.9998,,16767.0,0.8288
2008-01-17,JYOTHYLAB,EQ,874.0,885.0,909.75,874.0,900.0,900.55,895.31,23968,2145874835000.0002,,16408.0,0.6846
2008-01-18,JYOTHYLAB,EQ,900.55,894.0,930.0,880.0,905.0,903.05,913.16,61961,5658004730000.0,,35196.0,0.568
2008-01-21,JYOTHYLAB,EQ,903.05,861.0,881.0,790.0,812.0,807.8,838.36,14141,1185523145000.0,,11082.0,0.7837000000000001
2008-01-22,JYOTHYLAB,EQ,807.8,702.0,750.0,649.0,720.0,714.85,698.78,6937,484742030000.0,,5272.0,0.76
2008-01-23,JYOTHYLAB,EQ,714.85,761.0,849.0,750.0,810.0,813.05,785.26,8621,676975850000.0,,6238.0,0.7236
2008-01-24,JYOTHYLAB,EQ,813.05,702.0,800.0,702.0,790.0,781.6,774.95,7402,573614905000.0,,6327.0,0.8548
2008-01-25,JYOTHYLAB,EQ,781.6,750.0,795.0,730.0,766.0,763.4,774.38,5473,423820150000.0,,4807.0,0.8783
2008-01-28,JYOTHYLAB,EQ,763.4,713.0,801.0,713.0,801.0,799.75,790.77,3691,291873005000.0,,3074.0,0.8328
2008-01-29,JYOTHYLAB,EQ,799.75,801.0,815.0,741.0,761.5,766.25,775.82,1107,85883685000.0,,701.0,0.6332
2008-01-30,JYOTHYLAB,EQ,766.25,763.0,785.0,762.0,773.0,776.7,769.81,2194,168896850000.0,,1719.0,0.7835
2008-01-31,JYOTHYLAB,EQ,776.7,748.1,805.0,748.1,792.0,796.9,798.05,14314,1142326055000.0,,12901.0,0.9013
2008-02-01,JYOTHYLAB,EQ,796.9,705.0,802.0,705.0,800.0,794.2,777.49,2232,173536550000.0,,1616.0,0.7240000000000001
2008-02-04,JYOTHYLAB,EQ,794.2,780.1,810.0,780.1,785.0,794.75,800.1,10825,866103135000.0,,8384.0,0.7745000000000001
2008-02-05,JYOTHYLAB,EQ,794.75,790.0,805.0,776.0,800.0,800.1,799.42,2714,216963179999.99997,,2166.0,0.7981
2008-02-06,JYOTHYLAB,EQ,800.1,760.0,805.9,760.0,800.0,800.05,799.94,78983,6318137280000.0,,78236.0,0.9905
2008-02-07,JYOTHYLAB,EQ,800.05,820.0,820.0,760.0,770.0,772.75,793.51,2412,191395700000.0,,2053.0,0.8512000000000001
2008-02-08,JYOTHYLAB,EQ,772.75,763.25,790.0,638.0,721.6,729.7,749.25,5120,383613630000.0,,4303.0,0.8404
2008-02-11,JYOTHYLAB,EQ,729.7,735.0,748.0,652.0,700.0,670.45,672.33,15030,1010513910000.0,,14354.0,0.9550000000000001
2008-02-12,JYOTHYLAB,EQ,670.45,685.0,715.0,670.0,713.5,701.7,694.62,3627,251938179999.99997,,2463.0,0.6790999999999999
2008-02-13,JYOTHYLAB,EQ,701.7,696.5,710.0,680.0,690.0,689.2,692.3,1696,117414830000.0,,1560.0,0.9198000000000001
2008-02-14,JYOTHYLAB,EQ,689.2,748.0,748.0,660.0,708.05,707.2,670.28,19114,1281174830000.0,,18721.0,0.9794
