Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-01-03,KABRAEXTRU,EQ,101.0,100.0,100.0,100.0,,100.0,100.0,100,1000000000.0,,,
1996-01-04,KABRAEXTRU,EQ,100.0,100.0,100.0,100.0,,100.0,100.0,100,1000000000.0,,,
1996-01-09,KABRAEXTRU,EQ,100.0,92.0,92.0,92.0,,92.0,92.0,200,1840000000.0,,,
1996-01-29,KABRAEXTRU,EQ,92.0,88.0,88.0,88.0,,88.0,88.0,100,880000000.0,,,
1996-01-30,KABRAEXTRU,EQ,88.0,86.0,87.0,86.0,,87.0,86.5,200,1730000000.0,,,
1996-02-26,KABRAEXTRU,EQ,87.0,110.25,110.25,110.25,,110.25,110.25,100,1102500000.0,,,
1996-02-27,KABRAEXTRU,EQ,110.25,110.0,110.0,104.0,,104.75,107.7,500,5385000000.0,,,
1996-03-07,KABRAEXTRU,EQ,104.75,104.75,105.0,105.0,,105.0,105.0,300,3150000000.0,,,
1996-03-08,KABRAEXTRU,EQ,105.0,105.0,103.0,100.0,,103.0,101.9,500,5095000000.0,,,
1996-03-12,KABRAEXTRU,EQ,103.0,103.0,103.0,100.0,,100.0,100.75,400,4030000000.0,,,
1996-03-13,KABRAEXTRU,EQ,100.0,100.0,100.0,100.0,,100.0,100.0,200,2000000000.0,,,
1996-03-14,KABRAEXTRU,EQ,100.0,100.0,100.0,100.0,,100.0,100.0,200,2000000000.0,,,
1996-03-15,KABRAEXTRU,EQ,100.0,99.0,99.0,99.0,,99.0,99.0,200,1980000000.0,,,
1996-03-18,KABRAEXTRU,EQ,99.0,95.0,99.0,95.0,,95.5,95.92,600,5755000000.0,,,
1996-03-21,KABRAEXTRU,EQ,95.5,92.0,92.0,92.0,,92.0,92.0,100,920000000.0,,,
1996-03-22,KABRAEXTRU,EQ,92.0,92.25,92.25,92.25,,92.25,92.25,200,1845000000.0,,,
1996-03-26,KABRAEXTRU,EQ,92.25,90.25,92.0,90.25,,92.0,91.42,300,2742500000.0,,,
1996-03-29,KABRAEXTRU,EQ,92.0,94.5,94.5,94.5,,94.5,94.5,100,945000000.0,,,
1996-04-01,KABRAEXTRU,EQ,94.5,96.0,96.0,96.0,,96.0,96.0,100,960000000.0,,,
1996-04-02,KABRAEXTRU,EQ,96.0,97.5,99.5,97.5,,99.5,98.5,200,1970000000.0,,,
1996-04-03,KABRAEXTRU,EQ,99.5,100.0,100.0,100.0,,100.0,100.0,400,4000000000.0,,,
1996-04-04,KABRAEXTRU,EQ,100.0,99.5,99.5,99.5,,99.5,99.5,100,995000000.0,,,
