Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-01-01,KANPRPLA,EQ,125.85,129.7,129.7,124.2,126.95,126.0,126.78,13544,171707180000.0,328,6750,0.49840000000000007
2021-01-04,KANPRPLA,EQ,126.0,128.95,139.9,126.1,133.15,133.85,133.37,41483,553272855000.0,661,27291,0.6579
2021-01-05,KANPRPLA,EQ,133.85,134.9,138.0,120.3,131.0,131.8,133.1,26456,352118110000.0,478,17228,0.6512000000000001
2021-01-06,KANPRPLA,EQ,131.8,133.95,133.95,128.0,128.5,129.95,130.5,13766,179641035000.0,487,8076,0.5867
2021-01-07,KANPRPLA,EQ,129.95,134.9,135.0,129.95,133.0,131.0,131.65,17308,227858095000.00003,368,8900,0.5142
2021-01-08,KANPRPLA,EQ,131.0,134.0,134.0,127.0,129.2,128.75,129.37,8949,115773450000.0,162,6199,0.6927
2021-01-11,KANPRPLA,EQ,128.75,130.3,133.55,125.95,126.3,126.85,128.92,8955,115444260000.00002,176,4905,0.5477000000000001
2021-01-12,KANPRPLA,EQ,126.85,128.0,129.0,124.0,125.0,124.8,125.59,9177,115249980000.0,157,7546,0.8223
2021-01-13,KANPRPLA,EQ,124.8,129.75,133.0,121.8,123.7,125.7,124.86,9756,121817189999.99998,218,4854,0.4975
2021-01-14,KANPRPLA,EQ,125.7,125.7,125.7,120.05,121.15,121.6,123.03,6536,80414360000.0,168,4223,0.6461
2021-01-15,KANPRPLA,EQ,121.6,121.55,124.95,121.25,121.25,121.7,122.44,3592,43980470000.0,85,2915,0.8115000000000001
2021-01-18,KANPRPLA,EQ,121.7,116.1,125.0,116.1,120.7,121.05,119.7,5031,60222494999.99999,258,3450,0.6857
2021-01-19,KANPRPLA,EQ,121.05,121.45,124.25,118.0,120.0,119.8,119.73,4779,57217235000.0,308,2625,0.5493
2021-01-20,KANPRPLA,EQ,119.8,115.25,125.9,96.35,119.7,119.1,117.07,8284,96982380000.0,394,3899,0.4707
2021-01-21,KANPRPLA,EQ,119.1,120.15,124.65,118.0,118.0,119.35,119.79,5881,70450910000.0,121,4048,0.6883
2021-01-22,KANPRPLA,EQ,119.35,121.15,121.2,116.6,119.8,119.05,117.66,8086,95136380000.0,284,4920,0.6085
2021-01-25,KANPRPLA,EQ,119.05,117.65,125.4,117.65,121.1,118.0,119.25,3965,47283650000.0,333,1406,0.3546
2021-01-27,KANPRPLA,EQ,118.0,120.9,124.9,117.1,118.55,119.7,120.74,6496,78431380000.0,154,5501,0.8468000000000001
2021-01-28,KANPRPLA,EQ,119.7,119.0,123.35,115.0,118.95,117.2,118.23,12878,152250630000.0,212,6093,0.4731
2021-01-29,KANPRPLA,EQ,117.2,119.0,120.2,116.7,120.0,119.35,118.92,2727,32429009999.999996,76,1947,0.7140000000000001
2021-02-01,KANPRPLA,EQ,119.35,116.6,119.85,116.3,117.05,117.1,117.61,3268,38434780000.0,108,2400,0.7343999999999999
2021-02-02,KANPRPLA,EQ,117.1,120.55,120.55,117.3,117.55,118.25,118.72,1277,15160465000.0,46,877,0.6868000000000001
2021-02-03,KANPRPLA,EQ,118.25,122.2,122.25,118.0,119.75,120.4,120.42,6039,72721180000.0,469,4116,0.6816
2021-02-04,KANPRPLA,EQ,120.4,120.15,125.0,119.65,125.0,122.55,121.49,6128,74450980000.0,194,4246,0.6929000000000001
2021-02-05,KANPRPLA,EQ,122.55,125.0,125.0,120.0,121.3,123.75,122.54,11249,137844810000.0,409,8951,0.7957
2021-02-08,KANPRPLA,EQ,123.75,127.9,127.9,100.2,121.0,121.05,119.58,20388,243802110000.0,554,13940,0.6837000000000001
2021-02-09,KANPRPLA,EQ,121.05,116.6,125.45,116.6,125.0,123.85,121.81,11653,141939825000.0,309,9044,0.7761
2021-02-10,KANPRPLA,EQ,123.85,123.85,135.0,119.0,129.25,127.6,128.57,44323,569880845000.0,1044,26465,0.5971000000000001
2021-02-11,KANPRPLA,EQ,127.6,128.8,144.9,125.5,142.4,142.1,137.97,224847,3102189875000.0,1981,122382,0.5443
2021-02-12,KANPRPLA,EQ,142.1,142.0,152.0,141.95,145.7,146.25,148.64,232062,3449418700000.0,4126,150577,0.6489
2021-02-15,KANPRPLA,EQ,146.25,148.95,149.0,142.2,143.0,143.75,145.64,62893,915944005000.0001,1376,39292,0.6247
2021-02-16,KANPRPLA,EQ,143.75,145.35,145.75,133.0,136.35,135.2,137.66,31940,439672990000.00006,938,23594,0.7387
2021-02-17,KANPRPLA,EQ,135.2,136.05,139.95,131.5,138.0,138.75,135.74,15311,207839015000.0,504,8912,0.5821000000000001
2021-02-18,KANPRPLA,EQ,138.75,141.0,142.95,135.1,136.15,136.85,136.81,11960,163629885000.0,226,9721,0.8128000000000001
2021-02-19,KANPRPLA,EQ,136.85,135.4,136.5,131.25,133.85,133.0,133.29,20356,271333050000.0,567,12458,0.612
2021-02-22,KANPRPLA,EQ,133.0,132.95,132.95,128.0,128.2,129.65,130.11,37668,490102540000.00006,477,33941,0.9011
2021-02-23,KANPRPLA,EQ,129.65,128.1,138.95,127.6,138.0,133.65,133.39,79134,1055556205000.0001,419,14286,0.18050000000000002
2021-02-24,KANPRPLA,EQ,133.65,137.8,138.0,130.75,133.1,133.3,134.35,7577,101794530000.0,201,5096,0.6726000000000001
2021-02-25,KANPRPLA,EQ,133.3,134.9,135.0,130.8,132.55,131.9,133.55,16180,216087929999.99997,544,7786,0.48119999999999996
2021-02-26,KANPRPLA,EQ,131.9,128.35,135.0,128.35,131.0,130.0,131.0,15140,198334290000.0,399,11363,0.7505
2021-03-01,KANPRPLA,EQ,130.0,132.3,134.6,128.45,131.3,132.2,131.43,14289,187804450000.0,420,8767,0.6135
2021-03-02,KANPRPLA,EQ,132.2,132.85,132.9,128.0,128.9,128.8,129.85,19827,257451670000.00003,534,14624,0.7376
2021-03-03,KANPRPLA,EQ,128.8,132.4,143.8,129.55,143.0,140.25,139.11,62591,870679169999.9999,808,37098,0.5927
2021-03-04,KANPRPLA,EQ,140.25,142.75,165.75,138.05,162.9,162.25,156.24,460346,7192577125000.0,5385,180307,0.39170000000000005
2021-03-05,KANPRPLA,EQ,162.25,163.5,180.7,155.55,170.9,172.85,170.87,839644,14346633340000.0,8054,234228,0.27899999999999997
2021-03-08,KANPRPLA,EQ,172.85,179.4,183.5,171.0,173.1,173.8,178.53,460440,8220250120000.0,7420,198985,0.4322
2021-03-09,KANPRPLA,EQ,173.8,174.8,176.5,161.0,163.75,162.5,166.75,88402,1474088520000.0,2495,50466,0.5709000000000001
2021-03-10,KANPRPLA,EQ,162.5,166.25,168.3,159.0,160.05,161.0,162.68,32740,532628770000.0,943,21583,0.6592
2021-03-12,KANPRPLA,EQ,161.0,161.0,164.95,159.45,159.8,160.05,161.97,21459,347580740000.0,738,12449,0.5801
2021-03-15,KANPRPLA,EQ,160.05,160.05,162.35,153.1,154.5,154.5,155.39,20424,317370110000.0,599,13734,0.6724
2021-03-16,KANPRPLA,EQ,154.5,157.9,157.9,147.05,148.0,148.75,152.0,18443,280334915000.0,596,12878,0.6983
2021-03-17,KANPRPLA,EQ,148.75,149.5,149.5,140.45,140.45,141.05,143.76,22360,321453410000.0,753,16137,0.7217
2021-03-18,KANPRPLA,EQ,141.05,141.0,146.9,138.1,139.1,139.25,141.61,25295,358193305000.0,557,16548,0.6542
2021-03-19,KANPRPLA,EQ,139.25,143.0,143.0,130.85,141.6,139.9,136.18,29392,400264535000.0,783,19006,0.6466
2021-03-22,KANPRPLA,EQ,139.9,142.95,149.0,141.0,149.0,146.2,144.46,10479,151379025000.0,488,7092,0.6768000000000001
2021-03-23,KANPRPLA,EQ,146.2,149.3,151.9,146.0,147.85,147.15,148.27,9258,137263964999.99998,265,6304,0.6809000000000001
2021-03-24,KANPRPLA,EQ,147.15,149.7,149.7,143.2,146.3,145.9,146.91,7182,105507695000.0,229,5074,0.7065
2021-03-25,KANPRPLA,EQ,145.9,145.0,145.0,138.9,140.05,143.55,141.38,14286,201981895000.0,431,8898,0.6228
2021-03-26,KANPRPLA,EQ,143.55,142.0,148.7,137.8,137.8,138.9,141.05,21730,306505715000.0,442,16761,0.7713
2021-03-30,KANPRPLA,EQ,138.9,144.7,147.9,142.0,146.0,146.45,144.78,26105,377950210000.0,1519,14246,0.5457
2021-03-31,KANPRPLA,EQ,146.45,146.05,150.0,142.0,144.95,144.25,146.57,19055,279286245000.0,1305,8520,0.4471
2021-04-01,KANPRPLA,EQ,144.25,144.25,147.45,143.95,144.25,144.45,145.34,15909,231219890000.0,600,9891,0.6217
2021-04-05,KANPRPLA,EQ,144.45,146.0,146.0,140.95,141.95,141.95,142.66,18273,260676685000.0,665,11625,0.6362
2021-04-06,KANPRPLA,EQ,141.95,141.75,143.7,141.0,142.9,142.45,141.99,5808,82467085000.0,263,2376,0.40909999999999996
2021-04-07,KANPRPLA,EQ,142.45,145.0,147.75,139.55,144.2,144.75,144.06,12754,183733910000.0,430,7138,0.5597
2021-04-08,KANPRPLA,EQ,144.75,144.8,150.7,143.05,145.75,145.45,146.9,18056,265239610000.0,460,11544,0.6393
2021-04-09,KANPRPLA,EQ,145.45,145.0,148.0,144.2,146.5,147.1,146.71,8360,122652475000.0,290,5396,0.6455
2021-04-12,KANPRPLA,EQ,147.1,147.5,147.5,135.25,138.7,138.35,139.09,26332,366240905000.0,822,16128,0.6125
2021-04-13,KANPRPLA,EQ,138.35,139.5,141.85,137.65,141.0,140.1,140.35,5918,83062065000.0,165,3274,0.5532
2021-04-15,KANPRPLA,EQ,140.1,141.0,143.05,136.55,138.05,138.35,138.87,7838,108849025000.0,332,4244,0.5415
2021-04-16,KANPRPLA,EQ,138.35,139.8,141.7,138.5,139.0,140.05,140.24,4792,67203619999.99999,205,3448,0.7195
2021-04-19,KANPRPLA,EQ,140.05,136.0,139.65,131.25,132.9,132.2,133.85,19837,265526915000.0,823,15175,0.765
2021-04-20,KANPRPLA,EQ,132.2,133.3,136.3,130.45,132.15,133.45,133.57,8633,115309175000.0,514,5919,0.6856
2021-04-22,KANPRPLA,EQ,133.45,134.5,136.0,132.35,134.0,133.2,133.84,18470,247211115000.0,871,9892,0.5356000000000001
2021-04-23,KANPRPLA,EQ,133.2,133.05,134.95,131.0,133.0,132.7,132.73,10276,136389439999.99998,496,6694,0.6514
2021-04-26,KANPRPLA,EQ,132.7,135.0,135.0,132.0,135.0,134.6,133.75,9859,131862155000.0,464,5823,0.5906
2021-04-27,KANPRPLA,EQ,134.6,134.0,138.9,134.0,138.0,137.9,137.6,13825,190225870000.0,574,6949,0.5025999999999999
2021-04-28,KANPRPLA,EQ,137.9,138.3,142.9,138.0,141.5,141.65,141.16,12676,178940300000.0,654,6678,0.5268
2021-04-29,KANPRPLA,EQ,141.65,144.0,145.0,141.6,144.0,143.5,142.73,37853,540286275000.0,465,21583,0.5702
2021-04-30,KANPRPLA,EQ,143.5,143.6,151.8,142.05,150.55,147.55,146.31,73192,1070865769999.9999,1253,39842,0.5443
2021-05-03,KANPRPLA,EQ,147.55,147.0,158.0,146.85,157.0,156.5,153.66,51169,786264685000.0,1342,27152,0.5306000000000001
2021-05-04,KANPRPLA,EQ,156.5,156.5,160.0,145.2,148.7,149.45,155.36,25169,391029115000.0,909,17539,0.6968000000000001
2021-05-05,KANPRPLA,EQ,149.45,150.05,160.0,149.45,160.0,157.45,154.4,26422,407955435000.0,914,14146,0.5354
2021-05-06,KANPRPLA,EQ,157.45,159.9,166.25,158.45,163.95,162.15,162.72,81743,1330141835000.0,1752,39654,0.4851
2021-05-07,KANPRPLA,EQ,162.15,162.15,166.3,154.7,155.0,156.05,160.26,20542,329204150000.0,763,14367,0.6994
2021-05-10,KANPRPLA,EQ,156.05,157.5,159.7,155.0,157.0,157.2,156.55,15955,249772370000.00003,712,11732,0.7353000000000001
2021-05-11,KANPRPLA,EQ,157.2,157.0,160.8,152.4,155.15,155.6,156.03,25136,392189455000.0,623,8722,0.34700000000000003
2021-05-12,KANPRPLA,EQ,155.6,157.45,157.45,155.15,155.15,155.2,155.55,9891,153851410000.0,407,6823,0.6898000000000001
2021-05-14,KANPRPLA,EQ,155.2,155.15,163.7,151.3,163.35,160.6,157.93,58304,920797815000.0,1384,31403,0.5386
2021-05-17,KANPRPLA,EQ,160.6,161.0,172.0,161.0,170.9,170.2,168.91,79285,1339222745000.0,1904,51286,0.6469
2021-05-18,KANPRPLA,EQ,170.2,171.8,196.9,169.15,184.65,184.2,189.29,731440,13845142844999.998,14138,250370,0.3423
2021-05-19,KANPRPLA,EQ,184.2,188.0,194.8,184.8,187.4,187.65,188.88,120001,2266599730000.0,3499,69019,0.5752
2021-05-20,KANPRPLA,EQ,187.65,189.9,194.0,185.85,190.15,191.7,190.41,96864,1844423364999.9998,2471,53514,0.5525
2021-05-21,KANPRPLA,EQ,191.7,194.0,196.6,187.85,195.8,195.85,193.58,139852,2707233665000.0,2663,99860,0.7140000000000001
2021-05-24,KANPRPLA,EQ,195.85,197.5,202.5,192.1,201.5,198.45,197.45,158009,3119893510000.0,3694,97560,0.6174000000000001
2021-05-25,KANPRPLA,EQ,198.45,205.2,217.6,201.75,211.9,213.25,209.82,466046,9778524425000.0,10686,219270,0.4705
2021-05-26,KANPRPLA,EQ,213.25,215.9,255.9,215.9,255.9,255.9,244.82,444714,10887391430000.0,7472,230834,0.5191
2021-05-27,KANPRPLA,EQ,255.9,265.0,275.5,237.15,239.75,239.4,261.12,528095,13789427585000.0,14002,211408,0.40030000000000004
2021-05-28,KANPRPLA,EQ,239.4,244.0,252.0,233.45,245.3,247.25,244.58,166945,4083146275000.0,4725,66115,0.396
2021-05-31,KANPRPLA,EQ,247.25,251.4,256.9,240.0,241.45,241.05,248.15,90700,2250726620000.0,2882,53642,0.5914
2021-06-01,KANPRPLA,EQ,241.05,243.5,247.0,235.25,235.8,236.2,238.84,31381,749491635000.0,1371,17850,0.5688000000000001
2021-06-02,KANPRPLA,EQ,236.2,238.55,244.75,236.25,241.55,240.8,240.66,32383,779321500000.0,1199,16935,0.523
2021-06-03,KANPRPLA,EQ,240.8,245.0,245.0,236.0,237.8,237.25,239.68,75952,1820447360000.0002,2441,33334,0.4389
2021-06-04,KANPRPLA,EQ,237.25,244.05,244.05,225.65,227.0,226.75,230.3,97665,2249259165000.0,2939,65218,0.6678000000000001
2021-06-07,KANPRPLA,EQ,226.75,232.8,233.0,222.05,226.85,225.9,226.2,69340,1568441230000.0,1919,43897,0.6331
2021-06-08,KANPRPLA,EQ,225.9,231.75,237.05,228.0,229.5,229.05,231.83,66014,1530385525000.0,1678,31484,0.4769
2021-06-09,KANPRPLA,EQ,229.05,231.8,231.8,225.55,230.0,227.8,229.44,30439,698403795000.0,974,15299,0.5025999999999999
2021-06-10,KANPRPLA,EQ,227.8,231.0,231.0,228.0,228.5,228.5,228.81,28475,651523640000.0,838,18900,0.6637000000000001
2021-06-11,KANPRPLA,EQ,228.5,235.1,238.0,224.1,225.05,226.1,228.8,52795,1207933145000.0,1337,26868,0.5089
2021-06-14,KANPRPLA,EQ,226.1,227.8,227.8,218.8,223.5,223.6,223.06,29774,664130575000.0,959,15501,0.5206000000000001
2021-06-15,KANPRPLA,EQ,223.6,221.5,228.0,221.5,225.2,225.6,226.16,29545,668201890000.0,891,17291,0.5852
2021-06-16,KANPRPLA,EQ,225.6,228.9,228.9,221.05,223.0,222.8,224.74,23308,523825455000.0,658,12209,0.5238
2021-06-17,KANPRPLA,EQ,222.8,227.0,227.0,220.0,221.0,221.45,222.5,21653,481773430000.0,709,11863,0.5479
2021-06-18,KANPRPLA,EQ,221.45,220.05,223.65,212.4,214.0,216.65,217.37,28454,618493875000.0,1174,12117,0.4258
2021-06-21,KANPRPLA,EQ,216.65,214.0,219.55,211.05,218.0,218.2,215.88,17543,378718930000.0,648,8229,0.46909999999999996
2021-06-22,KANPRPLA,EQ,218.2,220.0,227.9,216.05,224.0,223.7,222.96,37046,825960520000.0,1314,19222,0.5189
2021-06-23,KANPRPLA,EQ,223.7,225.0,227.95,218.55,220.1,220.55,222.71,22545,502105745000.0,710,10303,0.457
2021-06-24,KANPRPLA,EQ,220.55,223.85,223.85,218.05,218.7,218.65,219.98,9836,216368615000.0,618,5274,0.5362
2021-06-25,KANPRPLA,EQ,218.65,222.0,240.5,215.0,235.7,236.6,235.53,192053,4523487660000.0,4012,94257,0.4908
2021-06-28,KANPRPLA,EQ,236.6,239.0,239.0,228.0,231.3,231.15,232.46,82068,1907784564999.9998,1661,42132,0.5134000000000001
2021-06-29,KANPRPLA,EQ,231.15,237.0,237.5,222.0,225.1,226.1,229.87,47819,1099201930000.0001,1179,24331,0.5088
2021-06-30,KANPRPLA,EQ,226.1,227.0,244.9,227.0,238.0,236.6,235.7,94558,2228752850000.0,2718,47081,0.4979
2021-07-01,KANPRPLA,EQ,236.6,241.0,242.0,234.45,237.0,239.25,238.53,42639,1017072450000.0,1159,26385,0.6188
