Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-05-27,KAPSTON,EQ,91.0,95.0,99.0,95.0,97.0,97.25,97.98,2463,24132775000.0,25,2357,0.9570000000000001
2020-05-28,KAPSTON,EQ,97.25,99.95,100.0,95.05,99.45,95.35,98.35,308,3029140000.0,12,231,0.75
2020-05-29,KAPSTON,EQ,95.35,81.05,98.8,81.05,98.8,96.7,95.94,2276,21836330000.0,51,940,0.413
2020-06-01,KAPSTON,EQ,96.7,96.7,98.9,88.45,98.0,96.2,91.89,3839,35275090000.0,45,3167,0.8250000000000001
2020-06-02,KAPSTON,EQ,96.2,112.9,113.2,81.2,96.95,93.6,91.42,6344,57995530000.00001,179,3815,0.6014
2020-06-03,KAPSTON,EQ,93.6,93.6,96.95,90.5,96.35,96.1,95.04,895,8505955000.0,37,748,0.8358
2020-06-04,KAPSTON,EQ,96.1,96.1,96.1,90.0,93.9,93.55,90.29,2326,21000320000.0,18,2307,0.9918000000000001
2020-06-05,KAPSTON,EQ,93.55,90.5,94.65,90.5,94.4,93.85,92.2,611,5633515000.0,19,584,0.9558
2020-06-08,KAPSTON,EQ,93.85,90.7,93.8,90.55,92.7,90.8,90.92,538,4891270000.0,21,513,0.9535
2020-06-09,KAPSTON,EQ,90.8,92.95,92.95,90.55,92.9,92.9,90.66,167,1513940000.0,12,167,1.0
2020-06-10,KAPSTON,EQ,92.9,90.1,92.9,88.3,91.0,91.0,90.09,525,4729860000.0,14,424,0.8076000000000001
2020-06-11,KAPSTON,EQ,91.0,86.45,92.0,86.45,89.9,89.9,87.29,296,2583675000.0,18,232,0.7837999999999999
2020-06-12,KAPSTON,EQ,89.9,85.45,91.5,85.45,91.5,91.5,89.11,342,3047460000.0,21,308,0.9006000000000001
2020-06-15,KAPSTON,EQ,91.5,87.05,91.45,87.05,91.45,91.45,90.77,130,1179975000.0,6,110,0.8462000000000001
2020-06-16,KAPSTON,EQ,91.45,95.0,95.0,87.7,90.95,90.95,90.19,111,1001145000.0000001,7,111,1.0
2020-06-17,KAPSTON,EQ,90.95,86.55,90.0,86.45,89.45,86.45,86.87,1773,15402565000.0,15,1059,0.5972999999999999
2020-06-18,KAPSTON,EQ,86.45,89.6,89.6,89.55,89.6,89.6,89.59,40,358360000.0,4,40,1.0
2020-06-19,KAPSTON,EQ,89.6,89.6,94.0,85.35,89.15,89.15,92.04,835,7685239999.999999,29,769,0.9209999999999999
2020-06-22,KAPSTON,EQ,89.15,93.6,93.6,89.15,89.5,93.45,93.53,1517,14187890000.0,23,867,0.5715
2020-06-23,KAPSTON,EQ,93.45,97.95,97.95,93.45,96.0,96.0,95.83,136,1303245000.0,4,111,1.0
2020-06-24,KAPSTON,EQ,96.0,92.15,95.9,91.2,91.2,94.95,92.27,39,359840000.0,6,33,0.8462000000000001
2020-06-25,KAPSTON,EQ,94.95,97.0,97.0,90.3,96.0,96.0,91.18,127,1157970000.0,7,113,0.8898
2020-06-26,KAPSTON,EQ,96.0,95.9,95.9,95.9,95.9,95.9,95.9,30,287700000.0,4,30,1.0
2020-06-29,KAPSTON,EQ,95.9,100.0,100.0,91.25,97.5,92.5,93.23,669,6236870000.0,18,636,0.9507
2020-06-30,KAPSTON,EQ,92.5,95.9,95.9,87.9,88.1,88.1,89.35,1553,13875570000.000002,28,673,0.43340000000000006
2020-07-01,KAPSTON,EQ,88.1,88.1,91.0,85.5,85.85,85.85,88.94,751,6679585000.000001,5,251,0.3342
2020-07-02,KAPSTON,EQ,85.85,89.75,90.1,89.7,90.1,90.1,89.88,352,3163645000.0,14,352,1.0
2020-07-03,KAPSTON,EQ,90.1,94.6,94.6,85.7,85.7,89.45,93.27,353,3292460000.0,14,341,0.966
2020-07-06,KAPSTON,EQ,89.45,93.9,93.9,91.0,91.5,91.45,91.4,382,3491519999.9999995,8,382,1.0
2020-07-07,KAPSTON,EQ,91.45,91.4,91.4,86.95,91.35,91.35,89.06,2286,20358740000.0,17,2285,0.9995999999999999
2020-07-08,KAPSTON,EQ,91.35,93.9,93.9,86.85,89.0,89.0,89.02,878,7815860000.000001,11,873,0.9943000000000001
2020-07-09,KAPSTON,EQ,89.0,93.4,93.4,84.85,91.7,91.7,88.22,355,3131870000.0,16,268,0.7549
2020-07-10,KAPSTON,EQ,91.7,92.95,92.95,88.0,92.45,88.65,88.94,434,3860094999.9999995,13,390,0.8986000000000001
2020-07-13,KAPSTON,EQ,88.65,91.75,91.75,89.0,89.0,89.0,89.07,411,3660650000.0,6,411,1.0
2020-07-14,KAPSTON,EQ,89.0,89.0,91.5,89.0,90.0,90.0,89.08,201,1790530000.0,9,199,0.99
2020-07-15,KAPSTON,EQ,90.0,89.0,90.0,87.5,88.5,88.5,87.57,10475,91727830000.0,13,10464,0.9989
2020-07-16,KAPSTON,EQ,88.5,91.4,91.4,85.15,89.95,89.95,88.55,48,425025000.0,8,7,0.1458
2020-07-17,KAPSTON,EQ,89.95,85.7,89.85,85.7,89.85,89.85,85.89,212,1820955000.0,12,210,0.9906
2020-07-20,KAPSTON,EQ,89.85,89.85,90.0,89.85,90.0,90.0,90.0,7411,66698335000.0,5,7411,1.0
2020-07-21,KAPSTON,EQ,90.0,86.1,90.0,86.1,90.0,90.0,89.36,12,107230000.0,3,11,0.9167000000000001
2020-07-22,KAPSTON,EQ,90.0,88.95,89.0,85.5,89.0,89.0,88.69,89,789380000.0,6,84,0.9438
2020-07-23,KAPSTON,EQ,89.0,85.55,89.95,85.55,89.0,89.0,89.02,621,5528170000.0,11,620,0.9984000000000001
2020-07-24,KAPSTON,EQ,89.0,84.9,88.9,84.9,88.75,88.7,88.6,280,2480930000.0,21,126,0.45
2020-07-27,KAPSTON,EQ,88.7,88.7,88.7,84.8,84.8,84.85,84.85,938,7959295000.0,15,908,0.968
2020-07-28,KAPSTON,EQ,84.85,84.75,88.6,84.75,88.55,88.55,86.79,97,841840000.0,4,96,0.9897
2020-07-29,KAPSTON,EQ,88.55,87.0,89.35,87.0,89.3,89.3,87.13,36,313665000.0,4,35,0.9722000000000001
2020-07-30,KAPSTON,EQ,89.3,88.95,89.3,85.0,85.0,89.15,88.97,597,5311560000.0,8,567,0.9497
2020-07-31,KAPSTON,EQ,89.15,87.0,93.5,87.0,89.0,89.0,87.23,109,950804999.9999999,6,108,0.9908
