Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2018-04-16,KARDA,EQ,182.8,183.9,189.8,176.0,185.25,185.4,185.32,1231134,22815286970000.0,6490,280733,0.228
2018-04-17,KARDA,EQ,185.4,186.3,189.4,184.25,185.2,185.65,186.18,668821,12452221035000.0,4487,178938,0.2675
2018-04-18,KARDA,EQ,185.65,188.5,188.5,186.0,186.5,186.95,186.45,360061,6713485715000.001,2684,205905,0.5719
2018-04-19,KARDA,EQ,186.95,186.7,187.6,185.05,185.75,185.8,186.09,153732,2860745015000.0,1278,94500,0.6147
2018-04-20,KARDA,EQ,185.8,185.0,193.4,180.1,187.35,187.4,187.36,1053425,19736516195000.0,6057,307998,0.2924
2018-04-23,KARDA,EQ,187.4,187.55,189.95,187.5,187.65,187.9,187.97,201799,3793209245000.0005,1742,98666,0.4889
2018-04-24,KARDA,EQ,187.9,185.25,191.9,185.25,191.1,190.75,188.92,180153,3403447625000.0,2174,97380,0.5405
2018-04-25,KARDA,EQ,190.75,190.85,191.2,184.25,190.0,190.15,188.9,167415,3162547630000.0,1379,66166,0.39520000000000005
2018-04-26,KARDA,EQ,190.15,187.3,192.8,186.3,189.0,189.9,189.94,135246,2568917505000.0,1089,57518,0.4253
2018-04-27,KARDA,EQ,189.9,187.5,188.65,186.0,186.0,187.75,187.88,47320,889066775000.0,534,36916,0.7801
2018-04-30,KARDA,EQ,187.75,187.1,191.0,183.65,186.5,187.1,187.99,218754,4112403025000.0,1078,107728,0.4925
2018-05-02,KARDA,EQ,187.1,185.0,188.75,185.0,186.65,187.15,186.92,61895,1156914425000.0,682,35468,0.573
2018-05-03,KARDA,EQ,187.15,185.5,186.0,176.4,180.0,180.0,181.32,81346,1474964615000.0,969,43728,0.5376
2018-05-04,KARDA,EQ,180.0,177.65,182.25,177.65,180.05,179.95,180.19,43503,783875395000.0,496,22206,0.5104
2018-05-07,KARDA,EQ,179.95,180.0,210.0,180.0,189.2,189.25,192.97,380451,7341648625000.0,3543,120928,0.3179
2018-05-08,KARDA,EQ,189.25,190.0,206.0,188.1,194.0,194.75,198.87,609709,12125150695000.0,4168,129512,0.21239999999999998
2018-05-09,KARDA,EQ,194.75,196.6,200.0,186.1,187.4,188.55,190.92,99418,1898073460000.0002,1109,37720,0.37939999999999996
2018-05-10,KARDA,EQ,188.55,188.0,191.95,182.65,184.2,184.0,188.31,83442,1571337225000.0,680,68864,0.8253
2018-05-11,KARDA,EQ,184.0,185.9,187.7,180.25,185.0,185.45,184.2,181708,3347063020000.0,636,149021,0.8201
2018-05-14,KARDA,EQ,185.45,185.0,189.0,181.2,182.7,182.0,186.13,136062,2532482440000.0,1193,115396,0.8481000000000001
2018-05-15,KARDA,EQ,182.0,180.0,186.0,178.05,180.95,180.7,182.81,27887,509790905000.0,342,22559,0.8089000000000001
2018-05-16,KARDA,EQ,180.7,181.0,184.95,177.1,182.2,182.3,182.07,363306,6614630700000.0,540,353002,0.9716
2018-05-17,KARDA,EQ,182.3,181.15,182.7,178.45,180.0,180.2,180.85,26506,479348330000.0,235,22265,0.84
2018-05-18,KARDA,EQ,180.2,180.0,181.0,172.65,177.0,178.0,177.4,54038,958658510000.0,444,41512,0.7682
2018-05-21,KARDA,EQ,178.0,178.0,180.55,175.1,175.1,176.6,178.59,24194,432076359999.99994,194,21823,0.902
2018-05-22,KARDA,EQ,176.6,173.25,180.0,173.25,179.9,179.35,178.22,14385,256374735000.0,289,10812,0.7515999999999999
2018-05-23,KARDA,EQ,179.35,180.05,182.0,176.1,177.9,178.2,179.91,34543,621456865000.0,331,24947,0.7222
2018-05-24,KARDA,EQ,178.2,176.0,181.5,174.25,174.25,175.65,176.97,5381,95225885000.0,161,3051,0.5670000000000001
2018-05-25,KARDA,EQ,175.65,177.5,181.6,176.3,177.9,178.15,177.85,37610,668906450000.0,262,23682,0.6297
2018-05-28,KARDA,EQ,178.15,176.55,183.0,176.55,181.15,181.5,179.94,63473,1142103175000.0,524,55895,0.8806
2018-05-29,KARDA,EQ,181.5,184.0,186.95,180.0,185.5,185.15,183.7,119122,2188229450000.0,989,43442,0.36469999999999997
2018-05-30,KARDA,EQ,185.15,184.8,189.8,181.5,181.95,182.35,186.85,101607,1898517010000.0002,454,90576,0.8914
2018-05-31,KARDA,EQ,182.35,181.3,182.0,176.45,177.0,177.8,179.42,6063,108781910000.00002,162,4477,0.7384000000000001
2018-06-01,KARDA,EQ,177.8,181.0,181.0,174.5,174.5,177.3,177.25,33109,586842740000.0,337,18096,0.5466
2018-06-04,KARDA,EQ,177.3,179.85,181.9,163.1,165.0,167.65,174.59,36784,642202460000.0,596,18803,0.5112
2018-06-05,KARDA,EQ,167.65,166.0,174.0,166.0,173.95,172.2,170.61,96584,1647854195000.0,456,28397,0.294
2018-06-06,KARDA,EQ,172.2,168.5,174.9,168.3,168.3,169.75,171.03,31601,540469665000.00006,216,28228,0.8933
2018-06-07,KARDA,EQ,169.75,173.75,177.0,172.0,175.8,175.8,175.39,92841,1628307200000.0,485,64918,0.6992
2018-06-08,KARDA,EQ,175.8,176.0,177.9,171.0,175.0,176.85,174.41,47649,831032315000.0,416,23445,0.49200000000000005
2018-06-11,KARDA,EQ,176.85,176.8,185.0,176.8,177.9,177.4,178.39,17719,316085510000.0,183,14258,0.8047
2018-06-12,KARDA,EQ,177.4,180.0,180.0,174.7,177.0,177.1,177.75,62022,1102458175000.0,200,58180,0.9381
2018-06-13,KARDA,EQ,177.1,179.0,179.9,176.55,179.9,179.25,178.75,48504,866986700000.0,272,38716,0.7981999999999999
2018-06-14,KARDA,EQ,179.25,179.0,179.0,175.55,177.55,177.25,176.95,8432,149205355000.0,111,6728,0.7979
2018-06-15,KARDA,EQ,177.25,175.6,177.75,175.6,175.65,176.15,176.74,9622,170061085000.0,92,9231,0.9594
2018-06-18,KARDA,EQ,176.15,173.9,176.3,169.05,172.35,171.15,173.97,16249,282677050000.0,197,13554,0.8341
2018-06-19,KARDA,EQ,171.15,170.8,176.9,170.8,176.7,174.35,174.26,65758,1145910105000.0,279,55678,0.8467
2018-06-20,KARDA,EQ,174.35,171.15,182.5,171.15,177.0,177.05,176.09,410609,7230265215000.001,1274,64036,0.156
2018-06-21,KARDA,EQ,177.05,177.0,179.0,172.1,172.5,172.45,173.71,27266,473644175000.0,232,24364,0.8936000000000001
2018-06-22,KARDA,EQ,172.45,171.0,175.8,170.55,174.55,175.35,174.5,17722,309248370000.0,138,4071,0.2297
2018-06-25,KARDA,EQ,175.35,171.5,175.95,170.35,175.55,175.2,173.99,64852,1128359370000.0,331,19482,0.3004
2018-06-26,KARDA,EQ,175.2,175.95,175.95,169.05,169.1,170.25,171.81,4608,79169760000.0,138,3426,0.7434999999999999
2018-06-27,KARDA,EQ,170.25,168.75,172.35,160.0,166.4,167.5,167.53,18248,305706625000.0,357,12187,0.6679
2018-06-28,KARDA,EQ,167.5,165.0,166.95,161.0,165.5,165.85,166.1,116016,1927042170000.0,216,80081,0.6903
2018-06-29,KARDA,EQ,165.85,167.0,177.35,165.0,177.0,174.1,172.82,58702,1014473660000.0,528,11781,0.20070000000000002
2018-07-02,KARDA,EQ,174.1,174.4,175.95,166.1,169.0,167.95,169.13,5291,89484215000.0,193,3155,0.5963
2018-07-03,KARDA,EQ,167.95,168.95,178.7,165.05,170.0,170.4,171.82,43665,750268480000.0,305,37622,0.8616
2018-07-04,KARDA,EQ,170.4,170.0,174.75,168.0,171.65,171.65,172.77,36531,631143150000.0,461,31725,0.8684000000000001
2018-07-05,KARDA,EQ,171.65,170.15,170.2,167.0,167.05,168.9,169.18,13371,226210054999.99997,122,6998,0.5234000000000001
2018-07-06,KARDA,EQ,168.9,166.3,172.0,166.3,167.0,168.2,169.87,26407,448569505000.0,188,25019,0.9474
2018-07-09,KARDA,EQ,168.2,168.65,170.55,166.45,169.5,169.7,169.32,14338,242765190000.0,159,3408,0.2377
2018-07-10,KARDA,EQ,169.7,169.5,172.8,167.0,172.5,171.85,171.45,22466,385173225000.0,157,5371,0.2391
2018-07-11,KARDA,EQ,171.85,169.1,169.95,165.6,168.5,167.6,168.61,34573,582931920000.0,165,33079,0.9568000000000001
2018-07-12,KARDA,EQ,167.6,166.2,175.0,165.1,167.0,166.3,168.45,33636,566600840000.0,255,31495,0.9363
2018-07-13,KARDA,EQ,166.3,169.5,171.0,162.5,164.0,163.75,168.49,18254,307570410000.0,275,15478,0.8479000000000001
2018-07-16,KARDA,EQ,163.75,167.5,167.5,154.4,165.0,164.45,162.84,56796,924865980000.0001,499,46955,0.8267
2018-07-17,KARDA,EQ,164.45,161.2,166.15,156.6,164.95,162.65,164.25,39547,649570570000.0,602,34900,0.8825000000000001
2018-07-18,KARDA,EQ,162.65,162.7,165.0,158.0,164.7,161.1,161.28,67428,1087475880000.0001,502,31532,0.4676
2018-07-19,KARDA,EQ,161.1,162.75,162.75,154.05,158.6,157.95,158.7,31909,506403865000.00006,287,28988,0.9085
2018-07-20,KARDA,EQ,157.95,155.0,160.75,151.7,151.7,152.95,158.57,21063,333987520000.0,277,18515,0.8790000000000001
2018-07-23,KARDA,EQ,152.95,152.05,160.6,152.05,160.6,160.0,158.77,27374,434615759999.99994,244,22860,0.8351000000000001
2018-07-24,KARDA,EQ,160.0,160.0,165.0,159.5,162.0,161.9,160.72,32927,529203115000.00006,338,22596,0.6862
2018-07-25,KARDA,EQ,161.9,164.95,172.0,161.75,171.5,170.45,168.51,73332,1235704310000.0,713,52442,0.7151000000000001
2018-07-26,KARDA,EQ,170.45,169.95,174.95,169.95,173.0,172.65,171.56,94634,1623561870000.0,559,58431,0.6174000000000001
2018-07-27,KARDA,EQ,172.65,175.0,178.4,172.0,176.65,175.6,175.61,74607,1310177940000.0,891,33436,0.4482
2018-07-30,KARDA,EQ,175.6,177.05,181.05,175.55,180.0,180.1,178.74,66478,1188250200000.0,633,39846,0.5994
2018-07-31,KARDA,EQ,180.1,181.0,182.0,179.0,180.45,180.6,180.23,71775,1293565935000.0,436,54931,0.7653
2018-08-01,KARDA,EQ,180.6,178.0,182.95,178.0,182.0,182.2,181.64,76807,1395155735000.0,501,44917,0.5848
2018-08-02,KARDA,EQ,182.2,181.8,183.0,177.1,181.6,181.8,181.7,69889,1269869480000.0,496,57031,0.816
2018-08-03,KARDA,EQ,181.8,181.8,182.55,178.1,178.3,178.65,180.68,65336,1180497960000.0,499,45220,0.6920999999999999
2018-08-06,KARDA,EQ,178.65,172.0,185.0,172.0,184.0,184.15,182.91,96579,1766551630000.0,998,55137,0.5709000000000001
2018-08-07,KARDA,EQ,184.15,184.0,186.0,173.9,184.45,184.7,182.99,130782,2393204585000.0,1065,70936,0.5424
2018-08-08,KARDA,EQ,184.7,185.0,186.0,181.8,184.0,184.6,184.6,59566,1099565445000.0,463,50373,0.8456999999999999
2018-08-09,KARDA,EQ,184.6,186.0,189.9,184.5,188.5,188.25,187.04,198366,3710143535000.0,1390,91593,0.4617
2018-08-10,KARDA,EQ,188.25,188.65,195.0,187.0,191.2,191.85,190.43,417248,7945526220000.0,2144,120886,0.2897
2018-08-13,KARDA,EQ,191.85,190.25,193.5,188.8,191.8,192.1,190.74,169880,3240359220000.0,1254,44144,0.25989999999999996
2018-08-14,KARDA,EQ,192.1,191.8,195.7,191.35,192.15,192.4,192.67,204156,3933451129999.9995,657,110905,0.5432
2018-08-16,KARDA,EQ,192.4,190.3,193.5,184.2,191.2,191.2,188.4,176103,3317713910000.0,922,103980,0.5904
2018-08-17,KARDA,EQ,191.2,196.0,196.0,188.0,191.1,191.35,190.47,94165,1793523595000.0,875,43456,0.4615
2018-08-20,KARDA,EQ,191.35,191.0,194.85,185.8,187.9,187.4,189.41,29732,563143760000.0,884,15420,0.5186
2018-08-21,KARDA,EQ,187.4,187.0,190.0,176.75,181.55,181.0,182.83,16479,301285275000.0,632,8390,0.5091
2018-08-23,KARDA,EQ,181.0,184.0,184.0,175.55,175.6,178.75,178.93,35511,635414085000.0,414,25536,0.7191
2018-08-24,KARDA,EQ,178.75,178.0,188.0,178.0,180.0,180.35,181.27,157616,2857062570000.0,1043,46178,0.29300000000000004
2018-08-27,KARDA,EQ,180.35,183.95,183.95,180.0,180.0,180.05,180.33,23715,427646630000.0,144,19799,0.8349
