Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-01-01,KCP,EQ,60.25,58.0,61.0,58.0,,61.0,60.0,400,2400000000.0,,,
1996-01-02,KCP,EQ,61.0,60.4,61.0,60.4,,60.5,60.88,1400,8523000000.0,,,
1996-01-03,KCP,EQ,60.5,60.5,60.0,59.5,,59.5,59.75,300,1792500000.0,,,
1996-01-04,KCP,EQ,59.5,59.5,59.5,59.5,,59.5,59.5,100,595000000.0,,,
1996-01-05,KCP,EQ,59.5,59.5,60.0,59.25,,59.5,59.57,500,2978500000.0,,,
1996-01-08,KCP,EQ,59.5,59.5,59.0,58.25,,58.25,58.81,400,2352500000.0,,,
1996-01-09,KCP,EQ,58.25,57.5,57.75,57.5,,57.5,57.55,500,2877500000.0,,,
1996-01-10,KCP,EQ,57.5,58.0,58.5,57.5,,57.5,57.92,600,3475000000.0,,,
1996-01-11,KCP,EQ,57.5,57.5,58.0,57.5,,58.0,57.67,300,1730000000.0,,,
1996-01-12,KCP,EQ,58.0,58.25,58.25,58.1,,58.1,58.18,200,1163500000.0,,,
1996-01-15,KCP,EQ,58.1,58.1,57.0,56.0,,56.0,56.33,300,1690000000.0,,,
1996-01-16,KCP,EQ,56.0,56.0,59.0,58.0,,59.0,58.67,300,1760000000.0,,,
1996-01-17,KCP,EQ,59.0,59.0,59.0,59.0,,59.0,59.0,100,590000000.0,,,
1996-01-18,KCP,EQ,59.0,59.0,58.5,58.5,,58.5,58.5,100,585000000.0,,,
1996-01-19,KCP,EQ,58.5,58.5,58.0,58.0,,58.0,58.0,100,580000000.0,,,
1996-01-22,KCP,EQ,58.0,58.0,60.0,58.5,,60.0,58.8,500,2940000000.0,,,
1996-01-23,KCP,EQ,60.0,60.0,58.75,58.5,,58.75,58.58,600,3515000000.0,,,
1996-01-24,KCP,EQ,58.75,58.75,58.5,58.0,,58.2,58.08,600,3485000000.0,,,
1996-01-25,KCP,EQ,58.2,57.75,57.75,57.5,,57.5,57.58,300,1727500000.0,,,
1996-01-29,KCP,EQ,57.5,57.5,58.6,58.5,,58.5,58.51,800,4681000000.0,,,
1996-01-30,KCP,EQ,58.5,58.5,59.0,58.05,,59.0,58.38,1700,9925000000.0,,,
1996-01-31,KCP,EQ,59.0,58.5,58.5,55.0,,55.25,56.37,2600,14656000000.0,,,
1996-02-01,KCP,EQ,55.25,56.0,57.5,56.0,,57.5,56.74,800,4539000000.0,,,
1996-02-02,KCP,EQ,57.5,58.0,58.0,58.0,,58.0,58.0,100,580000000.0,,,
1996-02-05,KCP,EQ,58.0,58.0,58.5,57.5,,58.0,57.98,2100,12175000000.0,,,
1996-02-06,KCP,EQ,58.0,58.0,59.0,57.0,,58.0,57.99,500,2899500000.0,,,
1996-02-07,KCP,EQ,58.0,56.0,58.0,56.0,,58.0,56.89,700,3982500000.0,,,
1996-02-08,KCP,EQ,58.0,58.0,58.0,57.0,,57.5,57.7,700,4039000000.0,,,
1996-02-09,KCP,EQ,57.5,58.0,59.5,58.0,,59.5,58.25,1200,6990000000.0,,,
1996-02-12,KCP,EQ,59.5,59.0,65.0,58.5,,60.0,61.5,5500,33826500000.0,,,
1996-02-13,KCP,EQ,60.0,59.0,62.0,59.0,,61.8,60.52,1600,9683500000.0,,,
1996-02-14,KCP,EQ,61.8,62.0,67.0,62.0,,67.0,65.84,1300,8559500000.0,,,
1996-02-15,KCP,EQ,67.0,68.5,68.75,64.5,,67.75,66.55,2100,13976500000.0,,,
1996-02-16,KCP,EQ,67.75,67.75,61.15,60.75,,60.75,60.85,1600,9736000000.0,,,
1996-02-19,KCP,EQ,60.75,60.5,65.0,60.5,,61.55,62.34,3800,23690500000.0,,,
1996-02-20,KCP,EQ,61.55,61.55,65.95,62.1,,64.5,64.29,3400,21858500000.0,,,
1996-02-22,KCP,EQ,64.5,65.0,67.75,65.0,,67.15,66.61,2900,19316000000.0,,,
1996-02-23,KCP,EQ,67.15,67.15,67.05,65.0,,66.35,66.52,1200,7982500000.0,,,
1996-02-26,KCP,EQ,66.35,66.35,65.0,65.0,,65.0,65.0,800,5200000000.0,,,
1996-02-27,KCP,EQ,65.0,58.5,65.4,58.5,,64.75,64.41,4400,28340500000.0,,,
1996-02-28,KCP,EQ,64.75,63.0,64.75,63.0,,64.5,63.95,1000,6395000000.0,,,
1996-02-29,KCP,EQ,64.5,62.5,63.0,62.5,,63.0,62.69,800,5015000000.0,,,
