Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-03-23,KDDL,EQ,199.1,204.0,204.0,200.0,200.0,200.0,203.64,550,11200000000.0,3,550,1.0
2016-03-28,KDDL,EQ,200.0,201.0,201.0,190.15,200.0,197.6,197.12,2501,49299300000.0,23,1029,0.4114
2016-03-29,KDDL,EQ,197.6,198.4,200.0,190.0,196.55,199.3,192.91,4886,94257830000.0,32,3623,0.7415
2016-03-31,KDDL,EQ,199.3,196.55,201.8,196.55,197.1,197.1,196.78,80,1574240000.0,5,80,1.0
2016-04-01,KDDL,EQ,197.1,200.0,209.9,190.5,200.1,200.1,204.04,819,16711150000.0,20,625,0.7631
2016-04-04,KDDL,EQ,200.1,200.7,200.7,193.1,195.1,195.1,194.23,98,1903500000.0,3,50,0.5102
2016-04-05,KDDL,EQ,195.1,204.0,224.4,186.05,190.0,189.15,192.69,4291,82683870000.0,65,2844,0.6628000000000001
2016-04-06,KDDL,EQ,189.15,194.95,199.4,189.5,189.5,189.95,193.22,4321,83489515000.0,70,2935,0.6792
2016-04-07,KDDL,EQ,189.95,194.95,196.9,185.4,190.0,189.1,189.97,9416,178875505000.0,106,9069,0.9631000000000001
2016-04-08,KDDL,EQ,189.1,192.95,196.0,186.55,189.95,189.8,191.83,4346,83371380000.0,75,3819,0.8787
2016-04-11,KDDL,EQ,189.8,196.0,199.0,189.1,190.0,190.05,193.25,24568,474766575000.0,155,10105,0.41130000000000005
2016-04-12,KDDL,EQ,190.05,195.7,195.7,190.0,190.0,190.05,192.83,884,17046404999.999998,32,608,0.6878000000000001
2016-04-13,KDDL,EQ,190.05,191.0,194.0,187.0,188.2,189.65,192.01,2152,41321520000.0,39,1940,0.9015000000000001
2016-04-18,KDDL,EQ,189.65,194.7,194.7,186.0,189.0,189.0,189.64,957,18149010000.0,18,827,0.8642000000000001
2016-04-20,KDDL,EQ,189.0,189.0,189.0,184.2,188.95,188.95,187.08,2586,48378445000.0,38,2411,0.9323
2016-04-21,KDDL,EQ,188.95,185.0,189.95,184.0,185.5,185.9,185.45,1481,27464484999.999996,31,996,0.6725
2016-04-22,KDDL,EQ,185.9,185.9,188.0,184.0,186.5,186.55,186.2,461,8583975000.0,15,435,0.9436
2016-04-25,KDDL,EQ,186.55,185.0,199.8,185.0,189.95,189.05,193.26,17159,331616885000.0,166,10688,0.6229
2016-04-26,KDDL,EQ,189.05,188.1,192.0,187.1,187.1,187.75,189.6,19943,378125635000.0,198,19760,0.9908
2016-04-27,KDDL,EQ,187.75,187.75,190.0,180.5,181.0,183.45,187.31,7986,149588610000.0,101,7069,0.8852
2016-04-28,KDDL,EQ,183.45,189.7,189.7,166.0,170.8,168.9,172.98,13043,225617435000.0,295,9756,0.748
2016-04-29,KDDL,EQ,168.9,170.0,183.0,168.0,177.2,179.6,176.88,5453,96452240000.0,99,2960,0.5428000000000001
2016-05-02,KDDL,EQ,179.6,180.0,180.0,175.6,175.7,178.05,179.1,7142,127916589999.99998,72,6275,0.8786
2016-05-03,KDDL,EQ,178.05,180.0,182.8,175.5,179.9,179.9,178.67,4401,78633515000.0,38,3894,0.8848
2016-05-04,KDDL,EQ,179.9,179.9,180.0,168.5,168.6,169.95,170.51,24769,422335495000.0,348,23587,0.9523
2016-05-05,KDDL,EQ,169.95,180.0,180.0,167.5,170.0,168.8,171.0,3154,53934419999.99999,50,2722,0.863
2016-05-06,KDDL,EQ,168.8,168.8,168.8,165.0,167.9,167.9,166.91,8292,138399235000.0,77,7975,0.9618000000000001
2016-05-09,KDDL,EQ,167.9,168.0,173.0,164.0,164.0,166.95,168.63,953,16070795000.000002,35,674,0.7072
2016-05-10,KDDL,EQ,166.95,174.0,175.0,170.2,172.0,172.0,173.08,1449,25078740000.0,37,1204,0.8309000000000001
2016-05-11,KDDL,EQ,172.0,170.2,175.0,167.0,168.0,168.3,172.38,2051,35356145000.0,25,1704,0.8308
2016-05-12,KDDL,EQ,168.3,176.6,176.6,163.0,165.1,165.75,168.15,10785,181351020000.0,166,5539,0.5136000000000001
2016-05-13,KDDL,EQ,165.75,170.0,170.0,163.0,163.0,163.4,164.55,2696,44362605000.0,69,2226,0.8257
2016-05-16,KDDL,EQ,163.4,165.0,174.0,165.0,165.0,165.7,167.42,5558,93054100000.0,99,3486,0.6272
2016-05-17,KDDL,EQ,165.7,170.8,170.8,163.0,163.0,164.6,165.45,3099,51272405000.0,61,1919,0.6192000000000001
2016-05-18,KDDL,EQ,164.6,168.7,168.75,162.1,167.5,167.5,167.26,1882,31477965000.000004,47,1305,0.6934
2016-05-19,KDDL,EQ,167.5,167.0,167.0,164.3,164.3,165.75,165.69,546,9046450000.0,21,499,0.9139
2016-05-20,KDDL,EQ,165.75,169.0,169.9,164.1,169.8,168.7,168.78,3796,64068560000.0,109,2465,0.6494
2016-05-23,KDDL,EQ,168.7,169.8,169.8,165.0,165.0,165.0,167.79,683,11460370000.0,15,665,0.9736
2016-05-24,KDDL,EQ,165.0,163.0,179.0,163.0,176.95,176.35,173.39,4672,81007745000.0,74,2450,0.5244
2016-05-25,KDDL,EQ,176.35,176.95,176.95,166.35,171.0,170.95,170.74,1784,30459555000.0,52,947,0.5307999999999999
2016-05-26,KDDL,EQ,170.95,176.0,176.0,165.2,165.2,165.4,166.81,2996,49975655000.0,56,2761,0.9216
2016-05-27,KDDL,EQ,165.4,165.3,168.4,164.2,168.1,167.75,164.97,1580,26065335000.0,31,1475,0.9335
2016-05-30,KDDL,EQ,167.75,167.0,167.0,163.1,163.1,164.35,165.71,3486,57767969999.99999,59,2845,0.8161
2016-05-31,KDDL,EQ,164.35,163.3,166.0,162.0,164.5,163.8,163.74,3694,60486380000.00001,40,1877,0.5081
2016-06-01,KDDL,EQ,163.8,167.7,171.0,167.7,168.5,168.75,169.26,1242,21022425000.0,20,1182,0.9517
2016-06-02,KDDL,EQ,168.75,168.0,201.0,167.0,197.0,198.95,192.46,47443,913099075000.0,1111,20222,0.42619999999999997
2016-06-03,KDDL,EQ,198.95,200.7,200.7,180.0,196.9,194.8,193.14,12199,235608429999.99997,453,8246,0.6759999999999999
2016-06-06,KDDL,EQ,194.8,202.0,202.0,190.0,190.0,190.0,195.04,2339,45620875000.0,58,1925,0.823
2016-06-07,KDDL,EQ,190.0,200.0,200.0,190.0,195.8,195.0,192.28,1210,23266100000.0,32,1178,0.9736
2016-06-08,KDDL,EQ,195.0,194.0,198.0,190.0,192.0,192.0,191.66,7850,150456110000.0,231,5815,0.7408
2016-06-09,KDDL,EQ,192.0,192.0,220.0,192.0,214.15,216.15,209.59,48771,1022199019999.9999,958,19165,0.39299999999999996
2016-06-10,KDDL,EQ,216.15,215.9,217.5,203.0,209.95,208.0,211.16,5605,118354250000.0,187,3619,0.6456999999999999
2016-06-13,KDDL,EQ,208.0,203.0,205.0,198.0,199.0,198.7,201.87,865,17462000000.0,44,546,0.6312
2016-06-14,KDDL,EQ,198.7,196.55,206.95,191.05,197.0,198.25,198.49,3416,67805280000.00001,188,2020,0.5913
2016-06-15,KDDL,EQ,198.25,197.0,220.0,195.2,210.0,210.55,206.44,24316,501974959999.99994,385,19198,0.7895000000000001
2016-06-16,KDDL,EQ,210.55,210.55,215.0,200.0,209.95,209.75,208.94,7185,150126590000.0,121,6312,0.8785
2016-06-17,KDDL,EQ,209.75,209.0,212.5,206.0,207.0,206.85,209.7,8074,169315295000.0,50,6195,0.7673000000000001
2016-06-20,KDDL,EQ,206.85,207.0,216.0,204.0,215.0,213.65,211.78,40121,849662625000.0,164,34455,0.8588
2016-06-21,KDDL,EQ,213.65,210.0,215.0,210.0,213.0,211.55,211.37,14621,309039515000.0,129,12322,0.8428
2016-06-22,KDDL,EQ,211.55,205.2,215.0,205.2,212.75,210.9,210.72,29488,621372745000.0,162,26760,0.9075
2016-06-23,KDDL,EQ,210.9,213.0,213.95,207.1,207.1,208.1,209.19,2384,49870435000.0,39,2150,0.9018
2016-06-24,KDDL,EQ,208.1,201.0,214.65,184.05,210.0,206.75,197.58,17034,336564385000.0,489,7077,0.4155
2016-06-27,KDDL,EQ,206.75,216.0,216.0,205.0,210.0,210.5,211.22,4933,104196185000.0,108,3320,0.6729999999999999
2016-06-28,KDDL,EQ,210.5,210.05,213.5,209.0,210.9,209.95,210.03,17771,373246740000.0,118,16845,0.9479000000000001
2016-06-29,KDDL,EQ,209.95,207.35,211.85,207.35,208.6,210.55,209.41,6263,131151405000.0,57,4338,0.6926000000000001
2016-06-30,KDDL,EQ,210.55,213.9,213.9,206.4,206.45,207.45,208.12,7590,157962765000.0,48,6133,0.8079999999999999
2016-07-01,KDDL,EQ,207.45,208.0,209.8,198.0,203.0,200.7,203.73,10433,212548704999.99997,159,8858,0.8490000000000001
2016-07-04,KDDL,EQ,200.7,203.95,204.95,201.0,204.6,201.25,202.12,4259,86084955000.0,44,3839,0.9014
2016-07-05,KDDL,EQ,201.25,201.25,203.0,196.35,200.0,200.3,200.76,6007,120598450000.0,73,4489,0.7473000000000001
2016-07-07,KDDL,EQ,200.3,195.1,202.9,195.1,199.6,200.15,200.02,51332,1026759530000.0001,170,50212,0.9782
2016-07-08,KDDL,EQ,200.15,199.6,199.6,196.5,196.5,198.6,198.53,2254,44748080000.0,38,2232,0.9902
2016-07-11,KDDL,EQ,198.6,204.35,204.35,196.35,199.0,198.15,199.14,8576,170781265000.0,87,4662,0.5436
2016-07-12,KDDL,EQ,198.15,198.0,200.0,197.0,198.0,198.0,199.19,21233,422937480000.0,103,19760,0.9306000000000001
2016-07-13,KDDL,EQ,198.0,196.5,200.0,195.0,199.85,199.85,199.26,6558,130672030000.0,71,5931,0.9044
2016-07-14,KDDL,EQ,199.85,200.0,205.0,200.0,204.9,203.2,202.73,5822,118031410000.00002,138,4622,0.7939
2016-07-15,KDDL,EQ,203.2,204.0,205.0,196.25,200.0,198.9,201.39,8033,161773410000.0,66,7809,0.9721
2016-07-18,KDDL,EQ,198.9,197.0,203.2,197.0,199.9,198.9,200.19,4376,87602535000.0,39,2795,0.6386999999999999
2016-07-19,KDDL,EQ,198.9,220.0,229.0,217.95,219.9,221.6,223.35,516248,11530419220000.0,10623,75701,0.1466
2016-07-20,KDDL,EQ,221.6,219.0,219.0,206.25,215.0,215.65,212.55,90976,1933651255000.0,2999,19507,0.2144
2016-07-21,KDDL,EQ,215.65,215.0,224.0,212.5,221.25,221.2,219.3,28154,617411405000.0,897,13353,0.4743
2016-07-22,KDDL,EQ,221.2,221.3,224.7,220.0,222.0,222.3,221.84,13018,288793830000.0,209,10907,0.8378
2016-07-25,KDDL,EQ,222.3,226.3,239.4,217.05,230.3,231.05,230.8,63804,1472577755000.0,1453,38386,0.6016
2016-07-26,KDDL,EQ,231.05,234.7,235.55,228.0,228.0,229.55,232.13,44863,1041399869999.9999,442,40094,0.8937
2016-07-27,KDDL,EQ,229.55,229.95,231.15,223.0,229.0,227.05,227.53,9822,223479000000.0,183,7666,0.7805
2016-07-28,KDDL,EQ,227.05,221.15,244.9,221.1,233.0,235.35,237.06,32403,768139020000.0,1006,17999,0.5555
2016-07-29,KDDL,EQ,235.35,238.75,255.0,234.1,251.0,250.05,245.92,26714,656938415000.0,698,16875,0.6317
2016-08-01,KDDL,EQ,250.05,251.05,272.6,251.0,257.05,259.6,257.99,24504,632188830000.0,757,12504,0.5103
2016-08-02,KDDL,EQ,259.6,262.1,276.95,260.0,265.0,263.3,266.6,22821,608403640000.0,637,17040,0.7467
2016-08-03,KDDL,EQ,263.3,266.0,267.95,258.0,260.0,260.25,260.49,11998,312532195000.0,316,8899,0.7417
2016-08-04,KDDL,EQ,260.25,256.05,270.0,256.0,261.3,261.65,261.73,9690,253620625000.0,316,5177,0.5343
2016-08-05,KDDL,EQ,261.65,262.25,265.0,259.2,261.25,260.2,260.87,9223,240604340000.0,197,6824,0.7399
2016-08-08,KDDL,EQ,260.2,260.2,274.0,259.15,272.0,272.2,267.66,12313,329569375000.0,217,10843,0.8806
2016-08-09,KDDL,EQ,272.2,274.0,293.45,263.0,292.0,290.75,284.29,84541,2403450175000.0,1086,66096,0.7818
2016-08-10,KDDL,EQ,290.75,293.9,297.0,274.3,278.9,276.45,282.95,13779,389872300000.0,554,8709,0.632
2016-08-11,KDDL,EQ,276.45,270.0,290.0,270.0,285.0,284.6,281.59,16543,465828370000.0,392,12639,0.7640000000000001
2016-08-12,KDDL,EQ,284.6,295.0,295.0,269.95,282.0,278.45,283.59,21188,600869955000.0,624,13801,0.6514
2016-08-16,KDDL,EQ,278.45,282.0,282.0,249.0,250.0,250.55,257.72,17538,451986950000.0,1070,12076,0.6886
2016-08-17,KDDL,EQ,250.55,259.75,261.0,251.0,260.0,259.1,257.33,3867,99508490000.0,193,2951,0.7631
2016-08-18,KDDL,EQ,259.1,260.0,269.8,255.0,260.0,258.9,260.33,18103,471273425000.0,556,6569,0.3629
2016-08-19,KDDL,EQ,258.9,258.0,262.6,258.0,258.15,259.1,259.59,8744,226983950000.0,149,5336,0.6102000000000001
2016-08-22,KDDL,EQ,259.1,253.8,266.0,248.75,256.25,256.8,256.12,3182,81496470000.0,116,1699,0.5339
2016-08-23,KDDL,EQ,256.8,256.95,260.0,252.5,253.0,253.55,254.81,1342,34195759999.999996,54,958,0.7139
2016-08-24,KDDL,EQ,253.55,253.55,262.4,240.0,242.1,242.75,247.65,16340,404661780000.0,323,10958,0.6706000000000001
2016-08-25,KDDL,EQ,242.75,243.0,245.0,229.0,233.0,232.2,235.66,19245,453536150000.0,504,13274,0.6897
2016-08-26,KDDL,EQ,232.2,235.0,239.95,223.0,226.0,225.9,229.29,5499,126087625000.0,297,3755,0.6829000000000001
2016-08-29,KDDL,EQ,225.9,225.0,233.35,217.6,222.1,222.45,222.11,5103,113342739999.99998,178,4081,0.7997
2016-08-30,KDDL,EQ,222.45,225.0,225.0,213.6,222.0,222.5,221.97,9358,207723500000.0,243,3647,0.3897
2016-08-31,KDDL,EQ,222.5,224.1,244.0,222.05,224.85,225.75,234.68,67722,1589323940000.0,1126,37568,0.5547
2016-09-01,KDDL,EQ,225.75,228.25,228.25,215.05,216.0,218.85,221.93,15621,346683670000.0,347,12199,0.7809
2016-09-02,KDDL,EQ,218.85,221.0,221.5,210.0,216.0,212.55,214.92,17827,383144645000.0,486,12203,0.6845
2016-09-06,KDDL,EQ,212.55,218.0,220.0,211.05,216.0,219.7,217.0,60258,1307624435000.0,387,55956,0.9286
2016-09-07,KDDL,EQ,219.7,226.0,235.0,219.7,228.6,229.3,228.19,17937,409302175000.0,444,13146,0.7329000000000001
2016-09-08,KDDL,EQ,229.3,230.0,233.85,225.05,225.65,226.2,229.22,10025,229797800000.0,326,3310,0.33020000000000005
2016-09-09,KDDL,EQ,226.2,223.5,229.9,222.6,226.5,225.85,225.24,5835,131425495000.0,261,3169,0.5431
2016-09-12,KDDL,EQ,225.85,220.0,226.9,215.25,216.0,218.3,221.12,12038,266181075000.0,354,8714,0.7239
2016-09-14,KDDL,EQ,218.3,217.0,226.0,217.0,226.0,222.15,219.98,5178,113907070000.0,126,3773,0.7287
2016-09-15,KDDL,EQ,222.15,227.95,227.95,220.0,222.0,222.35,221.72,2332,51705955000.0,80,1761,0.7551000000000001
2016-09-16,KDDL,EQ,222.35,227.95,227.95,221.95,226.0,224.2,223.85,7355,164640485000.0,179,5290,0.7192000000000001
2016-09-19,KDDL,EQ,224.2,221.0,228.8,221.0,225.0,225.1,225.39,6113,137783795000.0,254,4846,0.7927
2016-09-20,KDDL,EQ,225.1,231.0,231.0,221.1,224.0,223.45,222.75,7250,161492370000.0,154,4575,0.631
2016-09-21,KDDL,EQ,223.45,226.95,233.0,221.25,229.5,227.55,228.13,22788,519861184999.99994,642,14754,0.6474
2016-09-22,KDDL,EQ,227.55,227.55,228.95,223.4,223.4,224.15,225.49,5526,124604035000.00002,338,3479,0.6296
2016-09-23,KDDL,EQ,224.15,228.0,228.0,205.0,223.0,222.7,222.64,5740,127795320000.0,188,3921,0.6831
2016-09-26,KDDL,EQ,222.7,224.0,227.95,220.0,222.0,221.75,223.65,1447,32362375000.0,89,985,0.6807
2016-09-27,KDDL,EQ,221.75,217.0,224.75,217.0,220.05,219.6,220.98,4458,98511690000.0,238,2457,0.5511
2016-09-28,KDDL,EQ,219.6,217.0,239.4,213.2,222.0,223.35,222.16,4205,93418210000.0,175,1167,0.2775
2016-09-29,KDDL,EQ,223.35,221.0,225.0,197.0,212.95,209.4,211.55,13933,294759265000.0,358,10057,0.7218000000000001
2016-09-30,KDDL,EQ,209.4,216.0,217.8,204.0,212.0,212.25,211.05,6178,130388164999.99998,225,3098,0.5015
2016-10-03,KDDL,EQ,212.25,210.0,231.95,210.0,228.4,224.55,226.55,30007,679822845000.0,781,20057,0.6684
2016-10-04,KDDL,EQ,224.55,228.0,234.9,221.0,234.9,228.65,227.96,16755,381950955000.0,677,14726,0.8789
2016-10-05,KDDL,EQ,228.65,231.0,244.0,229.0,237.0,239.6,237.06,23850,565391180000.0,781,15374,0.6446
2016-10-06,KDDL,EQ,239.6,240.05,240.25,224.15,229.8,229.55,232.9,9159,213312635000.0,351,5681,0.6203000000000001
2016-10-07,KDDL,EQ,229.55,233.8,233.8,225.1,227.5,225.95,227.27,3426,77864080000.0,118,1583,0.4621
2016-10-10,KDDL,EQ,225.95,216.9,235.0,216.9,232.0,230.6,229.59,5017,115186605000.0,155,2340,0.46640000000000004
2016-10-13,KDDL,EQ,230.6,227.1,227.1,219.9,223.5,222.3,224.14,7651,171492070000.0,135,6159,0.805
2016-10-14,KDDL,EQ,222.3,223.5,226.95,220.0,224.9,222.65,223.24,6732,150285790000.0,116,5780,0.8586
2016-10-17,KDDL,EQ,222.65,222.7,224.5,216.55,218.55,219.1,219.59,5836,128155105000.0,182,2629,0.45049999999999996
2016-10-18,KDDL,EQ,219.1,224.95,230.0,218.6,222.5,222.5,223.89,11514,257788865000.0,124,9660,0.8390000000000001
2016-10-19,KDDL,EQ,222.5,220.0,225.0,217.55,218.5,219.15,221.05,13828,305661200000.0,219,10708,0.7744
2016-10-20,KDDL,EQ,219.15,219.1,222.85,218.0,221.95,220.2,220.13,13980,307745140000.0,225,9275,0.6634000000000001
2016-10-21,KDDL,EQ,220.2,223.0,252.9,219.1,250.0,248.45,243.78,144492,3522480075000.0,3020,60922,0.4216
2016-10-24,KDDL,EQ,248.45,250.5,251.4,235.7,236.3,237.35,245.49,14790,363082190000.0,606,10179,0.6881999999999999
2016-10-25,KDDL,EQ,237.35,234.5,244.9,230.15,237.9,236.1,234.92,6952,163318205000.0,150,4312,0.6203000000000001
2016-10-26,KDDL,EQ,236.1,226.7,238.85,226.7,231.0,231.9,234.08,3292,77060545000.0,141,2458,0.7467
2016-10-27,KDDL,EQ,231.9,235.85,235.9,226.0,227.1,227.6,229.73,12279,282084090000.0,177,10297,0.8386
2016-10-28,KDDL,EQ,227.6,232.65,233.0,226.0,232.0,230.5,228.93,6747,154455785000.0,193,3566,0.5285
2016-10-30,KDDL,EQ,230.5,236.95,236.95,231.25,235.95,234.55,234.98,2595,60978225000.0,55,2264,0.8724
2016-11-01,KDDL,EQ,234.55,222.0,250.0,222.0,243.35,242.9,241.09,12724,306758230000.0,272,9626,0.7565000000000001
2016-11-02,KDDL,EQ,242.9,240.0,252.5,222.0,245.0,244.6,245.25,12788,313625255000.0,357,9280,0.7256999999999999
2016-11-03,KDDL,EQ,244.6,244.6,250.0,244.1,244.1,246.7,248.13,8913,221158185000.0,258,6763,0.7587999999999999
2016-11-04,KDDL,EQ,246.7,236.8,247.45,230.05,239.0,236.0,238.08,6737,160396050000.0,219,4515,0.6702
2016-11-07,KDDL,EQ,236.0,239.0,281.5,231.1,256.0,259.1,264.87,88699,2349353735000.0,2696,37926,0.4276
2016-11-08,KDDL,EQ,259.1,269.0,286.0,262.9,273.1,278.1,273.64,68498,1874402814999.9998,2116,31842,0.46490000000000004
2016-11-09,KDDL,EQ,278.1,229.4,255.0,222.5,251.0,251.9,236.91,82893,1963793145000.0,1815,46293,0.5585
2016-11-10,KDDL,EQ,251.9,254.0,273.0,246.0,250.0,254.05,258.58,15829,409301520000.0,637,8263,0.522
2016-11-11,KDDL,EQ,254.05,233.0,265.0,233.0,245.4,241.95,241.43,13183,318283035000.0,551,6898,0.5232
2016-11-15,KDDL,EQ,241.95,233.5,235.0,205.0,211.0,209.35,213.56,22547,481510940000.00006,911,12451,0.5522
