Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-01-02,KIRELECTRI,EQ,48.25,48.75,48.75,48.75,,48.75,48.75,100,487500000.0,,,
1996-01-03,KIRELECTRI,EQ,48.75,48.0,49.0,48.0,,49.0,48.78,800,3902500000.0,,,
1996-01-04,KIRELECTRI,EQ,49.0,49.0,49.0,48.0,,48.5,48.68,1000,4867500000.0,,,
1996-01-05,KIRELECTRI,EQ,48.5,48.5,48.5,48.25,,48.5,48.49,2900,14062500000.0,,,
1996-01-08,KIRELECTRI,EQ,48.5,48.0,48.5,48.0,,48.5,48.22,900,4340000000.0,,,
1996-01-09,KIRELECTRI,EQ,48.5,48.0,50.0,45.0,,47.85,47.81,3800,18168500000.0,,,
1996-01-12,KIRELECTRI,EQ,47.85,47.0,47.0,47.0,,47.0,47.0,200,940000000.0,,,
1996-01-15,KIRELECTRI,EQ,47.0,47.0,47.0,47.0,,47.0,47.0,400,1880000000.0,,,
1996-01-16,KIRELECTRI,EQ,47.0,46.0,47.0,45.0,,46.35,46.25,400,1850000000.0,,,
1996-01-22,KIRELECTRI,EQ,46.35,43.0,43.0,42.0,,42.5,42.5,200,850000000.0,,,
1996-01-23,KIRELECTRI,EQ,42.5,42.5,42.5,42.5,,42.5,42.5,100,425000000.0,,,
1996-01-24,KIRELECTRI,EQ,42.5,42.0,42.0,40.0,,40.0,41.0,200,820000000.0,,,
1996-01-25,KIRELECTRI,EQ,40.0,42.95,42.95,40.0,,40.0,40.33,1000,4033000000.0,,,
1996-01-29,KIRELECTRI,EQ,40.0,40.0,41.0,39.5,,39.5,40.7,500,2035000000.0,,,
1996-01-30,KIRELECTRI,EQ,39.5,39.5,41.0,39.1,,39.1,40.04,1400,5606000000.0,,,
1996-01-31,KIRELECTRI,EQ,39.1,39.1,42.95,39.0,,39.35,39.62,1200,4754500000.0,,,
1996-02-01,KIRELECTRI,EQ,39.35,40.0,40.0,39.0,,39.0,39.27,1000,3926500000.0,,,
1996-02-02,KIRELECTRI,EQ,39.0,39.5,41.0,39.0,,41.0,39.35,1800,7082500000.0,,,
1996-02-05,KIRELECTRI,EQ,41.0,41.5,41.5,40.5,,41.5,41.25,400,1650000000.0,,,
1996-02-06,KIRELECTRI,EQ,41.5,41.0,42.0,39.0,,41.5,40.86,700,2860000000.0,,,
1996-02-07,KIRELECTRI,EQ,41.5,42.0,42.0,40.0,,40.0,40.67,300,1220000000.0,,,
1996-02-08,KIRELECTRI,EQ,40.0,40.0,41.0,40.0,,41.0,40.59,500,2029500000.0,,,
1996-02-09,KIRELECTRI,EQ,41.0,41.5,43.0,41.5,,43.0,42.55,1000,4254500000.0,,,
1996-02-12,KIRELECTRI,EQ,43.0,40.1,44.0,40.1,,44.0,42.18,600,2530500000.0,,,
1996-02-13,KIRELECTRI,EQ,44.0,43.5,44.0,42.0,,43.0,43.07,700,3015000000.0,,,
1996-02-14,KIRELECTRI,EQ,43.0,42.0,44.25,42.0,,44.0,43.54,600,2612500000.0,,,
1996-02-15,KIRELECTRI,EQ,44.0,44.0,44.75,43.5,,44.75,44.08,300,1322500000.0,,,
1996-02-16,KIRELECTRI,EQ,44.75,44.75,49.0,45.0,,45.0,47.29,700,3310000000.0,,,
1996-02-19,KIRELECTRI,EQ,45.0,48.5,48.5,45.0,,45.25,45.75,600,2745000000.0,,,
1996-02-20,KIRELECTRI,EQ,45.25,45.0,45.5,44.5,,45.0,44.97,800,3597500000.0,,,
1996-02-23,KIRELECTRI,EQ,45.0,44.5,44.5,44.25,,44.25,44.38,200,887500000.0,,,
1996-02-26,KIRELECTRI,EQ,44.25,44.3,44.3,44.0,,44.0,44.22,700,3095500000.0,,,
1996-02-27,KIRELECTRI,EQ,44.0,44.0,45.0,42.0,,44.25,43.63,800,3490000000.0,,,
1996-02-28,KIRELECTRI,EQ,44.25,45.0,45.0,43.2,,43.2,44.37,600,2662000000.0,,,
1996-02-29,KIRELECTRI,EQ,43.2,41.5,41.5,41.5,,41.5,41.5,100,415000000.0,,,
1996-03-01,KIRELECTRI,EQ,41.5,43.75,43.75,42.25,,42.25,43.45,500,2172500000.0,,,
1996-03-04,KIRELECTRI,EQ,42.25,42.25,43.0,42.25,,43.0,42.5,300,1275000000.0,,,
1996-03-07,KIRELECTRI,EQ,43.0,41.05,41.05,40.1,,40.1,40.58,200,811500000.0,,,
1996-03-08,KIRELECTRI,EQ,40.1,42.5,42.5,42.5,,42.5,42.5,200,850000000.0,,,
1996-03-12,KIRELECTRI,EQ,42.5,41.0,41.0,39.0,,39.0,39.87,700,2791000000.0,,,
1996-03-13,KIRELECTRI,EQ,39.0,39.75,39.75,39.75,,39.75,39.75,1000,3975000000.0,,,
