Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-01-02,WIDIA,EQ,4000.0,4100.0,4100.0,4100.0,,4100.0,4100.0,10,4100000000.0,,,
1996-01-09,WIDIA,EQ,4100.0,4000.0,4000.0,4000.0,,4000.0,4000.0,5,2000000000.0,,,
1996-01-16,WIDIA,EQ,4000.0,4400.0,4400.0,4400.0,,4400.0,4400.0,5,2200000000.0,,,
1996-01-18,WIDIA,EQ,4400.0,4111.0,4111.0,4111.0,,4111.0,4111.0,5,2055500000.0,,,
1996-01-19,WIDIA,EQ,4111.0,4150.0,4150.0,4150.0,,4150.0,4150.0,5,2075000000.0,,,
1996-01-22,WIDIA,EQ,4150.0,4100.0,4100.0,4100.0,,4100.0,4100.0,15,6150000000.0,,,
1996-01-23,WIDIA,EQ,4100.0,4021.0,4021.0,4021.0,,4021.0,4021.0,5,2010500000.0,,,
1996-01-24,WIDIA,EQ,4021.0,4000.0,4000.0,4000.0,,4000.0,4000.0,5,2000000000.0,,,
1996-01-25,WIDIA,EQ,4000.0,4075.0,4075.0,4075.0,,4075.0,4075.0,5,2037500000.0,,,
1996-01-31,WIDIA,EQ,4075.0,4135.0,4140.0,4135.0,,4137.5,4137.5,10,4137500000.0,,,
1996-02-02,WIDIA,EQ,4137.5,4225.0,4225.0,4225.0,,4225.0,4225.0,5,2112500000.0,,,
1996-02-05,WIDIA,EQ,4225.0,4375.0,4375.0,4375.0,,4375.0,4375.0,5,2187500000.0,,,
1996-02-06,WIDIA,EQ,4375.0,4300.0,4300.0,4300.0,,4300.0,4300.0,5,2150000000.0,,,
1996-02-08,WIDIA,EQ,4300.0,4300.0,4300.0,4300.0,,4300.0,4300.0,5,2150000000.0,,,
1996-02-09,WIDIA,EQ,4300.0,4400.0,4400.0,4200.0,,4400.0,4333.33,15,6500000000.0,,,
1996-02-12,WIDIA,EQ,4400.0,4400.0,4400.0,4400.0,,4400.0,4400.0,10,4400000000.0,,,
1996-02-13,WIDIA,EQ,4400.0,4205.6,4205.6,4205.6,,4205.6,4205.6,5,2102800000.0,,,
1996-02-14,WIDIA,EQ,4205.6,4211.0,4225.0,4211.0,,4225.0,4218.0,10,4218000000.0,,,
1996-02-15,WIDIA,EQ,4225.0,4225.0,4660.0,4550.0,,4655.0,4644.67,75,34835000000.0,,,
1996-02-16,WIDIA,EQ,4655.0,4680.0,4680.0,4500.0,,4680.0,4630.58,60,27783500000.0,,,
1996-02-19,WIDIA,EQ,4680.0,4680.0,4600.0,4600.0,,4600.0,4600.0,5,2300000000.0,,,
1996-02-20,WIDIA,EQ,4600.0,4600.0,4550.0,4500.0,,4550.0,4525.0,30,13575000000.0,,,
1996-02-22,WIDIA,EQ,4550.0,4700.0,4800.0,4700.0,,4750.0,4750.0,10,4750000000.0,,,
1996-02-23,WIDIA,EQ,4750.0,4800.0,4800.0,4800.0,,4800.0,4800.0,25,12000000000.0,,,
1996-02-26,WIDIA,EQ,4800.0,4720.0,4750.0,4720.0,,4726.0,4734.4,25,11836000000.0,,,
1996-02-27,WIDIA,EQ,4726.0,4720.0,4800.0,4720.0,,4750.0,4742.5,50,23712500000.0,,,
1996-02-28,WIDIA,EQ,4750.0,4750.0,4795.0,4750.0,,4795.0,4765.0,15,7147500000.0,,,
1996-02-29,WIDIA,EQ,4795.0,4850.0,4910.0,4850.0,,4877.5,4878.75,20,9757500000.0,,,
1996-03-01,WIDIA,EQ,4877.5,4877.5,5000.0,4790.0,,4995.0,4912.86,70,34390000000.0,,,
1996-03-04,WIDIA,EQ,4995.0,4970.0,5100.0,4970.0,,5100.0,5001.0,50,25005000000.0,,,
1996-03-06,WIDIA,EQ,5100.0,5125.0,5190.0,5120.0,,5126.7,5138.93,70,35972500000.0,,,
1996-03-07,WIDIA,EQ,5126.7,5126.7,5188.0,5130.0,,5145.0,5143.67,45,23146500000.0,,,
1996-03-08,WIDIA,EQ,5145.0,5145.0,5060.0,5001.0,,5052.5,5047.29,35,17665500000.0,,,
1996-03-11,WIDIA,EQ,5052.5,5052.5,5060.0,4900.0,,4962.0,5036.27,75,37772000000.0,,,
1996-03-12,WIDIA,EQ,4962.0,4962.0,5070.0,5025.0,,5070.0,5055.0,80,40440000000.0,,,
1996-03-13,WIDIA,EQ,5070.0,5070.0,5175.0,5010.0,,5150.0,5084.33,135,68638500000.0,,,
1996-03-14,WIDIA,EQ,5150.0,5180.0,5335.0,5180.0,,5326.7,5286.98,110,58156750000.0,,,
1996-03-15,WIDIA,EQ,5326.7,5330.0,5370.0,5070.0,,5100.0,5156.95,90,46412550000.0,,,
1996-03-18,WIDIA,EQ,5100.0,5100.0,5100.0,5000.0,,5000.0,5021.76,40,20087050000.0,,,
1996-03-19,WIDIA,EQ,5000.0,5000.0,4950.0,4500.0,,4570.75,4712.33,75,35342500000.0,,,
1996-03-21,WIDIA,EQ,4570.75,4570.75,5025.0,4830.0,,4975.0,4905.63,80,39245000000.0,,,
1996-03-22,WIDIA,EQ,4975.0,4995.0,5000.0,4900.0,,4903.35,4956.43,35,17347500000.0,,,
1996-03-25,WIDIA,EQ,4903.35,4975.0,4975.0,4860.0,,4860.0,4883.0,25,12207500000.0,,,
1996-03-26,WIDIA,EQ,4860.0,4860.0,5120.0,4900.0,,4965.0,4997.21,260,129927500000.0,,,
1996-03-27,WIDIA,EQ,4965.0,4965.0,5100.0,5000.0,,5090.0,5070.0,20,10140000000.0,,,
1996-03-28,WIDIA,EQ,5090.0,5075.0,5075.0,5075.0,,5075.0,5075.0,5,2537500000.0,,,
1996-03-29,WIDIA,EQ,5075.0,5075.0,5100.0,5070.0,,5100.0,5080.44,45,22862000000.0,,,
1996-04-01,WIDIA,EQ,5100.0,5200.0,5200.0,5200.0,,5200.0,5200.0,40,20800000000.0,,,
1996-04-02,WIDIA,EQ,5200.0,5249.0,5300.0,5249.0,,5260.0,5272.71,35,18454500000.0,,,
1996-04-03,WIDIA,EQ,5260.0,5400.0,5400.0,5260.05,,5260.05,5320.01,40,21280025000.0,,,
1996-04-04,WIDIA,EQ,5260.05,5015.0,5015.0,5015.0,,5015.0,5015.0,5,2507500000.0,,,
1996-04-08,WIDIA,EQ,5015.0,5300.0,5300.0,5200.0,,5280.0,5259.17,30,15777500000.0,,,
1996-04-09,WIDIA,EQ,5280.0,5280.0,5311.95,5260.0,,5278.35,5287.8,50,26438975000.0,,,
1996-04-10,WIDIA,EQ,5278.35,5278.35,5311.0,5260.05,,5299.0,5284.02,45,23778075000.0,,,
1996-04-11,WIDIA,EQ,5299.0,5300.0,5350.0,5300.0,,5350.0,5325.01,30,15975025000.0,,,
1996-04-12,WIDIA,EQ,5350.0,5350.0,5450.0,5390.0,,5390.0,5412.42,60,32474500000.0,,,
1996-04-15,WIDIA,EQ,5390.0,5390.0,5500.0,5400.0,,5495.0,5459.17,60,32755000000.0,,,
1996-04-16,WIDIA,EQ,5495.0,5450.0,5500.0,5430.0,,5487.5,5468.82,85,46485000000.0,,,
1996-04-17,WIDIA,EQ,5487.5,5580.0,5580.0,5501.0,,5547.85,5533.47,130,71935125000.0,,,
1996-04-18,WIDIA,EQ,5547.85,5547.85,5675.0,5530.0,,5591.0,5608.6,75,42064500000.0,,,
1996-04-19,WIDIA,EQ,5591.0,5591.0,5695.0,5640.0,,5680.0,5672.0,25,14180000000.0,,,
1996-04-22,WIDIA,EQ,5680.0,5680.0,5675.0,5650.0,,5650.0,5658.33,15,8487500000.0,,,
1996-04-23,WIDIA,EQ,5650.0,5650.0,5748.0,5560.0,,5747.0,5682.28,90,51140500000.0,,,
1996-04-24,WIDIA,EQ,5747.0,5745.0,5870.0,5745.0,,5850.0,5824.11,90,52417000000.0,,,
1996-04-25,WIDIA,EQ,5850.0,5850.0,6180.0,5947.0,,6055.0,6050.56,80,48404500000.0,,,
1996-04-26,WIDIA,EQ,6055.0,6055.0,6139.0,6000.0,,6135.0,6089.61,115,70030475000.0,,,
1996-04-29,WIDIA,EQ,6135.0,6100.0,6200.0,6100.0,,6192.75,6181.22,90,55631000000.0,,,
1996-04-30,WIDIA,EQ,6192.75,6192.75,6325.0,6250.0,,6255.0,6278.78,90,56508975000.0,,,
1996-05-01,WIDIA,EQ,6255.0,6352.0,6362.0,6352.0,,6362.0,6355.33,15,9533000000.0,,,
1996-05-02,WIDIA,EQ,6362.0,6362.0,6395.0,6300.0,,6388.35,6357.15,70,44500025000.0,,,
1996-05-03,WIDIA,EQ,6388.35,6388.35,6399.0,6350.0,,6350.0,6369.91,55,35034500000.0,,,
1996-05-06,WIDIA,EQ,6350.0,6350.0,6250.0,6201.0,,6250.0,6235.11,45,28058000000.0,,,
1996-05-07,WIDIA,EQ,6250.0,6265.0,6375.0,6210.0,,6339.1,6312.78,115,72597000000.0,,,
1996-05-08,WIDIA,EQ,6339.1,6225.0,6300.0,6225.0,,6300.0,6251.25,60,37507500000.0,,,
1996-05-09,WIDIA,EQ,6300.0,6300.0,6375.0,6245.0,,6275.0,6298.33,15,9447500000.0,,,
1996-05-10,WIDIA,EQ,6275.0,6275.0,6265.0,6200.0,,6265.0,6215.5,50,31077500000.0,,,
1996-05-13,WIDIA,EQ,6265.0,6290.0,6290.0,6275.0,,6275.0,6282.5,10,6282500000.0,,,
1996-05-14,WIDIA,EQ,6275.0,6275.0,6275.0,6225.0,,6275.0,6237.75,20,12475500000.0,,,
1996-05-15,WIDIA,EQ,6275.0,6275.0,6350.0,6301.0,,6350.0,6330.33,15,9495500000.0,,,
1996-05-16,WIDIA,EQ,6350.0,6350.0,6525.0,6405.0,,6495.0,6499.73,55,35748500000.0,,,
1996-05-21,WIDIA,EQ,6495.0,6425.0,6425.0,6425.0,,6425.0,6425.0,15,9637500000.0,,,
1996-05-22,WIDIA,EQ,6425.0,6230.0,6400.0,6230.0,,6395.0,6342.89,40,25371550000.0,,,
1996-05-23,WIDIA,EQ,6395.0,6395.0,6300.0,6270.0,,6300.0,6290.0,15,9435000000.0,,,
1996-05-24,WIDIA,EQ,6300.0,6300.0,6350.0,6260.0,,6350.0,6305.0,10,6305000000.0,,,
1996-05-27,WIDIA,EQ,6350.0,6350.0,6200.0,6175.0,,6175.0,6187.5,10,6187500000.0,,,
1996-05-28,WIDIA,EQ,6175.0,6175.0,6075.0,6075.0,,6075.0,6075.0,5,3037500000.0,,,
1996-05-29,WIDIA,EQ,6075.0,6325.0,6400.0,6325.0,,6400.0,6352.5,20,12705000000.0,,,
1996-05-30,WIDIA,EQ,6400.0,6400.0,6415.0,6410.0,,6415.0,6412.5,10,6412500000.0,,,
1996-05-31,WIDIA,EQ,6415.0,6415.0,6550.0,6300.0,,6540.0,6421.04,130,83473500000.0,,,
1996-06-03,WIDIA,EQ,6540.0,6540.0,6700.0,6540.0,,6700.0,6643.33,45,29895000000.0,,,
1996-06-04,WIDIA,EQ,6700.0,6700.0,6945.0,6798.0,,6945.0,6847.64,110,75324000000.0,,,
1996-06-05,WIDIA,EQ,6945.0,6850.0,6850.0,6755.0,,6765.0,6788.29,35,23759000000.0,,,
1996-06-06,WIDIA,EQ,6765.0,6751.0,6830.0,6750.0,,6830.0,6794.14,75,50956025000.0,,,
1996-06-07,WIDIA,EQ,6830.0,6850.0,6850.0,6800.0,,6845.0,6828.75,60,40972500000.0,,,
1996-06-10,WIDIA,EQ,6845.0,6850.0,7020.0,6850.0,,6850.0,6921.25,40,27685000000.0,,,
1996-06-11,WIDIA,EQ,6850.0,6800.0,6800.0,6760.0,,6767.5,6773.22,45,30479500000.0,,,
1996-06-12,WIDIA,EQ,6767.5,6785.0,6800.0,6785.0,,6800.0,6796.25,20,13592500000.0,,,
1996-06-13,WIDIA,EQ,6800.0,6900.0,6920.0,6900.0,,6910.0,6906.67,15,10360000000.0,,,
1996-06-14,WIDIA,EQ,6910.0,6999.0,6999.0,6999.0,,6999.0,6999.0,10,6999000000.0,,,
1996-06-17,WIDIA,EQ,6999.0,6900.0,6900.0,6900.0,,6900.0,6900.0,20,13800000000.0,,,
1996-06-18,WIDIA,EQ,6900.0,6775.0,6800.0,6775.0,,6800.0,6795.83,60,40775000000.0,,,
1996-06-19,WIDIA,EQ,6800.0,6900.0,6900.0,6860.0,,6860.0,6874.0,25,17185000000.0,,,
