Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2001-02-12,KHANDSE,EQ,150.0,159.0,159.0,159.0,159.0,159.0,159.0,300,4770000000.0,,,
2001-02-13,KHANDSE,EQ,159.0,153.0,153.0,153.0,153.0,153.0,153.0,100,1530000000.0,,,
2001-02-16,KHANDSE,EQ,153.0,144.0,144.0,144.0,144.0,144.0,144.0,200,2880000000.0,,,
2001-02-19,KHANDSE,EQ,144.0,155.45,155.45,155.45,155.45,155.45,155.45,2,31089999.999999996,,,
2001-03-07,KHANDSE,EQ,155.45,143.05,155.0,143.05,143.05,143.05,154.71,1351111,20902825140000.0,,,
2001-03-12,KHANDSE,EQ,143.05,150.0,152.0,150.0,152.0,152.0,151.0,200,3020000000.0,,,
2001-03-21,KHANDSE,EQ,152.0,99.5,99.5,99.5,99.5,99.5,99.5,1200000,11940000000000.0,,,
2001-04-09,KHANDSE,EQ,99.5,56.95,56.95,56.95,56.95,56.95,56.95,100,569500000.0,,,
2001-04-18,KHANDSE,EQ,56.95,35.0,35.0,35.0,35.0,35.0,35.0,1010,3535000000.0,,,
2001-04-19,KHANDSE,EQ,35.0,35.3,37.5,35.1,37.5,35.95,35.91,1350,4847710000.0,,,
2001-04-20,KHANDSE,EQ,35.95,38.5,38.75,36.0,36.0,36.0,37.99,1949,7405150000.0,,,
2001-04-23,KHANDSE,EQ,36.0,36.0,36.0,36.0,36.0,36.0,36.0,10,36000000.0,,,
2001-04-30,KHANDSE,EQ,36.0,35.9,38.8,35.9,38.8,38.8,37.35,200,747000000.0,,,
2001-05-03,KHANDSE,EQ,38.8,36.1,36.1,36.0,36.0,36.0,36.05,200,721000000.0,,,
2001-05-07,KHANDSE,EQ,36.0,38.8,38.8,38.8,38.8,38.8,38.8,100,388000000.0,,,
2001-05-08,KHANDSE,EQ,38.8,40.0,40.0,40.0,40.0,40.0,40.0,100,400000000.0,,,
2001-05-09,KHANDSE,EQ,40.0,42.5,42.5,36.8,36.8,36.8,39.65,200,793000000.0,,,
2001-05-10,KHANDSE,EQ,36.8,34.0,39.65,34.0,39.65,37.6,37.6,1050,3948250000.0,,,
2001-05-11,KHANDSE,EQ,37.6,38.0,38.0,34.75,37.0,37.0,36.88,650,2397500000.0,,,
2001-05-14,KHANDSE,EQ,37.0,34.1,34.1,34.05,34.05,34.05,34.08,3690,12576950000.0,,,
2001-05-15,KHANDSE,EQ,34.05,31.35,36.7,31.35,35.7,35.2,35.07,6110,21425800000.0,,,
2001-05-16,KHANDSE,EQ,35.2,36.7,36.7,34.05,36.45,36.4,34.97,152,531535000.00000006,,,
2001-05-17,KHANDSE,EQ,36.4,33.55,33.6,33.5,33.6,33.6,33.55,550,1845250000.0,,,
2001-05-18,KHANDSE,EQ,33.6,32.1,32.1,31.0,31.0,31.0,31.18,340,1060110000.0,,,
2001-05-21,KHANDSE,EQ,31.0,29.7,29.7,28.55,29.0,29.05,29.15,2300,6704000000.0,,,
2001-05-22,KHANDSE,EQ,29.05,30.45,31.35,27.5,30.55,30.55,27.71,22071,61159369999.99999,,,
2001-05-23,KHANDSE,EQ,30.55,32.6,32.6,28.15,32.0,31.3,28.75,7154,20570245000.0,,,
2001-05-24,KHANDSE,EQ,31.3,33.65,33.8,32.05,33.8,33.8,33.44,1628,5444060000.0,,,
2001-05-25,KHANDSE,EQ,33.8,34.85,36.45,32.2,32.2,35.65,35.61,1160,4130210000.0,,,
2001-05-28,KHANDSE,EQ,35.65,34.8,38.45,34.0,38.45,38.4,36.03,2153,7756300000.0,,,
2001-05-29,KHANDSE,EQ,38.4,41.45,41.5,40.05,41.45,41.45,41.07,701,2879150000.0,,,
2001-05-30,KHANDSE,EQ,41.45,40.5,44.4,40.5,43.8,43.8,42.62,2500,10654000000.0,,,
2001-05-31,KHANDSE,EQ,43.8,45.0,47.3,45.0,47.3,47.3,45.83,5195,23807660000.0,,,
2001-06-01,KHANDSE,EQ,47.3,50.75,51.1,50.0,51.1,51.1,50.75,3312,16809485000.0,,,
2001-06-04,KHANDSE,EQ,51.1,54.8,55.2,54.0,55.0,55.0,54.8,3081,16883479999.999998,,,
2001-06-05,KHANDSE,EQ,55.0,55.0,58.9,51.3,55.0,54.05,55.25,3806,21029565000.0,,,
2001-06-06,KHANDSE,EQ,54.05,54.05,56.0,51.0,54.8,54.8,53.11,704,3738840000.0,,,
2001-06-07,KHANDSE,EQ,54.8,53.0,53.0,50.45,50.5,50.5,50.62,4503,22794130000.0,,,
2001-06-08,KHANDSE,EQ,50.5,46.55,54.55,46.55,54.55,54.55,51.83,1085,5623475000.0,,,
2001-06-11,KHANDSE,EQ,54.55,56.75,58.95,56.75,58.0,58.1,58.77,1925,11312415000.0,,,
2001-06-12,KHANDSE,EQ,58.1,62.7,62.7,60.5,62.4,61.35,62.18,648,4029300000.0,,,
2001-06-13,KHANDSE,EQ,61.35,66.0,66.0,61.6,65.7,65.25,65.08,674,4386255000.0,,,
2001-06-14,KHANDSE,EQ,65.25,64.5,64.5,61.0,61.05,61.75,62.55,961,6011085000.0,,,
2001-06-15,KHANDSE,EQ,61.75,60.0,60.05,58.05,58.05,58.05,59.72,176,1051129999.9999999,,,
2001-06-18,KHANDSE,EQ,58.05,58.0,62.0,58.0,62.0,62.0,61.48,751,4616820000.0,,,
2001-06-19,KHANDSE,EQ,62.0,58.05,60.4,57.8,60.4,60.4,57.99,349,2023930000.0,,,
2001-06-20,KHANDSE,EQ,60.4,56.1,56.15,55.6,55.6,55.6,56.09,3431,19243095000.0,,,
2001-06-21,KHANDSE,EQ,55.6,51.15,60.0,51.15,51.55,52.6,56.37,2304,12988770000.0,,,
2001-06-22,KHANDSE,EQ,52.6,48.5,53.0,48.5,51.0,51.0,49.2,306,1505620000.0,,,
2001-06-25,KHANDSE,EQ,51.0,46.95,54.0,46.95,46.95,46.95,49.85,1550,7726500000.0,,,
2001-06-26,KHANDSE,EQ,46.95,43.2,50.4,43.2,44.1,44.1,48.68,1750,8519635000.000001,,,
2001-06-27,KHANDSE,EQ,44.1,43.3,47.15,43.3,46.9,46.9,43.92,12,52704999.99999999,,,
2001-06-29,KHANDSE,EQ,46.9,45.0,48.0,43.25,46.9,48.0,44.55,71,316300000.0,,,
2001-07-02,KHANDSE,EQ,150.0,50.0,50.45,50.0,50.45,50.45,50.23,100,502250000.0,,,
2001-07-03,KHANDSE,EQ,50.45,52.85,52.85,52.85,52.85,52.85,52.85,5,26425000.0,,,
2001-07-11,KHANDSE,EQ,52.85,48.65,57.0,48.65,55.0,55.0,56.14,600,3368250000.0,,,
2001-10-31,KHANDSE,EQ,55.0,28.8,28.8,28.8,28.8,28.8,28.8,1,2880000.0,,,
2001-11-15,KHANDSE,EQ,28.8,23.5,23.5,23.05,23.05,23.3,23.32,500,1166000000.0,,,
2001-11-20,KHANDSE,EQ,23.3,23.25,24.95,23.25,24.95,24.95,23.82,150,357250000.0,,,
2001-11-26,KHANDSE,EQ,24.95,25.0,25.0,25.0,25.0,25.0,25.0,100,250000000.0,,,
2001-12-03,KHANDSE,EQ,25.0,24.6,24.6,24.6,24.6,24.6,24.6,50,123000000.0,,,
2001-12-07,KHANDSE,EQ,24.6,24.6,24.6,24.6,24.6,24.6,24.6,100,246000000.0,,,
2002-01-01,KHANDSE,EQ,24.6,22.5,25.45,22.5,25.45,25.45,23.96,751,1799250000.0,,750.0,0.9987
2002-01-02,KHANDSE,EQ,25.45,23.55,25.9,23.5,25.9,25.3,24.58,600,1475000000.0,,500.0,0.8333
2002-01-03,KHANDSE,EQ,25.3,23.7,24.75,23.6,24.75,24.75,24.65,220,542305000.0,,210.0,0.9545
2002-01-04,KHANDSE,EQ,24.75,24.85,24.85,24.85,24.85,24.85,24.85,10,24850000.0,,10.0,1.0
2002-01-07,KHANDSE,EQ,24.85,25.0,26.5,25.0,26.5,25.8,25.78,442,1139560000.0,,440.0,0.9954999999999999
2002-01-08,KHANDSE,EQ,25.8,27.5,30.5,24.95,29.8,27.65,27.37,1724,4717890000.0,,1619.0,0.9390999999999999
