Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2017-03-01,KIOCL,EQ,12.0,12.6,12.6,12.6,12.6,12.6,12.6,25,31500000.0,1,25,1.0
2017-03-16,KIOCL,EQ,12.6,13.2,13.2,13.2,13.2,13.2,13.2,25,33000000.0,1,25,1.0
2017-03-27,KIOCL,EQ,13.2,13.85,13.85,13.85,13.85,13.85,13.85,50,69250000.0,1,50,1.0
2017-03-31,KIOCL,EQ,13.85,14.5,14.5,14.5,14.5,14.5,14.5,131700,190965000000.0,10,131700,1.0
2017-04-03,KIOCL,EQ,14.5,15.2,15.2,15.2,15.2,15.2,15.2,1,1520000.0,1,1,1.0
2017-04-11,KIOCL,EQ,15.2,15.95,15.95,15.95,15.95,15.95,15.95,1,1595000.0,1,1,1.0
2017-04-13,KIOCL,EQ,15.95,16.7,16.7,16.7,16.7,16.7,16.7,2,3340000.0,1,2,1.0
2017-04-18,KIOCL,EQ,16.7,17.5,17.5,17.5,17.5,17.5,17.5,2,3500000.0,1,2,1.0
2017-04-20,KIOCL,EQ,17.5,18.35,18.35,18.35,18.35,18.35,18.35,3,5505000.0,1,3,1.0
2017-04-21,KIOCL,EQ,18.35,19.25,19.25,19.25,19.25,19.25,19.25,2,3850000.0,1,2,1.0
2017-04-24,KIOCL,EQ,19.25,20.2,20.2,20.2,20.2,20.2,20.2,75,151500000.0,1,75,1.0
2017-04-26,KIOCL,EQ,20.2,21.2,21.2,21.2,21.2,21.2,21.2,2001,4242119999.9999995,3,2001,1.0
2017-04-27,KIOCL,EQ,21.2,22.25,22.25,22.25,22.25,22.25,22.25,100,222500000.0,1,100,1.0
2017-04-28,KIOCL,EQ,22.25,23.35,23.35,23.35,23.35,23.35,23.35,21000,49035000000.0,1,21000,1.0
2017-05-02,KIOCL,EQ,23.35,24.5,24.5,24.5,24.5,24.5,24.5,3,7350000.0,1,3,1.0
2017-05-03,KIOCL,EQ,24.5,25.7,25.7,25.7,25.7,25.7,25.7,2,5140000.0,2,2,1.0
2017-05-05,KIOCL,EQ,25.7,26.95,26.95,26.95,26.95,26.95,26.95,2,5390000.0,1,2,1.0
2017-05-09,KIOCL,EQ,26.95,28.25,28.25,28.25,28.25,28.25,28.25,2,5650000.0,1,2,1.0
2017-05-12,KIOCL,EQ,28.25,29.65,29.65,29.65,29.65,29.65,29.65,5,14825000.0,1,5,1.0
2017-05-18,KIOCL,EQ,29.65,31.1,31.1,31.1,31.1,31.1,31.1,1,3110000.0,1,1,1.0
2017-05-19,KIOCL,EQ,31.1,32.65,32.65,32.65,32.65,32.65,32.65,10,32650000.0,1,10,1.0
