Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-11-13,KIRLFER,EQ,63.0,60.2,65.95,60.2,63.25,64.0,64.36,4993,32133340000.000004,60,2977,0.5962
2019-11-14,KIRLFER,EQ,64.0,64.95,64.95,60.0,60.7,60.95,60.94,6528,39779675000.0,59,5785,0.8862000000000001
2019-11-15,KIRLFER,EQ,60.95,60.2,63.8,60.1,61.0,60.95,61.41,4483,27528280000.0,48,3368,0.7513
2019-11-18,KIRLFER,EQ,60.95,61.0,61.95,60.85,60.9,60.95,61.09,7789,47579790000.0,59,7095,0.9109
2019-11-19,KIRLFER,EQ,60.95,60.2,61.95,59.0,60.75,59.9,60.06,14665,88077545000.0,74,13525,0.9223
2019-11-20,KIRLFER,EQ,59.9,63.95,63.95,60.15,61.0,60.55,60.67,3017,18303920000.0,34,2510,0.8320000000000001
2019-11-21,KIRLFER,EQ,60.55,60.2,62.5,60.2,61.0,61.05,61.2,2318,14186420000.000002,36,1887,0.8140999999999999
2019-11-22,KIRLFER,EQ,61.05,60.6,62.4,59.8,60.9,60.9,60.35,11374,68645615000.0,102,9569,0.8412999999999999
2019-11-25,KIRLFER,EQ,60.9,60.5,62.95,60.5,60.75,61.2,61.17,3767,23042305000.0,55,2837,0.7531
2019-11-26,KIRLFER,EQ,61.2,61.95,61.95,60.05,60.9,60.4,60.64,10452,63385115000.0,88,9922,0.9493
2019-11-27,KIRLFER,EQ,60.4,61.95,63.0,60.5,61.9,62.0,62.05,8427,52285780000.0,90,4943,0.5866
2019-11-28,KIRLFER,EQ,62.0,61.0,63.3,60.1,61.0,60.9,60.78,13528,82219195000.0,2457,11321,0.8369
2019-11-29,KIRLFER,EQ,60.9,62.45,62.45,60.55,61.0,60.85,60.73,2657,16134975000.0,419,2087,0.7855
2019-12-02,KIRLFER,EQ,60.85,62.9,62.95,60.25,61.2,61.0,60.61,10464,63419500000.0,880,9602,0.9176000000000001
2019-12-03,KIRLFER,EQ,61.0,61.0,61.2,60.1,61.0,60.45,60.53,14416,87255670000.0,437,14235,0.9873999999999999
2019-12-04,KIRLFER,EQ,60.45,61.45,62.8,60.4,61.85,61.5,60.88,3127,19036395000.0,234,3003,0.9603
2019-12-05,KIRLFER,EQ,61.5,61.0,61.85,60.05,61.85,60.9,60.86,5178,31512320000.0,385,4774,0.922
2019-12-06,KIRLFER,EQ,60.9,62.7,62.7,60.25,61.0,61.15,61.29,4828,29589580000.0,171,4109,0.8511
2019-12-09,KIRLFER,EQ,61.15,67.55,67.55,60.8,60.95,61.0,61.23,3662,22423080000.0,193,3229,0.8818000000000001
