Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-06-24,KIRLOSIND,EQ,876.0,400.0,879.0,240.0,429.0,429.4,442.9,998899,44240887570000.0,,206021,0.20620000000000002
2010-06-25,KIRLOSIND,EQ,429.4,427.5,459.0,401.65,449.75,443.3,425.75,226058,9624428575000.0,,38057,0.1684
2010-06-28,KIRLOSIND,EQ,443.3,442.9,461.9,420.6,424.8,424.9,438.04,103692,4542115525000.0,,40061,0.38630000000000003
2010-06-29,KIRLOSIND,EQ,424.9,422.0,433.8,396.0,396.15,402.4,413.97,74432,3081294530000.0,,40673,0.5464
2010-06-30,KIRLOSIND,EQ,402.4,396.0,406.65,393.5,402.0,401.05,399.6,58211,2326097080000.0,,20692,0.3555
2010-07-01,KIRLOSIND,EQ,401.05,392.4,402.9,392.4,395.0,398.2,399.9,111821,4471689965000.0,,104335,0.9331
2010-07-02,KIRLOSIND,EQ,398.2,398.95,403.8,396.5,397.25,398.75,400.0,53296,2131837945000.0,,48480,0.9096
2010-07-05,KIRLOSIND,EQ,398.75,395.0,403.0,394.0,403.0,401.65,397.59,17613,700279855000.0,,14322,0.8131
2010-07-06,KIRLOSIND,EQ,401.65,398.0,401.8,396.5,399.8,399.1,399.86,21360,854107919999.9999,,18247,0.8543000000000001
2010-07-07,KIRLOSIND,EQ,399.1,395.0,400.9,395.0,397.7,396.95,398.58,3233,128859470000.0,,2102,0.6502
2010-07-08,KIRLOSIND,EQ,396.95,393.0,400.0,390.0,390.0,392.7,394.57,3373,133089000000.0,,2289,0.6786
2010-07-09,KIRLOSIND,EQ,392.7,394.0,398.0,385.0,385.0,387.6,392.04,4179,163833910000.0,,2553,0.6109
2010-07-12,KIRLOSIND,EQ,387.6,385.0,390.0,385.0,385.0,385.9,387.48,2266,87802705000.0,,1375,0.6068
2010-07-13,KIRLOSIND,EQ,385.9,386.0,390.0,380.0,384.0,382.15,386.53,3496,135131960000.00002,,2292,0.6556000000000001
2010-07-14,KIRLOSIND,EQ,382.15,381.0,383.0,376.1,380.0,378.6,379.93,3851,146311145000.0,,2583,0.6707
2010-07-15,KIRLOSIND,EQ,378.6,375.15,380.0,375.1,380.0,378.55,377.16,3282,123783230000.0,,1408,0.429
2010-07-16,KIRLOSIND,EQ,378.55,376.15,388.9,376.15,382.0,384.0,383.96,85897,3298114400000.0,,84309,0.9815
2010-07-19,KIRLOSIND,EQ,384.0,383.8,385.0,378.15,379.95,379.5,381.44,2577,98296070000.0,,1977,0.7672
2010-07-20,KIRLOSIND,EQ,379.5,372.2,380.0,372.2,376.15,376.35,377.81,1149,43410600000.0,,890,0.7746
2010-07-21,KIRLOSIND,EQ,376.35,373.05,380.0,373.05,380.0,377.2,376.67,14017,527973340000.00006,,12761,0.9104000000000001
2010-07-22,KIRLOSIND,EQ,377.2,374.5,375.0,362.55,366.8,366.05,367.94,5797,213292085000.0,,3218,0.5551
2010-07-23,KIRLOSIND,EQ,366.05,367.0,374.85,365.15,370.1,370.9,369.88,1656,61252930000.00001,,1011,0.6104999999999999
2010-07-26,KIRLOSIND,EQ,370.9,372.05,374.65,368.15,372.85,372.1,372.15,2153,80124300000.0,,1485,0.6897
2010-07-27,KIRLOSIND,EQ,372.1,370.0,376.9,367.3,372.1,372.8,371.69,2670,99241315000.0,,2000,0.7491
2010-07-28,KIRLOSIND,EQ,372.8,379.0,379.0,366.0,366.0,366.75,371.76,7939,295143020000.0,,7212,0.9084000000000001
2010-07-29,KIRLOSIND,EQ,366.75,371.9,371.9,365.1,367.0,366.3,367.03,544,19966540000.0,,446,0.8199
2010-07-30,KIRLOSIND,EQ,366.3,367.0,368.9,358.15,360.0,360.4,363.1,2878,104500350000.0,,2779,0.9656
2010-08-02,KIRLOSIND,EQ,360.4,361.05,364.85,359.0,359.0,359.35,360.2,1391,50104290000.0,,1231,0.885
2010-08-03,KIRLOSIND,EQ,359.35,363.9,364.0,356.05,362.0,360.6,361.1,1501,54201080000.00001,,848,0.5650000000000001
2010-08-04,KIRLOSIND,EQ,360.6,356.5,367.9,356.5,358.3,359.1,360.54,836,30141465000.000004,,401,0.4797
2010-08-05,KIRLOSIND,EQ,359.1,354.0,363.0,354.0,360.0,360.2,360.17,778,28021605000.0,,192,0.2468
2010-08-06,KIRLOSIND,EQ,360.2,354.0,360.0,354.0,355.05,356.85,357.03,595,21243510000.0,,434,0.7293999999999999
2010-08-09,KIRLOSIND,EQ,356.85,350.5,358.35,350.5,355.0,354.8,353.91,1700,60165385000.0,,1039,0.6112
2010-08-10,KIRLOSIND,EQ,354.8,357.95,357.95,351.1,353.0,353.55,354.06,432,15295290000.0,,257,0.5949
2010-08-11,KIRLOSIND,EQ,353.55,355.0,356.0,344.25,344.25,345.15,350.4,2970,104068775000.0,,1998,0.6727
2010-08-12,KIRLOSIND,EQ,345.15,345.65,349.9,345.0,345.5,346.0,345.95,2516,87040510000.0,,2292,0.9109999999999999
2010-08-13,KIRLOSIND,EQ,346.0,350.0,351.95,345.1,345.1,345.1,347.14,2196,76231890000.0,,2049,0.9331
2010-08-16,KIRLOSIND,EQ,345.1,345.9,345.95,317.8,336.5,336.15,335.97,1460,49052040000.0,,941,0.6445000000000001
2010-08-17,KIRLOSIND,EQ,336.15,339.0,346.3,335.0,339.9,339.55,336.93,1232,41509900000.0,,1027,0.8336
2010-08-18,KIRLOSIND,EQ,339.55,340.0,363.9,313.6,333.9,332.85,334.51,7313,244624460000.0,,5101,0.6975
2010-08-19,KIRLOSIND,EQ,332.85,332.0,348.0,330.15,339.0,339.95,339.89,51895,1763868764999.9998,,50496,0.973
2010-08-20,KIRLOSIND,EQ,339.95,336.25,344.5,336.25,336.25,337.85,341.09,13260,452287865000.00006,,12983,0.9791
2010-08-23,KIRLOSIND,EQ,337.85,341.0,341.0,334.0,334.0,335.55,337.22,7066,238281840000.0,,6668,0.9437000000000001
2010-08-24,KIRLOSIND,EQ,335.55,376.0,376.0,323.0,324.0,326.5,335.95,9752,327621490000.0,,8904,0.913
2010-08-25,KIRLOSIND,EQ,326.5,325.05,335.0,325.05,329.0,329.75,331.06,1618,53564760000.0,,864,0.534
2010-08-26,KIRLOSIND,EQ,329.75,356.3,356.3,328.0,332.55,332.5,334.24,2815,94089280000.0,,1369,0.4863
2010-08-27,KIRLOSIND,EQ,332.5,323.4,334.5,323.4,330.05,331.3,331.58,1962,65055705000.00001,,1255,0.6397
2010-08-30,KIRLOSIND,EQ,331.3,330.0,332.0,323.05,325.95,324.0,325.76,1931,62905219999.99999,,1560,0.8079000000000001
2010-08-31,KIRLOSIND,EQ,324.0,329.95,337.95,323.9,332.5,334.0,331.81,2241,74358365000.0,,1689,0.7537
2010-09-01,KIRLOSIND,EQ,334.0,330.15,339.35,330.15,339.35,337.35,336.08,1137,38211965000.0,,844,0.7423000000000001
2010-09-02,KIRLOSIND,EQ,337.35,337.0,340.0,337.0,339.0,339.55,338.24,847,28649115000.000004,,790,0.9327
2010-09-03,KIRLOSIND,EQ,339.55,334.0,346.1,334.0,343.0,342.65,340.92,926,31569134999.999996,,794,0.8575
2010-09-06,KIRLOSIND,EQ,342.65,337.2,350.0,337.2,343.0,343.1,343.72,2724,93628345000.0,,1913,0.7023
2010-09-07,KIRLOSIND,EQ,343.1,341.05,343.9,339.0,341.9,341.9,340.3,6331,215442490000.0,,5846,0.9234
2010-09-08,KIRLOSIND,EQ,341.9,346.0,346.0,338.05,342.0,341.7,341.98,11834,404695370000.0,,11342,0.9584
2010-09-09,KIRLOSIND,EQ,341.7,344.25,344.95,341.1,344.0,343.55,342.7,3238,110965750000.0,,3019,0.9324
2010-09-13,KIRLOSIND,EQ,343.55,345.0,350.0,343.0,348.0,348.0,345.64,16460,568920065000.0,,16393,0.9959
2010-09-14,KIRLOSIND,EQ,348.0,346.0,357.0,346.0,347.0,348.2,347.06,35932,1247054580000.0,,35547,0.9893000000000001
2010-09-15,KIRLOSIND,EQ,348.2,347.0,351.9,344.7,347.05,347.0,346.66,21003,728084530000.0,,20608,0.9812000000000001
2010-09-16,KIRLOSIND,EQ,347.0,345.1,349.4,345.0,349.0,347.95,346.41,12731,441014255000.0,,12552,0.9859000000000001
2010-09-17,KIRLOSIND,EQ,347.95,341.15,353.0,341.15,349.0,348.55,346.76,489,16956650000.0,,327,0.6687000000000001
2010-09-20,KIRLOSIND,EQ,348.55,356.0,363.0,354.0,362.4,361.5,360.27,4997,180028640000.0,,3853,0.7711
2010-09-21,KIRLOSIND,EQ,361.5,364.95,376.0,361.1,362.0,362.1,365.43,6346,231903629999.99997,,4720,0.7438
2010-09-22,KIRLOSIND,EQ,362.1,356.55,366.0,352.0,356.0,356.0,355.41,1660,58997250000.0,,1236,0.7445999999999999
2010-09-23,KIRLOSIND,EQ,356.0,353.25,365.0,353.25,364.0,363.6,360.92,1898,68502530000.00001,,1576,0.8303
2010-09-24,KIRLOSIND,EQ,363.6,351.3,385.4,351.3,372.0,373.55,371.86,6743,250744435000.0,,3057,0.4534
2010-09-27,KIRLOSIND,EQ,373.55,375.0,392.0,372.05,374.85,375.45,376.52,2147,80839575000.0,,1371,0.6386000000000001
2010-09-28,KIRLOSIND,EQ,375.45,370.0,378.9,369.05,375.0,374.15,375.09,5353,200787010000.0,,4722,0.8821
2010-09-29,KIRLOSIND,EQ,374.15,364.0,375.0,361.0,361.0,363.45,367.15,1033,37927045000.0,,952,0.9216
2010-09-30,KIRLOSIND,EQ,363.45,363.45,365.3,358.0,359.0,359.0,359.86,268,9644375000.0,,266,0.9925
2010-10-01,KIRLOSIND,EQ,359.0,352.05,385.0,352.05,379.05,376.85,371.17,2757,102330805000.0,,1864,0.6761
2010-10-04,KIRLOSIND,EQ,376.85,370.05,382.0,362.35,363.0,363.55,370.98,1815,67333190000.0,,1314,0.7240000000000001
2010-10-05,KIRLOSIND,EQ,363.55,364.0,365.0,359.25,360.0,360.2,361.87,1679,60757450000.0,,1486,0.8851000000000001
2010-10-06,KIRLOSIND,EQ,360.2,361.05,361.05,349.0,349.2,351.4,355.31,11399,405022500000.0,,9597,0.8419
2010-10-07,KIRLOSIND,EQ,351.4,355.0,355.05,351.0,351.0,351.3,354.36,3633,128737555000.0,,3219,0.886
2010-10-08,KIRLOSIND,EQ,351.3,360.85,360.85,347.0,349.95,349.2,350.32,2112,73987340000.0,,1637,0.7751000000000001
2010-10-11,KIRLOSIND,EQ,349.2,351.0,354.9,346.2,352.0,351.35,350.09,2953,103380820000.0,,2603,0.8815000000000001
2010-10-12,KIRLOSIND,EQ,351.35,356.05,356.05,346.3,350.0,350.2,350.34,1746,61169580000.00001,,1703,0.9754
2010-10-13,KIRLOSIND,EQ,350.2,350.0,380.0,346.0,360.0,360.0,373.66,51059,1907863545000.0,,50210,0.9834
2010-10-14,KIRLOSIND,EQ,360.0,360.0,381.0,358.0,372.0,370.15,374.48,53697,2010829105000.0,,52392,0.9756999999999999
2010-10-15,KIRLOSIND,EQ,370.15,363.1,374.9,358.0,370.0,370.3,369.19,5207,192239815000.0,,4569,0.8775000000000001
2010-10-18,KIRLOSIND,EQ,370.3,370.0,374.95,370.0,374.9,374.25,371.98,1607,59777955000.00001,,1452,0.9035
