Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2007-05-31,KMSUGAR,EQ,25.35,27.95,27.95,25.75,25.9,26.0,26.65,58321,155397175000.0,,14287,0.245
2007-06-01,KMSUGAR,EQ,26.0,26.9,26.9,25.15,26.75,26.35,26.17,13977,36581500000.0,,3935,0.2815
2007-06-04,KMSUGAR,EQ,26.35,27.95,27.95,25.25,25.5,25.7,25.62,7840,20086505000.0,,5227,0.6667000000000001
2007-06-05,KMSUGAR,EQ,25.7,25.5,25.65,25.05,25.1,25.05,25.33,3668,9291170000.0,,2767,0.7544
2007-06-06,KMSUGAR,EQ,25.05,25.1,25.6,24.5,24.7,24.85,25.14,3628,9121745000.0,,3106,0.8561
2007-06-07,KMSUGAR,EQ,24.85,23.2,25.2,23.2,24.25,24.35,24.4,3071,7494760000.000001,,1782,0.5803
2007-06-08,KMSUGAR,EQ,24.35,24.85,26.25,24.45,25.0,25.2,25.25,7770,19618010000.0,,3663,0.47140000000000004
2007-06-11,KMSUGAR,EQ,25.2,24.7,25.25,24.1,24.85,24.9,24.72,3304,8168535000.000001,,2332,0.7058
2007-06-12,KMSUGAR,EQ,24.9,24.0,24.8,23.6,24.4,24.4,24.11,2004,4830960000.0,,1213,0.6053000000000001
2007-06-13,KMSUGAR,EQ,24.4,23.5,24.95,23.5,24.6,23.8,23.88,3833,9152280000.0,,3496,0.9120999999999999
2007-06-14,KMSUGAR,EQ,23.8,23.7,24.65,23.6,24.25,24.25,24.06,2392,5754995000.0,,1800,0.7525000000000001
2007-06-15,KMSUGAR,EQ,24.25,24.05,24.65,23.5,23.65,23.65,23.91,1794,4290250000.0,,1485,0.8278
2007-06-18,KMSUGAR,EQ,23.65,23.5,23.9,23.5,23.5,23.5,23.54,1604,3776400000.0,,1604,1.0
2007-06-19,KMSUGAR,EQ,23.5,23.65,24.15,23.25,23.3,23.3,23.48,2187,5134525000.0,,2142,0.9794
2007-06-20,KMSUGAR,EQ,23.3,23.3,23.8,23.25,23.5,23.5,23.4,1058,2475810000.0,,916,0.8658
2007-06-21,KMSUGAR,EQ,23.5,23.55,24.0,23.0,24.0,24.0,23.42,1738,4070944999.9999995,,1633,0.9396
2007-06-22,KMSUGAR,EQ,24.0,24.0,24.0,23.45,23.6,23.65,23.72,1617,3835950000.0,,917,0.5671
2007-06-25,KMSUGAR,EQ,23.65,23.6,23.7,22.95,23.7,23.55,23.22,2020,4690110000.0,,1846,0.9139
2007-06-26,KMSUGAR,EQ,23.55,21.7,25.0,21.7,23.6,24.05,23.36,2478,5787760000.0,,1829,0.7381000000000001
2007-06-27,KMSUGAR,EQ,24.05,23.0,23.75,23.0,23.15,23.15,23.27,1254,2917700000.0,,1204,0.9601000000000001
2007-06-28,KMSUGAR,EQ,23.15,24.7,24.7,23.25,24.6,24.5,24.12,1203,2901435000.0,,895,0.7440000000000001
2007-06-29,KMSUGAR,EQ,24.5,23.55,27.95,23.5,26.0,26.4,26.08,34347,89569870000.0,,16888,0.4917
2007-07-02,KMSUGAR,EQ,26.4,27.75,29.0,25.05,26.75,26.2,26.72,10904,29136555000.0,,7146,0.6554000000000001
2007-07-03,KMSUGAR,EQ,26.2,26.0,26.0,23.55,24.85,24.95,24.89,4120,10256620000.0,,2022,0.4908
2007-07-04,KMSUGAR,EQ,24.95,25.8,26.75,24.9,25.5,25.55,25.7,11029,28349709999.999996,,5436,0.4929
2007-07-05,KMSUGAR,EQ,25.55,24.55,25.1,24.55,24.8,24.8,24.84,1523,3782400000.0,,698,0.4583
2007-07-06,KMSUGAR,EQ,24.8,25.9,27.0,25.0,25.5,25.35,25.52,2250,5742170000.0,,1707,0.7587
2007-07-09,KMSUGAR,EQ,25.35,25.5,25.5,24.5,25.0,25.0,25.08,2502,6274240000.0,,1901,0.7598
2007-07-10,KMSUGAR,EQ,25.0,24.0,25.0,24.0,24.7,24.35,24.61,3662,9011215000.0,,2855,0.7796
2007-07-11,KMSUGAR,EQ,24.35,23.75,25.0,23.75,24.25,24.25,24.38,1433,3493725000.0,,1354,0.9449
2007-07-12,KMSUGAR,EQ,24.25,25.25,26.7,24.15,24.5,24.5,25.09,6993,17546255000.0,,4659,0.6662
