Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2006-10-05,KSERAPRO,EQ,29.55,30.8,31.05,30.05,31.0,30.5,30.85,31044,95760080000.0,,13776,0.44380000000000003
2006-10-06,KSERAPRO,EQ,30.5,31.9,31.9,30.55,31.3,31.05,31.02,30607,94957055000.0,,15827,0.5171
2006-10-09,KSERAPRO,EQ,31.05,31.0,32.6,30.4,32.6,32.6,31.84,10915,34758475000.0,,9500,0.8704000000000001
2006-10-10,KSERAPRO,EQ,32.6,34.2,34.25,32.05,32.05,33.25,34.09,47653,162434175000.0,,40452,0.8489
2006-10-11,KSERAPRO,EQ,33.25,32.5,34.0,31.6,31.6,31.8,32.22,21327,68722460000.0,,14418,0.6759999999999999
2006-10-12,KSERAPRO,EQ,31.8,31.75,33.4,31.0,31.65,31.85,31.88,20678,65923025000.0,,16905,0.8175
2006-10-13,KSERAPRO,EQ,31.85,33.1,33.1,31.1,31.5,31.65,32.04,13070,41878655000.0,,5820,0.44530000000000003
2006-10-16,KSERAPRO,EQ,31.65,31.4,33.0,31.4,32.0,31.75,31.74,11277,35789345000.0,,8357,0.7411
2006-10-17,KSERAPRO,EQ,31.75,31.6,31.85,31.55,31.7,31.7,31.62,4818,15236150000.0,,4569,0.9483
2006-10-18,KSERAPRO,EQ,31.7,31.1,31.95,31.05,31.5,31.6,31.55,3583,11304805000.0,,3479,0.971
2006-10-19,KSERAPRO,EQ,31.6,30.6,32.4,30.6,32.4,31.9,31.73,4975,15785279999.999998,,4810,0.9668000000000001
2006-10-20,KSERAPRO,EQ,31.9,32.0,33.4,31.6,32.45,32.35,32.31,7151,23104875000.0,,5241,0.7329000000000001
2006-10-21,KSERAPRO,EQ,32.35,33.75,33.75,30.8,31.3,31.15,31.38,2245,7045580000.0,,1943,0.8654999999999999
2006-10-23,KSERAPRO,EQ,31.15,31.35,31.75,31.35,31.6,31.6,31.5,2735,8614100000.0,,2735,1.0
2006-10-26,KSERAPRO,EQ,31.6,31.75,32.1,31.7,32.1,31.9,31.8,4260,13548360000.0,,4160,0.9765
2006-10-27,KSERAPRO,EQ,31.9,31.5,31.8,31.5,31.5,31.6,31.52,6922,21819900000.0,,6922,1.0
2006-10-30,KSERAPRO,EQ,31.6,31.0,32.0,31.0,31.4,31.5,31.52,16705,52659575000.0,,15442,0.9244
2006-10-31,KSERAPRO,EQ,31.5,31.35,31.95,31.2,31.2,31.5,31.55,12212,38529070000.0,,11050,0.9048
2006-11-01,KSERAPRO,EQ,31.5,31.5,33.1,31.5,33.1,33.1,32.98,14212,46867760000.0,,13962,0.9823999999999999
2006-11-02,KSERAPRO,EQ,33.1,31.5,34.8,31.5,32.9,32.55,33.61,10920,36697365000.0,,4992,0.4571
2006-11-03,KSERAPRO,EQ,32.55,32.85,32.85,31.5,31.5,31.5,31.7,1939,6146600000.0,,1639,0.8453
2006-11-06,KSERAPRO,EQ,31.5,31.5,32.1,31.5,31.55,31.6,31.62,6983,22079665000.0,,6414,0.9185
2006-11-07,KSERAPRO,EQ,31.6,30.1,31.95,30.05,31.5,31.5,31.44,8775,27590125000.0,,7668,0.8738
2006-11-08,KSERAPRO,EQ,31.5,31.5,31.95,31.4,31.95,31.8,31.54,5777,18222670000.0,,5027,0.8702
2006-11-09,KSERAPRO,EQ,31.8,31.6,33.4,31.6,31.65,31.65,31.87,9163,29205140000.000004,,8163,0.8909
2006-11-10,KSERAPRO,EQ,31.65,31.65,33.25,31.5,33.25,33.25,32.76,18770,61498240000.0,,16660,0.8876000000000001
2006-11-13,KSERAPRO,EQ,33.25,33.25,33.25,31.6,32.0,31.9,32.16,3162,10168730000.0,,2491,0.7878000000000001
2006-11-14,KSERAPRO,EQ,31.9,31.8,31.8,30.6,31.8,31.15,31.36,55133,172900240000.0,,53621,0.9726
2006-11-15,KSERAPRO,EQ,31.15,30.3,31.75,30.3,31.55,31.5,31.31,4817,15084010000.0,,3950,0.8200000000000001
2006-11-16,KSERAPRO,EQ,31.5,30.75,31.95,30.75,31.25,31.5,31.52,3510,11064560000.0,,3460,0.9858
2006-11-17,KSERAPRO,EQ,31.5,31.0,31.0,30.5,30.5,30.7,30.97,9170,28401000000.0,,9170,1.0
2006-11-20,KSERAPRO,EQ,30.7,28.0,33.5,27.7,30.8,30.15,29.19,6393,18664250000.0,,3955,0.6186
2006-11-21,KSERAPRO,EQ,30.15,30.1,30.8,30.1,30.1,30.1,30.24,1859,5621940000.0,,1859,1.0
