Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2008-07-14,KSK,EQ,240.0,210.05,234.8,176.65,199.05,191.75,193.44,12094707,233959056544999.97,,844121,0.0698
2008-07-15,KSK,EQ,191.75,188.7,199.4,182.15,195.8,192.55,192.4,7592684,146085045430000.0,,78567,0.0103
2008-07-16,KSK,EQ,192.55,195.0,202.5,182.25,193.0,193.3,190.74,3040895,58003434720000.01,,52670,0.0173
2008-07-17,KSK,EQ,193.3,196.5,198.75,188.1,194.0,194.15,192.27,1560304,30000087670000.0,,54242,0.0348
2008-07-18,KSK,EQ,194.15,194.0,196.6,189.05,191.3,194.1,192.56,601076,11574370365000.0,,30267,0.0504
2008-07-21,KSK,EQ,194.1,193.8,194.0,187.15,188.0,190.7,190.68,260813,4973101930000.0,,21277,0.0816
2008-07-22,KSK,EQ,190.7,188.7,193.0,184.0,185.0,187.95,190.41,177067,3371494810000.0,,33448,0.1889
2008-07-23,KSK,EQ,187.95,189.8,216.9,189.8,197.0,197.7,206.08,1808804,37275265830000.0,,224807,0.1243
2008-07-24,KSK,EQ,197.7,197.5,206.9,190.5,192.0,192.9,199.14,592285,11794472990000.0,,76386,0.129
2008-07-25,KSK,EQ,192.9,192.0,192.0,184.5,185.0,185.9,188.42,165964,3127029870000.0,,26096,0.1572
2008-07-28,KSK,EQ,185.9,186.0,192.8,185.0,187.0,186.95,189.04,165040,3119953810000.0,,23654,0.1433
2008-07-29,KSK,EQ,186.95,185.0,186.0,172.0,175.35,175.4,179.27,162503,2913150480000.0,,32880,0.2023
2008-07-30,KSK,EQ,175.4,177.5,183.0,172.1,174.1,174.5,177.07,142931,2530821355000.0,,34506,0.2414
2008-07-31,KSK,EQ,174.5,175.0,178.7,169.05,169.75,170.45,172.32,128636,2216658925000.0,,34923,0.2715
2008-08-01,KSK,EQ,170.45,173.0,176.0,166.5,171.35,170.65,170.79,122156,2086305480000.0,,28822,0.2359
2008-08-04,KSK,EQ,170.65,173.0,174.9,168.0,171.25,171.65,172.86,85065,1470471045000.0,,18088,0.2126
2008-08-05,KSK,EQ,171.65,171.0,179.7,169.95,174.75,175.45,174.55,121855,2126977460000.0002,,33289,0.2732
2008-08-06,KSK,EQ,175.45,180.0,180.0,171.15,171.9,172.4,176.16,82084,1446009925000.0,,25269,0.3078
2008-08-07,KSK,EQ,172.4,170.25,176.9,170.25,172.5,172.7,174.08,80104,1394456720000.0,,14835,0.1852
2008-08-08,KSK,EQ,172.7,172.0,174.15,170.0,170.4,170.7,171.69,41549,713371115000.0,,13284,0.3197
2008-08-11,KSK,EQ,170.7,169.0,174.7,169.0,171.0,170.95,172.16,30739,529215705000.0,,12552,0.4083
2008-08-12,KSK,EQ,170.95,169.5,172.5,168.55,169.7,169.35,170.5,30562,521090770000.0,,11072,0.36229999999999996
2008-08-13,KSK,EQ,169.35,172.0,172.0,166.1,166.2,166.75,168.37,26487,445959980000.0,,11558,0.4364
2008-08-14,KSK,EQ,166.75,165.0,169.0,160.25,160.7,161.8,164.26,31577,518672720000.0,,13485,0.42710000000000004
2008-08-18,KSK,EQ,161.8,158.3,165.7,158.3,158.4,159.95,162.5,58769,954973700000.0,,15760,0.2682
2008-08-19,KSK,EQ,159.95,158.0,159.0,156.0,156.95,156.4,156.86,17650,276857850000.0,,6912,0.39159999999999995
2008-08-20,KSK,EQ,156.4,160.0,160.0,156.15,156.15,157.85,158.24,27679,438002540000.00006,,6880,0.2486
2008-08-21,KSK,EQ,157.85,156.85,157.5,150.6,150.6,151.4,154.48,17792,274841925000.0,,9396,0.5281
2008-08-22,KSK,EQ,151.4,155.0,155.0,146.0,148.45,147.3,148.06,26042,385570625000.0,,13095,0.5028
2008-08-25,KSK,EQ,147.3,150.0,151.95,147.5,148.35,148.4,149.98,28742,431069920000.0,,8692,0.3024
2008-08-26,KSK,EQ,148.4,145.1,158.95,145.0,156.0,153.15,151.02,35786,540426225000.0,,21058,0.5884
2008-08-27,KSK,EQ,153.15,156.9,175.5,155.0,169.8,170.05,169.98,1180464,20065102400000.0,,84305,0.0714
2008-08-28,KSK,EQ,170.05,171.0,174.9,166.55,168.5,173.05,171.9,873225,15010774260000.0,,120849,0.1384
2008-08-29,KSK,EQ,173.05,179.9,180.0,167.5,180.0,175.95,173.92,892907,15529386969999.998,,201659,0.2258
2008-09-01,KSK,EQ,175.95,173.0,194.0,172.0,192.85,189.4,183.74,486707,8942994465000.0,,98200,0.2018
2008-09-02,KSK,EQ,189.4,189.0,204.9,189.0,204.9,196.9,195.26,696666,13603288010000.0,,140462,0.2016
2008-09-04,KSK,EQ,196.9,197.2,217.8,193.0,210.25,211.25,210.77,1149452,24227189635000.0,,90148,0.0784
2008-09-05,KSK,EQ,211.25,218.0,219.0,205.05,209.0,209.65,212.99,1016545,21651640895000.0,,84707,0.0833
2008-09-08,KSK,EQ,209.65,225.0,225.0,212.0,215.0,213.85,215.66,310445,6695199940000.0,,45648,0.147
2008-09-09,KSK,EQ,213.85,218.5,218.5,208.0,215.0,211.4,211.34,162307,3430183185000.0,,14703,0.0906
2008-09-10,KSK,EQ,211.4,208.0,209.75,202.55,205.7,205.55,205.21,174873,3588562495000.0005,,15161,0.0867
2008-09-11,KSK,EQ,205.55,205.0,205.0,188.0,193.9,195.65,194.58,126957,2470339110000.0,,13647,0.1075
2008-09-12,KSK,EQ,195.65,198.8,198.8,183.25,185.25,188.45,191.35,161019,3081100935000.0,,11933,0.0741
2008-09-15,KSK,EQ,188.45,188.9,194.9,160.0,194.9,176.9,170.39,121865,2076484910000.0002,,28356,0.2327
2008-09-16,KSK,EQ,176.9,185.0,210.0,151.4,208.9,202.9,183.32,665012,12190855440000.0,,48620,0.0731
2008-09-17,KSK,EQ,202.9,208.0,217.7,191.25,216.1,211.95,205.16,1693069,34735241900000.0,,55439,0.0327
2008-09-18,KSK,EQ,211.95,207.0,229.0,195.3,229.0,217.95,209.44,765076,16023844840000.0,,48259,0.0631
2008-09-19,KSK,EQ,217.95,221.0,237.0,219.0,226.0,232.8,228.47,1217229,27810100545000.0,,280593,0.2305
2008-09-22,KSK,EQ,232.8,227.4,241.8,218.2,232.0,231.85,232.42,787078,18293247675000.0,,30776,0.0391
2008-09-23,KSK,EQ,231.85,232.1,239.95,226.0,228.25,231.15,234.2,808860,18943702495000.0,,30331,0.0375
2008-09-24,KSK,EQ,231.15,233.8,237.95,224.5,226.6,228.65,232.32,507043,11779645505000.0,,30481,0.0601
2008-09-25,KSK,EQ,228.65,230.0,230.0,207.7,217.3,218.35,218.1,549718,11989081555000.0,,28940,0.0526
2008-09-26,KSK,EQ,218.35,220.0,221.8,207.0,207.1,211.7,216.33,231128,4999891805000.0,,18882,0.0817
2008-09-29,KSK,EQ,211.7,211.0,214.9,193.5,195.15,199.2,203.29,209615,4261219720000.0005,,18741,0.0894
2008-09-30,KSK,EQ,199.2,195.0,245.0,181.2,238.0,237.4,221.05,562574,12435457900000.0,,93352,0.1659
2008-10-01,KSK,EQ,237.4,227.05,242.2,220.05,222.0,223.85,232.63,555354,12919292275000.0,,44890,0.0808
2008-10-03,KSK,EQ,223.85,205.6,231.0,205.6,223.15,219.35,222.99,327357,7299651920000.0,,18317,0.055999999999999994
2008-10-06,KSK,EQ,219.35,214.15,218.55,205.0,206.0,208.05,210.69,144016,3034317770000.0,,12931,0.0898
2008-10-07,KSK,EQ,208.05,203.25,224.0,193.3,195.0,196.65,204.38,228420,4668364440000.0,,31322,0.1371
2008-10-08,KSK,EQ,196.65,190.0,192.0,172.0,186.0,184.2,182.06,123729,2252649390000.0,,15332,0.12390000000000001
2008-10-10,KSK,EQ,184.2,160.0,198.9,160.0,184.5,187.1,186.6,130932,2443142125000.0,,12631,0.0965
2008-10-13,KSK,EQ,187.1,195.0,205.0,188.0,190.0,193.25,197.46,112505,2221486370000.0,,14484,0.12869999999999998
2008-10-14,KSK,EQ,193.25,195.0,205.95,181.0,184.8,188.6,198.92,149963,2983086150000.0,,25841,0.1723
2008-10-15,KSK,EQ,188.6,185.1,190.5,175.05,176.6,176.9,181.86,44255,804823200000.0,,9203,0.20800000000000002
2008-10-16,KSK,EQ,176.9,168.0,179.85,162.05,172.95,172.2,172.77,55104,952042694999.9999,,8223,0.1492
2008-10-17,KSK,EQ,172.2,173.0,191.0,160.0,162.1,170.95,180.77,113697,2055312795000.0,,9863,0.0867
2008-10-20,KSK,EQ,170.95,172.0,175.9,160.7,167.0,164.85,169.32,78323,1326151880000.0,,7975,0.1018
2008-10-21,KSK,EQ,164.85,167.0,172.5,164.0,168.0,167.05,168.69,65747,1109063880000.0,,9464,0.1439
2008-10-22,KSK,EQ,167.05,162.1,165.8,159.0,159.25,160.05,161.82,31306,506602559999.99994,,6939,0.2217
2008-10-23,KSK,EQ,160.05,151.3,157.0,145.0,146.1,148.1,151.86,27182,412773025000.0,,6108,0.22469999999999998
2008-10-24,KSK,EQ,148.1,140.1,144.7,122.55,127.0,126.85,135.71,21645,293747130000.0,,8496,0.3925
2008-10-27,KSK,EQ,126.85,132.0,132.0,106.15,116.45,118.9,114.69,14316,164191900000.0,,5308,0.37079999999999996
2008-10-28,KSK,EQ,118.9,127.0,135.0,121.55,134.75,128.0,126.41,10526,133061800000.0,,4044,0.38420000000000004
2008-10-29,KSK,EQ,128.0,130.6,145.95,127.0,132.0,138.3,139.3,123030,1713778314999.9998,,22733,0.18480000000000002
2008-10-31,KSK,EQ,138.3,140.0,140.15,130.1,130.2,133.4,136.79,62021,848374660000.0,,16129,0.2601
2008-11-03,KSK,EQ,133.4,141.0,150.0,135.0,143.0,145.65,144.11,51786,746263185000.0,,16198,0.3128
2008-11-04,KSK,EQ,145.65,150.0,150.0,140.2,145.9,145.1,145.75,34308,500033615000.00006,,7592,0.2213
2008-11-05,KSK,EQ,145.1,155.0,155.0,130.8,139.9,137.65,145.98,35883,523827675000.0,,10538,0.2937
2008-11-06,KSK,EQ,137.65,133.0,140.5,131.0,138.0,137.05,136.32,24717,336947220000.0,,4995,0.2021
2008-11-07,KSK,EQ,137.05,142.8,144.4,133.1,142.5,141.45,141.39,23524,332606650000.0,,7766,0.3301
2008-11-10,KSK,EQ,141.45,147.0,147.5,142.0,145.0,143.8,144.54,15793,228275540000.0,,5292,0.3351
2008-11-11,KSK,EQ,143.8,149.0,165.0,142.2,144.0,144.3,148.36,65252,968047460000.0,,10508,0.161
2008-11-12,KSK,EQ,144.3,143.5,147.0,138.75,139.25,139.85,143.29,19820,283997420000.0,,3698,0.18660000000000002
2008-11-14,KSK,EQ,139.85,145.0,150.0,138.8,140.25,140.8,144.07,18576,267631695000.00003,,5926,0.319
2008-11-17,KSK,EQ,140.8,138.1,140.1,135.35,138.5,138.25,137.46,13792,189578100000.0,,4182,0.3032
2008-11-18,KSK,EQ,138.25,131.6,135.95,131.6,132.75,133.7,134.29,5712,76704695000.0,,2438,0.4268
2008-11-19,KSK,EQ,133.7,136.0,138.0,125.65,126.05,129.95,132.88,7118,94584910000.0,,2361,0.33170000000000005
2008-11-20,KSK,EQ,129.95,129.95,129.95,115.3,120.0,119.65,120.55,8603,103711365000.0,,2337,0.2716
2008-11-21,KSK,EQ,119.65,110.0,125.1,110.0,120.35,120.3,120.75,12887,155613715000.0,,3316,0.25730000000000003
2008-11-24,KSK,EQ,120.3,119.0,126.0,119.0,122.9,121.85,123.19,7430,91532250000.0,,1476,0.19870000000000002
2008-11-25,KSK,EQ,121.85,123.2,138.7,120.6,135.0,134.6,130.39,54245,707302720000.0,,23993,0.44229999999999997
2008-11-26,KSK,EQ,134.6,125.7,143.0,125.7,130.1,132.55,136.89,28632,391946700000.0,,3392,0.1185
2008-11-28,KSK,EQ,132.55,138.0,160.0,127.0,160.0,153.65,148.55,56811,843908969999.9999,,23690,0.41700000000000004
2008-12-01,KSK,EQ,153.65,145.0,161.0,145.0,153.25,154.45,155.36,68818,1069128419999.9999,,8524,0.12390000000000001
2008-12-02,KSK,EQ,154.45,140.0,155.0,140.0,152.05,152.75,148.69,22337,332134575000.0,,2690,0.1204
2008-12-03,KSK,EQ,152.75,150.0,159.75,150.0,155.1,157.75,156.34,31065,485658125000.0,,4306,0.1386
