Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-01-01,LYKALABS,EQ,69.0,63.1,63.1,63.0,,63.05,63.03,400,2521000000.0,,,
1996-01-02,LYKALABS,EQ,63.05,65.0,65.0,65.0,,65.0,65.0,100,650000000.0,,,
1996-01-04,LYKALABS,EQ,65.0,65.0,65.0,65.0,,65.0,65.0,100,650000000.0,,,
1996-01-09,LYKALABS,EQ,65.0,63.75,63.75,58.5,,61.15,61.13,200,1222500000.0,,,
1996-01-10,LYKALABS,EQ,61.15,59.0,59.0,59.0,,59.0,59.0,100,590000000.0,,,
1996-01-11,LYKALABS,EQ,59.0,60.0,60.0,60.0,,60.0,60.0,100,600000000.0,,,
1996-01-12,LYKALABS,EQ,60.0,60.0,60.05,60.05,,60.05,60.05,100,600500000.0,,,
1996-01-16,LYKALABS,EQ,60.05,60.05,60.6,60.0,,60.6,60.35,500,3017500000.0,,,
1996-01-17,LYKALABS,EQ,60.6,60.0,60.0,60.0,,60.0,60.0,100,600000000.0,,,
1996-01-18,LYKALABS,EQ,60.0,60.0,60.0,60.0,,60.0,60.0,100,600000000.0,,,
1996-01-19,LYKALABS,EQ,60.0,60.0,60.0,60.0,,60.0,60.0,100,600000000.0,,,
1996-01-23,LYKALABS,EQ,60.0,58.0,58.25,56.0,,56.0,57.75,700,4042500000.0,,,
1996-01-25,LYKALABS,EQ,56.0,56.0,54.0,54.0,,54.0,54.0,200,1080000000.0,,,
1996-01-30,LYKALABS,EQ,54.0,54.0,58.0,56.0,,57.55,57.13,600,3428000000.0,,,
1996-02-01,LYKALABS,EQ,57.55,54.85,58.0,54.85,,58.0,56.43,200,1128500000.0,,,
1996-02-02,LYKALABS,EQ,58.0,60.0,60.0,60.0,,60.0,60.0,100,600000000.0,,,
1996-02-07,LYKALABS,EQ,60.0,64.0,64.0,64.0,,64.0,64.0,100,640000000.0,,,
1996-02-14,LYKALABS,EQ,64.0,67.0,67.0,67.0,,67.0,67.0,100,670000000.0,,,
1996-02-15,LYKALABS,EQ,67.0,67.0,65.05,64.1,,65.05,64.58,200,1291500000.0,,,
1996-02-16,LYKALABS,EQ,65.05,65.05,66.0,66.0,,66.0,66.0,100,660000000.0,,,
1996-02-19,LYKALABS,EQ,66.0,66.75,66.75,66.75,,66.75,66.75,200,1335000000.0,,,
1996-02-20,LYKALABS,EQ,66.75,70.0,70.0,70.0,,70.0,70.0,100,700000000.0,,,
1996-02-23,LYKALABS,EQ,70.0,70.0,69.5,69.5,,69.5,69.5,200,1390000000.0,,,
1996-02-26,LYKALABS,EQ,69.5,69.5,69.75,67.5,,69.75,68.63,200,1372500000.0,,,
1996-02-27,LYKALABS,EQ,69.75,68.5,68.5,68.5,,68.5,68.5,100,685000000.0,,,
1996-02-29,LYKALABS,EQ,68.5,68.5,66.55,66.55,,66.55,66.55,100,665500000.0,,,
1996-03-01,LYKALABS,EQ,66.55,65.0,65.0,60.0,,60.0,63.33,300,1900000000.0,,,
1996-03-04,LYKALABS,EQ,60.0,66.0,66.0,64.9,,64.95,65.28,300,1958500000.0,,,
1996-03-07,LYKALABS,EQ,64.95,68.5,68.5,68.5,,68.5,68.5,100,685000000.0,,,
1996-03-12,LYKALABS,EQ,68.5,61.7,61.7,61.7,,61.7,61.7,100,617000000.0,,,
1996-03-15,LYKALABS,EQ,61.7,59.5,59.5,59.5,,59.5,59.5,100,595000000.0,,,
1996-03-21,LYKALABS,EQ,59.5,58.0,58.0,58.0,,58.0,58.0,100,580000000.0,,,
1996-03-26,LYKALABS,EQ,58.0,62.0,62.0,62.0,,62.0,62.0,100,620000000.0,,,
1996-03-29,LYKALABS,EQ,62.0,62.0,62.0,62.0,,62.0,62.0,100,620000000.0,,,
1996-04-10,LYKALABS,EQ,62.0,62.0,60.0,60.0,,60.0,60.0,100,600000000.0,,,
1996-04-12,LYKALABS,EQ,60.0,57.5,57.5,57.5,,57.5,57.5,200,1150000000.0,,,
1996-04-15,LYKALABS,EQ,57.5,57.5,57.0,55.0,,56.0,56.0,200,1120000000.0,,,
1996-04-16,LYKALABS,EQ,56.0,50.5,59.0,50.5,,59.0,55.56,500,2778000000.0,,,
1996-04-18,LYKALABS,EQ,59.0,59.0,60.0,58.0,,60.0,58.4,500,2920000000.0,,,
1996-04-19,LYKALABS,EQ,60.0,60.0,66.0,62.0,,64.7,64.59,800,5167500000.0,,,
1996-04-22,LYKALABS,EQ,64.7,64.7,66.0,64.0,,64.0,64.22,1500,9633500000.0,,,
1996-04-23,LYKALABS,EQ,64.0,64.0,61.0,57.5,,57.5,59.56,900,5360000000.0,,,
1996-04-24,LYKALABS,EQ,57.5,57.5,62.0,60.0,,60.6,61.0,1000,6100000000.0,,,
1996-04-25,LYKALABS,EQ,60.6,60.6,59.95,59.95,,59.95,59.95,100,599500000.0,,,
1996-04-29,LYKALABS,EQ,59.95,59.95,61.0,61.0,,61.0,61.0,100,610000000.0,,,
1996-04-30,LYKALABS,EQ,61.0,59.1,59.5,55.0,,59.2,58.52,1200,7022000000.0,,,
1996-05-01,LYKALABS,EQ,59.2,59.2,61.7,61.0,,61.7,61.35,200,1227000000.0,,,
1996-05-02,LYKALABS,EQ,61.7,61.7,61.0,61.0,,61.0,61.0,100,610000000.0,,,
1996-05-03,LYKALABS,EQ,61.0,61.0,60.0,60.0,,60.0,60.0,100,600000000.0,,,
1996-05-06,LYKALABS,EQ,60.0,60.0,60.0,60.0,,60.0,60.0,100,600000000.0,,,
1996-05-07,LYKALABS,EQ,60.0,60.0,60.3,60.0,,60.3,60.15,200,1203000000.0,,,
1996-05-08,LYKALABS,EQ,60.3,60.3,66.0,65.0,,66.0,65.67,300,1970000000.0,,,
1996-05-10,LYKALABS,EQ,66.0,62.0,62.25,62.0,,62.25,62.08,300,1862500000.0,,,
1996-05-14,LYKALABS,EQ,62.25,62.25,64.0,63.05,,63.5,63.52,300,1905500000.0,,,
1996-05-15,LYKALABS,EQ,63.5,63.5,63.5,63.5,,63.5,63.5,100,635000000.0,,,
1996-05-16,LYKALABS,EQ,63.5,63.5,65.0,63.0,,65.0,63.5,400,2540000000.0,,,
