Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2007-12-20,MADHAV,EQ,101.5,114.0,114.0,102.0,106.2,107.25,110.58,133824,1479869410000.0,,17556,0.13119999999999998
2007-12-24,MADHAV,EQ,107.25,112.7,112.7,105.1,109.0,109.8,109.85,58286,640294305000.0,,28260,0.48490000000000005
2007-12-26,MADHAV,EQ,109.8,109.6,119.45,108.25,113.6,112.9,112.83,33425,377140940000.0,,13996,0.41869999999999996
2007-12-27,MADHAV,EQ,112.9,114.25,117.0,112.75,116.3,115.45,116.04,52506,609264495000.0,,26245,0.49979999999999997
2007-12-28,MADHAV,EQ,115.45,119.0,128.9,112.5,121.15,122.5,118.64,44752,530919559999.99994,,7286,0.16280000000000003
2007-12-31,MADHAV,EQ,122.5,136.0,136.0,123.0,126.9,127.35,127.35,75623,963092685000.0,,49277,0.6516
2008-01-01,MADHAV,EQ,127.35,128.5,133.95,125.1,125.95,125.7,128.99,30849,397927865000.0,,6979,0.2262
2008-01-02,MADHAV,EQ,125.7,125.0,135.0,118.5,119.75,120.05,125.05,174946,2187640955000.0,,77955,0.44560000000000005
2008-01-03,MADHAV,EQ,120.05,121.0,135.0,97.2,99.9,100.85,107.4,671147,7208305184999.999,,188547,0.2809
2008-01-04,MADHAV,EQ,100.85,105.0,105.0,95.1,100.75,101.05,100.94,245915,2482209200000.0,,86129,0.3502
2008-01-07,MADHAV,EQ,101.05,101.0,102.9,95.1,101.5,101.55,101.45,26392,267739365000.0,,16376,0.6204999999999999
2008-01-08,MADHAV,EQ,101.55,108.0,108.0,95.1,95.1,96.2,98.86,23507,232385420000.00003,,14452,0.6148
2008-01-09,MADHAV,EQ,96.2,96.5,98.0,93.35,95.25,94.95,95.05,11518,109480764999.99998,,9115,0.7914
2008-01-10,MADHAV,EQ,94.95,95.5,98.55,92.0,92.0,93.05,96.08,16261,156229500000.0,,10207,0.6277
2008-01-11,MADHAV,EQ,93.05,90.65,92.95,86.6,89.15,89.2,89.48,12951,115881639999.99998,,10756,0.8305
2008-01-14,MADHAV,EQ,89.2,89.5,96.0,89.0,94.05,93.6,91.24,13331,121631175000.0,,7817,0.5864
2008-01-15,MADHAV,EQ,93.6,96.95,96.95,93.05,93.15,94.2,94.67,9692,91757250000.0,,4645,0.4793
2008-01-16,MADHAV,EQ,94.2,90.0,92.95,89.6,92.0,91.75,90.97,7550,68679915000.0,,5196,0.6881999999999999
2008-01-17,MADHAV,EQ,91.75,98.0,98.0,88.5,93.35,93.75,94.11,9625,90576170000.0,,3617,0.37579999999999997
2008-01-18,MADHAV,EQ,93.75,95.0,100.95,90.0,90.0,92.5,97.39,103266,1005671515000.0,,34336,0.3325
2008-01-21,MADHAV,EQ,92.5,91.0,93.9,74.25,77.0,77.5,86.45,11797,101988300000.0,,7201,0.6104
2008-01-22,MADHAV,EQ,77.5,75.0,92.0,63.0,67.0,67.35,73.24,4257,31177630000.0,,3608,0.8475
2008-01-23,MADHAV,EQ,67.35,67.05,75.4,67.0,70.7,71.15,71.04,13699,97314565000.0,,12355,0.9019
2008-01-24,MADHAV,EQ,71.15,74.4,80.0,67.0,67.15,67.25,69.31,10899,75541700000.0,,9653,0.8856999999999999
2008-01-25,MADHAV,EQ,67.25,70.0,73.95,69.15,72.25,73.1,71.9,4501,32363150000.0,,3530,0.7843000000000001
2008-01-28,MADHAV,EQ,73.1,74.5,74.9,72.0,73.0,73.2,72.85,3780,27537180000.0,,2944,0.7787999999999999
2008-01-29,MADHAV,EQ,73.2,75.0,75.0,70.0,73.0,72.0,72.0,7935,57132860000.0,,5409,0.6817000000000001
2008-01-30,MADHAV,EQ,72.0,74.0,74.75,70.0,70.75,70.95,71.78,3072,22050355000.0,,1394,0.45380000000000004
2008-01-31,MADHAV,EQ,70.95,71.1,73.3,57.0,62.0,61.15,62.94,10288,64753835000.0,,9867,0.9591
2008-02-01,MADHAV,EQ,61.15,64.8,71.4,64.8,70.0,69.8,67.78,9001,61012640000.0,,5408,0.6008
