Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2017-11-10,MAHLOG,EQ,429.0,429.0,433.85,416.1,429.0,429.5,426.81,10214458,435967357855000.0,152659,4067537,0.3982
2017-11-13,MAHLOG,EQ,429.5,429.0,430.8,423.1,423.7,426.7,428.11,442628,18949463780000.0,22176,306664,0.6928
2017-11-14,MAHLOG,EQ,426.7,423.5,428.95,419.0,425.8,425.05,423.85,258651,10963024335000.0,6427,185778,0.7183
2017-11-15,MAHLOG,EQ,425.05,425.0,426.0,418.0,421.15,421.7,422.12,271204,11447981520000.0,9457,197307,0.7275
2017-11-16,MAHLOG,EQ,421.7,420.25,422.0,413.15,413.9,415.3,416.87,106384,4434789780000.0,4552,69401,0.6524
2017-11-17,MAHLOG,EQ,415.3,418.0,418.9,405.1,408.0,407.95,408.21,222289,9074059215000.0,9287,139949,0.6296
2017-11-20,MAHLOG,EQ,407.95,418.0,421.0,414.1,418.0,418.35,417.52,277728,11595815525000.0,10561,172667,0.6217
2017-11-21,MAHLOG,EQ,418.35,421.0,432.9,421.0,424.0,424.0,428.02,536434,22960714365000.0,17203,308139,0.5744
2017-11-22,MAHLOG,EQ,424.0,428.9,429.0,421.9,425.9,425.85,425.25,87422,3717652604999.9995,3657,49524,0.5665
2017-11-23,MAHLOG,EQ,425.85,426.0,431.0,426.0,427.4,427.3,428.4,108904,4665409245000.0,6624,70618,0.6484000000000001
2017-11-24,MAHLOG,EQ,427.3,428.9,452.0,427.25,444.0,448.15,443.92,1805688,80157248070000.0,31779,919740,0.5094
2017-11-27,MAHLOG,EQ,448.15,447.0,457.0,443.0,449.5,449.7,449.53,269238,12103148050000.0,9642,135422,0.503
2017-11-28,MAHLOG,EQ,449.7,448.0,451.3,438.6,445.0,446.5,445.55,155667,6935789715000.001,5234,83220,0.5346000000000001
2017-11-29,MAHLOG,EQ,446.5,447.0,461.25,442.0,445.5,448.4,451.17,445404,20095470630000.0,14245,214716,0.48210000000000003
2017-11-30,MAHLOG,EQ,448.4,445.5,455.0,445.35,447.85,447.6,450.34,129143,5815812535000.0,5892,74266,0.5751
2017-12-01,MAHLOG,EQ,447.6,450.0,455.0,440.0,440.0,441.65,447.94,137028,6138091500000.0,4609,61027,0.4454
2017-12-04,MAHLOG,EQ,441.65,446.9,446.95,428.2,429.65,430.3,434.52,122982,5343823450000.0,3177,79940,0.65
2017-12-05,MAHLOG,EQ,430.3,433.0,433.0,418.0,428.6,429.1,424.34,129246,5484444655000.0,3332,76723,0.5936
2017-12-06,MAHLOG,EQ,429.1,429.0,434.95,425.0,433.7,431.35,429.41,152293,6539591515000.0,2455,121006,0.7946
2017-12-07,MAHLOG,EQ,431.35,434.0,441.0,426.25,438.5,439.6,436.73,163933,7159506750000.0,6461,132637,0.8090999999999999
2017-12-08,MAHLOG,EQ,439.6,435.55,446.0,427.0,440.1,442.4,442.47,469640,20780324865000.0,4268,395636,0.8423999999999999
2017-12-11,MAHLOG,EQ,442.4,441.0,443.8,436.65,440.0,439.7,439.0,90895,3990302940000.0,4188,63462,0.6981999999999999
2017-12-12,MAHLOG,EQ,439.7,437.85,438.9,432.0,436.05,435.0,435.44,35698,1554430010000.0,2054,20945,0.5867
2017-12-13,MAHLOG,EQ,435.0,437.25,440.0,434.0,434.0,434.55,437.56,48851,2137523985000.0002,4576,30280,0.6198
2017-12-14,MAHLOG,EQ,434.55,434.55,438.0,433.0,434.5,434.55,434.85,32675,1420876850000.0,1745,18418,0.5637
2017-12-15,MAHLOG,EQ,434.55,442.5,446.0,437.0,437.2,439.05,439.97,70626,3107333700000.0,4744,44988,0.637
2017-12-18,MAHLOG,EQ,439.05,438.0,439.05,429.0,436.95,434.9,434.72,49225,2139925295000.0,3359,30099,0.6115
2017-12-19,MAHLOG,EQ,434.9,433.5,446.85,432.0,445.0,445.5,440.96,435065,19184582840000.0,16538,310584,0.7139
2017-12-20,MAHLOG,EQ,445.5,445.0,445.0,436.5,442.25,442.45,440.5,125262,5517733315000.0,9702,102937,0.8218000000000001
2017-12-21,MAHLOG,EQ,442.45,440.0,472.0,440.0,456.0,454.45,452.9,370894,16797662960000.0,14132,193090,0.5206000000000001
2017-12-22,MAHLOG,EQ,454.45,458.0,459.95,449.9,450.0,450.9,453.79,99855,4531318725000.0,4154,51373,0.5145000000000001
