Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2006-04-05,MALUPAPER,EQ,30.0,30.0,37.0,30.0,31.5,32.45,33.94,10038276,34073139514999.996,,1891973,0.18850000000000003
2006-04-07,MALUPAPER,EQ,32.45,31.8,32.95,29.15,29.15,29.75,31.09,1676865,5212803895000.0,,478993,0.2856
2006-04-10,MALUPAPER,EQ,29.75,30.0,30.25,27.5,27.7,27.7,28.33,383991,1087968169999.9999,,175891,0.4581
2006-04-12,MALUPAPER,EQ,27.7,28.8,28.9,25.0,25.1,25.35,26.31,380584,1001326115000.0,,167019,0.4388
2006-04-13,MALUPAPER,EQ,25.35,26.3,26.3,21.55,22.7,22.45,23.06,549180,1266144845000.0,,229499,0.4179
2006-04-17,MALUPAPER,EQ,22.45,22.95,23.5,22.1,22.4,22.35,22.72,182159,413798425000.0,,82981,0.45549999999999996
2006-04-18,MALUPAPER,EQ,22.35,23.2,23.2,21.6,21.95,21.8,21.89,182505,399481440000.0,,90066,0.49350000000000005
2006-04-19,MALUPAPER,EQ,21.8,22.0,22.5,21.05,21.45,21.3,21.45,136183,292053440000.0,,58916,0.4326
2006-04-20,MALUPAPER,EQ,21.3,22.0,22.0,20.1,20.55,20.4,20.57,155395,319721330000.0,,98719,0.6353
2006-04-21,MALUPAPER,EQ,20.4,19.75,21.9,19.75,21.0,20.85,20.9,263830,551511975000.0,,84863,0.32170000000000004
2006-04-24,MALUPAPER,EQ,20.85,20.45,23.5,20.0,22.8,22.75,22.29,440925,983016705000.0001,,134922,0.306
2006-04-25,MALUPAPER,EQ,22.75,22.6,24.5,22.55,22.7,22.8,23.43,293416,687467400000.0,,125263,0.4269
2006-04-26,MALUPAPER,EQ,22.8,23.35,23.45,22.0,22.35,22.3,22.59,105434,238204510000.0,,55197,0.5235000000000001
2006-04-27,MALUPAPER,EQ,22.3,21.75,22.65,21.7,21.85,21.9,22.01,73542,161854720000.0,,34988,0.4758
2006-04-28,MALUPAPER,EQ,21.9,21.1,22.3,20.45,21.5,21.65,21.53,54024,116304845000.0,,40251,0.7451000000000001
2006-04-29,MALUPAPER,EQ,21.65,21.0,22.4,21.0,22.25,22.1,21.93,29951,65681010000.0,,16542,0.5523
2006-05-02,MALUPAPER,EQ,22.1,22.55,23.25,22.1,22.6,22.7,22.76,98531,224228660000.0,,65061,0.6603
2006-05-03,MALUPAPER,EQ,22.7,22.7,23.15,22.4,22.5,22.55,22.71,53199,120796014999.99998,,40735,0.7656999999999999
2006-05-04,MALUPAPER,EQ,22.55,23.0,23.0,22.1,22.7,22.7,22.72,42953,97604600000.0,,31304,0.7288
2006-05-05,MALUPAPER,EQ,22.7,22.9,23.35,22.25,22.5,22.3,22.64,80757,182803775000.0,,54751,0.6779999999999999
2006-05-08,MALUPAPER,EQ,22.3,22.1,23.0,22.1,22.7,22.75,22.81,64833,147890345000.0,,50684,0.7818
2006-05-09,MALUPAPER,EQ,22.75,22.35,22.75,22.35,22.6,22.55,22.55,36128,81478390000.0,,29946,0.8289
2006-05-10,MALUPAPER,EQ,22.55,22.4,23.5,22.2,22.75,22.8,22.99,78707,180913655000.0,,49359,0.6271
2006-05-11,MALUPAPER,EQ,22.8,23.0,23.0,22.4,22.4,22.55,22.68,31895,72325085000.0,,27555,0.8639
2006-05-12,MALUPAPER,EQ,22.55,22.5,23.3,22.3,22.95,22.95,22.68,51450,116702285000.00002,,36037,0.7004
2006-05-15,MALUPAPER,EQ,22.95,23.0,23.15,22.2,22.2,22.4,22.65,57132,129430220000.0,,44509,0.7791
2006-05-16,MALUPAPER,EQ,22.4,22.05,22.4,20.5,21.0,21.35,21.5,60618,130316530000.0,,40389,0.6663
2006-05-17,MALUPAPER,EQ,21.35,21.85,22.4,21.85,21.9,22.0,22.04,33707,74290705000.0,,26201,0.7773000000000001
2006-05-18,MALUPAPER,EQ,22.0,21.3,21.75,20.45,20.6,20.6,21.05,43134,90808210000.0,,33643,0.78
2006-05-19,MALUPAPER,EQ,20.6,20.0,22.0,18.25,19.5,19.05,19.94,43453,86665575000.0,,25881,0.5956
2006-05-22,MALUPAPER,EQ,19.05,19.5,19.5,16.05,18.0,17.7,18.0,57320,103152990000.0,,32860,0.5733
2006-05-23,MALUPAPER,EQ,17.7,16.5,18.8,15.3,18.25,18.35,17.96,30586,54926080000.00001,,21552,0.7046
2006-05-24,MALUPAPER,EQ,18.35,19.65,20.0,18.5,18.9,19.1,19.31,35719,68959350000.0,,17781,0.4978
2006-05-25,MALUPAPER,EQ,19.1,18.05,19.4,18.0,19.4,19.1,18.77,14903,27970155000.0,,11244,0.7545000000000001
2006-05-26,MALUPAPER,EQ,19.1,19.25,19.75,17.7,18.0,18.05,18.55,43745,81157080000.0,,32878,0.7515999999999999
2006-05-29,MALUPAPER,EQ,18.05,18.5,19.15,18.45,18.6,18.75,18.85,10998,20731765000.0,,8784,0.7987000000000001
2006-05-30,MALUPAPER,EQ,18.75,19.0,19.2,18.3,18.8,18.7,18.75,10644,19961205000.0,,7779,0.7308
2006-05-31,MALUPAPER,EQ,18.7,18.35,18.35,17.05,17.95,17.9,17.72,13203,23395445000.0,,8920,0.6756000000000001
2006-06-01,MALUPAPER,EQ,17.9,17.6,18.25,17.2,17.2,17.35,17.54,12274,21532095000.0,,9708,0.7909
2006-06-02,MALUPAPER,EQ,17.35,16.5,17.0,15.55,16.9,16.5,16.41,33351,54730240000.0,,21392,0.6414
2006-06-05,MALUPAPER,EQ,16.5,16.1,17.0,16.05,17.0,16.9,16.47,12987,21396050000.0,,8331,0.6415000000000001
2006-06-06,MALUPAPER,EQ,16.9,16.6,17.0,15.65,15.65,15.85,16.05,13466,21616555000.0,,11784,0.8751000000000001
2006-06-07,MALUPAPER,EQ,15.85,16.2,16.2,14.0,14.5,14.45,15.02,21925,32924459999.999996,,16586,0.7565000000000001
2006-06-08,MALUPAPER,EQ,14.45,14.0,14.0,13.0,13.55,13.5,13.52,31967,43230605000.0,,25565,0.7997
2006-06-09,MALUPAPER,EQ,13.5,14.0,14.5,13.1,13.95,14.1,13.96,23117,32260900000.0,,16114,0.6970999999999999
2006-06-12,MALUPAPER,EQ,14.1,14.15,14.6,13.5,14.25,14.15,13.95,14507,20232745000.0,,8468,0.5837
2006-06-13,MALUPAPER,EQ,14.15,13.1,13.8,12.05,12.65,13.0,12.85,29399,37791650000.0,,19617,0.6673
2006-06-14,MALUPAPER,EQ,13.0,12.1,14.0,12.1,12.7,12.95,13.02,18677,24321645000.0,,11117,0.5952000000000001
2006-06-15,MALUPAPER,EQ,12.95,12.75,13.9,12.75,13.25,13.3,13.26,13872,18398500000.0,,8621,0.6215
2006-06-16,MALUPAPER,EQ,13.3,13.35,15.0,13.35,14.2,14.2,14.19,31891,45264680000.0,,22451,0.7040000000000001
2006-06-19,MALUPAPER,EQ,14.2,14.0,14.15,13.6,13.85,13.9,13.84,17779,24605520000.0,,14513,0.8163
2006-06-20,MALUPAPER,EQ,13.9,13.25,14.55,13.25,14.5,14.4,14.23,11790,16781525000.0,,7704,0.6534000000000001
2006-06-21,MALUPAPER,EQ,14.4,14.6,16.75,14.25,15.75,15.85,15.85,46436,73610355000.0,,27032,0.5821000000000001
2006-06-22,MALUPAPER,EQ,15.85,16.5,17.0,15.45,15.5,15.55,16.25,49991,81243605000.0,,29719,0.5945
2006-06-23,MALUPAPER,EQ,15.55,15.0,16.1,15.0,16.0,15.95,15.8,9336,14749645000.000002,,7087,0.7591
2006-06-25,MALUPAPER,EQ,15.95,16.25,16.8,15.55,16.0,15.65,16.05,1100,1765000000.0,,400,0.3636
2006-06-26,MALUPAPER,EQ,15.65,16.0,16.2,15.0,15.75,15.25,15.67,8027,12578755000.0,,6937,0.8642000000000001
2006-06-27,MALUPAPER,EQ,15.25,15.05,15.05,14.05,14.65,14.5,14.69,8996,13218785000.0,,6625,0.7364
2006-06-28,MALUPAPER,EQ,14.5,13.95,14.6,13.95,14.6,14.5,14.49,3808,5518365000.0,,3708,0.9737000000000001
2006-06-29,MALUPAPER,EQ,14.5,14.7,14.7,14.0,14.1,14.1,14.15,5312,7518500000.0,,3992,0.7515000000000001
2006-06-30,MALUPAPER,EQ,14.1,14.5,14.9,14.0,14.15,14.15,14.27,15127,21585320000.0,,11657,0.7706000000000001
2006-07-03,MALUPAPER,EQ,14.15,15.75,16.8,14.0,15.7,15.85,15.79,40850,64497525000.0,,19380,0.4744
2006-07-04,MALUPAPER,EQ,15.85,16.4,16.5,15.65,15.9,15.8,16.04,35739,57328600000.0,,13284,0.37170000000000003
2006-07-05,MALUPAPER,EQ,15.8,16.25,16.25,15.5,16.0,15.75,15.83,13507,21377445000.0,,7682,0.5687
2006-07-06,MALUPAPER,EQ,15.75,15.7,15.75,15.15,15.2,15.2,15.32,9437,14462104999.999998,,5159,0.5467000000000001
2006-07-07,MALUPAPER,EQ,15.2,15.0,15.4,15.0,15.0,15.05,15.1,15688,23687275000.0,,12206,0.778
2006-07-10,MALUPAPER,EQ,15.05,15.15,16.25,14.4,14.9,14.95,15.05,19610,29512645000.0,,12754,0.6504000000000001
2006-07-11,MALUPAPER,EQ,14.95,14.6,14.9,14.4,14.8,14.7,14.62,3906,5711655000.0,,2203,0.564
2006-07-12,MALUPAPER,EQ,14.7,14.4,14.6,14.0,14.1,14.3,14.34,10611,15214820000.000002,,8602,0.8107
2006-07-13,MALUPAPER,EQ,14.3,14.35,14.8,14.3,14.3,14.5,14.52,6915,10041480000.0,,5254,0.7598
2006-07-14,MALUPAPER,EQ,14.5,13.65,14.5,13.65,14.45,14.35,14.17,10110,14321715000.0,,8960,0.8863
2006-07-17,MALUPAPER,EQ,14.35,14.45,15.0,14.0,14.1,14.2,14.55,13801,20076690000.0,,7937,0.5751
2006-07-18,MALUPAPER,EQ,14.2,14.1,14.2,13.0,13.6,13.55,13.53,13838,18720815000.0,,8504,0.6145
2006-07-19,MALUPAPER,EQ,13.55,13.5,14.0,13.35,13.75,13.6,13.51,9514,12855765000.0,,7376,0.7753
2006-07-20,MALUPAPER,EQ,13.6,13.6,13.7,13.05,13.2,13.2,13.39,9013,12067135000.0,,7025,0.7794
2006-07-21,MALUPAPER,EQ,13.2,13.25,13.45,12.7,12.7,13.0,13.04,10351,13494360000.0,,9117,0.8808
2006-07-24,MALUPAPER,EQ,13.0,12.0,13.25,12.0,13.15,12.85,12.75,9263,11811625000.0,,6060,0.6542
2006-07-25,MALUPAPER,EQ,12.85,12.65,13.55,12.6,12.75,12.75,12.74,5551,7074660000.000001,,4579,0.8249
2006-07-26,MALUPAPER,EQ,12.75,12.65,13.05,12.5,13.05,13.05,12.79,4932,6308885000.0,,4019,0.8149
2006-07-27,MALUPAPER,EQ,13.05,12.65,13.4,12.6,13.0,12.85,12.96,12179,15789300000.0,,8598,0.706
2006-07-28,MALUPAPER,EQ,12.85,13.0,13.4,12.6,12.7,12.65,12.85,10827,13915670000.000002,,7587,0.7007
2006-07-31,MALUPAPER,EQ,12.65,13.3,13.7,13.05,13.35,13.4,13.38,9488,12692800000.0,,6911,0.7284
2006-08-01,MALUPAPER,EQ,13.4,13.0,13.35,13.0,13.35,13.3,13.23,7922,10482855000.0,,7722,0.9748000000000001
2006-08-02,MALUPAPER,EQ,13.3,13.0,13.5,12.8,13.3,13.3,13.3,7930,10546450000.0,,7005,0.8834000000000001
2006-08-03,MALUPAPER,EQ,13.3,13.5,13.9,13.25,13.8,13.7,13.58,16125,21898160000.0,,14926,0.9256000000000001
2006-08-04,MALUPAPER,EQ,13.7,13.5,13.75,13.5,13.5,13.5,13.53,5634,7624860000.000001,,4524,0.8029999999999999
2006-08-07,MALUPAPER,EQ,13.5,13.8,13.8,13.2,13.35,13.5,13.5,4572,6173475000.0,,2671,0.5842
2006-08-08,MALUPAPER,EQ,13.5,13.25,13.45,13.1,13.2,13.2,13.2,6248,8244995000.0,,5648,0.904
2006-08-09,MALUPAPER,EQ,13.2,13.25,13.8,13.2,13.25,13.25,13.4,6487,8689565000.0,,5915,0.9118
2006-08-10,MALUPAPER,EQ,13.25,13.25,13.75,13.25,13.4,13.55,13.59,8234,11186085000.0,,7089,0.8609
2006-08-11,MALUPAPER,EQ,13.55,13.55,13.9,13.2,13.55,13.5,13.68,20560,28121390000.000004,,12783,0.6217
2006-08-14,MALUPAPER,EQ,13.5,13.6,15.9,13.55,15.45,15.4,15.21,74714,113632414999.99998,,30919,0.41380000000000006
2006-08-16,MALUPAPER,EQ,15.4,16.1,18.5,15.75,17.0,17.35,17.67,138977,245633029999.99997,,54136,0.3895
2006-08-17,MALUPAPER,EQ,17.35,17.8,17.95,16.0,16.8,16.8,16.67,50702,84530535000.0,,25293,0.4989
2006-08-18,MALUPAPER,EQ,16.8,16.0,16.9,16.0,16.65,16.55,16.55,20179,33387095000.0,,8982,0.4451
2006-08-21,MALUPAPER,EQ,16.55,16.1,16.7,15.05,16.0,16.2,16.33,15015,24522330000.0,,8258,0.55
2006-08-22,MALUPAPER,EQ,16.2,16.2,19.2,16.2,18.35,18.3,18.22,334373,609295945000.0,,100856,0.30160000000000003
2006-08-23,MALUPAPER,EQ,18.3,18.8,22.0,18.5,22.0,21.7,20.93,926034,1938014964999.9998,,189069,0.20420000000000002
