Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-01-01,MANALUMN,EQ,20.35,20.35,20.25,19.55,,19.55,19.96,2700,5388500000.0,,,
1996-01-02,MANALUMN,EQ,19.55,19.55,19.1,18.7,,19.0,18.91,2300,4350000000.0,,,
1996-01-03,MANALUMN,EQ,19.0,18.25,18.9,18.25,,18.9,18.58,1100,2043500000.0,,,
1996-01-04,MANALUMN,EQ,18.9,18.25,18.25,18.0,,18.0,18.13,400,725000000.0,,,
1996-01-05,MANALUMN,EQ,18.0,17.55,17.6,17.55,,17.55,17.56,1500,2633500000.0,,,
1996-01-08,MANALUMN,EQ,17.55,17.7,17.75,17.7,,17.75,17.72,300,531500000.0,,,
1996-01-09,MANALUMN,EQ,17.75,17.0,18.0,17.0,,18.0,17.2,9000,15480000000.0,,,
1996-01-10,MANALUMN,EQ,18.0,18.0,17.6,17.3,,17.5,17.49,4000,6996000000.0,,,
1996-01-11,MANALUMN,EQ,17.5,17.0,17.45,17.0,,17.1,17.17,1900,3262000000.0,,,
1996-01-12,MANALUMN,EQ,17.1,16.65,16.65,16.65,,16.65,16.65,200,333000000.0,,,
1996-01-15,MANALUMN,EQ,16.65,17.1,17.1,17.0,,17.0,17.05,200,341000000.0,,,
1996-01-16,MANALUMN,EQ,17.0,16.2,16.75,16.2,,16.75,16.52,1200,1982500000.0,,,
1996-01-17,MANALUMN,EQ,16.75,16.5,16.55,16.45,,16.55,16.49,400,659500000.0,,,
1996-01-18,MANALUMN,EQ,16.55,16.4,16.45,16.4,,16.45,16.43,200,328500000.0,,,
1996-01-19,MANALUMN,EQ,16.45,15.0,15.0,15.0,,15.0,15.0,600,900000000.0,,,
1996-01-22,MANALUMN,EQ,15.0,15.5,15.5,15.0,,15.0,15.34,900,1381000000.0,,,
1996-01-23,MANALUMN,EQ,15.0,15.0,15.25,14.95,,15.25,15.07,300,452000000.0,,,
1996-01-24,MANALUMN,EQ,15.25,14.75,15.15,14.75,,15.0,15.01,800,1200500000.0,,,
1996-01-25,MANALUMN,EQ,15.0,15.0,15.25,15.0,,15.15,15.07,1600,2411500000.0,,,
1996-01-29,MANALUMN,EQ,15.15,15.25,15.25,15.0,,15.0,15.06,400,602500000.0,,,
1996-01-30,MANALUMN,EQ,15.0,15.0,15.5,15.0,,15.5,15.38,1000,1537500000.0,,,
1996-01-31,MANALUMN,EQ,15.5,15.5,15.5,15.5,,15.5,15.5,200,310000000.0,,,
1996-02-01,MANALUMN,EQ,15.5,15.5,16.0,15.5,,16.0,15.6,500,780000000.0,,,
1996-02-02,MANALUMN,EQ,16.0,16.2,16.25,16.15,,16.25,16.2,400,648000000.0,,,
1996-02-05,MANALUMN,EQ,16.25,16.5,16.7,16.5,,16.55,16.61,600,996500000.0,,,
1996-02-06,MANALUMN,EQ,16.55,16.55,17.9,17.5,,17.75,17.65,600,1059000000.0,,,
1996-02-07,MANALUMN,EQ,17.75,17.5,18.0,17.5,,17.7,17.85,3300,5891500000.0,,,
1996-02-08,MANALUMN,EQ,17.7,17.5,18.45,17.5,,17.7,17.93,1600,2869500000.0,,,
1996-02-09,MANALUMN,EQ,17.7,17.5,17.65,17.0,,17.0,17.49,1900,3322500000.0,,,
1996-02-12,MANALUMN,EQ,17.0,16.75,18.2,16.75,,17.9,17.73,2900,5142000000.0,,,
1996-02-13,MANALUMN,EQ,17.9,17.0,17.5,17.0,,17.5,17.42,600,1045000000.0,,,
1996-02-14,MANALUMN,EQ,17.5,18.0,18.0,18.0,,18.0,18.0,300,540000000.0,,,
1996-02-15,MANALUMN,EQ,18.0,17.95,18.0,17.95,,18.0,18.0,2100,3779500000.0,,,
1996-02-16,MANALUMN,EQ,18.0,18.5,18.5,17.8,,17.8,18.07,2200,3975000000.0,,,
1996-02-19,MANALUMN,EQ,17.8,17.8,18.5,17.25,,17.5,17.53,3100,5434000000.0,,,
1996-02-20,MANALUMN,EQ,17.5,17.25,17.35,16.5,,16.55,16.89,1400,2364500000.0,,,
1996-02-22,MANALUMN,EQ,16.55,17.0,17.0,17.0,,17.0,17.0,100,170000000.0,,,
1996-02-23,MANALUMN,EQ,17.0,17.0,17.25,17.0,,17.15,17.1,1400,2394000000.0,,,
1996-02-26,MANALUMN,EQ,17.15,17.15,17.2,17.0,,17.15,17.11,900,1540000000.0,,,
1996-02-27,MANALUMN,EQ,17.15,16.75,16.75,16.15,,16.4,16.53,2900,4793000000.0,,,
1996-02-28,MANALUMN,EQ,16.4,16.25,16.25,16.25,,16.25,16.25,400,650000000.0,,,
1996-02-29,MANALUMN,EQ,16.25,16.0,16.0,16.0,,16.0,16.0,400,640000000.0,,,
1996-03-01,MANALUMN,EQ,16.0,16.0,16.0,15.25,,15.4,15.45,1600,2472500000.0,,,
1996-03-04,MANALUMN,EQ,15.4,15.3,15.95,15.25,,15.6,15.47,600,928000000.0,,,
1996-03-06,MANALUMN,EQ,15.6,15.25,15.7,15.25,,15.7,15.55,300,466500000.0,,,
1996-03-07,MANALUMN,EQ,15.7,15.85,15.85,15.6,,15.75,15.74,500,787000000.0,,,
1996-03-08,MANALUMN,EQ,15.75,15.6,15.7,15.3,,15.4,15.5,1400,2169500000.0,,,
1996-03-11,MANALUMN,EQ,15.4,14.5,15.25,14.5,,15.25,14.92,1400,2088500000.0,,,
1996-03-12,MANALUMN,EQ,15.25,15.25,15.65,15.05,,15.65,15.38,800,1230500000.0,,,
1996-03-14,MANALUMN,EQ,15.65,15.2,15.25,15.2,,15.25,15.22,300,456500000.0,,,
1996-03-15,MANALUMN,EQ,15.25,15.2,15.4,15.1,,15.4,15.28,400,611000000.0,,,
1996-03-18,MANALUMN,EQ,15.4,15.4,15.5,15.2,,15.2,15.46,800,1237000000.0,,,
1996-03-19,MANALUMN,EQ,15.2,15.2,15.05,14.95,,15.05,14.99,500,749500000.0,,,
1996-03-21,MANALUMN,EQ,15.05,15.1,15.25,15.1,,15.2,15.21,1100,1673500000.0,,,
1996-03-22,MANALUMN,EQ,15.2,15.25,15.7,15.05,,15.05,15.51,1500,2326500000.0,,,
1996-03-25,MANALUMN,EQ,15.05,15.0,15.15,15.0,,15.1,15.02,1200,1802500000.0,,,
