Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-01-01,MARALOVER,EQ,30.5,30.5,30.5,30.5,,30.5,30.5,300,915000000.0,,,
1996-01-02,MARALOVER,EQ,30.5,30.75,30.75,30.75,,30.75,30.75,100,307500000.0,,,
1996-01-05,MARALOVER,EQ,30.75,29.0,29.0,29.0,,29.0,29.0,100,290000000.0,,,
1996-01-08,MARALOVER,EQ,29.0,28.75,29.0,28.75,,28.8,28.82,700,2017500000.0,,,
1996-01-09,MARALOVER,EQ,28.8,28.25,30.5,28.25,,29.65,29.17,600,1750000000.0,,,
1996-01-10,MARALOVER,EQ,29.65,27.75,28.95,27.75,,28.95,28.09,800,2247000000.0,,,
1996-01-11,MARALOVER,EQ,28.95,28.5,28.5,26.5,,26.5,27.5,200,550000000.0,,,
1996-01-12,MARALOVER,EQ,26.5,25.6,26.5,25.6,,26.5,26.28,400,1051000000.0,,,
1996-01-15,MARALOVER,EQ,26.5,28.75,28.75,25.85,,25.85,28.27,600,1696000000.0,,,
1996-01-16,MARALOVER,EQ,25.85,25.85,26.5,26.3,,26.3,26.4,1100,2904500000.0,,,
1996-01-18,MARALOVER,EQ,26.3,26.3,25.0,24.1,,25.0,24.61,1400,3446000000.0,,,
1996-01-19,MARALOVER,EQ,25.0,24.55,24.75,24.55,,24.75,24.7,400,988000000.0,,,
1996-01-22,MARALOVER,EQ,24.75,24.75,24.5,24.0,,24.1,24.28,1400,3399000000.0,,,
1996-01-23,MARALOVER,EQ,24.1,24.1,24.7,24.0,,24.5,24.34,1000,2433500000.0,,,
1996-01-25,MARALOVER,EQ,24.5,25.0,25.0,24.5,,24.5,24.57,1400,3440000000.0,,,
1996-01-29,MARALOVER,EQ,24.5,23.95,24.0,23.5,,24.0,23.81,600,1428500000.0,,,
1996-01-30,MARALOVER,EQ,24.0,23.55,24.5,23.55,,24.5,24.03,200,480500000.0,,,
1996-02-01,MARALOVER,EQ,24.5,23.5,23.8,23.5,,23.75,23.68,300,710500000.0,,,
1996-02-02,MARALOVER,EQ,23.75,24.5,24.5,24.5,,24.5,24.5,100,245000000.0,,,
1996-02-05,MARALOVER,EQ,24.5,24.5,25.5,24.5,,25.5,25.17,300,755000000.0,,,
