Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2002-01-21,TASCPHARMA,EQ,27.85,22.0,26.0,22.0,26.0,26.0,25.33,600,1520000000.0,,500.0,0.8333
2002-02-18,TASCPHARMA,EQ,26.0,26.0,26.0,26.0,26.0,26.0,26.0,100,260000000.0,,100.0,1.0
2002-02-19,TASCPHARMA,EQ,26.0,26.0,26.0,26.0,26.0,26.0,26.0,100,260000000.0,,100.0,1.0
2002-02-20,TASCPHARMA,EQ,26.0,21.0,31.0,21.0,23.0,23.0,25.95,8400,21800000000.0,,,
2002-02-21,TASCPHARMA,EQ,23.0,26.0,26.0,26.0,26.0,26.0,26.0,100,260000000.0,,100.0,1.0
2002-02-22,TASCPHARMA,EQ,26.0,29.0,29.95,23.05,23.05,23.05,29.17,210,612550000.0,,200.0,0.9523999999999999
2002-04-03,TASCPHARMA,EQ,23.05,19.35,23.5,19.3,23.5,19.35,19.35,201,388850000.0,,200.0,0.995
2002-04-04,TASCPHARMA,EQ,19.35,19.4,20.0,19.4,20.0,20.0,19.7,10,19700000.0,,5.0,0.5
2002-04-09,TASCPHARMA,EQ,20.0,21.9,21.9,21.9,21.9,21.9,21.9,100,219000000.0,,100.0,1.0
2002-04-29,TASCPHARMA,EQ,21.9,18.0,18.0,18.0,18.0,18.0,18.0,500,900000000.0,,0.0,0.0
2002-05-15,TASCPHARMA,EQ,18.0,16.5,16.5,16.5,16.5,16.5,16.5,50,82500000.0,,0.0,0.0
2002-05-16,TASCPHARMA,EQ,16.5,19.8,19.8,19.8,19.8,19.8,19.8,1,1980000.0,,1.0,1.0
2002-05-24,TASCPHARMA,EQ,19.8,16.1,16.1,16.1,16.1,16.1,16.1,5,8050000.0,,5.0,1.0
2002-07-03,TASCPHARMA,EQ,16.1,18.0,18.0,18.0,18.0,18.0,18.0,200,360000000.0,,200.0,1.0
2002-07-04,TASCPHARMA,EQ,18.0,21.4,21.4,21.4,21.4,21.4,21.4,50,107000000.0,,50.0,1.0
2002-07-05,TASCPHARMA,EQ,21.4,21.4,21.55,21.4,21.55,21.55,21.45,370,793600000.0,,370.0,1.0
2002-07-09,TASCPHARMA,EQ,21.55,22.0,22.0,22.0,22.0,22.0,22.0,200,440000000.0,,200.0,1.0
2002-07-10,TASCPHARMA,EQ,22.0,22.95,23.5,22.0,23.5,23.45,23.39,115,268950000.0,,100.0,0.8695999999999999
2002-07-11,TASCPHARMA,EQ,23.45,23.55,23.55,23.5,23.5,23.5,23.55,550,1295000000.0,,550.0,1.0
2002-07-12,TASCPHARMA,EQ,23.5,24.9,24.9,24.9,24.9,24.9,24.9,100,249000000.0,,100.0,1.0
2002-07-19,TASCPHARMA,EQ,24.9,24.0,24.0,24.0,24.0,24.0,24.0,1,2400000.0,,1.0,1.0
