Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2017-10-18,MASFIN,EQ,459.0,660.0,681.5,625.0,651.2,654.4,657.05,17942727,1178927818140000.0,304572,4337875,0.24180000000000001
2017-10-19,MASFIN,EQ,654.4,655.0,664.0,653.0,659.0,658.9,659.05,719867,47443090030000.0,13215,219576,0.305
2017-10-23,MASFIN,EQ,658.9,659.9,682.0,640.8,672.0,674.65,668.6,1693246,113210386870000.0,57705,684119,0.40399999999999997
2017-10-24,MASFIN,EQ,674.65,670.0,701.95,650.0,670.0,670.0,684.04,1259959,86186488260000.0,23973,377427,0.29960000000000003
2017-10-25,MASFIN,EQ,670.0,675.0,679.0,646.3,656.0,655.5,659.48,888300,58581626610000.0,9116,671802,0.7563
2017-10-26,MASFIN,EQ,655.5,658.4,665.0,643.1,660.05,660.15,655.82,309951,20327286320000.0,5595,177701,0.5733
2017-10-27,MASFIN,EQ,660.15,660.0,673.7,660.0,670.5,668.55,668.46,304034,20323511310000.0,4279,229014,0.7533
2017-10-30,MASFIN,EQ,668.55,668.55,668.55,652.0,657.0,659.25,659.71,144051,9503201505000.0,4101,86466,0.6002000000000001
2017-10-31,MASFIN,EQ,659.25,655.0,663.0,632.0,634.9,636.9,649.65,222813,14475130285000.0,3885,122716,0.5508
2017-11-01,MASFIN,EQ,636.9,638.0,660.0,631.05,655.0,658.25,647.94,249850,16188664844999.998,6548,121015,0.4844
2017-11-02,MASFIN,EQ,658.25,655.0,655.0,642.75,643.5,645.8,649.34,73029,4742063955000.0,2266,28731,0.3934
2017-11-03,MASFIN,EQ,645.8,646.0,656.0,641.0,641.5,642.0,645.77,58675,3789057320000.0005,1535,28251,0.4815
2017-11-06,MASFIN,EQ,642.0,641.0,644.85,629.0,633.0,635.5,638.17,70049,4470295755000.0,2700,39243,0.5602
2017-11-07,MASFIN,EQ,635.5,638.05,645.0,618.0,620.0,619.8,627.27,104453,6551971155000.0,2843,59094,0.5657
2017-11-08,MASFIN,EQ,619.8,621.05,632.0,590.6,608.0,607.65,613.87,182516,11204058325000.0,6096,60003,0.32880000000000004
2017-11-09,MASFIN,EQ,607.65,610.0,614.85,585.05,591.8,592.75,597.91,112162,6706320845000.0,6223,54603,0.4868
2017-11-10,MASFIN,EQ,592.75,593.0,596.0,576.15,577.0,580.0,584.62,75410,4408582915000.0,2621,42709,0.5664
2017-11-13,MASFIN,EQ,580.0,582.15,589.0,565.05,587.0,582.85,574.32,60995,3503055700000.0,2381,30703,0.5034000000000001
2017-11-14,MASFIN,EQ,582.85,585.0,614.45,585.0,611.9,610.25,603.38,135153,8154814020000.0,5273,89584,0.6628000000000001
2017-11-15,MASFIN,EQ,610.25,613.0,615.0,582.1,595.0,588.55,590.45,201176,11878370130000.0,4545,160148,0.7961
2017-11-16,MASFIN,EQ,588.55,599.0,604.45,585.0,595.0,589.7,591.97,115609,6843675484999.999,3180,95872,0.8293
2017-11-17,MASFIN,EQ,589.7,589.7,602.0,585.0,586.0,589.6,593.41,75332,4470300195000.0,5644,49624,0.6587000000000001
2017-11-20,MASFIN,EQ,589.6,589.6,596.4,586.05,589.0,589.05,590.67,60575,3577968545000.0005,2130,46083,0.7608
2017-11-21,MASFIN,EQ,589.05,594.0,608.05,592.0,599.1,593.7,596.08,151252,9015820705000.0,6187,125409,0.8291
2017-11-22,MASFIN,EQ,593.7,597.0,638.4,595.0,612.0,614.25,613.63,189555,11631641910000.0,8949,89886,0.4742
2017-11-23,MASFIN,EQ,614.25,615.05,630.05,606.9,615.0,614.15,620.11,87064,5398953050000.0,2451,60669,0.6968000000000001
2017-11-24,MASFIN,EQ,614.15,614.0,626.25,613.95,615.75,619.95,618.86,318259,19695795175000.0,8874,207109,0.6508
2017-11-27,MASFIN,EQ,619.95,611.0,623.6,608.05,616.5,616.4,617.01,43534,2686085660000.0,2114,27572,0.6333
2017-11-28,MASFIN,EQ,616.4,618.0,624.0,612.0,618.0,617.75,617.17,55006,3394790885000.0,2141,33088,0.6015
2017-11-29,MASFIN,EQ,617.75,614.05,653.0,614.05,650.0,649.7,639.84,271501,17371600494999.998,6935,161591,0.5952000000000001
2017-11-30,MASFIN,EQ,649.7,647.9,664.85,641.0,643.2,646.75,653.0,180199,11766981980000.0,8768,106932,0.5934
2017-12-01,MASFIN,EQ,646.75,648.65,664.0,630.0,636.8,639.65,657.7,247690,16290692205000.002,3358,196107,0.7917000000000001
2017-12-04,MASFIN,EQ,639.65,642.3,642.3,624.0,626.0,627.1,629.5,34354,2162567320000.0,1330,17406,0.5067
2017-12-05,MASFIN,EQ,627.1,626.0,658.4,616.05,650.0,650.75,638.68,72791,4648981675000.0,2587,37370,0.5134000000000001
2017-12-06,MASFIN,EQ,650.75,650.75,651.1,635.0,637.0,636.6,641.68,32954,2114594950000.0,1356,21574,0.6547
2017-12-07,MASFIN,EQ,636.6,631.55,649.0,631.55,636.0,638.7,644.12,87457,5633306655000.0,1101,75163,0.8593999999999999
2017-12-08,MASFIN,EQ,638.7,637.0,646.0,622.1,626.5,636.55,640.06,41527,2657965090000.0,1493,28767,0.6927
2017-12-11,MASFIN,EQ,636.55,636.55,658.75,628.5,639.25,639.55,643.1,90857,5842999775000.0,4648,48531,0.5341
2017-12-12,MASFIN,EQ,639.55,642.25,645.55,609.4,610.0,614.45,625.54,97437,6095070800000.0,2404,62090,0.6372
2017-12-13,MASFIN,EQ,614.45,611.0,624.9,609.5,620.0,619.0,617.61,40655,2510911295000.0,2209,16346,0.4021
2017-12-14,MASFIN,EQ,619.0,628.0,667.7,603.0,651.0,649.7,631.75,157372,9941981850000.0,3422,105564,0.6708
2017-12-15,MASFIN,EQ,649.7,651.0,656.0,631.4,635.0,637.4,642.44,39195,2518050125000.0,1971,18223,0.46490000000000004
2017-12-18,MASFIN,EQ,637.4,635.5,645.0,610.2,642.5,641.2,638.68,23248,1484798230000.0,779,13389,0.5759000000000001
2017-12-19,MASFIN,EQ,641.2,646.0,650.0,630.0,637.0,641.85,639.45,73834,4721328380000.0,1777,38037,0.5152
2017-12-20,MASFIN,EQ,641.85,640.9,645.0,630.0,631.0,631.8,636.1,37251,2369524850000.0,3239,22462,0.603
2017-12-21,MASFIN,EQ,631.8,626.8,641.1,626.1,627.05,628.15,630.88,31921,2013826170000.0,1169,16417,0.5143
2017-12-22,MASFIN,EQ,628.15,633.15,639.8,626.2,627.8,629.45,632.52,15094,954732665000.0,770,6989,0.46299999999999997
2017-12-26,MASFIN,EQ,629.45,630.0,632.95,621.1,623.0,623.05,625.28,23904,1494675230000.0,1210,13240,0.5539000000000001
2017-12-27,MASFIN,EQ,623.05,630.0,630.0,621.0,621.05,622.95,624.48,11769,734949540000.0,658,6968,0.5921000000000001
2017-12-28,MASFIN,EQ,622.95,623.0,628.95,621.0,625.7,625.05,624.57,26357,1646184440000.0,4395,19223,0.7293000000000001
2017-12-29,MASFIN,EQ,625.05,620.0,630.0,607.6,620.05,626.75,620.12,51685,3205108145000.0,2735,26951,0.5214
2018-01-01,MASFIN,EQ,626.75,623.0,628.45,620.5,627.0,625.3,624.39,10218,637998630000.0,778,5388,0.5273
2018-01-02,MASFIN,EQ,625.3,620.7,628.0,614.15,615.0,615.35,618.89,12241,757586725000.0,663,5817,0.47520000000000007
2018-01-03,MASFIN,EQ,615.35,620.0,623.05,612.0,615.0,614.15,617.6,15775,974264150000.0,578,10001,0.634
2018-01-04,MASFIN,EQ,614.15,617.1,620.95,607.0,608.95,608.55,612.21,23366,1430485095000.0,1159,16417,0.7026000000000001
2018-01-05,MASFIN,EQ,608.55,604.6,617.6,599.35,610.8,609.2,609.2,108637,6618207740000.0,1734,94823,0.8728
2018-01-08,MASFIN,EQ,609.2,610.8,619.6,610.8,611.0,612.0,615.64,18480,1137699155000.0,749,11451,0.6196
2018-01-09,MASFIN,EQ,612.0,611.0,634.8,611.0,624.8,622.4,617.1,203266,12543448525000.0,1935,177535,0.8734000000000001
