Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-01-01,AHMEDFORGE,EQ,76.0,80.0,80.0,77.0,,77.0,78.17,300,2345000000.0,,,
1996-01-02,AHMEDFORGE,EQ,77.0,77.0,76.5,76.5,,76.5,76.5,200,1530000000.0,,,
1996-01-03,AHMEDFORGE,EQ,76.5,80.0,80.0,80.0,,80.0,80.0,600,4800000000.0,,,
1996-01-04,AHMEDFORGE,EQ,80.0,80.0,76.8,75.0,,76.8,75.45,400,3018000000.0,,,
1996-01-05,AHMEDFORGE,EQ,76.8,78.0,78.0,78.0,,78.0,78.0,100,780000000.0,,,
1996-01-08,AHMEDFORGE,EQ,78.0,75.0,75.0,75.0,,75.0,75.0,300,2250000000.0,,,
1996-01-09,AHMEDFORGE,EQ,75.0,74.5,74.5,74.5,,74.5,74.5,200,1490000000.0,,,
1996-01-10,AHMEDFORGE,EQ,74.5,72.25,72.25,72.0,,72.15,72.13,200,1442500000.0,,,
1996-01-11,AHMEDFORGE,EQ,72.15,73.1,73.1,73.0,,73.05,73.05,200,1461000000.0,,,
1996-01-12,AHMEDFORGE,EQ,73.05,73.0,73.0,73.0,,73.0,73.0,100,730000000.0,,,
1996-01-15,AHMEDFORGE,EQ,73.0,74.0,74.0,74.0,,74.0,74.0,100,740000000.0,,,
1996-01-18,AHMEDFORGE,EQ,74.0,74.0,76.0,74.0,,76.0,74.8,300,2244000000.0,,,
1996-01-19,AHMEDFORGE,EQ,76.0,76.0,76.0,76.0,,76.0,76.0,100,760000000.0,,,
1996-01-22,AHMEDFORGE,EQ,76.0,75.5,75.5,75.5,,75.5,75.5,100,755000000.0,,,
1996-01-23,AHMEDFORGE,EQ,75.5,75.5,75.5,75.5,,75.5,75.5,1900,14345000000.0,,,
1996-01-24,AHMEDFORGE,EQ,75.5,74.0,74.05,74.0,,74.0,74.01,500,3700500000.0,,,
1996-01-25,AHMEDFORGE,EQ,74.0,69.0,69.0,69.0,,69.0,69.0,200,1380000000.0,,,
1996-01-29,AHMEDFORGE,EQ,69.0,69.0,74.0,70.0,,74.0,72.63,400,2905000000.0,,,
1996-01-31,AHMEDFORGE,EQ,74.0,74.0,75.5,75.5,,75.5,75.5,3000,22650000000.0,,,
1996-02-07,AHMEDFORGE,EQ,75.5,75.0,75.0,75.0,,75.0,75.0,300,2250000000.0,,,
1996-02-08,AHMEDFORGE,EQ,75.0,75.0,72.0,72.0,,72.0,72.0,100,720000000.0,,,
1996-02-09,AHMEDFORGE,EQ,72.0,72.0,75.0,75.0,,75.0,75.0,100,750000000.0,,,
1996-02-12,AHMEDFORGE,EQ,75.0,75.0,80.0,80.0,,80.0,80.0,100,800000000.0,,,
1996-02-13,AHMEDFORGE,EQ,80.0,80.0,83.5,77.25,,79.0,79.46,700,5562500000.0,,,
1996-02-14,AHMEDFORGE,EQ,79.0,79.0,80.75,80.75,,80.75,80.75,300,2422500000.0,,,
1996-02-15,AHMEDFORGE,EQ,80.75,80.75,82.0,80.25,,80.25,81.05,500,4052500000.0,,,
1996-02-16,AHMEDFORGE,EQ,80.25,80.25,80.0,78.0,,78.0,79.0,200,1580000000.0,,,
1996-02-19,AHMEDFORGE,EQ,78.0,78.0,82.5,78.0,,78.0,80.84,800,6467500000.0,,,
1996-02-20,AHMEDFORGE,EQ,78.0,78.0,75.0,73.0,,73.05,73.51,1100,8086000000.0,,,
1996-02-22,AHMEDFORGE,EQ,73.05,73.05,70.0,68.0,,68.0,69.21,2800,19380000000.0,,,
1996-02-23,AHMEDFORGE,EQ,68.0,68.0,70.0,65.0,,65.0,67.56,3300,22294500000.0,,,
1996-02-26,AHMEDFORGE,EQ,65.0,65.0,71.5,71.0,,71.0,71.13,400,2845000000.0,,,
1996-02-27,AHMEDFORGE,EQ,71.0,71.5,74.0,71.5,,74.0,73.13,400,2925000000.0,,,
1996-02-28,AHMEDFORGE,EQ,74.0,72.9,75.0,72.9,,75.0,73.75,1300,9588000000.0,,,
1996-02-29,AHMEDFORGE,EQ,75.0,75.0,80.0,75.0,,75.1,76.74,2500,19184000000.0,,,
1996-03-01,AHMEDFORGE,EQ,75.1,75.1,72.25,72.0,,72.0,72.08,300,2162500000.0,,,
1996-03-04,AHMEDFORGE,EQ,72.0,70.25,73.25,70.25,,73.25,71.54,700,5007500000.0,,,
1996-03-11,AHMEDFORGE,EQ,73.25,73.25,73.0,73.0,,73.0,73.0,500,3650000000.0,,,
1996-03-12,AHMEDFORGE,EQ,73.0,72.0,72.0,71.0,,71.0,71.38,800,5710000000.0,,,
1996-03-14,AHMEDFORGE,EQ,71.0,70.0,70.0,70.0,,70.0,70.0,200,1400000000.0,,,
1996-03-15,AHMEDFORGE,EQ,70.0,70.0,71.75,71.0,,71.0,71.54,700,5007500000.0,,,
1996-03-19,AHMEDFORGE,EQ,71.0,72.0,72.8,72.0,,72.8,72.62,500,3631000000.0,,,
1996-03-21,AHMEDFORGE,EQ,72.8,72.0,73.0,72.0,,73.0,72.2,500,3610000000.0,,,
1996-03-22,AHMEDFORGE,EQ,73.0,71.5,73.75,71.5,,73.75,72.63,200,1452500000.0,,,
1996-03-25,AHMEDFORGE,EQ,73.75,70.25,70.25,70.25,,70.25,70.25,100,702500000.0,,,
1996-03-26,AHMEDFORGE,EQ,70.25,70.0,70.0,69.5,,69.5,69.83,300,2095000000.0,,,
1996-03-27,AHMEDFORGE,EQ,69.5,71.0,72.0,71.0,,72.0,71.67,300,2150000000.0,,,
1996-03-28,AHMEDFORGE,EQ,72.0,70.0,70.0,70.0,,70.0,70.0,100,700000000.0,,,
1996-03-29,AHMEDFORGE,EQ,70.0,70.0,75.0,70.05,,73.9,73.06,900,6575000000.0,,,
1996-04-01,AHMEDFORGE,EQ,73.9,78.0,78.0,77.5,,77.5,77.75,200,1555000000.0,,,
1996-04-02,AHMEDFORGE,EQ,77.5,74.0,77.0,74.0,,76.65,75.65,600,4539000000.0,,,
1996-04-08,AHMEDFORGE,EQ,76.65,76.0,76.0,76.0,,76.0,76.0,100,760000000.0,,,
1996-04-09,AHMEDFORGE,EQ,76.0,74.0,81.0,74.0,,80.0,78.14,700,5470000000.0,,,
1996-04-10,AHMEDFORGE,EQ,80.0,80.0,85.0,80.0,,82.25,81.86,1600,13097500000.0,,,
1996-04-11,AHMEDFORGE,EQ,82.25,81.0,82.0,81.0,,82.0,81.8,1000,8180000000.0,,,
1996-04-12,AHMEDFORGE,EQ,82.0,81.0,81.0,81.0,,81.0,81.0,200,1620000000.0,,,
1996-04-15,AHMEDFORGE,EQ,81.0,81.0,81.15,80.0,,81.15,80.6,2300,18537000000.0,,,
1996-04-16,AHMEDFORGE,EQ,81.15,79.25,81.0,79.25,,80.0,80.58,2000,16116500000.0,,,
1996-04-17,AHMEDFORGE,EQ,80.0,80.0,88.0,80.0,,88.0,84.6,1100,9306000000.0,,,
1996-04-18,AHMEDFORGE,EQ,88.0,88.0,97.0,93.25,,97.0,95.25,3000,28575000000.0,,,
1996-04-19,AHMEDFORGE,EQ,97.0,97.0,100.0,96.25,,98.0,98.06,1300,12747500000.0,,,
1996-04-22,AHMEDFORGE,EQ,98.0,98.0,98.0,95.0,,95.55,96.37,900,8673500000.0,,,
1996-04-23,AHMEDFORGE,EQ,95.55,95.55,93.5,88.05,,93.5,91.4,500,4570000000.0,,,
1996-04-24,AHMEDFORGE,EQ,93.5,94.0,94.0,92.5,,93.0,93.25,600,5595000000.0,,,
