Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-09-12,MIRZATAN,EQ,89.9,101.0,101.0,101.0,,101.0,101.0,100,1010000000.0,,,
1996-09-16,MIRZATAN,EQ,101.0,91.5,91.5,91.5,,91.5,91.5,100,915000000.0,,,
1996-09-17,MIRZATAN,EQ,91.5,92.0,92.0,91.0,,91.0,91.67,300,2750000000.0,,,
1996-09-18,MIRZATAN,EQ,91.0,95.0,98.0,91.15,,96.0,95.87,1000,9586500000.0,,,
1996-09-19,MIRZATAN,EQ,96.0,100.0,102.0,98.0,,98.5,99.24,1700,16871000000.0,,,
1996-09-20,MIRZATAN,EQ,98.5,98.5,100.0,97.5,,98.5,98.33,2500,24582500000.0,,,
1996-09-23,MIRZATAN,EQ,98.5,102.0,104.0,97.0,,101.5,100.13,2400,24032000000.0,,,
1996-09-24,MIRZATAN,EQ,101.5,100.0,103.0,99.0,,102.25,100.98,1900,19186000000.0,,,
1996-09-25,MIRZATAN,EQ,102.25,105.0,105.0,101.0,,101.0,101.71,1600,16273500000.0,,,
1996-09-26,MIRZATAN,EQ,101.0,102.5,102.5,97.0,,98.5,99.33,300,2980000000.0,,,
1996-09-27,MIRZATAN,EQ,98.5,101.0,101.0,96.5,,96.5,98.08,300,2942500000.0,,,
1996-09-30,MIRZATAN,EQ,96.5,99.0,99.0,97.0,,97.25,98.03,600,5882000000.0,,,
1996-10-01,MIRZATAN,EQ,97.25,96.5,96.75,91.0,,91.0,93.44,700,6540500000.0,,,
1996-10-03,MIRZATAN,EQ,91.0,85.1,85.1,82.0,,82.0,83.13,1000,8313000000.0,,,
1996-10-04,MIRZATAN,EQ,82.0,90.0,90.0,75.0,,77.5,78.21,800,6256500000.0,,,
1996-10-07,MIRZATAN,EQ,77.5,76.0,76.0,70.0,,70.0,75.0,600,4500000000.0,,,
1996-10-08,MIRZATAN,EQ,70.0,68.55,70.6,68.55,,70.6,69.58,200,1391500000.0,,,
1996-10-09,MIRZATAN,EQ,70.6,69.0,70.0,67.0,,70.0,69.0,1700,11730000000.0,,,
1996-10-10,MIRZATAN,EQ,70.0,75.0,75.0,75.0,,75.0,75.0,100,750000000.0,,,
1996-10-11,MIRZATAN,EQ,75.0,77.0,79.75,76.0,,79.75,77.2,1000,7720000000.0,,,
