Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2005-07-18,MSPL,EQ,10.0,17.9,19.5,14.75,15.2,15.3,15.72,10107513,15892651544999.998,,4325298,0.4279
2005-07-19,MSPL,EQ,15.3,15.4,15.4,14.1,14.25,14.3,14.67,2155309,3162500665000.0,,1365496,0.6335000000000001
2005-07-20,MSPL,EQ,14.3,14.6,15.65,14.2,14.85,14.9,15.05,2237329,3367947210000.0,,977388,0.4369
2005-07-21,MSPL,EQ,14.9,15.2,15.3,14.6,15.0,14.9,15.01,906671,1361297750000.0,,541447,0.5972
2005-07-22,MSPL,EQ,14.9,14.7,15.0,14.6,14.8,14.8,14.83,539666,800562320000.0,,288063,0.5338
2005-07-25,MSPL,EQ,14.8,15.0,15.1,14.4,14.5,14.5,14.67,349016,511977365000.00006,,239436,0.6859999999999999
2005-07-26,MSPL,EQ,14.5,14.5,14.5,13.9,14.0,13.95,14.18,461627,654596310000.0,,349540,0.7572
2005-07-27,MSPL,EQ,13.95,14.3,14.4,13.85,13.95,13.9,14.1,282845,398871735000.0,,180162,0.637
2005-07-29,MSPL,EQ,13.9,14.1,14.1,12.8,12.95,13.0,13.35,701799,936700085000.0,,560082,0.7981
2005-08-01,MSPL,EQ,13.0,13.2,13.2,12.5,12.75,12.8,12.79,327699,418977030000.0,,208373,0.6359
2005-08-02,MSPL,EQ,12.8,12.95,13.2,12.8,13.05,13.1,13.01,277422,361028095000.0,,181720,0.655
2005-08-03,MSPL,EQ,13.1,13.2,13.35,12.9,12.95,13.0,13.07,188208,245908379999.99997,,127040,0.675
2005-08-04,MSPL,EQ,13.0,13.0,14.25,12.75,13.55,13.65,13.73,777231,1067333540000.0,,309651,0.39840000000000003
2005-08-05,MSPL,EQ,13.65,13.85,13.9,13.5,13.55,13.6,13.7,423440,580049870000.0,,214383,0.5063000000000001
2005-08-08,MSPL,EQ,13.6,13.9,14.25,13.75,13.8,13.8,13.94,531158,740283980000.0,,282981,0.5328
2005-08-09,MSPL,EQ,13.8,13.9,14.0,13.5,13.6,13.55,13.72,289628,397340200000.0,,154486,0.5334000000000001
2005-08-10,MSPL,EQ,13.55,13.7,14.0,13.7,13.85,13.85,13.86,253071,350674700000.0,,136870,0.5408
2005-08-11,MSPL,EQ,13.85,13.95,14.5,13.75,14.0,14.0,14.06,428959,603193950000.0,,245442,0.5722
2005-08-12,MSPL,EQ,14.0,14.25,14.25,13.8,13.95,13.9,13.97,262995,367364965000.0,,167736,0.6378
2005-08-16,MSPL,EQ,13.9,14.1,14.2,13.9,13.95,14.0,14.05,266352,374275845000.0,,168689,0.6333
2005-08-17,MSPL,EQ,14.0,14.1,14.4,14.0,14.1,14.2,14.17,316368,448191940000.00006,,172545,0.5454
2005-08-18,MSPL,EQ,14.2,14.25,14.9,13.9,13.9,13.95,14.09,266901,376039110000.0,,187844,0.7038
2005-08-19,MSPL,EQ,13.95,13.9,14.2,13.85,13.9,13.9,14.01,301614,422507875000.0,,176865,0.5864
2005-08-22,MSPL,EQ,13.9,14.2,15.3,14.15,14.95,14.9,14.79,1200581,1776245639999.9998,,583725,0.48619999999999997
2005-08-23,MSPL,EQ,14.9,15.3,15.4,14.25,14.5,14.4,14.82,470964,697877885000.0,,285289,0.6058
2005-08-24,MSPL,EQ,14.4,14.4,14.55,14.0,14.1,14.1,14.22,279547,397497825000.0,,160811,0.5753
2005-08-25,MSPL,EQ,14.1,14.2,14.65,14.1,14.6,14.5,14.41,218521,314847420000.0,,127005,0.5811999999999999
2005-08-26,MSPL,EQ,14.5,14.5,14.9,14.45,14.45,14.55,14.6,226768,330999630000.0,,143519,0.6329
2005-08-29,MSPL,EQ,14.55,14.7,14.9,14.3,14.9,14.8,14.66,215424,315821015000.0,,125350,0.5819
2005-08-30,MSPL,EQ,14.8,15.25,15.45,14.55,14.95,14.95,15.03,333362,500958434999.99994,,251960,0.7558
2005-08-31,MSPL,EQ,14.95,15.1,15.15,14.8,14.9,14.9,14.99,301434,451915209999.99994,,224074,0.7434000000000001
2005-09-01,MSPL,EQ,14.9,15.0,15.3,14.85,14.9,14.95,15.06,378308,569556850000.0,,253717,0.6707
2005-09-02,MSPL,EQ,14.95,15.2,15.25,14.85,14.9,14.95,14.97,237300,355341515000.0,,171616,0.7232
2005-09-05,MSPL,EQ,14.95,15.0,15.3,14.95,15.0,15.0,15.14,358242,542502005000.0,,219533,0.6128
2005-09-06,MSPL,EQ,15.0,15.2,15.3,14.9,14.95,14.95,15.05,275145,414051745000.0,,168005,0.6106
2005-09-08,MSPL,EQ,14.95,15.3,15.35,14.55,14.85,14.85,14.96,206910,309461630000.0,,144667,0.6992
2005-09-09,MSPL,EQ,14.85,15.1,15.1,14.6,14.65,14.65,14.77,148474,219258885000.0,,94660,0.6376
2005-09-12,MSPL,EQ,14.65,14.95,16.35,14.65,16.1,15.95,15.66,1302720,2039944425000.0,,643521,0.494
2005-09-13,MSPL,EQ,15.95,16.25,19.15,15.75,19.15,19.15,18.07,8210959,14833861340000.0,,2423373,0.29510000000000003
2005-09-14,MSPL,EQ,19.15,20.0,21.1,19.25,19.65,19.6,20.11,8064586,16221520205000.002,,2346486,0.29100000000000004
2005-09-15,MSPL,EQ,19.6,20.0,20.7,19.75,19.95,19.85,20.18,2206164,4451461365000.0,,781887,0.3544
2005-09-16,MSPL,EQ,19.85,20.55,20.55,18.9,18.9,19.0,19.39,1099247,2130928775000.0,,593966,0.5403
