Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-04-12,MSTCLTD,EQ,111.25,114.6,120.5,111.5,112.0,112.1,115.1,297026,3418698354999.9995,4427,123798,0.4168
2019-04-15,MSTCLTD,EQ,112.1,113.75,113.75,109.5,110.0,110.15,110.97,75111,833529155000.0,1302,47930,0.6381
2019-04-16,MSTCLTD,EQ,110.15,110.35,111.8,108.0,108.0,108.15,109.36,66819,730714580000.0,1295,40819,0.6109
2019-04-18,MSTCLTD,EQ,108.15,108.0,109.7,105.0,105.6,105.95,106.55,28380,302399965000.0,694,17578,0.6194
2019-04-22,MSTCLTD,EQ,105.95,105.05,105.65,103.0,103.7,103.85,104.12,25230,262702775000.0,516,19041,0.7547
2019-04-23,MSTCLTD,EQ,103.85,103.85,104.3,102.0,102.5,102.65,102.85,17159,176472845000.0,423,13202,0.7694
2019-04-24,MSTCLTD,EQ,102.65,103.05,104.1,102.0,102.1,102.35,102.42,16991,174030095000.0,547,10941,0.6439
2019-04-25,MSTCLTD,EQ,102.35,103.8,103.8,100.5,100.9,101.0,101.52,20901,212184454999.99997,589,16255,0.7777
2019-04-26,MSTCLTD,EQ,101.0,101.0,113.5,101.0,106.0,105.8,108.36,131801,1428163290000.0,2068,62094,0.4711
2019-04-30,MSTCLTD,EQ,105.8,109.25,109.25,97.95,106.25,106.05,103.85,82382,855550500000.0,1323,49508,0.601
2019-05-02,MSTCLTD,EQ,106.05,104.0,106.2,104.0,105.45,105.1,105.09,35670,374871300000.0,654,28159,0.7894
2019-05-03,MSTCLTD,EQ,105.1,102.55,105.65,102.55,103.7,103.95,103.95,9278,96440425000.0,277,6009,0.6476999999999999
2019-05-06,MSTCLTD,EQ,103.95,103.0,105.75,100.95,104.0,104.0,103.69,12958,134366810000.00002,368,8562,0.6607999999999999
2019-05-07,MSTCLTD,EQ,104.0,102.0,106.0,100.95,104.0,101.95,102.59,22579,231627545000.00003,441,17269,0.7648
2019-05-08,MSTCLTD,EQ,101.95,101.05,103.1,99.0,100.05,100.3,100.99,29182,294701540000.0,457,24552,0.8412999999999999
2019-05-09,MSTCLTD,EQ,100.3,103.5,103.5,97.0,99.0,98.8,99.58,16550,164800720000.0,515,12502,0.7554000000000001
2019-05-10,MSTCLTD,EQ,98.8,99.1,101.45,99.0,100.0,100.0,99.94,15521,155113385000.0,268,13127,0.8458
2019-05-13,MSTCLTD,EQ,100.0,99.2,101.9,99.2,100.45,100.45,100.55,21258,213759320000.00003,197,18345,0.863
2019-05-14,MSTCLTD,EQ,100.45,99.0,101.45,99.0,99.2,99.25,100.16,9375,93903705000.0,289,6468,0.6899
2019-05-15,MSTCLTD,EQ,99.25,100.95,104.85,99.1,99.15,99.55,101.12,19612,198319795000.0,398,14951,0.7623000000000001
2019-05-16,MSTCLTD,EQ,99.55,100.05,100.3,98.0,99.9,99.0,99.41,5519,54863180000.00001,210,4824,0.8741
2019-05-17,MSTCLTD,EQ,99.0,96.0,101.0,96.0,97.95,98.55,99.09,19633,194551105000.0,359,17190,0.8756
2019-05-20,MSTCLTD,EQ,98.55,99.1,101.45,99.0,101.4,100.7,100.27,17389,174356205000.0,527,13031,0.7494
2019-05-21,MSTCLTD,EQ,100.7,99.1,100.0,98.15,98.85,98.65,98.89,10916,107952135000.00002,292,9465,0.8671
2019-05-22,MSTCLTD,EQ,98.65,99.9,99.9,97.45,98.0,97.6,97.97,11666,114296170000.0,290,10819,0.9274
2019-05-23,MSTCLTD,EQ,97.6,99.0,100.85,96.5,96.5,96.9,98.31,12875,126576735000.00002,408,8929,0.6935
2019-05-24,MSTCLTD,EQ,96.9,98.25,100.85,95.1,99.9,99.1,97.9,27797,272145640000.0,792,20536,0.7388
2019-05-27,MSTCLTD,EQ,99.1,98.9,104.3,98.9,101.65,101.65,102.11,42663,435619395000.0,765,30659,0.7186
2019-05-28,MSTCLTD,EQ,101.65,101.15,104.95,101.0,103.65,103.7,103.85,26931,279679175000.0,601,18505,0.6870999999999999
2019-05-29,MSTCLTD,EQ,103.7,103.0,104.0,100.0,100.85,100.85,101.81,17975,183004715000.0,440,13253,0.7373000000000001
2019-05-30,MSTCLTD,EQ,100.85,101.0,104.45,98.5,99.25,99.15,101.35,60382,611944510000.0,1152,23349,0.38670000000000004
2019-05-31,MSTCLTD,EQ,99.15,101.0,101.45,97.95,99.0,98.85,99.97,20610,206038805000.0,659,14362,0.6968000000000001
2019-06-03,MSTCLTD,EQ,98.85,98.15,98.5,96.9,98.0,97.4,97.46,22010,214512750000.0,530,16052,0.7293000000000001
2019-06-04,MSTCLTD,EQ,97.4,97.8,98.25,97.1,97.25,97.4,97.7,11206,109477735000.00002,464,7968,0.711
2019-06-06,MSTCLTD,EQ,97.4,96.65,97.25,95.5,95.5,95.9,96.37,19887,191652950000.0,339,16116,0.8104000000000001
2019-06-07,MSTCLTD,EQ,95.9,96.7,99.05,95.6,95.95,96.65,97.65,15983,156069580000.0,306,12536,0.7843000000000001
2019-06-10,MSTCLTD,EQ,96.65,96.9,97.35,95.0,95.0,95.05,95.99,10618,101917595000.0,453,7639,0.7194
2019-06-11,MSTCLTD,EQ,95.05,96.0,96.3,95.0,95.05,95.2,95.46,11462,109410955000.0,309,9780,0.8533
2019-06-12,MSTCLTD,EQ,95.2,95.95,97.35,94.0,94.2,94.3,95.14,11060,105224335000.00002,223,8969,0.8109000000000001
2019-06-13,MSTCLTD,EQ,94.3,94.45,94.45,92.0,94.0,93.0,93.27,13777,128499420000.0,470,10318,0.7489
2019-06-14,MSTCLTD,EQ,93.0,95.35,95.35,92.05,92.15,92.25,93.18,7656,71338400000.0,313,5666,0.7401000000000001
2019-06-17,MSTCLTD,EQ,92.25,93.05,94.75,90.6,91.25,91.15,91.49,11004,100680570000.0,613,6703,0.5970000000000001
2019-06-18,MSTCLTD,EQ,91.15,91.25,92.1,90.05,90.5,90.15,91.0,10306,93785535000.0,589,5847,0.5616
2019-06-19,MSTCLTD,EQ,90.15,90.3,90.7,88.2,88.55,88.55,89.31,15357,137152055000.0,563,11274,0.7341
2019-06-20,MSTCLTD,EQ,88.55,87.25,89.45,85.1,86.75,86.1,86.76,20668,179323800000.0,399,17240,0.8341
2019-06-21,MSTCLTD,EQ,86.1,87.0,87.95,86.2,86.35,86.75,87.02,11180,97288995000.0,344,6631,0.5931000000000001
2019-06-24,MSTCLTD,EQ,86.75,87.2,89.3,86.1,86.65,87.15,87.17,17754,154755965000.0,625,5384,0.3033
2019-06-25,MSTCLTD,EQ,87.15,84.2,86.95,83.2,84.3,84.6,84.91,15425,130969789999.99998,459,10583,0.6861
2019-06-26,MSTCLTD,EQ,84.6,83.5,86.7,83.5,84.4,84.65,84.62,9861,83441420000.0,270,8005,0.8118000000000001
2019-06-27,MSTCLTD,EQ,84.65,85.8,89.95,85.15,86.05,86.6,86.73,20771,180137810000.0,651,9860,0.4747
2019-06-28,MSTCLTD,EQ,86.6,84.15,86.8,84.15,85.4,86.25,85.89,9162,78687905000.0,319,5053,0.5515
2019-07-01,MSTCLTD,EQ,86.25,87.5,87.95,84.35,87.0,87.1,86.55,10396,89977585000.0,321,7305,0.7027
2019-07-02,MSTCLTD,EQ,87.1,86.5,93.9,85.1,90.1,90.6,89.17,25459,227015625000.0,600,19755,0.7759999999999999
2019-07-03,MSTCLTD,EQ,90.6,87.15,94.3,87.15,92.1,92.25,92.28,17877,164971715000.0,431,12141,0.6790999999999999
2019-07-04,MSTCLTD,EQ,92.25,91.0,102.5,91.0,100.0,100.25,99.45,89035,885427869999.9999,1769,60836,0.6833
2019-07-05,MSTCLTD,EQ,100.25,100.25,103.65,99.15,100.0,100.25,100.53,32702,328740795000.0,765,21754,0.6652
2019-07-08,MSTCLTD,EQ,100.25,100.25,102.2,95.1,98.5,99.55,98.2,47355,465031690000.00006,922,32367,0.6835
2019-07-09,MSTCLTD,EQ,99.55,96.35,100.0,96.1,99.2,99.35,98.55,14541,143297830000.0,503,8035,0.5526
2019-07-10,MSTCLTD,EQ,99.35,99.35,100.95,98.0,98.05,99.0,99.21,11711,116188700000.0,361,7118,0.6078
2019-07-11,MSTCLTD,EQ,99.0,99.15,99.95,97.0,98.0,97.85,98.94,10800,106852775000.0,833,4615,0.42729999999999996
2019-07-12,MSTCLTD,EQ,97.85,97.0,98.0,95.15,96.2,96.25,96.34,10673,102818790000.0,607,6120,0.5734
2019-07-15,MSTCLTD,EQ,96.25,101.4,101.4,96.75,99.3,99.75,99.65,28369,282701800000.0,1256,18166,0.6403
2019-07-16,MSTCLTD,EQ,99.75,99.3,101.5,97.1,97.5,99.9,99.95,378498,3783166820000.0005,1176,368430,0.9734
2019-07-17,MSTCLTD,EQ,99.9,99.85,100.0,94.55,96.0,96.3,99.67,385893,3846335450000.0,1105,368819,0.9558
2019-07-18,MSTCLTD,EQ,96.3,96.0,96.0,91.55,93.0,93.0,95.55,72249,690334825000.0,756,66323,0.918
2019-07-19,MSTCLTD,EQ,93.0,93.1,93.8,91.5,91.6,91.9,92.73,4813,44629415000.0,169,2256,0.4687
2019-07-22,MSTCLTD,EQ,91.9,88.65,91.0,88.65,90.0,89.95,89.98,12089,108780164999.99998,171,10330,0.8545
2019-07-23,MSTCLTD,EQ,89.95,88.25,93.9,88.25,91.25,91.8,91.42,2670,24409660000.0,138,1663,0.6228
2019-07-24,MSTCLTD,EQ,91.8,91.0,91.4,90.05,90.05,90.05,90.2,3355,30261440000.000004,119,2718,0.8101
2019-07-25,MSTCLTD,EQ,90.05,88.75,90.0,88.75,89.0,89.15,89.23,2352,20986580000.0,75,2035,0.8652
2019-07-26,MSTCLTD,EQ,89.15,89.15,89.15,87.0,87.2,87.55,88.24,5914,52185290000.0,192,5096,0.8617
2019-07-29,MSTCLTD,EQ,87.55,87.0,89.0,85.5,86.0,86.6,87.04,10179,88592975000.0,278,9187,0.9025
2019-07-30,MSTCLTD,EQ,86.6,85.05,88.5,85.05,85.1,85.35,86.01,6159,52973460000.0,231,5049,0.8198000000000001
2019-07-31,MSTCLTD,EQ,85.35,84.6,85.05,83.5,83.55,83.95,84.1,6536,54967130000.00001,183,4945,0.7565999999999999
2019-08-01,MSTCLTD,EQ,83.95,81.15,84.0,78.2,79.55,79.9,80.31,18617,149507650000.0,826,11369,0.6107
2019-08-02,MSTCLTD,EQ,79.9,82.25,82.25,75.8,80.05,80.05,79.42,6626,52621360000.0,325,5048,0.7618
2019-08-05,MSTCLTD,EQ,80.05,78.0,80.8,78.0,79.45,79.95,79.49,1948,15485540000.0,149,1326,0.6807
2019-08-06,MSTCLTD,EQ,79.95,76.0,88.5,76.0,83.05,84.55,84.86,14255,120973160000.00002,741,5996,0.42060000000000003
2019-08-07,MSTCLTD,EQ,84.55,84.55,87.0,83.4,84.3,85.35,85.13,3500,29797170000.0,375,1403,0.40090000000000003
2019-08-08,MSTCLTD,EQ,85.35,84.5,87.5,84.15,85.0,84.9,85.38,8361,71386045000.0,242,6133,0.7334999999999999
2019-08-09,MSTCLTD,EQ,84.9,84.4,89.45,84.4,86.2,87.4,87.91,10527,92547705000.0,427,5061,0.4808
2019-08-13,MSTCLTD,EQ,87.4,86.5,88.2,84.0,84.15,85.55,85.81,2600,22309360000.0,199,1921,0.7388
2019-08-14,MSTCLTD,EQ,85.55,84.0,86.0,79.1,79.25,79.95,81.49,18668,152127180000.0,644,11292,0.6049
2019-08-16,MSTCLTD,EQ,79.95,80.75,80.75,76.8,77.6,77.85,78.08,11251,87853310000.0,861,5911,0.5254
2019-08-19,MSTCLTD,EQ,77.85,79.0,82.75,77.05,80.0,80.05,80.26,13945,111917050000.0,2283,8479,0.608
2019-08-20,MSTCLTD,EQ,80.05,79.5,80.95,78.7,80.0,79.95,79.95,28500,227847260000.0,1072,27462,0.9636
2019-08-21,MSTCLTD,EQ,79.95,79.5,80.45,76.1,77.6,78.95,79.08,10835,85678410000.0,954,8610,0.7946
2019-08-22,MSTCLTD,EQ,78.95,78.1,80.0,76.5,76.55,76.7,77.35,8693,67242385000.0,574,5139,0.5912
2019-08-23,MSTCLTD,EQ,76.7,75.55,78.0,73.1,75.2,75.15,75.79,4316,32712515000.000004,179,3855,0.8932
2019-08-26,MSTCLTD,EQ,75.15,78.4,81.0,75.5,79.0,79.0,77.53,7016,54394619999.99999,210,5560,0.7925
2019-08-27,MSTCLTD,EQ,79.0,76.4,94.8,76.4,89.7,89.25,92.71,216746,2009420764999.9998,1696,166132,0.7665000000000001
2019-08-28,MSTCLTD,EQ,89.25,92.7,96.6,87.3,93.5,92.1,93.16,38274,356549270000.0,1480,18394,0.4806
2019-08-29,MSTCLTD,EQ,92.1,97.0,100.0,82.15,84.0,84.5,91.07,790675,7201012240000.001,11398,326199,0.41259999999999997
2019-08-30,MSTCLTD,EQ,84.5,85.1,85.8,80.3,81.7,81.35,82.26,81239,668298080000.0,1371,28684,0.3531
2019-09-03,MSTCLTD,EQ,81.35,81.15,81.85,77.2,78.45,78.7,79.59,52553,418246670000.0,1418,19342,0.368
2019-09-04,MSTCLTD,EQ,78.7,78.55,80.9,77.1,78.35,78.85,78.63,35893,282214445000.0,1477,15088,0.4204
2019-09-05,MSTCLTD,EQ,78.85,80.3,81.85,78.2,79.65,79.6,80.48,36457,293421985000.0,1218,9423,0.2585
2019-09-06,MSTCLTD,EQ,79.6,79.25,83.5,79.1,81.6,81.6,80.78,23302,188228195000.0,973,12507,0.5367000000000001
2019-09-09,MSTCLTD,EQ,81.6,82.8,88.8,80.55,86.2,88.25,86.11,68767,592138170000.0,1722,50720,0.7376
2019-09-11,MSTCLTD,EQ,88.25,89.0,96.0,85.1,94.0,94.4,92.51,119058,1101366495000.0,2116,61779,0.5189
2019-09-12,MSTCLTD,EQ,94.4,95.0,98.0,92.85,93.3,93.4,95.7,52392,501410715000.00006,1236,28315,0.5404
2019-09-13,MSTCLTD,EQ,93.4,91.5,98.25,86.75,95.65,96.75,95.11,79776,758733575000.0,1635,50988,0.6391
2019-09-16,MSTCLTD,EQ,96.75,96.5,96.5,92.2,93.0,93.6,94.63,33284,314967860000.0,833,21381,0.6424
2019-09-17,MSTCLTD,EQ,93.6,94.2,94.4,87.75,90.8,90.5,91.25,32575,297242060000.0,1140,17734,0.5444
2019-09-18,MSTCLTD,EQ,90.5,92.7,93.0,89.8,90.5,91.95,91.57,14031,128485095000.0,617,7067,0.5037
2019-09-19,MSTCLTD,EQ,91.95,91.7,92.55,85.75,86.5,86.95,87.93,16528,145335640000.0,544,11744,0.7106
