Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-01-01,MTNL,EQ,147.0,161.0,161.0,148.0,,148.0,151.61,1800,27290000000.0,,,
1996-01-02,MTNL,EQ,148.0,145.0,150.0,144.5,,147.6,146.65,20000,293303000000.0,,,
1996-01-03,MTNL,EQ,147.6,148.0,150.0,147.25,,147.25,149.55,32400,484533000000.0,,,
1996-01-04,MTNL,EQ,147.25,145.0,149.0,145.0,,149.0,146.92,1300,19100000000.0,,,
1996-01-05,MTNL,EQ,149.0,145.3,150.0,145.3,,149.4,147.41,1300,19163000000.0,,,
1996-01-08,MTNL,EQ,149.4,148.5,148.5,146.5,,146.5,147.69,800,11815000000.0,,,
1996-01-09,MTNL,EQ,146.5,155.0,155.0,145.05,,149.0,147.76,5000,73878500000.0,,,
1996-01-10,MTNL,EQ,149.0,145.0,145.05,140.0,,145.05,142.93,1200,17151000000.0,,,
1996-01-11,MTNL,EQ,145.05,147.0,147.0,147.0,,147.0,147.0,500,7350000000.0,,,
1996-01-12,MTNL,EQ,147.0,147.0,147.0,147.0,,147.0,147.0,200,2940000000.0,,,
1996-01-15,MTNL,EQ,147.0,146.0,146.05,146.0,,146.05,146.03,200,2920500000.0,,,
1996-01-16,MTNL,EQ,146.05,146.05,145.5,145.05,,145.05,145.22,300,4356500000.0,,,
1996-01-18,MTNL,EQ,145.05,147.9,152.0,147.9,,152.0,150.39,6400,96248500000.0,,,
1996-01-19,MTNL,EQ,152.0,152.0,156.0,152.0,,155.8,155.78,60200,937800000000.0,,,
1996-01-22,MTNL,EQ,155.8,155.0,157.05,154.5,,155.9,155.9,4600,71716000000.0,,,
1996-01-23,MTNL,EQ,155.9,153.35,156.0,153.35,,154.55,155.39,1900,29525000000.0,,,
1996-01-24,MTNL,EQ,154.55,150.0,150.0,147.0,,147.5,148.0,500,7400000000.0,,,
1996-01-25,MTNL,EQ,147.5,152.0,155.0,152.0,,153.6,153.57,700,10750000000.0,,,
1996-01-29,MTNL,EQ,153.6,157.95,157.95,156.0,,157.5,156.99,600,9419500000.0,,,
1996-01-30,MTNL,EQ,157.5,157.5,159.0,157.0,,159.0,158.0,101200,1598989500000.0,,,
1996-01-31,MTNL,EQ,159.0,158.0,158.0,154.5,,156.0,156.88,800,12550500000.0,,,
1996-02-01,MTNL,EQ,156.0,158.0,158.25,156.05,,158.25,158.24,100700,1593479000000.0,,,
1996-02-02,MTNL,EQ,158.25,158.25,163.0,158.0,,161.95,160.74,3200,51437500000.0,,,
1996-02-05,MTNL,EQ,161.95,167.0,168.5,166.0,,168.25,168.06,396800,6668470000000.0,,,
1996-02-06,MTNL,EQ,168.25,168.25,172.0,160.0,,171.4,171.07,78700,1346288000000.0,,,
1996-02-07,MTNL,EQ,171.4,165.0,166.0,164.5,,166.0,165.67,1500,24850000000.0,,,
1996-02-08,MTNL,EQ,166.0,166.0,177.5,170.0,,174.5,174.48,337200,5883617000000.0,,,
1996-02-09,MTNL,EQ,174.5,174.5,182.0,175.0,,178.0,178.43,136900,2442759500000.0,,,
1996-02-12,MTNL,EQ,178.0,178.0,190.0,177.05,,185.95,187.33,253400,4746926000000.0,,,
1996-02-13,MTNL,EQ,185.95,185.95,188.0,180.0,,186.0,180.78,121500,2196534500000.0,,,
1996-02-14,MTNL,EQ,186.0,190.5,191.0,188.0,,189.8,189.84,127400,2418574000000.0,,,
1996-02-15,MTNL,EQ,189.8,189.8,189.0,185.0,,187.65,187.55,3500,65642000000.0,,,
1996-02-16,MTNL,EQ,187.65,186.5,190.0,177.0,,181.05,183.23,7700,141085000000.0,,,
1996-02-19,MTNL,EQ,181.05,181.05,192.0,182.0,,182.55,184.54,1600,29526500000.0,,,
1996-02-20,MTNL,EQ,182.55,182.55,182.0,168.25,,169.15,181.23,22100,400512000000.0,,,
1996-02-22,MTNL,EQ,169.15,169.15,182.0,175.0,,182.0,180.84,5200,94037500000.0,,,
1996-02-23,MTNL,EQ,182.0,180.0,180.6,180.0,,180.0,180.14,1400,25219500000.0,,,
1996-02-26,MTNL,EQ,180.0,180.0,184.0,181.0,,181.25,181.65,1900,34514000000.0,,,
1996-02-27,MTNL,EQ,181.25,181.25,181.0,178.0,,179.7,179.29,2200,39443000000.0,,,
1996-02-28,MTNL,EQ,179.7,179.7,182.0,178.0,,178.0,181.97,65500,1191900000000.0,,,
1996-02-29,MTNL,EQ,178.0,178.0,175.0,171.0,,175.0,174.91,16000,279857500000.0,,,
1996-03-01,MTNL,EQ,175.0,175.0,181.95,173.0,,181.95,177.55,1100,19531000000.0,,,
1996-03-04,MTNL,EQ,181.95,181.95,178.7,175.05,,177.0,176.95,900,15925500000.0,,,
1996-03-06,MTNL,EQ,177.0,177.0,187.5,180.0,,180.65,180.68,14100,254760000000.0,,,
1996-03-07,MTNL,EQ,180.65,180.65,183.0,180.2,,180.2,180.29,3200,57692000000.0,,,
1996-03-08,MTNL,EQ,180.2,180.2,180.0,176.0,,180.0,179.63,14600,262258500000.0,,,
1996-03-11,MTNL,EQ,180.0,180.0,180.0,175.0,,179.95,179.92,83000,1493329000000.0,,,
1996-03-12,MTNL,EQ,179.95,179.95,181.5,172.3,,172.3,179.9,113800,2047250500000.0,,,
1996-03-13,MTNL,EQ,172.3,172.3,177.0,175.05,,176.75,176.6,1300,22958500000.0,,,
1996-03-14,MTNL,EQ,176.75,176.75,178.0,176.05,,178.0,177.76,5700,101326000000.0,,,
1996-03-15,MTNL,EQ,178.0,178.0,178.0,176.0,,176.0,176.39,11600,204610000000.0,,,
1996-03-18,MTNL,EQ,176.0,175.05,176.0,175.05,,176.0,175.53,200,3510500000.0,,,
1996-03-19,MTNL,EQ,176.0,176.0,177.5,171.0,,171.75,172.81,3400,58755000000.0,,,
1996-03-21,MTNL,EQ,171.75,171.75,179.5,175.0,,178.8,178.49,16200,289157500000.0,,,
1996-03-22,MTNL,EQ,178.8,178.8,180.0,177.0,,178.6,179.86,693700,12476802500000.0,,,
1996-03-25,MTNL,EQ,178.6,178.6,180.0,177.0,,180.0,179.88,64700,1163855500000.0,,,
1996-03-26,MTNL,EQ,180.0,180.0,181.8,177.0,,180.0,180.0,182500,3284928000000.0,,,
1996-03-27,MTNL,EQ,180.0,180.0,180.5,178.0,,178.0,179.99,82900,1492128000000.0,,,
1996-03-28,MTNL,EQ,178.0,178.0,195.0,182.2,,194.65,190.36,21500,409277500000.0,,,
1996-03-29,MTNL,EQ,194.65,194.65,191.0,181.0,,181.35,189.26,48400,916017000000.0,,,
1996-04-01,MTNL,EQ,181.35,181.35,185.0,182.0,,182.5,182.53,111000,2026054500000.0,,,
1996-04-02,MTNL,EQ,182.5,182.5,184.0,177.75,,180.95,180.86,13300,240546500000.0,,,
1996-04-03,MTNL,EQ,180.95,180.95,185.9,181.0,,183.0,182.97,207800,3802184500000.0,,,
1996-04-04,MTNL,EQ,183.0,183.0,184.35,181.0,,182.85,182.67,53200,971791000000.0,,,
1996-04-08,MTNL,EQ,182.85,182.85,186.0,184.0,,185.25,185.08,7300,135105000000.0,,,
1996-04-09,MTNL,EQ,185.25,185.25,186.25,180.0,,185.2,185.04,36900,682782000000.0,,,
1996-04-10,MTNL,EQ,185.2,185.2,186.0,182.0,,182.1,185.03,24000,444069500000.0,,,
1996-04-11,MTNL,EQ,182.1,182.1,182.0,178.0,,182.0,180.0,200,3600000000.0,,,
1996-04-12,MTNL,EQ,182.0,182.0,183.5,181.8,,183.0,182.96,10800,197594500000.0,,,
1996-04-15,MTNL,EQ,183.0,183.0,186.5,185.0,,185.05,185.59,4500,83517500000.0,,,
1996-04-16,MTNL,EQ,185.05,185.05,186.0,184.0,,184.65,185.99,172100,3200895000000.0,,,
1996-04-17,MTNL,EQ,184.65,184.65,194.0,191.0,,191.85,191.79,246800,4733358500000.0,,,
1996-04-18,MTNL,EQ,191.85,191.85,197.0,192.95,,193.3,195.58,65400,1279103000000.0,,,
1996-04-19,MTNL,EQ,193.3,193.3,201.0,196.0,,198.05,198.43,105500,2093445000000.0,,,
1996-04-22,MTNL,EQ,198.05,196.5,196.5,190.0,,190.75,192.91,18400,354956500000.0,,,
1996-04-23,MTNL,EQ,190.75,190.75,195.45,180.05,,193.6,192.69,38000,732219000000.0,,,
1996-04-24,MTNL,EQ,193.6,193.6,213.0,200.0,,212.0,210.27,180500,3795335000000.0,,,
1996-04-25,MTNL,EQ,212.0,227.0,231.5,211.2,,215.3,224.88,61900,1392005000000.0,,,
1996-04-26,MTNL,EQ,215.3,215.3,233.95,212.0,,231.9,229.41,145100,3328694000000.0,,,
1996-04-29,MTNL,EQ,231.9,231.9,234.6,225.05,,232.35,231.73,84200,1951140500000.0,,,
1996-04-30,MTNL,EQ,232.35,232.35,233.0,224.0,,228.15,230.76,172600,3982996000000.0,,,
1996-05-01,MTNL,EQ,228.15,228.15,235.0,231.0,,234.15,233.69,30600,715082000000.0,,,
1996-05-02,MTNL,EQ,234.15,234.15,237.2,228.1,,237.2,236.53,441500,10442940500000.0,,,
1996-05-03,MTNL,EQ,237.2,237.2,231.75,224.0,,228.8,228.66,92200,2108268000000.0,,,
1996-05-06,MTNL,EQ,228.8,228.8,225.9,212.15,,219.85,216.88,44900,973793500000.0,,,
1996-05-07,MTNL,EQ,219.85,219.85,224.95,215.6,,222.9,220.96,32800,724752500000.0,,,
1996-05-08,MTNL,EQ,222.9,222.9,230.5,218.0,,227.55,223.91,21700,485875000000.0,,,
1996-05-09,MTNL,EQ,227.55,227.55,228.9,220.0,,220.9,224.05,11500,257659500000.0,,,
1996-05-10,MTNL,EQ,220.9,220.9,226.0,214.0,,218.9,222.66,316900,7056221500000.0,,,
1996-05-13,MTNL,EQ,218.9,218.9,223.9,217.5,,223.4,221.5,7400,163913000000.0,,,
1996-05-14,MTNL,EQ,223.4,223.4,228.5,220.5,,223.15,224.65,313900,7051880500000.0,,,
1996-05-15,MTNL,EQ,223.15,223.15,228.0,222.7,,225.95,224.42,41200,924613500000.0,,,
1996-05-16,MTNL,EQ,225.95,225.95,231.0,224.05,,226.0,227.8,12700,289301500000.0,,,
1996-05-17,MTNL,EQ,226.0,226.0,225.0,222.1,,223.4,223.94,5300,118690000000.0,,,
1996-05-20,MTNL,EQ,223.4,223.4,220.5,216.75,,217.0,217.86,8900,193894500000.0,,,
1996-05-21,MTNL,EQ,217.0,217.0,217.5,208.0,,209.45,210.39,11900,250365500000.0,,,
1996-05-22,MTNL,EQ,209.45,209.45,218.0,210.25,,213.5,214.35,10400,222919000000.0,,,
1996-05-23,MTNL,EQ,213.5,213.5,213.5,211.5,,213.4,212.7,12900,274384000000.0,,,
1996-05-24,MTNL,EQ,213.4,213.4,219.0,212.55,,218.35,218.19,105400,2299747500000.0,,,
1996-05-27,MTNL,EQ,218.35,218.35,219.0,211.1,,218.85,216.8,36000,780493500000.0,,,
1996-05-28,MTNL,EQ,218.85,218.85,218.75,210.65,,215.75,214.6,19700,422754500000.0,,,
1996-05-29,MTNL,EQ,215.75,217.0,220.0,216.35,,219.2,218.82,5500,120349000000.0,,,
1996-05-30,MTNL,EQ,219.2,219.2,220.0,215.1,,215.75,216.22,6200,134056500000.0,,,
1996-05-31,MTNL,EQ,215.75,218.9,218.9,215.3,,217.5,216.88,700,15181500000.0,,,
1996-06-03,MTNL,EQ,217.5,217.5,224.0,221.0,,222.05,222.76,162900,3628807500000.0,,,
1996-06-04,MTNL,EQ,222.05,222.05,224.45,218.0,,219.05,221.42,19000,420700000000.0,,,
1996-06-05,MTNL,EQ,219.05,218.1,220.5,217.0,,219.45,219.0,105800,2316981500000.0,,,
1996-06-06,MTNL,EQ,219.45,218.0,227.25,218.0,,226.75,226.67,404900,9177751500000.0,,,
1996-06-07,MTNL,EQ,226.75,223.5,227.25,223.05,,226.95,227.04,725800,16478662500000.0,,,
1996-06-10,MTNL,EQ,226.95,229.0,232.4,227.5,,227.65,228.1,230100,5248600500000.0,,,
1996-06-11,MTNL,EQ,227.65,226.25,232.5,226.25,,232.1,231.99,687900,15958657000000.0,,,
1996-06-12,MTNL,EQ,232.1,238.0,245.0,233.0,,241.95,239.65,95400,2286236000000.0,,,
1996-06-13,MTNL,EQ,241.95,244.8,264.2,241.25,,260.8,254.2,384900,9783977000000.0,,,
1996-06-14,MTNL,EQ,260.8,263.5,275.0,260.5,,269.95,266.53,664300,17705444500000.0,,,
1996-06-17,MTNL,EQ,269.95,269.5,269.75,251.0,,254.4,260.36,152600,3973087500000.0,,,
1996-06-18,MTNL,EQ,254.4,252.0,268.0,250.55,,261.1,260.72,489300,12757033000000.0,,,
1996-06-19,MTNL,EQ,261.1,267.0,267.5,257.5,,259.65,261.82,93000,2434921500000.0,,,
1996-06-20,MTNL,EQ,259.65,254.0,258.0,252.5,,253.95,255.13,112100,2860012500000.0,,,
1996-06-21,MTNL,EQ,253.95,251.0,258.9,248.05,,249.1,253.2,99500,2519307000000.0,,,
1996-06-24,MTNL,EQ,249.1,247.0,251.1,245.0,,250.4,247.78,58400,1447043500000.0,,,
1996-06-25,MTNL,EQ,250.4,250.9,252.0,244.5,,245.7,248.09,95800,2376654500000.0,,,
1996-06-26,MTNL,EQ,245.7,250.75,251.0,248.5,,249.2,249.75,37400,934074500000.0,,,
1996-06-27,MTNL,EQ,249.2,247.15,254.5,247.0,,253.4,251.37,57100,1435343000000.0,,,
1996-06-28,MTNL,EQ,253.4,257.0,258.8,251.1,,252.85,254.74,32200,820269000000.0,,,
