Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-01-02,MUNJALSHOW,EQ,238.0,233.0,233.0,230.0,,230.0,230.8,500,11540000000.0,,,
1996-01-05,MUNJALSHOW,EQ,230.0,230.0,232.0,230.0,,232.0,230.67,300,6920000000.0,,,
1996-01-09,MUNJALSHOW,EQ,232.0,240.0,240.0,232.0,,232.0,234.67,300,7040000000.0,,,
1996-01-10,MUNJALSHOW,EQ,232.0,232.5,232.5,232.5,,232.5,232.5,100,2325000000.0,,,
1996-01-12,MUNJALSHOW,EQ,232.5,248.0,248.0,248.0,,248.0,248.0,100,2480000000.0,,,
1996-01-16,MUNJALSHOW,EQ,248.0,232.5,235.0,232.5,,232.5,233.33,300,7000000000.0,,,
1996-01-17,MUNJALSHOW,EQ,232.5,232.0,232.0,232.0,,232.0,232.0,100,2320000000.0,,,
1996-01-19,MUNJALSHOW,EQ,232.0,235.0,245.0,235.0,,242.5,240.0,300,7200000000.0,,,
1996-01-22,MUNJALSHOW,EQ,242.5,238.0,238.0,238.0,,238.0,238.0,5600,133280000000.0,,,
1996-01-23,MUNJALSHOW,EQ,238.0,244.0,244.0,244.0,,244.0,244.0,100,2440000000.0,,,
1996-01-24,MUNJALSHOW,EQ,244.0,242.0,242.0,242.0,,242.0,242.0,100,2420000000.0,,,
1996-02-02,MUNJALSHOW,EQ,242.0,242.0,245.0,245.0,,245.0,245.0,200,4900000000.0,,,
1996-02-07,MUNJALSHOW,EQ,245.0,245.0,255.0,255.0,,255.0,255.0,5000,127500000000.0,,,
1996-02-08,MUNJALSHOW,EQ,255.0,250.0,250.0,250.0,,250.0,250.0,100,2500000000.0,,,
1996-02-09,MUNJALSHOW,EQ,250.0,255.0,255.05,255.0,,255.05,255.03,200,5100500000.0,,,
1996-02-12,MUNJALSHOW,EQ,255.05,265.05,265.05,260.0,,265.0,264.18,600,15850500000.0,,,
1996-02-13,MUNJALSHOW,EQ,265.0,265.0,274.0,265.0,,272.0,270.02,600,16201000000.0,,,
1996-02-14,MUNJALSHOW,EQ,272.0,282.0,282.0,280.0,,280.0,281.0,500,14050000000.0,,,
1996-02-15,MUNJALSHOW,EQ,280.0,290.0,300.0,290.0,,300.0,294.25,400,11770000000.0,,,
1996-02-16,MUNJALSHOW,EQ,300.0,301.5,304.0,301.5,,304.0,302.88,400,12115000000.0,,,
1996-02-19,MUNJALSHOW,EQ,304.0,290.0,300.0,290.0,,300.0,295.0,200,5900000000.0,,,
1996-02-20,MUNJALSHOW,EQ,300.0,300.0,300.0,290.0,,290.0,295.0,200,5900000000.0,,,
1996-02-22,MUNJALSHOW,EQ,290.0,290.0,290.0,280.05,,280.05,283.37,300,8501000000.0,,,
1996-02-23,MUNJALSHOW,EQ,280.05,290.0,290.0,290.0,,290.0,290.0,100,2900000000.0,,,
1996-02-26,MUNJALSHOW,EQ,290.0,290.0,298.0,290.0,,298.0,294.0,200,5880000000.0,,,
1996-02-27,MUNJALSHOW,EQ,298.0,300.0,300.0,300.0,,300.0,300.0,100,3000000000.0,,,
1996-03-01,MUNJALSHOW,EQ,300.0,290.0,290.0,290.0,,290.0,290.0,100,2900000000.0,,,
1996-03-07,MUNJALSHOW,EQ,290.0,292.5,292.5,292.5,,292.5,292.5,100,2925000000.0,,,
1996-03-08,MUNJALSHOW,EQ,292.5,285.0,285.0,285.0,,285.0,285.0,100,2850000000.0,,,
1996-03-15,MUNJALSHOW,EQ,285.0,279.0,284.0,279.0,,284.0,283.21,700,19825000000.0,,,
1996-03-18,MUNJALSHOW,EQ,284.0,295.0,300.0,295.0,,300.0,297.5,200,5950000000.0,,,
1996-03-22,MUNJALSHOW,EQ,300.0,300.0,302.0,302.0,,302.0,302.0,100,3020000000.0,,,
1996-03-25,MUNJALSHOW,EQ,302.0,302.0,298.0,298.0,,298.0,298.0,100,2980000000.0,,,
1996-03-26,MUNJALSHOW,EQ,298.0,298.0,285.0,285.0,,285.0,285.0,200,5700000000.0,,,
1996-03-27,MUNJALSHOW,EQ,285.0,304.0,305.0,304.0,,305.0,304.5,200,6090000000.0,,,
1996-03-29,MUNJALSHOW,EQ,305.0,307.0,307.0,300.0,,300.0,303.5,200,6070000000.0,,,
1996-04-02,MUNJALSHOW,EQ,300.0,300.0,312.0,308.5,,308.5,310.82,300,9324500000.0,,,
1996-04-03,MUNJALSHOW,EQ,308.5,300.0,300.0,300.0,,300.0,300.0,200,6000000000.0,,,
1996-04-04,MUNJALSHOW,EQ,300.0,300.0,305.0,300.0,,303.35,303.33,300,9100000000.0,,,
1996-04-08,MUNJALSHOW,EQ,303.35,305.0,307.0,305.0,,307.0,305.04,5200,158620000000.0,,,
1996-04-09,MUNJALSHOW,EQ,307.0,307.0,307.0,305.0,,305.9,306.03,900,27542500000.0,,,
1996-04-10,MUNJALSHOW,EQ,305.9,305.9,310.0,310.0,,310.0,310.0,100,3100000000.0,,,
1996-04-11,MUNJALSHOW,EQ,310.0,310.0,309.0,309.0,,309.0,309.0,100,3090000000.0,,,
1996-04-15,MUNJALSHOW,EQ,309.0,307.0,310.0,307.0,,310.0,308.5,200,6170000000.0,,,
