Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1999-04-28,NATIONALUM,EQ,26.95,24.55,26.65,24.3,26.65,26.65,25.76,9600,24727000000.0,,,
1999-04-29,NATIONALUM,EQ,26.65,25.0,26.9,24.55,24.55,24.55,25.06,52900,132574500000.0,,,
1999-04-30,NATIONALUM,EQ,24.55,24.7,25.5,24.0,25.1,25.1,25.04,26100,65346000000.0,,,
1999-05-03,NATIONALUM,EQ,25.1,24.15,25.45,24.15,25.1,25.1,24.74,18300,45266500000.0,,,
1999-05-04,NATIONALUM,EQ,25.1,25.0,27.0,25.0,26.05,26.05,26.01,27600,71777000000.0,,,
1999-05-05,NATIONALUM,EQ,26.05,27.0,28.15,26.8,26.8,26.8,27.22,80100,218008500000.0,,,
1999-05-06,NATIONALUM,EQ,26.8,26.1,28.1,26.1,26.65,26.65,27.24,65300,177859500000.0,,,
1999-05-07,NATIONALUM,EQ,26.65,27.0,27.95,26.5,26.5,26.5,27.32,66700,182238000000.0,,,
1999-05-10,NATIONALUM,EQ,26.5,28.6,28.65,27.95,28.65,28.65,28.51,153100,436521000000.0,,,
1999-05-11,NATIONALUM,EQ,28.65,30.95,30.95,29.55,30.95,30.95,30.53,373000,1138637000000.0,,,
1999-05-12,NATIONALUM,EQ,30.95,33.4,33.45,30.0,30.6,30.6,31.57,522100,1648188000000.0,,,
1999-05-13,NATIONALUM,EQ,30.6,31.45,32.0,30.65,31.15,31.15,31.12,163400,508544500000.0,,,
1999-05-14,NATIONALUM,EQ,31.15,31.9,31.9,30.5,31.75,31.75,31.02,123500,383145000000.0,,,
1999-05-17,NATIONALUM,EQ,31.75,30.9,31.5,29.55,30.0,30.0,30.63,62800,192374500000.0,,,
1999-05-18,NATIONALUM,EQ,30.0,28.15,31.7,28.15,30.25,30.25,30.9,128500,397038000000.0,,,
1999-05-19,NATIONALUM,EQ,30.25,31.25,31.75,30.8,31.5,31.5,31.3,60200,188412000000.0,,,
