Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2007-06-01,NAVINFLUOR,EQ,331.2,344.0,345.0,322.5,322.6,326.9,334.53,15628,522800095000.0,,6441,0.4121
2007-06-04,NAVINFLUOR,EQ,326.9,327.05,341.0,327.0,338.0,335.25,333.05,5933,197596875000.0,,4443,0.7489
2007-06-05,NAVINFLUOR,EQ,335.25,342.0,369.0,331.0,355.0,355.5,357.94,16245,581471765000.0,,7802,0.4803
2007-06-06,NAVINFLUOR,EQ,355.5,360.0,398.9,356.15,369.5,368.4,379.55,49065,1862249814999.9998,,20955,0.42710000000000004
2007-06-07,NAVINFLUOR,EQ,368.4,379.8,387.8,366.0,373.85,371.5,379.02,19919,754976865000.0,,10253,0.5147
2007-06-08,NAVINFLUOR,EQ,371.5,366.1,397.0,366.1,383.5,383.95,384.86,24380,938296480000.0001,,12863,0.5276
2007-06-11,NAVINFLUOR,EQ,383.95,399.9,416.0,390.0,393.25,393.35,405.56,51122,2073292485000.0002,,21223,0.41509999999999997
2007-06-12,NAVINFLUOR,EQ,393.35,399.0,403.0,380.0,384.0,385.25,390.3,11372,443847050000.0,,5675,0.499
2007-06-13,NAVINFLUOR,EQ,385.25,389.9,396.0,382.3,382.6,384.15,389.54,3504,136494670000.0,,1572,0.4486
2007-06-14,NAVINFLUOR,EQ,384.15,390.0,393.0,385.05,388.0,388.0,389.05,6561,255257645000.00003,,4665,0.711
2007-06-15,NAVINFLUOR,EQ,388.0,390.0,397.0,387.1,388.05,388.55,392.04,7398,290029195000.0,,6040,0.8164
2007-06-18,NAVINFLUOR,EQ,388.55,390.0,390.0,360.0,360.0,362.85,367.0,6686,245377385000.0,,3316,0.49600000000000005
2007-06-19,NAVINFLUOR,EQ,362.85,360.0,377.7,360.0,372.0,374.1,371.57,4106,152567520000.0,,2602,0.6337
2007-06-20,NAVINFLUOR,EQ,374.1,375.0,378.5,367.0,373.0,372.85,373.23,9392,350533600000.0,,8308,0.8845999999999999
2007-06-21,NAVINFLUOR,EQ,372.85,370.0,388.55,370.0,376.25,379.05,382.41,4623,176787540000.0,,2754,0.5957
2007-06-22,NAVINFLUOR,EQ,379.05,380.0,380.5,371.15,371.15,371.4,376.38,823,30976450000.0,,570,0.6926000000000001
2007-06-25,NAVINFLUOR,EQ,371.4,377.75,377.75,368.0,372.0,370.4,370.17,1786,66112100000.0,,1519,0.8505
2007-06-26,NAVINFLUOR,EQ,370.4,370.2,371.5,368.25,369.0,369.55,370.02,581,21498420000.0,,480,0.8262
2007-06-27,NAVINFLUOR,EQ,369.55,369.0,382.0,362.0,380.0,378.95,376.16,4813,181046725000.0,,3943,0.8192
2007-06-28,NAVINFLUOR,EQ,378.95,384.75,384.75,361.0,362.5,363.6,370.2,3441,127384985000.00002,,2904,0.8439
2007-06-29,NAVINFLUOR,EQ,363.6,364.0,367.0,358.1,361.05,360.35,364.29,4345,158282885000.0,,3788,0.8718000000000001
2007-07-02,NAVINFLUOR,EQ,360.35,365.05,370.0,365.0,368.5,368.3,368.17,3215,118365189999.99998,,2473,0.7692
2007-07-03,NAVINFLUOR,EQ,368.3,370.15,370.15,362.05,364.25,366.6,365.4,1441,52654410000.0,,1104,0.7661
2007-07-04,NAVINFLUOR,EQ,366.6,362.1,370.1,361.0,368.0,368.7,368.02,1802,66316930000.00001,,1457,0.8085
2007-07-05,NAVINFLUOR,EQ,368.7,355.1,362.75,352.1,355.5,355.85,357.62,2561,91587380000.0,,2085,0.8140999999999999
2007-07-06,NAVINFLUOR,EQ,355.85,350.0,404.4,350.0,379.0,381.8,392.78,43978,1727369710000.0002,,20217,0.4597
2007-07-09,NAVINFLUOR,EQ,381.8,392.0,396.0,360.05,379.5,380.5,382.31,11075,423403325000.0,,5942,0.5365
2007-07-10,NAVINFLUOR,EQ,380.5,385.0,385.0,370.55,371.3,371.35,378.61,4054,153489265000.0,,1861,0.45909999999999995
2007-07-11,NAVINFLUOR,EQ,371.35,360.0,379.9,360.0,371.0,374.7,376.13,3958,148872970000.0,,2427,0.6132
2007-07-12,NAVINFLUOR,EQ,374.7,383.65,384.8,374.0,376.5,379.25,381.19,2396,91333925000.0,,1544,0.6444
2007-07-13,NAVINFLUOR,EQ,379.25,384.0,384.0,371.35,374.0,378.0,377.02,3200,120647464999.99998,,2484,0.7762000000000001
2007-07-16,NAVINFLUOR,EQ,378.0,395.0,395.0,370.0,375.0,375.0,377.66,1084,40938625000.0,,688,0.6347
2007-07-17,NAVINFLUOR,EQ,375.0,375.0,375.0,363.0,367.1,365.1,368.47,3013,111021195000.0,,2487,0.8254000000000001
