Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-10-01,NIRAJ,EQ,36.5,38.3,38.3,37.35,38.3,38.3,38.26,3221,12324995000.0,59,2861,0.8882
2020-10-05,NIRAJ,EQ,38.3,40.2,40.2,38.8,40.2,40.2,39.46,73268,289111265000.0,342,66743,0.9109
2020-10-06,NIRAJ,EQ,40.2,41.95,42.2,41.95,42.2,42.2,42.18,8675,36594125000.0,41,8175,0.9424
2020-10-07,NIRAJ,EQ,42.2,44.3,44.3,43.25,44.3,44.3,44.27,7403,32770255000.0,113,6836,0.9234
2020-10-08,NIRAJ,EQ,44.3,46.5,46.5,46.5,46.5,46.5,46.5,4514,20990100000.0,26,4513,0.9998
2020-10-09,NIRAJ,EQ,46.5,48.8,48.8,48.8,48.8,48.8,48.8,551,2688880000.0,11,551,1.0
2020-10-12,NIRAJ,EQ,48.8,51.2,51.2,46.4,51.2,51.2,50.01,182861,914493365000.0,1354,167575,0.9164
2020-10-13,NIRAJ,EQ,51.2,53.75,53.75,49.15,53.2,53.05,52.4,77755,407424110000.0,409,47868,0.6156
2020-10-14,NIRAJ,EQ,53.05,54.45,54.45,50.4,52.0,51.65,51.15,43242,221161220000.00003,305,33918,0.7844
2020-10-15,NIRAJ,EQ,51.65,49.5,51.9,49.1,49.1,49.1,49.95,49511,247298515000.0,113,46895,0.9472
2020-10-16,NIRAJ,EQ,49.1,46.65,51.5,46.65,46.65,48.0,48.82,45050,219927390000.0,157,41519,0.9216
2020-10-19,NIRAJ,EQ,48.0,46.7,49.0,46.05,47.5,47.5,48.27,54684,263955975000.0,124,47047,0.8603000000000001
2020-10-20,NIRAJ,EQ,47.5,48.1,49.85,45.15,49.85,49.75,48.69,271000,1319488310000.0,445,193290,0.7132
2020-10-21,NIRAJ,EQ,49.75,52.2,52.2,48.15,50.45,50.0,50.07,62295,311918645000.0,181,56616,0.9087999999999999
2021-02-02,NIRAJ,EQ,39.45,38.25,41.35,38.25,40.55,40.6,40.78,28120,114679705000.0,59,21901,0.7787999999999999
2021-02-03,NIRAJ,EQ,40.6,40.45,41.95,38.75,40.9,40.35,40.19,15283,61429040000.0,74,14276,0.9340999999999999
2021-02-04,NIRAJ,EQ,40.35,41.9,41.9,38.35,40.35,40.35,39.99,30061,120222370000.0,202,16580,0.5515
2021-02-05,NIRAJ,EQ,40.35,42.9,42.9,39.15,41.9,40.4,40.33,7344,29621359999.999996,66,6300,0.8578
2021-02-08,NIRAJ,EQ,40.4,41.95,41.95,39.1,41.95,40.7,40.04,9684,38773405000.0,81,8159,0.8425
2021-02-09,NIRAJ,EQ,40.7,41.9,41.9,40.2,40.2,40.65,40.67,2713,11034715000.0,63,2007,0.7398
2021-02-10,NIRAJ,EQ,40.65,40.25,41.85,38.75,39.55,39.45,39.63,1445,5726400000.0,47,693,0.4796
2021-02-11,NIRAJ,EQ,39.45,41.2,41.95,40.0,41.5,41.25,40.47,7020,28409030000.0,94,4107,0.585
2021-02-12,NIRAJ,EQ,41.25,42.7,43.0,40.5,41.5,41.5,41.8,3841,16054690000.0,92,1831,0.4767
2021-02-15,NIRAJ,EQ,41.5,41.0,43.0,41.0,43.0,42.45,42.3,12821,54227919999.99999,103,8039,0.627
2021-02-16,NIRAJ,EQ,42.45,41.65,43.0,41.0,42.85,42.0,42.53,6287,26741440000.000004,68,4317,0.6867
2021-02-17,NIRAJ,EQ,42.0,43.4,43.8,42.35,43.4,43.15,43.58,1815,7910414999.999999,28,1513,0.8336
2021-02-18,NIRAJ,EQ,43.15,44.3,44.45,38.85,44.2,43.7,42.62,22145,94388120000.0,127,9687,0.4374
2021-02-19,NIRAJ,EQ,43.7,41.6,44.5,41.5,43.8,43.0,43.57,6550,28537490000.000004,110,1705,0.26030000000000003
2021-02-22,NIRAJ,EQ,43.0,44.5,44.5,40.95,41.5,41.85,41.75,8391,35032355000.0,43,7177,0.8553000000000001
2021-02-23,NIRAJ,EQ,41.85,42.1,44.0,40.55,41.3,41.1,42.3,3249,13744765000.0,67,1882,0.5793
2021-02-24,NIRAJ,EQ,41.1,41.55,41.55,40.55,40.55,40.55,41.15,1348,5547620000.0,21,1348,1.0
2021-02-25,NIRAJ,EQ,40.55,40.6,43.0,38.9,40.4,41.15,41.0,2986,12243270000.0,204,1686,0.5646
2021-02-26,NIRAJ,EQ,41.15,42.6,44.4,37.2,40.65,41.8,41.55,8228,34184795000.0,168,5024,0.6106
2021-03-01,NIRAJ,EQ,41.8,43.55,43.55,39.1,40.6,41.2,40.86,5734,23431390000.0,129,2847,0.4965
2021-03-02,NIRAJ,EQ,41.2,42.65,42.65,40.1,41.05,41.2,41.63,12817,53363155000.00001,58,7455,0.5816
2021-03-03,NIRAJ,EQ,41.2,41.05,42.2,40.05,41.3,41.0,40.78,8202,33446705000.0,295,5369,0.6546
