Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2006-03-21,NITCO,EQ,168.0,180.0,189.9,161.25,182.5,183.25,178.4,21555723,384547640150000.0,,2628654,0.1219
2006-03-22,NITCO,EQ,183.25,182.4,201.0,181.0,190.4,190.05,194.01,10321792,200257768575000.0,,732237,0.0709
2006-03-23,NITCO,EQ,190.05,191.4,195.7,185.0,191.45,191.6,190.67,3539695,67491556260000.0,,617485,0.17440000000000003
2006-03-24,NITCO,EQ,191.6,193.15,195.0,188.05,190.15,192.4,192.28,2155442,41445840865000.0,,318153,0.1476
2006-03-27,NITCO,EQ,192.4,193.4,193.7,186.15,186.3,187.9,189.84,685554,13014528530000.0,,301824,0.4403
2006-03-28,NITCO,EQ,187.9,187.0,204.5,178.65,192.3,194.15,196.61,4088666,80387644630000.0,,746246,0.1825
2006-03-29,NITCO,EQ,194.15,197.0,210.7,190.1,206.6,205.05,203.08,5077954,103121597660000.0,,521045,0.1026
2006-03-30,NITCO,EQ,205.05,208.4,212.4,204.05,208.65,206.95,208.11,1315751,27382070239999.996,,185428,0.1409
2006-03-31,NITCO,EQ,206.95,208.1,211.9,199.15,199.35,201.35,206.44,657544,13574251440000.0,,108326,0.16469999999999999
2006-04-03,NITCO,EQ,201.35,200.1,210.0,200.1,201.5,201.65,205.44,1028452,21128598135000.0,,202426,0.1968
2006-04-04,NITCO,EQ,201.65,202.7,206.3,197.15,197.8,197.85,202.41,471565,9545106560000.0,,149873,0.3178
2006-04-05,NITCO,EQ,197.85,202.0,202.0,193.25,194.0,194.4,197.78,268040,5301203570000.0,,80860,0.3017
2006-04-07,NITCO,EQ,194.4,194.9,205.2,191.0,200.0,199.4,200.72,721977,14491497705000.002,,172980,0.2396
2006-04-10,NITCO,EQ,199.4,199.9,203.05,192.65,200.5,199.9,198.98,358903,7141590305000.0,,120468,0.3357
2006-04-12,NITCO,EQ,199.9,200.9,202.45,189.0,189.9,192.7,195.63,229282,4485557800000.0,,137399,0.5993
2006-04-13,NITCO,EQ,192.7,191.0,195.0,188.0,194.85,193.05,191.64,170562,3268624235000.0,,74586,0.43729999999999997
2006-04-17,NITCO,EQ,193.05,196.45,200.9,192.1,192.1,193.75,194.68,150407,2928129210000.0,,109041,0.725
2006-04-18,NITCO,EQ,193.75,193.5,197.4,181.9,183.9,183.0,189.45,146108,2768022415000.0,,80214,0.549
2006-04-19,NITCO,EQ,183.0,186.0,194.85,184.7,191.95,191.7,190.82,280729,5356853535000.0,,115701,0.4121
2006-04-20,NITCO,EQ,191.7,194.0,194.0,180.5,182.6,184.4,184.96,294244,5442318085000.0,,208458,0.7084999999999999
2006-04-21,NITCO,EQ,184.4,184.5,186.7,179.15,180.0,180.6,182.49,116696,2129534805000.0,,52360,0.4487
2006-04-24,NITCO,EQ,180.6,182.0,183.95,178.5,182.7,182.15,181.35,175199,3177269315000.0,,91990,0.5251
2006-04-25,NITCO,EQ,182.15,183.5,183.5,176.55,178.3,179.85,179.9,125198,2252301285000.0,,80017,0.6391
2006-04-26,NITCO,EQ,179.85,182.0,196.0,179.05,190.8,190.8,191.98,381897,7331507845000.0,,189741,0.4968
2006-04-27,NITCO,EQ,190.8,194.3,208.95,186.0,194.0,195.8,194.45,1433939,27882359039999.996,,762826,0.532
2006-04-28,NITCO,EQ,195.8,190.0,205.9,180.0,201.0,200.85,197.26,542663,10704568565000.0,,188229,0.3469
2006-04-29,NITCO,EQ,200.85,203.0,214.0,202.9,205.5,206.35,209.38,678932,14215445635000.0,,123277,0.1816
2006-05-02,NITCO,EQ,206.35,208.9,219.0,198.0,208.0,208.85,211.93,949977,20132671100000.0,,272124,0.2865
2006-05-03,NITCO,EQ,208.85,211.4,218.8,203.3,218.75,213.55,210.21,483514,10163944580000.0,,183471,0.37950000000000006
2006-05-04,NITCO,EQ,213.55,215.0,227.0,210.1,211.9,214.0,217.66,305981,6659832515000.0,,92378,0.3019
2006-05-05,NITCO,EQ,214.0,213.7,218.8,209.0,214.7,215.25,214.07,212981,4559320290000.0,,63394,0.2977
2006-05-08,NITCO,EQ,215.25,215.0,227.9,215.0,221.0,223.55,223.05,502545,11209465650000.0,,120937,0.24059999999999998
2006-05-09,NITCO,EQ,223.55,221.0,223.5,213.2,214.5,215.95,217.58,112411,2445860505000.0,,34773,0.3093
2006-05-10,NITCO,EQ,215.95,217.0,227.5,211.7,224.0,224.7,220.61,1441269,31796249600000.0,,644083,0.44689999999999996
2006-05-11,NITCO,EQ,224.7,212.1,237.4,212.1,219.6,221.95,227.59,455590,10368637330000.0,,159487,0.35009999999999997
2006-05-12,NITCO,EQ,221.95,220.0,222.85,213.1,213.65,214.95,217.73,102537,2232544520000.0,,34538,0.3368
2006-05-15,NITCO,EQ,214.95,216.0,219.25,205.1,208.8,208.65,212.68,112774,2398474000000.0,,46363,0.4111
2006-05-16,NITCO,EQ,208.65,209.95,213.7,192.5,205.0,203.5,202.46,190065,3848026554999.9995,,124319,0.6541
2006-05-17,NITCO,EQ,203.5,206.0,231.0,206.0,220.5,221.3,224.39,338096,7586705115000.001,,124478,0.3682
2006-05-18,NITCO,EQ,221.3,220.0,220.0,195.3,197.5,197.45,207.54,86420,1793540260000.0002,,41783,0.48350000000000004
2006-05-19,NITCO,EQ,197.45,205.0,212.0,172.0,179.0,177.2,192.37,232391,4470519590000.0,,130592,0.5619
2006-05-22,NITCO,EQ,177.2,180.0,188.0,160.25,173.9,168.65,170.4,75994,1294919295000.0,,55401,0.7290000000000001
2006-05-23,NITCO,EQ,168.65,164.0,179.0,155.0,172.8,175.95,168.65,39253,661986160000.0,,13269,0.33799999999999997
2006-05-24,NITCO,EQ,175.95,182.0,185.5,168.05,170.05,170.35,177.94,50013,889907185000.0,,15586,0.3116
2006-05-25,NITCO,EQ,170.35,152.25,179.4,141.25,177.8,175.4,169.24,99320,1680920875000.0,,56373,0.5676
2006-05-26,NITCO,EQ,175.4,181.9,182.9,176.0,177.0,177.55,179.84,32443,583452770000.0,,10351,0.3191
2006-05-29,NITCO,EQ,177.55,179.9,207.8,179.9,207.3,203.0,197.42,365665,7219105790000.001,,148938,0.4073
2006-05-30,NITCO,EQ,203.0,208.0,209.0,190.25,191.3,193.35,200.41,197072,3949601210000.0,,35165,0.1784
2006-05-31,NITCO,EQ,193.35,190.0,190.0,177.0,181.95,181.8,181.82,63806,1160094550000.0,,18868,0.2957
2006-06-01,NITCO,EQ,181.8,187.3,188.7,175.1,176.0,178.05,183.96,52630,968202430000.0001,,10010,0.1902
2006-06-02,NITCO,EQ,178.05,178.95,182.0,168.0,168.9,169.25,171.44,63151,1082635565000.0,,30297,0.4798
2006-06-05,NITCO,EQ,169.25,172.7,172.7,161.15,171.0,169.05,167.26,95628,1599493980000.0,,51503,0.5386
2006-06-06,NITCO,EQ,169.05,162.0,172.0,162.0,165.65,166.05,167.01,45899,766568670000.0,,29942,0.6523000000000001
2006-06-07,NITCO,EQ,166.05,163.0,168.0,145.0,150.0,153.95,158.56,113685,1802587620000.0,,79954,0.7033
2006-06-08,NITCO,EQ,153.95,152.5,152.5,123.2,126.0,127.05,126.45,125264,1583918135000.0,,78748,0.6287
2006-06-09,NITCO,EQ,127.05,126.1,141.95,112.0,134.0,134.05,132.11,96875,1279839060000.0,,26793,0.2766
2006-06-12,NITCO,EQ,134.05,141.2,141.2,127.0,130.0,128.8,132.26,47317,625804955000.0,,14825,0.31329999999999997
2006-06-13,NITCO,EQ,128.8,128.0,128.0,121.0,121.0,122.8,123.84,15817,195883770000.0,,6781,0.42869999999999997
2006-06-14,NITCO,EQ,122.8,127.0,129.9,112.0,112.0,116.0,121.92,24933,303984565000.0,,7763,0.3114
2006-06-15,NITCO,EQ,116.0,123.0,128.9,120.0,126.15,126.2,124.25,75046,932442015000.0,,47818,0.6372
2006-06-16,NITCO,EQ,126.2,132.4,151.45,129.0,151.45,151.45,146.65,120874,1772607550000.0,,92172,0.7625000000000001
2006-06-19,NITCO,EQ,151.45,152.5,174.9,145.0,172.0,167.6,160.13,148729,2381593015000.0,,19258,0.1295
2006-06-20,NITCO,EQ,167.6,165.6,175.0,159.0,165.0,168.85,169.31,105068,1778951120000.0,,19726,0.1877
2006-06-21,NITCO,EQ,168.85,169.0,177.0,166.0,169.0,170.1,172.56,84331,1455255535000.0,,48993,0.5810000000000001
2006-06-22,NITCO,EQ,170.1,178.0,184.9,173.0,179.0,179.85,178.51,97588,1742080835000.0002,,42828,0.4389
2006-06-23,NITCO,EQ,179.85,173.0,179.8,168.25,170.0,170.8,172.49,50281,867281994999.9999,,33545,0.6672
2006-06-25,NITCO,EQ,170.8,173.3,178.0,170.0,171.6,171.4,172.43,3752,64697200000.0,,1965,0.5236999999999999
2006-06-26,NITCO,EQ,171.4,173.7,175.0,157.55,158.1,161.05,168.17,28751,483494075000.0,,11327,0.394
2006-06-27,NITCO,EQ,161.05,157.0,162.0,149.0,154.0,154.1,154.16,26804,413217900000.0,,8898,0.332
2006-06-28,NITCO,EQ,154.1,150.0,152.6,145.0,151.75,150.9,151.04,13957,210810435000.0,,5543,0.3971
2006-06-29,NITCO,EQ,150.9,154.7,158.0,146.05,153.0,152.55,152.34,53221,810762145000.0,,39743,0.7468000000000001
2006-06-30,NITCO,EQ,152.55,154.0,166.9,154.0,159.9,162.55,162.52,229573,3731110710000.0,,159458,0.6946
2006-07-03,NITCO,EQ,162.55,169.7,169.7,159.05,162.25,162.65,163.22,39667,647448800000.0,,20680,0.5213
2006-07-04,NITCO,EQ,162.65,163.0,166.5,160.0,163.1,162.3,163.76,39020,639007500000.0,,22231,0.5697
2006-07-05,NITCO,EQ,162.3,160.0,164.9,160.0,164.25,163.2,163.74,36232,593247035000.0,,29872,0.8245
2006-07-06,NITCO,EQ,163.2,163.5,165.0,160.15,164.8,164.85,162.63,49595,806578865000.0,,34651,0.6987000000000001
2006-07-07,NITCO,EQ,164.85,163.15,168.05,156.0,158.0,159.75,163.96,41658,683036650000.0,,27029,0.6487999999999999
2006-07-10,NITCO,EQ,159.75,160.0,163.0,154.5,159.7,159.45,159.19,27264,434013670000.0,,14728,0.5402
2006-07-11,NITCO,EQ,159.45,157.1,160.0,152.5,152.5,153.9,157.2,13069,205446825000.0,,8514,0.6515000000000001
2006-07-12,NITCO,EQ,153.9,152.0,154.0,145.0,152.8,153.05,151.55,21025,318630690000.0,,14465,0.688
2006-07-13,NITCO,EQ,153.05,153.85,155.9,150.8,153.0,152.65,153.9,7988,122938010000.00002,,4229,0.5294
2006-07-14,NITCO,EQ,152.65,152.6,152.6,146.0,146.1,148.0,149.25,11593,173027165000.0,,7593,0.655
2006-07-17,NITCO,EQ,148.0,148.0,151.95,138.5,141.0,140.7,145.08,16433,238416365000.0,,10266,0.6247
2006-07-18,NITCO,EQ,140.7,142.5,145.0,134.1,134.5,135.45,137.9,14908,205583615000.0,,7577,0.5083
2006-07-19,NITCO,EQ,135.45,139.9,144.0,132.2,135.0,136.25,136.58,11793,161063260000.0,,5251,0.44530000000000003
2006-07-20,NITCO,EQ,136.25,138.2,141.95,136.8,139.9,138.3,138.58,10184,141134340000.0,,6141,0.603
2006-07-21,NITCO,EQ,138.3,136.25,138.95,131.15,136.8,133.7,134.22,6745,90533690000.0,,2380,0.3529
2006-07-24,NITCO,EQ,133.7,127.1,136.0,125.5,131.4,132.25,131.53,11121,146276375000.0,,3828,0.3442
2006-07-25,NITCO,EQ,132.25,136.0,140.0,133.1,134.3,134.5,135.05,4360,58883480000.00001,,1748,0.40090000000000003
2006-07-26,NITCO,EQ,134.5,132.25,146.8,130.25,144.8,144.45,139.83,16319,228184990000.0,,9009,0.5521
2006-07-27,NITCO,EQ,144.45,146.0,157.5,143.0,143.05,144.25,150.43,92689,1394302345000.0,,29117,0.3141
2006-07-28,NITCO,EQ,144.25,144.0,150.0,138.0,140.0,141.15,146.37,256956,3761160854999.9995,,220180,0.8569
2006-07-31,NITCO,EQ,141.15,144.5,144.5,138.0,138.0,138.6,140.75,11370,160027340000.0,,6993,0.615
2006-08-01,NITCO,EQ,138.6,140.0,141.5,135.05,136.95,136.8,138.48,23930,331390355000.0,,12180,0.509
2006-08-02,NITCO,EQ,136.8,138.0,139.6,132.0,134.0,133.8,135.97,23317,317039110000.0,,15638,0.6707
