Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-01-01,NOCIL,EQ,42.05,42.05,42.9,42.3,,42.4,42.49,6200,26344250000.0,,,
1996-01-02,NOCIL,EQ,42.4,42.4,42.55,41.5,,41.6,42.09,20650,86916750000.0,,,
1996-01-03,NOCIL,EQ,41.6,41.6,42.5,39.0,,39.85,40.42,11350,45872000000.0,,,
1996-01-04,NOCIL,EQ,39.85,39.85,39.95,38.0,,38.65,38.42,26800,102953000000.0,,,
1996-01-05,NOCIL,EQ,38.65,38.65,39.05,38.55,,39.0,38.81,12550,48704000000.0,,,
1996-01-08,NOCIL,EQ,39.0,39.0,39.25,38.05,,38.6,38.62,10350,39975750000.0,,,
1996-01-09,NOCIL,EQ,38.6,38.6,39.75,37.55,,38.85,38.12,16800,64039250000.0,,,
1996-01-10,NOCIL,EQ,38.85,38.85,39.0,37.2,,38.55,38.29,12700,48628500000.0,,,
1996-01-11,NOCIL,EQ,38.55,38.55,39.95,38.85,,39.05,39.1,8350,32645000000.0,,,
1996-01-12,NOCIL,EQ,39.05,39.05,41.0,39.0,,39.2,39.62,10250,40606250000.0,,,
1996-01-15,NOCIL,EQ,39.2,39.2,39.95,39.1,,39.7,39.44,9350,36873500000.0,,,
1996-01-16,NOCIL,EQ,39.7,39.7,40.4,39.25,,39.75,39.72,11950,47464250000.0,,,
1996-01-17,NOCIL,EQ,39.75,39.75,40.0,39.3,,39.3,39.71,4900,19458250000.0,,,
1996-01-18,NOCIL,EQ,39.3,39.3,39.0,37.8,,38.0,38.28,8900,34069750000.0,,,
1996-01-19,NOCIL,EQ,38.0,38.0,38.9,37.0,,37.75,37.99,4850,18423500000.0,,,
1996-01-22,NOCIL,EQ,37.75,37.75,38.25,37.5,,37.7,37.98,9000,34178750000.0,,,
1996-01-23,NOCIL,EQ,37.7,37.7,38.5,37.2,,37.65,37.72,9550,36021750000.0,,,
1996-01-24,NOCIL,EQ,37.65,37.65,41.0,34.15,,34.8,35.72,11950,42686000000.0,,,
1996-01-25,NOCIL,EQ,34.8,34.8,35.75,34.55,,35.25,35.45,11300,40059500000.0,,,
1996-01-29,NOCIL,EQ,35.25,35.25,35.75,35.3,,35.55,35.45,8750,31015250000.0,,,
1996-01-30,NOCIL,EQ,35.55,35.55,37.5,35.6,,36.75,36.56,13500,49359250000.0,,,
1996-01-31,NOCIL,EQ,36.75,36.75,38.0,36.5,,37.25,37.19,10500,39054250000.0,,,
1996-02-01,NOCIL,EQ,37.25,37.25,38.0,37.0,,37.8,37.41,8900,33298750000.0,,,
1996-02-02,NOCIL,EQ,37.8,37.8,40.95,38.4,,39.3,39.3,9550,37529250000.0,,,
1996-02-05,NOCIL,EQ,39.3,39.3,42.25,39.95,,40.55,41.04,16750,68740750000.0,,,
1996-02-06,NOCIL,EQ,40.55,41.2,41.5,39.5,,39.85,40.12,19050,76435000000.0,,,
1996-02-07,NOCIL,EQ,39.85,39.85,39.85,38.5,,38.6,38.97,10550,41116250000.0,,,
1996-02-08,NOCIL,EQ,38.6,38.6,40.95,38.1,,40.9,39.91,13550,54072000000.0,,,
1996-02-09,NOCIL,EQ,40.9,40.9,43.0,41.0,,42.5,41.65,27200,113283750000.0,,,
1996-02-12,NOCIL,EQ,42.5,42.5,46.75,43.5,,44.5,45.36,27600,125180750000.0,,,
1996-02-13,NOCIL,EQ,44.5,44.5,45.75,43.55,,45.05,44.37,28450,126235500000.0,,,
1996-02-14,NOCIL,EQ,45.05,45.05,47.5,44.5,,45.0,46.29,18500,85632750000.0,,,
1996-02-15,NOCIL,EQ,45.0,45.0,45.5,44.0,,45.45,44.83,10800,48418500000.0,,,
1996-02-16,NOCIL,EQ,45.45,45.45,44.5,42.8,,43.7,43.57,8850,38562500000.0,,,
1996-02-19,NOCIL,EQ,43.7,44.0,44.0,41.0,,42.0,43.08,10900,46960250000.0,,,
1996-02-20,NOCIL,EQ,42.0,42.0,42.8,38.0,,39.15,40.77,11900,48514000000.0,,,
1996-02-22,NOCIL,EQ,39.15,39.15,43.0,41.05,,41.6,41.79,6250,26116000000.0,,,
1996-02-23,NOCIL,EQ,41.6,41.6,42.0,40.6,,41.6,41.06,5450,22376750000.0,,,
1996-02-26,NOCIL,EQ,41.6,41.6,42.25,40.25,,41.45,41.5,15800,65575500000.0,,,
1996-02-27,NOCIL,EQ,41.45,41.45,42.95,41.1,,42.3,41.62,18200,75753750000.0,,,
1996-02-28,NOCIL,EQ,42.3,42.3,43.0,41.95,,42.15,42.06,16500,69397750000.0,,,
1996-02-29,NOCIL,EQ,42.15,42.15,41.8,41.5,,41.55,41.59,19750,82149250000.0,,,
1996-03-01,NOCIL,EQ,41.55,41.55,41.5,40.5,,40.7,40.84,8850,36146500000.0,,,
1996-03-04,NOCIL,EQ,40.7,40.7,42.0,40.5,,41.15,40.87,11900,48638000000.0,,,
1996-03-06,NOCIL,EQ,41.15,41.15,41.95,40.35,,40.6,40.84,4750,19397000000.0,,,
1996-03-07,NOCIL,EQ,40.6,40.6,41.25,40.4,,40.7,40.71,30100,122535750000.0,,,
1996-03-08,NOCIL,EQ,40.7,40.7,40.25,39.0,,39.9,39.9,4400,17556500000.0,,,
1996-03-11,NOCIL,EQ,39.9,39.9,40.25,38.0,,39.45,39.14,19500,76320000000.0,,,
1996-03-12,NOCIL,EQ,39.45,39.45,39.4,38.75,,39.2,39.1,15100,59037250000.0,,,
