Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-01-01,OILCOUNTUB,EQ,10.1,10.0,10.0,9.85,,9.95,9.95,1600,1592500000.0,,,
1996-01-02,OILCOUNTUB,EQ,9.95,10.0,10.0,9.8,,10.0,9.9,7200,7127500000.0,,,
1996-01-03,OILCOUNTUB,EQ,10.0,10.0,9.95,9.75,,9.95,9.84,1600,1574000000.0,,,
1996-01-04,OILCOUNTUB,EQ,9.95,9.95,9.85,9.7,,9.75,9.79,5200,5089000000.0,,,
1996-01-05,OILCOUNTUB,EQ,9.75,9.75,9.9,9.65,,9.9,9.78,3800,3716500000.0,,,
1996-01-08,OILCOUNTUB,EQ,9.9,9.85,10.0,9.5,,9.55,9.78,16100,15746500000.0,,,
1996-01-09,OILCOUNTUB,EQ,9.55,9.7,9.9,9.55,,9.9,9.67,14300,13829500000.0,,,
1996-01-10,OILCOUNTUB,EQ,9.9,9.8,9.9,9.7,,9.8,9.79,5800,5676000000.0,,,
1996-01-11,OILCOUNTUB,EQ,9.8,9.8,9.75,9.55,,9.6,9.6,2900,2785000000.0,,,
1996-01-12,OILCOUNTUB,EQ,9.6,9.6,9.9,9.6,,9.9,9.82,5100,5008500000.0,,,
1996-01-15,OILCOUNTUB,EQ,9.9,9.9,9.8,9.7,,9.8,9.79,2800,2741000000.0,,,
1996-01-16,OILCOUNTUB,EQ,9.8,9.8,9.9,9.65,,9.8,9.78,9700,9483500000.0,,,
1996-01-17,OILCOUNTUB,EQ,9.8,9.8,9.95,9.75,,9.85,9.83,3700,3637000000.0,,,
1996-01-18,OILCOUNTUB,EQ,9.85,9.85,9.9,9.5,,9.55,9.69,6700,6489500000.0,,,
1996-01-19,OILCOUNTUB,EQ,9.55,9.55,9.9,9.55,,9.9,9.67,6600,6381500000.0,,,
1996-01-22,OILCOUNTUB,EQ,9.9,9.9,9.9,9.8,,9.85,9.82,7300,7169500000.0,,,
1996-01-23,OILCOUNTUB,EQ,9.85,9.85,9.9,9.8,,9.85,9.85,12300,12114000000.0,,,
1996-01-24,OILCOUNTUB,EQ,9.85,9.75,9.85,9.75,,9.8,9.8,11300,11072000000.0,,,
1996-01-25,OILCOUNTUB,EQ,9.8,9.8,9.95,9.8,,9.95,9.86,11200,11043000000.0,,,
1996-01-29,OILCOUNTUB,EQ,9.95,9.85,9.9,9.8,,9.9,9.86,11400,11236000000.0,,,
