Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-05-05,ORCHPHARMA,EQ,1543.5,1525.0,1620.65,1466.35,1593.0,1589.05,1588.33,6325,1004618480000.0001,943,4680,0.7399
2021-05-06,ORCHPHARMA,EQ,1589.05,1600.0,1667.0,1560.0,1600.0,1593.2,1605.61,5963,957422415000.0,1253,3898,0.6537000000000001
2021-05-07,ORCHPHARMA,EQ,1593.2,1614.0,1622.0,1551.0,1584.7,1578.8,1587.23,4579,726793155000.0,884,3358,0.7333
2021-05-10,ORCHPHARMA,EQ,1578.8,1555.0,1595.25,1500.0,1530.0,1533.65,1543.73,5025,775722880000.0,803,3261,0.649
2021-05-11,ORCHPHARMA,EQ,1533.65,1605.0,1605.0,1500.05,1514.05,1511.1,1514.85,4986,755305995000.0,837,3508,0.7036
2021-05-12,ORCHPHARMA,EQ,1511.1,1545.0,1549.0,1436.0,1455.0,1447.6,1465.42,5238,767586970000.0,1066,3379,0.6451000000000001
2021-05-14,ORCHPHARMA,EQ,1447.6,1412.05,1513.0,1409.35,1437.7,1419.75,1434.59,2887,414165865000.0,571,1670,0.5785
2021-05-17,ORCHPHARMA,EQ,1419.75,1470.0,1470.0,1418.05,1439.0,1437.4,1437.78,2239,321918170000.0,516,1478,0.6601
2021-05-18,ORCHPHARMA,EQ,1437.4,1437.45,1509.25,1420.05,1462.05,1459.4,1480.17,8298,1228247270000.0,1249,4482,0.5401
2021-05-19,ORCHPHARMA,EQ,1459.4,1499.0,1515.0,1470.05,1490.6,1488.4,1488.9,2302,342745350000.0,436,1422,0.6177
2021-05-20,ORCHPHARMA,EQ,1488.4,1514.0,1514.0,1467.05,1475.0,1487.85,1486.38,2207,328044080000.0,422,1280,0.58
2021-05-21,ORCHPHARMA,EQ,1487.85,1499.95,1525.0,1459.25,1484.0,1482.2,1481.85,3770,558658095000.0,668,1936,0.5135000000000001
2021-05-24,ORCHPHARMA,EQ,1482.2,1490.1,1510.95,1470.6,1480.0,1477.4,1491.08,3105,462981515000.00006,715,1877,0.6045
2021-05-25,ORCHPHARMA,EQ,1477.4,1498.0,1503.95,1444.05,1470.0,1460.65,1471.64,1743,256507715000.0,438,1054,0.6047
2021-05-26,ORCHPHARMA,EQ,1460.65,1489.0,1500.0,1450.0,1450.0,1468.45,1479.19,2060,304713150000.0,439,981,0.47619999999999996
2021-05-27,ORCHPHARMA,EQ,1468.45,1496.0,1496.0,1400.05,1430.0,1437.05,1451.94,1860,270061410000.0,462,1195,0.6425
2021-05-28,ORCHPHARMA,EQ,1437.05,1430.0,1444.7,1412.1,1440.0,1430.0,1428.17,1701,242932265000.0,467,1174,0.6901999999999999
