Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-04-15,ORTINLAB,EQ,21.85,21.4,26.2,21.4,26.2,26.2,25.08,113458,284605060000.0,558,67441,0.5944
2021-04-16,ORTINLAB,EQ,26.2,29.0,31.4,28.6,31.4,31.35,30.86,958683,2958914800000.0,3321,337040,0.35159999999999997
2021-04-19,ORTINLAB,EQ,31.35,31.4,31.85,28.25,29.65,29.7,30.0,489730,1468980580000.0,3144,201208,0.41090000000000004
2021-04-20,ORTINLAB,EQ,29.7,30.4,31.8,29.15,29.9,29.8,30.29,208720,632314225000.0,1577,100348,0.4808
2021-04-22,ORTINLAB,EQ,29.8,30.55,32.75,30.05,31.8,31.7,32.08,456309,1463907055000.0,2499,185999,0.40759999999999996
2021-04-23,ORTINLAB,EQ,31.7,32.3,33.0,31.25,31.25,31.35,32.01,295127,944635819999.9999,2319,131279,0.4448
2021-04-26,ORTINLAB,EQ,31.35,31.5,32.9,30.5,31.15,31.15,31.4,124381,390609230000.0,1187,72556,0.5833
2021-04-27,ORTINLAB,EQ,31.15,31.85,32.0,28.45,29.55,29.7,29.73,189971,564815175000.0,1912,104358,0.5493
2021-04-28,ORTINLAB,EQ,29.7,30.0,31.8,29.0,30.9,30.6,30.32,94408,286227705000.0,1360,49630,0.5257000000000001
2021-04-29,ORTINLAB,EQ,30.6,30.6,30.6,29.1,29.95,29.6,29.76,65416,194648060000.0,654,35926,0.5492
2021-04-30,ORTINLAB,EQ,29.6,29.0,29.55,28.45,29.0,28.8,29.06,61578,178921490000.0,654,34614,0.5621
2021-05-03,ORTINLAB,EQ,28.8,27.6,28.9,27.55,27.9,27.75,28.09,60903,171075270000.0,956,43056,0.7070000000000001
2021-05-04,ORTINLAB,EQ,27.75,28.35,29.85,27.6,28.2,28.05,28.29,80752,228457745000.00003,618,44266,0.5482
2021-05-05,ORTINLAB,EQ,28.05,28.25,29.5,27.6,27.85,28.05,28.43,46148,131187230000.0,572,28063,0.6081000000000001
2021-05-06,ORTINLAB,EQ,28.05,28.45,28.45,27.6,28.15,28.05,28.12,27287,76736300000.0,286,20449,0.7494
2021-05-07,ORTINLAB,EQ,28.05,28.8,28.8,27.45,27.8,28.05,28.15,25003,70387870000.0,472,11266,0.45060000000000006
2021-05-10,ORTINLAB,EQ,28.05,28.1,30.5,27.45,30.4,30.35,29.4,124854,367105270000.0,1301,87146,0.698
2021-05-11,ORTINLAB,EQ,30.35,33.0,33.0,31.5,31.7,31.75,32.24,190533,614335805000.0,1797,114633,0.6016
2021-05-12,ORTINLAB,EQ,31.75,31.75,32.7,30.0,30.25,30.25,31.1,61229,190400535000.0,739,39668,0.6479
2021-05-14,ORTINLAB,EQ,30.25,30.7,31.8,29.55,29.7,29.7,30.19,35486,107141480000.0,514,25133,0.7083
2021-05-17,ORTINLAB,EQ,29.7,31.0,31.0,29.9,30.2,30.15,30.35,29534,89645235000.0,539,17371,0.5882000000000001
2021-05-18,ORTINLAB,EQ,30.15,30.0,30.95,29.7,29.7,29.9,30.04,18996,57057875000.0,415,14576,0.7673000000000001
2021-05-19,ORTINLAB,EQ,29.9,29.85,30.3,28.6,29.75,29.35,29.33,46961,137714310000.0,678,20454,0.43560000000000004
2021-05-20,ORTINLAB,EQ,29.35,30.4,30.4,29.1,29.45,29.6,29.79,14439,43014600000.0,300,9492,0.6574
2021-05-21,ORTINLAB,EQ,29.6,29.6,30.4,29.0,29.25,29.3,29.58,25958,76786335000.0,420,14506,0.5588000000000001
2021-05-24,ORTINLAB,EQ,29.3,29.0,30.2,28.15,28.3,28.55,28.88,31157,89986530000.0,806,19413,0.6231
2021-05-25,ORTINLAB,EQ,28.55,29.65,29.65,28.0,28.05,28.05,28.33,45537,129002775000.0,587,31074,0.6824
2021-05-26,ORTINLAB,EQ,28.05,28.9,28.95,27.75,27.9,28.05,28.32,49276,139528820000.0,617,27904,0.5663
2021-05-27,ORTINLAB,EQ,28.05,28.75,28.75,27.3,28.05,28.05,28.05,35906,100699595000.0,439,19875,0.5535
2021-05-28,ORTINLAB,EQ,28.05,28.15,28.45,27.55,27.85,27.75,27.93,26139,72997325000.0,441,16727,0.6399
2021-05-31,ORTINLAB,EQ,27.75,28.25,28.25,27.0,27.3,27.05,27.34,21491,58746844999.99999,577,13113,0.6102000000000001
2021-06-01,ORTINLAB,EQ,27.05,27.05,27.65,26.2,26.25,26.4,26.81,33499,89810545000.0,664,20270,0.6051
2021-06-02,ORTINLAB,EQ,26.4,26.5,27.75,26.4,27.75,27.5,27.12,28151,76334230000.0,478,17323,0.6154000000000001
2021-06-03,ORTINLAB,EQ,27.5,28.7,28.7,27.6,28.4,28.3,28.23,37436,105691530000.0,465,23735,0.634
2021-06-04,ORTINLAB,EQ,28.3,28.9,28.9,27.3,28.15,27.9,27.88,18852,52562444999.99999,311,9666,0.5127
2021-06-07,ORTINLAB,EQ,27.9,28.7,31.9,28.45,30.65,30.85,30.77,569826,1753600170000.0,3547,178375,0.313
2021-06-08,ORTINLAB,EQ,30.85,31.65,31.65,29.05,29.45,29.55,29.92,126099,377242880000.0,789,73992,0.5868
2021-06-09,ORTINLAB,EQ,29.55,29.6,31.0,28.2,28.4,28.6,29.68,91821,272553415000.0,658,60737,0.6615000000000001
2021-06-10,ORTINLAB,EQ,28.6,28.85,33.8,28.8,31.45,31.35,32.53,1127461,3668114579999.9995,5018,379466,0.33659999999999995
2021-06-11,ORTINLAB,EQ,31.35,32.2,33.5,31.05,32.0,32.0,32.49,435985,1416476980000.0,3511,248858,0.5708
2021-06-14,ORTINLAB,EQ,32.0,32.9,33.5,30.6,31.35,31.35,31.51,174062,548400440000.00006,2137,84433,0.4851
2021-06-15,ORTINLAB,EQ,31.35,32.45,32.45,29.05,30.2,30.25,30.73,155491,477828700000.0,1943,84125,0.541
2021-06-16,ORTINLAB,EQ,30.25,30.55,36.3,30.5,36.3,36.3,34.77,2708096,9415498900000.0,9872,1194063,0.44090000000000007
2021-06-17,ORTINLAB,EQ,36.3,38.8,43.55,38.8,43.55,43.55,41.81,2033526,8502039965000.001,7008,661989,0.32549999999999996
2021-06-18,ORTINLAB,EQ,43.55,49.25,52.25,43.2,45.75,46.55,48.01,5406276,25957702255000.0,35512,1289787,0.2386
2021-06-21,ORTINLAB,EQ,46.55,44.9,45.9,42.05,42.3,42.6,43.39,1020160,4426050800000.0,7830,448063,0.43920000000000003
2021-06-22,ORTINLAB,EQ,42.6,42.6,44.95,40.3,41.0,41.05,42.96,532093,2285818925000.0,4720,257716,0.4843
2021-06-23,ORTINLAB,EQ,41.05,42.6,42.6,37.75,38.5,38.2,39.26,447041,1755124695000.0,3709,215521,0.48210000000000003
2021-06-24,ORTINLAB,EQ,38.2,38.4,38.8,36.15,36.3,36.3,37.2,355061,1320818380000.0,2731,168543,0.4747
2021-06-25,ORTINLAB,EQ,36.3,36.5,36.5,34.5,34.5,34.5,34.87,134925,470494000000.0,721,105201,0.7797000000000001
2021-06-28,ORTINLAB,EQ,34.5,33.8,36.2,33.8,36.2,36.2,35.73,215899,771408070000.0,748,177527,0.8223
2021-06-29,ORTINLAB,EQ,36.2,36.2,38.0,35.75,38.0,38.0,37.46,397350,1488557415000.0,2055,179118,0.4508
2021-06-30,ORTINLAB,EQ,38.0,39.9,39.9,36.55,38.4,38.1,39.13,630073,2465642120000.0,2730,318607,0.5057
2021-07-01,ORTINLAB,EQ,38.1,38.9,39.6,36.35,36.75,36.65,37.16,318871,1185022780000.0,1914,155767,0.48850000000000005
