Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2014-11-07,PDSMFL,EQ,166.0,138.0,149.0,134.0,140.0,140.85,139.21,40903,569391015000.0,544,25810,0.631
2014-11-10,PDSMFL,EQ,140.85,141.25,144.75,140.55,142.05,142.05,141.9,4469,63414935000.0,127,2904,0.6498
2014-11-11,PDSMFL,EQ,142.05,145.0,150.0,143.0,145.05,145.25,146.39,4326,63328875000.0,141,3082,0.7123999999999999
2014-11-12,PDSMFL,EQ,145.25,149.0,149.0,142.25,143.5,143.5,143.65,2695,38712820000.0,62,1584,0.5878
2014-11-13,PDSMFL,EQ,143.5,145.0,146.0,141.7,142.1,142.7,142.79,2047,29229265000.000004,48,1844,0.9008
2014-11-14,PDSMFL,EQ,142.7,142.0,143.0,130.1,136.45,136.6,137.07,6896,94520595000.0,145,4530,0.6569
2014-11-17,PDSMFL,EQ,136.6,131.1,133.5,124.0,125.0,125.25,126.79,8090,102570240000.0,109,7547,0.9329000000000001
2014-11-18,PDSMFL,EQ,125.25,126.0,144.4,126.0,138.0,135.5,137.92,8361,115315675000.0,184,5117,0.612
2014-11-19,PDSMFL,EQ,135.5,142.0,142.0,137.4,137.55,138.25,138.49,2538,35147710000.0,44,2508,0.9882
2014-11-20,PDSMFL,EQ,138.25,140.0,142.0,132.0,138.0,139.8,136.96,17015,233037190000.0,78,16549,0.9726
2014-11-21,PDSMFL,EQ,139.8,136.4,142.0,135.7,137.55,137.55,138.21,9411,130065755000.0,84,8594,0.9131999999999999
2014-11-24,PDSMFL,EQ,137.55,145.0,145.0,136.0,138.15,139.4,138.86,1575,21869835000.0,66,981,0.6229
2014-11-25,PDSMFL,EQ,139.4,137.1,140.0,137.0,137.0,137.0,137.15,2216,30393470000.0,53,2092,0.9440000000000001
2014-11-26,PDSMFL,EQ,137.0,136.0,146.85,136.0,145.65,146.05,143.62,6128,88012125000.0,92,5554,0.9063
2014-11-27,PDSMFL,EQ,146.05,148.0,153.25,148.0,150.0,150.65,150.19,7363,110584495000.0,110,6237,0.8471
2014-11-28,PDSMFL,EQ,150.65,154.95,163.0,152.0,161.05,161.15,158.01,14455,228404325000.0,223,11982,0.8289
2014-12-01,PDSMFL,EQ,161.15,167.0,167.0,160.0,163.65,165.0,164.64,20063,330327075000.0,141,18945,0.9443000000000001
2014-12-02,PDSMFL,EQ,165.0,164.5,170.8,163.0,166.0,168.2,166.25,3856,64107465000.0,68,3482,0.903
2014-12-03,PDSMFL,EQ,168.2,169.0,175.05,169.0,175.0,173.25,172.14,5510,94849350000.0,78,4577,0.8307
2014-12-04,PDSMFL,EQ,173.25,173.95,190.95,173.95,189.5,185.9,181.98,11303,205692310000.0,334,8779,0.7767000000000001
2014-12-05,PDSMFL,EQ,185.9,189.0,204.9,189.0,197.75,193.7,198.47,18611,369373300000.0,470,15185,0.8159000000000001
2014-12-08,PDSMFL,EQ,193.7,185.05,196.9,185.0,196.0,192.75,191.73,4163,79818585000.0,111,3963,0.9520000000000001
2014-12-09,PDSMFL,EQ,192.75,196.45,199.7,190.0,190.05,191.0,192.16,4918,94505000000.0,88,4446,0.904
