Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2007-02-15,HOPFL,EQ,550.0,499.9,525.0,444.2,466.25,469.95,486.01,8237003,400327579040000.0,,1050558,0.1275
2007-02-19,HOPFL,EQ,469.95,489.0,491.4,446.95,453.1,454.75,469.58,1880488,88303300305000.0,,318775,0.16949999999999998
2007-02-20,HOPFL,EQ,454.75,465.0,482.0,435.15,442.9,441.35,462.76,1493893,69132053795000.01,,209304,0.1401
2007-02-21,HOPFL,EQ,441.35,445.0,449.0,413.6,418.0,417.7,427.42,1079762,46151290675000.0,,170719,0.15810000000000002
2007-02-22,HOPFL,EQ,417.7,420.0,433.0,411.5,421.1,420.4,423.08,885695,37471947600000.0,,88796,0.1003
2007-02-23,HOPFL,EQ,420.4,425.0,452.0,420.0,437.0,436.7,438.56,1662305,72902078855000.0,,302545,0.182
2007-02-26,HOPFL,EQ,436.7,440.0,440.0,415.0,430.5,429.15,425.59,267934,11402958015000.0,,55447,0.20690000000000003
2007-02-27,HOPFL,EQ,429.15,434.35,444.5,420.0,420.15,421.8,432.88,216927,9390237885000.0,,35857,0.1653
2007-02-28,HOPFL,EQ,421.8,338.2,409.0,338.2,385.15,387.85,398.8,149452,5960090665000.0,,42283,0.2829
2007-03-01,HOPFL,EQ,387.85,388.7,399.0,372.1,374.1,375.25,380.29,100616,3826353175000.0,,30790,0.306
2007-03-02,HOPFL,EQ,375.25,384.65,392.0,362.0,363.4,367.7,378.88,94193,3568821450000.0,,29585,0.3141
2007-03-05,HOPFL,EQ,367.7,360.0,360.0,320.0,345.0,337.25,336.94,114953,3873190035000.0,,29526,0.2569
2007-03-06,HOPFL,EQ,337.25,339.0,360.0,325.0,327.85,327.85,335.05,72620,2433133360000.0,,14660,0.20190000000000002
2007-03-07,HOPFL,EQ,327.85,332.5,341.5,329.0,333.45,333.35,334.93,74431,2492885745000.0,,31296,0.4205
2007-03-08,HOPFL,EQ,333.35,335.0,337.5,319.0,334.05,333.05,327.62,32906,1078062005000.0001,,10583,0.3216
2007-03-09,HOPFL,EQ,333.05,332.1,340.0,324.0,324.0,325.75,332.12,32215,1069932685000.0,,10886,0.3379
2007-03-12,HOPFL,EQ,325.75,325.1,335.0,321.65,325.0,325.35,327.14,23199,758935365000.0,,12066,0.5201
2007-03-13,HOPFL,EQ,325.35,326.0,384.7,326.0,368.05,369.35,362.73,225967,8196458734999.999,,36962,0.1636
2007-03-14,HOPFL,EQ,369.35,365.0,381.2,333.0,360.0,359.4,365.57,219233,8014421209999.999,,25770,0.11750000000000001
