Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2015-12-23,PILANIINVS,EQ,1447.45,1550.0,1723.8,1550.0,1633.0,1642.6,1648.79,25001,4122149225000.0,2197,15137,0.6055
2015-12-24,PILANIINVS,EQ,1642.6,1699.0,1699.0,1586.0,1587.55,1606.5,1642.51,4087,671292065000.0,543,2617,0.6403
2015-12-28,PILANIINVS,EQ,1606.5,1648.9,1648.9,1541.0,1546.15,1551.25,1571.5,2502,393189375000.0,326,1979,0.7909999999999999
2015-12-29,PILANIINVS,EQ,1551.25,1559.95,1569.65,1463.0,1481.0,1489.35,1511.77,2689,406513845000.0,355,2102,0.7817000000000001
2015-12-30,PILANIINVS,EQ,1489.35,1502.0,1527.95,1475.05,1490.0,1489.15,1485.96,5708,848184575000.0,297,1222,0.2141
2015-12-31,PILANIINVS,EQ,1489.15,1475.0,1539.0,1450.0,1495.0,1500.05,1507.26,4303,648572760000.0,225,1402,0.3258
2016-01-01,PILANIINVS,EQ,1500.05,1451.5,1520.0,1450.0,1500.0,1502.3,1501.53,714,107209180000.0,92,600,0.8403
2016-01-04,PILANIINVS,EQ,1502.3,1500.0,1531.0,1480.0,1500.0,1498.2,1499.01,1328,199068845000.0,131,908,0.6837000000000001
2016-01-05,PILANIINVS,EQ,1498.2,1485.05,1517.0,1480.0,1487.55,1490.45,1495.51,910,136091300000.0,125,683,0.7505
2016-01-06,PILANIINVS,EQ,1490.45,1488.05,1499.0,1474.95,1478.1,1479.6,1486.04,875,130028645000.0,117,705,0.8057
2016-01-07,PILANIINVS,EQ,1479.6,1465.05,1484.0,1424.95,1460.0,1447.6,1455.12,1280,186254925000.0,181,1116,0.8719
2016-01-08,PILANIINVS,EQ,1447.6,1464.45,1479.25,1427.0,1440.0,1439.45,1445.16,1344,194228990000.0,118,979,0.7284
2016-01-11,PILANIINVS,EQ,1439.45,1420.0,1440.0,1395.0,1400.0,1400.9,1405.77,1546,217331910000.0,212,1214,0.7853
2016-01-12,PILANIINVS,EQ,1400.9,1400.0,1400.0,1370.0,1378.6,1384.9,1390.28,1042,144867105000.0,115,779,0.7476
2016-01-13,PILANIINVS,EQ,1384.9,1372.1,1410.0,1326.0,1367.95,1346.65,1366.6,1876,256374179999.99997,194,1647,0.8779000000000001
2016-01-14,PILANIINVS,EQ,1346.65,1340.0,1380.0,1299.0,1360.05,1352.95,1322.17,1473,194755455000.0,181,1080,0.7332
2016-01-15,PILANIINVS,EQ,1352.95,1390.0,1390.0,1281.1,1281.1,1309.4,1318.91,2572,339222995000.0,81,460,0.1788
2016-01-18,PILANIINVS,EQ,1309.4,1305.0,1329.85,1200.0,1200.0,1257.35,1284.82,984,126426225000.0,88,796,0.8089000000000001
2016-01-19,PILANIINVS,EQ,1257.35,1260.0,1300.0,1200.0,1232.0,1244.1,1240.97,1457,180809730000.0,189,620,0.4255
2016-01-20,PILANIINVS,EQ,1244.1,1244.0,1270.0,1200.0,1250.0,1235.2,1235.33,1555,192093220000.0,148,1050,0.6752
2016-01-21,PILANIINVS,EQ,1235.2,1240.0,1241.0,1223.0,1226.0,1226.65,1232.16,414,51011335000.0,53,335,0.8092
2016-01-22,PILANIINVS,EQ,1226.65,1211.05,1280.0,1211.05,1248.0,1248.0,1239.81,647,80215880000.0,109,532,0.8223
2016-01-25,PILANIINVS,EQ,1248.0,1250.0,1277.0,1208.0,1270.0,1260.2,1261.17,562,70877760000.0,60,473,0.8416
2016-01-27,PILANIINVS,EQ,1260.2,1285.0,1285.0,1233.0,1233.0,1233.9,1255.4,656,82354000000.0,73,593,0.904
2016-01-28,PILANIINVS,EQ,1233.9,1265.5,1266.0,1238.1,1264.8,1258.3,1255.54,337,42311570000.0,62,200,0.5935
2016-01-29,PILANIINVS,EQ,1258.3,1261.65,1285.0,1250.0,1285.0,1276.95,1264.94,552,69824645000.0,42,487,0.8822
2016-02-01,PILANIINVS,EQ,1276.95,1284.9,1370.0,1270.0,1360.0,1337.85,1311.15,1006,131901750000.0,111,927,0.9215000000000001
2016-02-02,PILANIINVS,EQ,1337.85,1349.95,1350.0,1290.0,1305.0,1293.55,1311.03,378,49556965000.0,53,322,0.8519
2016-02-03,PILANIINVS,EQ,1293.55,1245.85,1276.0,1225.0,1238.95,1233.1,1243.02,844,104910760000.00002,98,691,0.8187000000000001
2016-02-04,PILANIINVS,EQ,1233.1,1264.0,1264.0,1211.0,1227.0,1222.2,1230.75,603,74213995000.0,59,456,0.7562000000000001
2016-02-05,PILANIINVS,EQ,1222.2,1250.0,1262.0,1200.0,1230.05,1220.75,1214.3,575,69822495000.0,56,497,0.8643000000000001
2016-02-08,PILANIINVS,EQ,1220.75,1249.0,1254.0,1216.0,1216.0,1218.65,1234.89,82,10126090000.0,23,63,0.7683
2016-02-09,PILANIINVS,EQ,1218.65,1216.0,1217.9,1153.1,1217.9,1206.45,1202.18,1310,157485070000.0,100,633,0.4832
2016-02-10,PILANIINVS,EQ,1206.45,1223.85,1224.0,1176.1,1223.0,1211.55,1204.89,130,15663504999.999998,30,119,0.9154000000000001
2016-02-11,PILANIINVS,EQ,1211.55,1161.0,1198.0,1161.0,1167.2,1167.45,1178.02,233,27447825000.0,65,170,0.7295999999999999
2016-02-12,PILANIINVS,EQ,1167.45,1151.1,1186.0,1110.0,1160.0,1160.0,1141.29,852,97237785000.0,102,605,0.7101000000000001
2016-02-15,PILANIINVS,EQ,1160.0,1199.0,1200.0,1185.0,1185.05,1187.2,1195.49,57,6814295000.0,15,47,0.8246
2016-02-16,PILANIINVS,EQ,1187.2,1160.0,1165.1,1121.1,1148.0,1140.25,1155.42,300,34662700000.0,26,252,0.84
2016-02-17,PILANIINVS,EQ,1140.25,1112.85,1137.0,1080.0,1123.0,1103.0,1096.44,1134,124336464999.99998,108,737,0.6498999999999999
2016-02-18,PILANIINVS,EQ,1103.0,1125.0,1150.0,1087.0,1100.1,1108.3,1109.26,555,61563990000.0,45,457,0.8234
2016-02-19,PILANIINVS,EQ,1108.3,1125.0,1165.0,1101.0,1165.0,1146.9,1130.02,236,26668555000.0,45,126,0.5339
2019-02-22,PILANIINVS,EQ,1964.5,2054.95,2062.7,2000.0,2062.7,2052.75,2051.69,854,175214700000.0,82,675,0.7904000000000001
2019-02-25,PILANIINVS,EQ,2052.75,2125.0,2155.35,2045.0,2115.0,2117.45,2103.28,601,126407045000.0,129,355,0.5907
2019-02-26,PILANIINVS,EQ,2117.45,2145.0,2150.0,2060.95,2061.1,2087.6,2079.89,606,126041220000.0,154,446,0.736
2019-02-27,PILANIINVS,EQ,2087.6,2165.0,2165.0,2067.0,2107.0,2104.5,2096.65,421,88268775000.0,112,227,0.5392
