Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-01-01,POLYPLEX,EQ,73.0,72.0,73.0,71.25,,73.0,72.25,900,6502500000.0,,,
1996-01-02,POLYPLEX,EQ,73.0,73.0,72.0,71.55,,71.7,71.86,1500,10779500000.0,,,
1996-01-03,POLYPLEX,EQ,71.7,71.7,72.1,71.0,,71.05,71.33,1800,12839000000.0,,,
1996-01-04,POLYPLEX,EQ,71.05,71.05,71.0,70.15,,70.5,70.48,800,5638000000.0,,,
1996-01-05,POLYPLEX,EQ,70.5,70.5,70.95,70.0,,70.95,70.37,500,3518500000.0,,,
1996-01-08,POLYPLEX,EQ,70.95,70.95,70.0,67.0,,67.1,68.72,3400,23364500000.0,,,
1996-01-09,POLYPLEX,EQ,67.1,67.1,65.0,62.0,,62.5,63.21,3200,20228500000.0,,,
1996-01-10,POLYPLEX,EQ,62.5,62.5,64.9,64.0,,64.1,64.19,800,5135500000.0,,,
1996-01-11,POLYPLEX,EQ,64.1,64.1,63.9,62.75,,63.9,63.12,1000,6311500000.0,,,
1996-01-12,POLYPLEX,EQ,63.9,63.9,65.45,63.5,,64.0,64.06,1000,6405500000.0,,,
1996-01-15,POLYPLEX,EQ,64.0,64.0,63.9,63.05,,63.05,63.48,200,1269500000.0,,,
1996-01-16,POLYPLEX,EQ,63.05,61.8,61.95,61.2,,61.25,61.53,2700,16612000000.0,,,
1996-01-17,POLYPLEX,EQ,61.25,61.25,63.0,60.0,,60.1,61.83,2900,17930500000.0,,,
1996-01-18,POLYPLEX,EQ,60.1,60.1,60.5,59.05,,59.9,60.04,4100,24616000000.0,,,
1996-01-19,POLYPLEX,EQ,59.9,59.9,60.5,59.05,,59.5,60.01,5900,35403000000.0,,,
1996-01-22,POLYPLEX,EQ,59.5,59.5,59.7,58.1,,58.1,58.93,2400,14142000000.0,,,
