Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-01-01,RAJSREESUG,EQ,19.95,20.0,20.0,19.9,,19.9,19.92,1000,1992000000.0,,,
1996-01-02,RAJSREESUG,EQ,19.9,19.9,20.0,19.9,,20.0,19.99,1500,2998000000.0,,,
1996-01-03,RAJSREESUG,EQ,20.0,20.25,20.3,19.0,,19.0,19.87,3200,6358500000.0,,,
1996-01-04,RAJSREESUG,EQ,19.0,19.0,19.95,18.8,,19.25,19.06,3200,6100000000.0,,,
1996-01-05,RAJSREESUG,EQ,19.25,19.0,19.5,19.0,,19.1,19.09,2600,4964500000.0,,,
1996-01-08,RAJSREESUG,EQ,19.1,19.1,19.1,19.1,,19.1,19.1,100,191000000.0,,,
1996-01-09,RAJSREESUG,EQ,19.1,18.9,19.0,18.0,,18.55,18.48,1500,2772000000.0,,,
1996-01-10,RAJSREESUG,EQ,18.55,18.55,19.2,18.75,,19.1,19.02,1500,2852500000.0,,,
1996-01-11,RAJSREESUG,EQ,19.1,19.25,20.0,19.0,,19.1,19.22,5100,9804500000.0,,,
1996-01-12,RAJSREESUG,EQ,19.1,19.05,19.05,19.0,,19.05,19.04,500,952000000.0,,,
1996-01-15,RAJSREESUG,EQ,19.05,19.0,19.0,18.75,,18.75,18.83,800,1506500000.0,,,
1996-01-16,RAJSREESUG,EQ,18.75,18.75,18.95,18.05,,18.1,18.28,3500,6399500000.0,,,
1996-01-17,RAJSREESUG,EQ,18.1,18.95,18.95,18.2,,18.2,18.58,200,371500000.0,,,
1996-01-18,RAJSREESUG,EQ,18.2,18.2,18.5,18.1,,18.25,18.32,1500,2748000000.0,,,
1996-01-19,RAJSREESUG,EQ,18.25,18.0,18.0,17.5,,18.0,17.88,1200,2145000000.0,,,
1996-01-22,RAJSREESUG,EQ,18.0,17.0,17.95,17.0,,17.55,17.66,1700,3001500000.0,,,
1996-01-23,RAJSREESUG,EQ,17.55,17.5,17.6,17.0,,17.1,17.35,6100,10584000000.0,,,
1996-01-24,RAJSREESUG,EQ,17.1,17.1,17.6,17.4,,17.45,17.47,2200,3843000000.0,,,
1996-01-25,RAJSREESUG,EQ,17.45,18.0,18.0,17.5,,17.5,17.8,900,1602000000.0,,,
1996-01-29,RAJSREESUG,EQ,17.5,17.45,17.45,17.0,,17.25,17.24,1100,1896500000.0,,,
1996-01-30,RAJSREESUG,EQ,17.25,18.0,18.0,17.5,,17.5,17.74,1800,3194000000.0,,,
1996-01-31,RAJSREESUG,EQ,17.5,17.95,18.3,17.75,,18.0,18.04,2700,4871000000.0,,,
1996-02-01,RAJSREESUG,EQ,18.0,18.0,18.35,18.0,,18.3,18.23,800,1458000000.0,,,
1996-02-02,RAJSREESUG,EQ,18.3,18.25,18.3,18.0,,18.0,18.06,2200,3973500000.0,,,
1996-02-05,RAJSREESUG,EQ,18.0,18.0,19.75,18.55,,19.25,18.95,1300,2464000000.0,,,
1996-02-06,RAJSREESUG,EQ,19.25,19.45,19.45,17.5,,18.4,18.16,5300,9623500000.0,,,
1996-02-07,RAJSREESUG,EQ,18.4,18.4,18.25,18.25,,18.25,18.25,100,182500000.0,,,
1996-02-08,RAJSREESUG,EQ,18.25,18.25,18.75,18.0,,18.15,18.36,2100,3855500000.0,,,
1996-02-09,RAJSREESUG,EQ,18.15,18.5,19.25,18.5,,19.15,19.02,3200,6087000000.0,,,
1996-02-12,RAJSREESUG,EQ,19.15,19.15,21.0,20.0,,20.7,20.18,7400,14932500000.0,,,
1996-02-13,RAJSREESUG,EQ,20.7,20.5,20.5,19.1,,19.95,19.92,5900,11750500000.0,,,
1996-02-14,RAJSREESUG,EQ,19.95,20.1,20.4,19.5,,20.0,19.97,10200,20365000000.0,,,
1996-02-15,RAJSREESUG,EQ,20.0,20.0,21.0,19.5,,20.7,20.3,10600,21514500000.0,,,
1996-02-16,RAJSREESUG,EQ,20.7,20.75,22.0,20.75,,21.5,21.76,19300,42006000000.0,,,
1996-02-19,RAJSREESUG,EQ,21.5,21.5,23.5,21.75,,23.25,22.83,41900,95656500000.0,,,
1996-02-20,RAJSREESUG,EQ,23.25,23.25,24.5,23.05,,23.85,23.9,26900,64285500000.0,,,
1996-02-22,RAJSREESUG,EQ,23.85,23.85,25.8,24.05,,24.45,24.9,20300,50539000000.0,,,
1996-02-23,RAJSREESUG,EQ,24.45,24.45,24.6,23.65,,23.65,24.12,11000,26528000000.0,,,
1996-02-26,RAJSREESUG,EQ,23.65,23.65,23.45,22.15,,22.9,22.92,12500,28651500000.0,,,
1996-02-27,RAJSREESUG,EQ,22.9,22.9,23.0,22.1,,22.85,22.41,19400,43474500000.0,,,
1996-02-28,RAJSREESUG,EQ,22.85,22.85,23.0,21.75,,21.8,22.01,14100,31029500000.0,,,
1996-02-29,RAJSREESUG,EQ,21.8,21.0,21.0,20.75,,20.95,20.92,5000,10458500000.0,,,
