Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2009-12-03,REFEX,EQ,29.95,30.95,32.25,30.7,31.95,31.3,31.44,26646,83776345000.0,,5235,0.19649999999999998
2009-12-04,REFEX,EQ,31.3,30.0,34.45,30.0,34.45,34.45,34.13,32485,110886455000.0,,15058,0.4635
2009-12-07,REFEX,EQ,34.45,36.0,36.0,32.05,32.4,32.8,33.93,21875,74231385000.0,,15617,0.7139
2009-12-08,REFEX,EQ,32.8,33.0,34.25,30.0,30.65,30.95,31.38,10623,33329895000.0,,6921,0.6515000000000001
2009-12-09,REFEX,EQ,30.95,31.6,33.8,31.6,32.45,32.6,33.12,8136,26944490000.000004,,5695,0.7000000000000001
2009-12-10,REFEX,EQ,32.6,31.3,33.2,31.3,32.0,32.05,32.33,2048,6621270000.0,,1048,0.5117
2010-02-19,REFEX,EQ,26.4,26.9,26.9,25.2,25.5,25.4,25.36,3841,9742115000.0,,2609,0.6793000000000001
2010-02-22,REFEX,EQ,25.4,26.15,26.15,24.55,24.55,24.65,24.97,2645,6603350000.0,,1875,0.7089
2010-02-23,REFEX,EQ,24.65,24.65,24.65,24.35,24.35,24.35,24.42,1612,3935910000.0,,1610,0.9988
2010-02-24,REFEX,EQ,24.35,24.0,24.3,23.6,23.8,23.9,23.93,3002,7183235000.000001,,2248,0.7488
2010-02-25,REFEX,EQ,23.9,24.8,25.0,24.0,24.75,24.75,24.83,1336,3317380000.0000005,,1236,0.9251
2010-02-26,REFEX,EQ,24.75,24.0,24.95,23.75,24.0,24.0,24.36,4113,10017650000.0,,3633,0.8833
2010-03-02,REFEX,EQ,24.0,24.25,24.9,24.2,24.2,24.2,24.49,250,612250000.0,,250,1.0
2010-03-03,REFEX,EQ,24.2,23.25,25.3,23.25,24.9,24.8,24.8,1655,4104450000.0,,1230,0.7432
2010-03-04,REFEX,EQ,24.8,25.5,25.5,24.2,25.0,24.95,24.7,2720,6717400000.0,,1725,0.6342
2010-03-05,REFEX,EQ,24.95,25.0,25.35,24.5,25.0,24.9,24.74,1355,3351685000.0,,1026,0.7572
2010-03-08,REFEX,EQ,24.9,25.1,26.0,25.1,25.9,25.95,25.66,4021,10316580000.0,,3019,0.7508
2010-03-09,REFEX,EQ,25.95,25.25,25.25,24.65,24.95,24.85,25.11,4450,11175750000.0,,3050,0.6854000000000001
2010-03-10,REFEX,EQ,24.85,25.9,25.9,24.5,25.2,24.8,25.22,2482,6259015000.0,,2457,0.9899
2010-03-11,REFEX,EQ,24.8,24.0,25.0,22.4,23.9,23.9,23.64,10436,24671210000.0,,5333,0.511
2010-03-12,REFEX,EQ,23.9,25.0,25.0,23.3,24.35,24.35,24.01,2401,5765905000.0,,1970,0.8205
2010-03-15,REFEX,EQ,24.35,24.35,25.2,23.15,23.15,23.45,23.88,4240,10126260000.0,,3420,0.8066
2010-03-16,REFEX,EQ,23.45,23.15,24.95,23.15,24.5,24.5,24.5,3250,7961100000.0,,2650,0.8154000000000001
2010-03-17,REFEX,EQ,24.5,24.65,25.4,24.15,24.5,24.5,24.48,2120,5189550000.0,,2120,1.0
2010-03-18,REFEX,EQ,24.5,24.95,24.95,23.35,23.35,23.35,24.24,719,1743184999.9999998,,689,0.9583
2010-03-19,REFEX,EQ,23.35,23.35,24.0,23.2,23.95,23.3,23.45,1619,3795865000.0,,1589,0.9815
2010-03-22,REFEX,EQ,23.3,25.5,25.5,22.15,23.95,23.6,23.72,6005,14243720000.000002,,2548,0.4243
2010-03-23,REFEX,EQ,23.6,22.7,23.9,22.7,22.85,23.05,23.32,7454,17379850000.0,,3054,0.4097
2010-03-25,REFEX,EQ,23.05,24.2,24.2,22.5,22.55,22.55,23.09,2845,6568120000.0,,2467,0.8671
2010-03-26,REFEX,EQ,22.55,24.5,24.5,22.1,22.5,22.55,22.58,6206,14013870000.000002,,5483,0.8835
2010-03-29,REFEX,EQ,22.55,22.75,22.95,21.85,21.85,21.9,22.2,4070,9034240000.0,,2880,0.7076000000000001
2010-03-30,REFEX,EQ,21.9,22.5,22.65,21.75,22.15,22.15,22.25,895,1991225000.0,,595,0.6648000000000001
2010-03-31,REFEX,EQ,22.15,22.85,22.85,22.2,22.7,22.7,22.6,885,2000500000.0,,885,1.0
2010-04-01,REFEX,EQ,22.7,22.95,23.45,22.15,22.55,22.3,22.49,4020,9042175000.0,,2610,0.6493000000000001
2010-04-05,REFEX,EQ,22.3,22.6,24.4,22.6,23.8,23.75,23.67,4309,10198150000.0,,3317,0.7698
2010-04-06,REFEX,EQ,23.75,24.6,26.15,24.6,25.6,25.75,25.8,22882,59032155000.00001,,9493,0.41490000000000005
2010-04-07,REFEX,EQ,25.75,26.55,26.55,25.55,25.8,25.75,26.01,5353,13920865000.0,,3663,0.6843000000000001
2010-04-08,REFEX,EQ,25.75,24.25,27.5,24.25,26.9,26.55,26.71,15638,41765910000.0,,10368,0.663
2010-04-09,REFEX,EQ,26.55,27.6,28.2,26.5,27.7,27.25,27.49,13684,37617730000.0,,5935,0.4337
2010-04-12,REFEX,EQ,27.25,28.0,28.0,25.6,27.5,26.8,26.67,5341,14242050000.0,,3216,0.6021
2010-04-13,REFEX,EQ,26.8,27.25,28.1,26.0,27.55,27.45,27.37,5214,14270815000.0,,4447,0.8529000000000001
2010-04-15,REFEX,EQ,27.45,28.0,30.2,27.2,29.55,29.45,29.27,34690,101554625000.0,,21495,0.6196
2010-04-16,REFEX,EQ,29.45,31.3,31.8,28.75,30.0,30.3,30.45,26664,81204805000.0,,20131,0.755
2010-04-19,REFEX,EQ,30.3,29.1,30.0,28.15,29.0,28.8,28.86,9933,28667209999.999996,,6303,0.6346
2010-04-20,REFEX,EQ,28.8,27.2,30.95,27.2,29.0,29.15,29.37,12432,36507820000.0,,4246,0.34149999999999997
2010-04-21,REFEX,EQ,29.15,29.15,29.5,28.4,29.4,28.9,29.12,7582,22079870000.0,,6140,0.8098000000000001
2010-04-22,REFEX,EQ,28.9,28.9,29.0,28.25,28.7,28.75,28.71,1675,4809665000.0,,1650,0.9851000000000001
2010-04-23,REFEX,EQ,28.75,29.0,29.45,27.7,27.7,28.2,28.53,10709,30557500000.0,,9850,0.9198000000000001
2010-04-26,REFEX,EQ,28.2,28.15,28.45,27.2,27.65,27.8,27.78,4125,11461125000.0,,2475,0.6
2010-04-27,REFEX,EQ,27.8,28.3,28.3,26.05,26.25,26.65,27.06,6012,16269329999.999998,,3488,0.5802
2010-04-28,REFEX,EQ,26.65,26.5,26.55,26.05,26.05,26.1,26.49,5885,15586770000.000002,,5683,0.9657
2010-04-29,REFEX,EQ,26.1,26.0,27.0,26.0,26.45,26.45,26.63,1276,3397580000.0000005,,988,0.7743000000000001
2010-04-30,REFEX,EQ,26.45,26.0,27.25,26.0,26.4,26.6,26.74,4741,12679195000.0,,3680,0.7762000000000001
2010-05-03,REFEX,EQ,26.6,26.05,26.75,26.0,26.5,26.5,26.15,1920,5020000000.0,,1870,0.9740000000000001
2010-05-04,REFEX,EQ,26.5,27.7,27.7,26.0,26.5,26.5,26.46,2240,5928000000.0,,2240,1.0
2010-05-05,REFEX,EQ,26.5,26.0,26.0,24.05,25.2,25.2,24.93,4773,11899720000.0,,3730,0.7815000000000001
2010-05-06,REFEX,EQ,25.2,26.8,27.0,26.0,26.0,26.1,26.45,1924,5089245000.0,,1501,0.7801
2010-05-07,REFEX,EQ,26.1,27.95,27.95,26.05,26.05,26.45,26.66,15422,41110560000.0,,7606,0.4932
2010-05-10,REFEX,EQ,26.45,26.3,27.0,25.2,25.6,25.6,25.9,2560,6631550000.0,,1675,0.6543000000000001
2010-05-11,REFEX,EQ,25.6,25.0,25.6,24.55,25.2,25.05,24.96,2361,5891940000.0,,1797,0.7611
2010-05-12,REFEX,EQ,25.05,24.25,25.75,24.25,25.25,25.25,24.72,484,1196330000.0,,356,0.7354999999999999
2010-05-13,REFEX,EQ,25.25,24.3,25.65,24.3,25.0,25.0,25.2,2086,5255900000.0,,1328,0.6365999999999999
2010-05-14,REFEX,EQ,25.0,25.5,25.95,24.05,24.05,24.85,25.37,3469,8799520000.0,,2766,0.7973
2010-05-17,REFEX,EQ,24.85,24.2,24.2,23.45,23.45,23.5,23.95,6906,16542985000.0,,6300,0.9123000000000001
2010-05-18,REFEX,EQ,23.5,23.4,23.4,22.9,22.9,23.0,23.35,8799,20542235000.0,,7972,0.9059999999999999
2010-05-19,REFEX,EQ,23.0,22.9,22.9,22.65,22.65,22.7,22.88,8082,18491690000.0,,6998,0.8659
2010-05-20,REFEX,EQ,22.7,23.0,23.7,22.2,22.4,22.4,22.75,1950,4436000000.0,,1650,0.8462000000000001
2010-05-21,REFEX,EQ,22.4,21.2,22.75,21.2,22.3,22.4,21.95,4980,10933490000.0,,3591,0.7211
2010-05-24,REFEX,EQ,22.4,22.0,23.5,22.0,22.95,22.5,22.67,1576,3573360000.0,,1234,0.783
2010-05-25,REFEX,EQ,22.5,22.0,22.0,21.05,21.05,21.15,21.5,1826,3925085000.0,,1504,0.8237000000000001
2010-05-26,REFEX,EQ,21.15,21.5,21.5,21.1,21.2,21.25,21.41,2796,5985450000.0,,2323,0.8308
2010-05-27,REFEX,EQ,21.25,21.6,25.5,21.6,25.5,25.5,25.1,48325,121288510000.00002,,15398,0.3186
2010-05-28,REFEX,EQ,25.5,26.5,27.7,24.1,24.55,24.7,24.94,47032,117321089999.99998,,29332,0.6237
2010-05-31,REFEX,EQ,24.7,23.6,25.0,22.15,24.45,24.25,23.98,6538,15677520000.000002,,5949,0.9098999999999999
2010-06-01,REFEX,EQ,24.25,25.0,25.0,23.0,23.75,23.75,23.79,4538,10798095000.0,,3700,0.8153
2010-06-02,REFEX,EQ,23.75,24.75,24.9,23.15,23.6,23.65,24.02,8104,19462460000.0,,3972,0.4901
2010-06-03,REFEX,EQ,23.65,24.85,24.85,23.7,24.1,24.1,24.14,364,878615000.0,,359,0.9863
2010-06-04,REFEX,EQ,24.1,23.35,24.0,23.35,23.95,23.95,23.64,1487,3515465000.0,,1405,0.9449
2010-06-07,REFEX,EQ,23.95,23.15,24.0,23.15,23.5,23.5,23.83,125,297925000.0,,124,0.9920000000000001
2010-06-08,REFEX,EQ,23.5,24.9,25.25,23.8,23.8,24.15,24.46,1980,4843125000.0,,1155,0.5833
2010-06-09,REFEX,EQ,24.15,24.0,25.9,24.0,24.75,24.3,24.74,6792,16802685000.0,,3939,0.5799000000000001
2010-06-10,REFEX,EQ,24.3,25.3,29.2,24.55,28.1,28.1,28.38,88564,251339865000.0,,59690,0.674
2010-06-11,REFEX,EQ,28.1,27.6,28.0,25.2,26.85,26.4,26.95,17741,47820665000.0,,10324,0.5819
2010-06-14,REFEX,EQ,26.4,25.85,27.3,25.85,26.2,26.35,26.56,4822,12809470000.0,,4622,0.9584999999999999
2010-06-15,REFEX,EQ,26.35,27.3,27.3,25.0,25.6,25.3,25.67,10313,26473965000.000004,,7965,0.7723000000000001
2010-06-16,REFEX,EQ,25.3,25.6,25.75,24.6,24.6,24.75,24.94,9540,23788370000.0,,7881,0.8261000000000001
2010-06-17,REFEX,EQ,24.75,24.75,25.5,24.55,24.6,24.85,24.87,4524,11251895000.0,,3366,0.7440000000000001
2010-06-18,REFEX,EQ,24.85,25.5,25.8,24.35,24.6,24.45,24.63,8673,21365050000.0,,7903,0.9112
2010-06-21,REFEX,EQ,24.45,24.35,27.0,24.35,26.4,26.4,25.48,12824,32678959999.999996,,10904,0.8503000000000001
2010-06-22,REFEX,EQ,26.4,26.8,28.45,26.05,26.1,26.15,26.96,12434,33516245000.0,,8460,0.6804000000000001
2010-06-23,REFEX,EQ,26.15,25.6,25.6,25.1,25.4,25.3,25.38,5754,14606079999.999998,,4432,0.7702
2010-06-24,REFEX,EQ,25.3,25.15,25.45,25.15,25.15,25.4,25.29,1368,3460144999.9999995,,1293,0.9451999999999999
2010-06-25,REFEX,EQ,25.4,26.4,26.4,25.1,25.1,25.2,25.26,33245,83971245000.0,,32468,0.9766
2010-06-28,REFEX,EQ,25.2,25.75,25.75,24.65,25.0,25.05,25.05,1541,3860794999.9999995,,1160,0.7528
2010-06-29,REFEX,EQ,25.05,24.6,25.45,24.0,24.4,24.6,24.65,1257,3098420000.0,,848,0.6746
2010-06-30,REFEX,EQ,24.6,23.05,24.5,22.05,24.5,24.25,23.59,1219,2875805000.0,,843,0.6916
2010-07-01,REFEX,EQ,24.25,25.4,25.4,24.0,24.55,24.6,24.68,5565,13732435000.0,,2215,0.39799999999999996
2010-07-02,REFEX,EQ,24.6,27.0,27.0,24.25,24.45,24.5,24.86,7971,19819760000.0,,5988,0.7512000000000001
2010-07-05,REFEX,EQ,24.5,23.05,25.25,23.05,24.55,24.55,24.69,7303,18027545000.0,,6058,0.8295
2010-07-06,REFEX,EQ,24.55,24.95,28.5,24.85,27.0,27.2,27.13,81737,221782245000.00003,,23163,0.2834
2010-07-07,REFEX,EQ,27.2,28.0,28.4,26.4,27.7,27.2,27.82,22311,62058955000.00001,,12574,0.5636
2010-07-08,REFEX,EQ,27.2,28.1,28.1,26.75,26.85,26.8,27.44,3810,10453325000.0,,2524,0.6625
2010-07-09,REFEX,EQ,26.8,28.5,28.5,26.0,26.45,26.45,26.56,4007,10642590000.0,,3300,0.8236
2010-07-12,REFEX,EQ,26.45,26.5,28.45,26.5,26.6,26.85,27.47,6101,16759945000.000002,,2956,0.48450000000000004
2010-07-13,REFEX,EQ,26.85,27.0,27.0,26.3,26.9,26.45,26.54,2167,5751420000.0,,1734,0.8002
2010-07-14,REFEX,EQ,26.45,27.0,27.0,26.0,26.2,26.2,26.55,1405,3730080000.0000005,,1200,0.8541
2010-07-15,REFEX,EQ,26.2,26.3,26.8,25.1,25.9,25.5,25.8,8563,22095160000.0,,6913,0.8073
2010-07-16,REFEX,EQ,25.5,28.4,28.4,26.0,26.35,26.55,26.73,23212,62056315000.0,,13221,0.5696
2010-07-19,REFEX,EQ,26.55,27.4,27.4,26.3,26.3,26.3,26.5,1271,3368190000.0,,1010,0.7946
2010-07-20,REFEX,EQ,26.3,25.85,27.2,25.85,25.9,26.15,26.42,4439,11727975000.0,,873,0.1967
2010-07-21,REFEX,EQ,26.15,25.65,27.3,25.65,26.55,26.7,26.39,10409,27473080000.0,,6656,0.6394
2010-07-22,REFEX,EQ,26.7,26.0,27.1,26.0,26.6,26.55,26.69,6439,17186275000.0,,4208,0.6535
2010-07-23,REFEX,EQ,26.55,27.85,27.85,25.85,26.0,25.85,26.05,3015,7855185000.000001,,2882,0.9559000000000001
2010-07-26,REFEX,EQ,25.85,27.0,27.1,26.05,26.3,26.2,26.51,9243,24499425000.0,,5184,0.5609000000000001
2010-07-27,REFEX,EQ,26.2,25.95,26.4,25.95,25.95,25.95,25.97,602,1563485000.0,,601,0.9983
2010-07-28,REFEX,EQ,25.95,26.0,27.4,25.6,26.0,25.65,25.74,1460,3758180000.0000005,,1144,0.7836
2010-07-29,REFEX,EQ,25.65,26.75,26.75,25.25,26.0,25.8,25.65,69169,177391065000.0,,43224,0.6249
2010-07-30,REFEX,EQ,25.8,26.25,26.9,26.05,26.3,26.35,26.46,20966,55481590000.0,,14437,0.6886
2010-08-02,REFEX,EQ,26.35,26.75,27.0,26.05,26.85,26.5,26.84,19020,51043390000.0,,11974,0.6295000000000001
2010-08-03,REFEX,EQ,26.5,26.55,27.0,25.65,26.0,25.95,26.28,7445,19562770000.0,,5686,0.7637
2010-08-04,REFEX,EQ,25.95,26.0,26.65,25.75,26.05,26.0,26.02,29184,75949210000.0,,26239,0.8991
2010-08-05,REFEX,EQ,26.0,26.0,28.0,25.9,26.7,26.85,27.22,21727,59148465000.0,,13816,0.6359
2010-08-06,REFEX,EQ,26.85,28.0,28.0,26.0,26.4,26.4,26.5,6144,16280250000.0,,3156,0.5136999999999999
2010-08-09,REFEX,EQ,26.4,26.75,26.8,26.05,26.6,26.6,26.48,1398,3701455000.0000005,,1163,0.8319
2010-08-10,REFEX,EQ,26.6,26.25,26.25,25.3,25.3,25.55,25.68,8399,21567055000.0,,7138,0.8499
2010-08-11,REFEX,EQ,25.55,25.0,25.75,24.6,25.6,25.6,25.08,4418,11081200000.0,,3519,0.7965000000000001
2010-08-12,REFEX,EQ,25.6,26.2,26.2,25.2,25.7,25.7,25.51,1363,3476444999.9999995,,981,0.7197
2010-08-13,REFEX,EQ,25.7,25.35,25.85,24.55,25.4,25.6,25.56,14523,37116225000.0,,12150,0.8366
2010-08-16,REFEX,EQ,25.6,25.0,25.8,25.0,25.2,25.2,25.42,6988,17761835000.0,,4540,0.6497
2010-08-17,REFEX,EQ,25.2,25.0,25.7,25.0,25.5,25.5,25.42,2216,5633475000.0,,1839,0.8299
2010-08-18,REFEX,EQ,25.5,25.15,25.7,25.15,25.45,25.35,25.52,2825,7208035000.000001,,2024,0.7165
2010-08-19,REFEX,EQ,25.35,25.05,25.8,25.05,25.4,25.4,25.33,3327,8427345000.0,,2476,0.7442000000000001
2010-08-20,REFEX,EQ,25.4,25.0,25.5,24.75,25.4,25.1,25.07,5922,14843825000.0,,4055,0.6847
2010-08-23,REFEX,EQ,25.1,25.1,25.25,24.7,24.7,24.7,24.87,3605,8965445000.0,,2403,0.6666
2010-08-24,REFEX,EQ,24.7,24.6,25.25,24.6,25.2,25.0,24.96,3441,8588610000.000001,,1889,0.549
2010-08-25,REFEX,EQ,25.0,25.0,26.45,25.0,25.1,25.25,25.49,5394,13747795000.000002,,2801,0.5193
2010-08-26,REFEX,EQ,25.25,25.0,25.7,24.6,24.7,24.7,24.75,6760,16730929999.999998,,3248,0.4805
2010-08-27,REFEX,EQ,24.7,24.2,24.8,24.2,24.2,24.2,24.25,5387,13065985000.0,,4266,0.7919
2010-08-30,REFEX,EQ,24.2,24.5,24.5,23.6,24.4,24.4,24.21,2677,6481865000.0,,2560,0.9562999999999999
2010-08-31,REFEX,EQ,24.4,23.1,24.1,22.75,23.1,23.15,23.17,6759,15663315000.0,,4396,0.6504000000000001
2010-09-01,REFEX,EQ,23.15,22.15,23.0,22.15,23.0,23.0,22.55,9301,20972255000.0,,5152,0.5539000000000001
2010-09-02,REFEX,EQ,23.0,23.4,27.6,23.3,26.55,27.1,26.97,87752,236648715000.0,,28788,0.3281
2010-09-03,REFEX,EQ,27.1,27.0,28.0,25.5,26.0,25.75,26.74,33509,89613360000.0,,14672,0.4379
2010-09-06,REFEX,EQ,25.75,26.65,27.9,26.0,27.0,27.1,27.19,21371,58105225000.0,,12769,0.5975
2010-09-07,REFEX,EQ,27.1,27.45,27.6,27.0,27.0,27.0,27.06,11454,30997200000.0,,10105,0.8822
2010-09-08,REFEX,EQ,27.0,27.25,28.5,27.25,27.55,27.6,27.89,31904,88977215000.0,,16833,0.5276
2010-09-09,REFEX,EQ,27.6,28.9,28.9,27.0,28.5,28.2,28.02,14535,40724960000.0,,13692,0.9420000000000001
2010-09-13,REFEX,EQ,28.2,28.0,28.0,26.5,26.5,26.75,27.17,18519,50313095000.0,,13290,0.7176
2010-09-14,REFEX,EQ,26.75,27.0,27.25,25.9,25.9,25.95,26.38,4983,13143415000.0,,3399,0.6820999999999999
2010-09-15,REFEX,EQ,25.95,25.6,27.5,24.55,26.0,25.95,26.42,8989,23748560000.0,,4946,0.5502
2010-09-16,REFEX,EQ,25.95,26.4,26.7,25.8,26.5,26.25,26.16,3220,8423645000.0,,2084,0.6472
2010-09-17,REFEX,EQ,26.25,26.8,27.85,26.45,27.0,26.95,27.01,13472,36382720000.0,,9550,0.7089
2010-09-20,REFEX,EQ,26.95,26.1,28.25,25.0,27.0,26.9,27.39,20476,56093530000.00001,,13058,0.6377
2010-09-21,REFEX,EQ,26.9,26.5,27.0,26.1,26.1,26.15,26.38,2365,6239825000.0,,1763,0.7454999999999999
2010-09-22,REFEX,EQ,26.15,25.8,28.0,25.8,27.6,27.5,27.27,7743,21114580000.0,,7399,0.9556
2010-09-23,REFEX,EQ,27.5,27.9,27.95,23.5,27.1,27.1,26.98,13892,37478765000.0,,10626,0.7648999999999999
2010-09-24,REFEX,EQ,27.1,27.8,28.8,27.15,27.45,27.6,28.01,23341,65373825000.0,,16792,0.7194
2010-09-27,REFEX,EQ,27.6,28.4,29.2,27.6,27.85,28.55,28.24,24060,67954350000.0,,19835,0.8244
2010-09-28,REFEX,EQ,28.55,28.7,28.7,27.55,27.55,27.55,28.05,7798,21874145000.0,,6002,0.7697
2010-09-29,REFEX,EQ,27.55,27.1,28.0,27.1,27.3,27.35,27.75,2388,6626660000.000001,,1887,0.7902
2010-09-30,REFEX,EQ,27.35,27.6,27.6,26.7,26.9,26.95,26.84,5181,13903465000.0,,3835,0.7402
2010-10-01,REFEX,EQ,26.95,27.5,28.5,26.9,27.6,27.85,27.53,5979,16461320000.000002,,4451,0.7444
2010-10-04,REFEX,EQ,27.85,28.35,30.0,27.0,27.3,27.35,27.79,40556,112706964999.99998,,21309,0.5254
2010-10-05,REFEX,EQ,27.35,24.7,27.5,24.7,26.0,26.4,26.46,56580,149727565000.0,,44562,0.7876000000000001
2010-10-06,REFEX,EQ,26.4,26.85,26.85,25.6,26.0,26.0,26.21,8008,20987980000.0,,6605,0.8248000000000001
2010-10-07,REFEX,EQ,26.0,26.55,26.7,26.0,26.0,26.0,26.12,13150,34341750000.0,,12150,0.924
2010-10-08,REFEX,EQ,26.0,25.6,26.25,24.9,24.9,25.0,25.23,21295,53725180000.00001,,19238,0.9034000000000001
2010-10-11,REFEX,EQ,25.0,25.0,25.0,23.9,23.9,24.1,24.27,26363,63975285000.0,,22899,0.8686
2010-10-12,REFEX,EQ,24.1,24.0,24.6,23.2,23.5,23.5,23.52,20695,48678005000.0,,15753,0.7612000000000001
2010-10-13,REFEX,EQ,23.5,24.0,24.5,23.05,24.0,23.95,23.92,21453,51308315000.0,,14599,0.6805
2010-10-14,REFEX,EQ,23.95,24.9,24.9,23.15,23.5,23.5,23.68,11007,26060900000.0,,5700,0.5179
2010-10-15,REFEX,EQ,23.5,24.0,24.0,23.3,23.95,23.7,23.72,7984,18939155000.0,,5449,0.6825
2010-10-18,REFEX,EQ,23.7,23.95,23.95,23.55,23.8,23.8,23.74,3143,7463014999.999999,,2042,0.6497
2010-10-19,REFEX,EQ,23.8,23.8,28.6,23.8,27.5,27.5,27.22,347307,945362019999.9999,,106413,0.3064
2010-10-20,REFEX,EQ,27.5,27.8,28.8,23.0,27.15,27.25,27.47,121038,332515810000.0,,43069,0.3558
2010-10-21,REFEX,EQ,27.25,27.1,28.0,26.5,27.0,26.95,26.98,71543,193042670000.0,,37127,0.5189
