Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2005-10-31,RENUKA,EQ,285.0,315.0,315.0,257.0,260.65,260.3,273.0,4981651,136000161945000.0,,501449.0,0.10070000000000001
2005-11-01,RENUKA,EQ,260.3,267.0,275.0,256.1,268.0,269.95,267.38,805619,21540531595000.0,,31451.0,0.039
2005-11-02,RENUKA,EQ,269.95,265.0,273.0,260.1,266.3,264.0,265.95,1097073,29177076720000.0,,54443.0,0.0496
2005-11-07,RENUKA,EQ,264.0,266.0,269.8,261.25,261.25,263.1,264.96,177665,4707460045000.0,,42472.0,0.2391
2005-11-08,RENUKA,EQ,263.1,264.7,269.0,261.5,266.5,267.0,265.55,192727,5117790365000.0,,63610.0,0.3301
2005-11-09,RENUKA,EQ,267.0,267.0,272.0,263.5,265.1,266.4,267.17,122504,3272913350000.0,,28097.0,0.22940000000000002
2005-11-10,RENUKA,EQ,266.4,268.5,315.5,265.15,305.0,302.05,299.3,2645918,79192398450000.0,,273088.0,0.1032
2005-11-11,RENUKA,EQ,302.05,304.9,319.0,290.65,296.1,296.5,303.55,1749323,53101382010000.0,,105730.0,0.0604
2005-11-14,RENUKA,EQ,296.5,295.0,298.8,271.0,278.5,281.4,284.94,237003,6753226430000.0,,48338.0,0.204
2005-11-16,RENUKA,EQ,281.4,281.4,296.7,277.65,289.0,288.0,289.37,340422,9850928390000.0,,50463.0,0.1482
2005-11-17,RENUKA,EQ,288.0,290.0,303.5,287.0,295.0,294.3,296.99,540264,16045383040000.0,,76979.0,0.14250000000000002
2005-11-18,RENUKA,EQ,294.3,297.0,300.0,290.1,292.0,292.15,295.76,162423,4803812560000.0,,37466.0,0.23070000000000002
2005-11-21,RENUKA,EQ,292.15,293.5,295.85,282.2,282.2,285.6,290.68,71143,2068001185000.0002,,18321.0,0.2575
2005-11-22,RENUKA,EQ,285.6,288.6,312.5,286.25,303.8,308.2,303.36,673294,20424783150000.0,,90422.0,0.1343
2005-11-23,RENUKA,EQ,308.2,305.0,325.0,305.0,325.0,321.0,315.88,1355906,42830520390000.0,,195487.0,0.1442
2005-11-24,RENUKA,EQ,321.0,323.0,324.0,302.1,302.5,304.85,314.68,486728,15316593440000.0,,82846.0,0.1702
2005-11-25,RENUKA,EQ,304.85,305.0,330.0,303.85,327.25,325.2,318.1,506914,16124705540000.0,,106818.0,0.2107
2005-11-26,RENUKA,EQ,325.2,325.0,332.0,316.65,325.5,328.6,324.84,227207,7380699025000.0,,32451.0,0.1428
2005-11-28,RENUKA,EQ,328.6,329.9,329.9,312.5,315.7,316.15,322.29,208338,6714424255000.0,,54426.0,0.2612
2005-11-29,RENUKA,EQ,316.15,317.8,346.4,311.0,339.45,340.65,337.69,1139493,38479206695000.0,,168666.0,0.14800000000000002
2005-11-30,RENUKA,EQ,340.65,339.6,378.85,339.6,367.5,373.0,365.59,1516313,55434772104999.99,,177738.0,0.11720000000000001
2005-12-01,RENUKA,EQ,373.0,371.9,395.0,370.05,394.1,391.0,386.55,1951178,75422019440000.0,,370253.0,0.1898
2005-12-02,RENUKA,EQ,391.0,396.0,401.9,370.25,371.0,372.6,385.46,677306,26107225435000.0,,96788.0,0.1429
2005-12-05,RENUKA,EQ,372.6,373.35,375.9,358.6,365.0,366.75,367.14,426277,15650523835000.0,,42591.0,0.0999
2005-12-06,RENUKA,EQ,366.75,367.0,377.8,362.0,367.5,367.95,372.03,346283,12882812765000.0,,55153.0,0.1593
2005-12-07,RENUKA,EQ,367.95,369.0,376.0,366.15,370.05,370.8,372.09,130280,4847584415000.0,,32911.0,0.25260000000000005
2005-12-08,RENUKA,EQ,370.8,373.0,379.4,372.55,375.0,374.05,375.64,175893,6607268970000.0,,54126.0,0.30770000000000003
2005-12-09,RENUKA,EQ,374.05,376.0,404.2,375.0,388.5,388.25,390.92,404315,15805668880000.002,,71309.0,0.1764
2005-12-12,RENUKA,EQ,388.25,389.0,394.6,380.2,386.0,385.8,387.22,198244,7676496065000.001,,60658.0,0.306
2005-12-13,RENUKA,EQ,385.8,388.65,434.9,386.05,433.0,430.3,419.01,928386,38900058985000.0,,121413.0,0.1308
2005-12-14,RENUKA,EQ,430.3,430.05,435.0,412.0,412.8,413.9,418.87,334866,14026490250000.0,,89004.0,0.2658
2005-12-15,RENUKA,EQ,413.9,416.0,467.7,415.0,448.3,454.35,446.42,1253396,55954458000000.0,,105941.0,0.08449999999999999
2005-12-16,RENUKA,EQ,454.35,460.0,480.0,450.05,474.0,476.1,468.89,1196025,56079820615000.0,,67562.0,0.0565
2005-12-19,RENUKA,EQ,476.1,480.0,567.7,475.0,541.5,545.0,534.59,2951498,157783476655000.0,,199263.0,0.0675
2005-12-20,RENUKA,EQ,545.0,544.0,570.0,528.1,534.0,534.7,546.82,1563765,85509538905000.0,,124128.0,0.07940000000000001
2005-12-21,RENUKA,EQ,534.7,537.8,540.5,512.0,519.65,519.3,524.87,652493,34247200705000.0,,61710.0,0.09460000000000002
2005-12-22,RENUKA,EQ,519.3,518.0,526.0,495.0,511.0,505.45,507.83,681187,34592537320000.0,,95334.0,0.14
2005-12-23,RENUKA,EQ,505.45,512.0,522.0,490.1,492.4,496.45,511.15,871061,44524632480000.0,,97408.0,0.1118
2005-12-26,RENUKA,EQ,496.45,496.0,496.45,460.0,474.0,469.4,471.9,446485,21069535335000.0,,57928.0,0.1297
2005-12-27,RENUKA,EQ,469.4,471.0,516.35,454.0,516.35,514.45,500.14,930949,46560375645000.0,,111400.0,0.11970000000000001
2005-12-28,RENUKA,EQ,514.45,525.15,550.0,525.15,532.65,533.05,539.78,1066164,57549336454999.99,,105201.0,0.0987
2005-12-29,RENUKA,EQ,533.05,533.0,539.75,521.2,521.65,522.75,528.78,356525,18852244340000.0,,52678.0,0.1478
2005-12-30,RENUKA,EQ,522.75,524.7,550.0,515.1,536.0,533.85,539.4,635721,34290701195000.0,,57081.0,0.0898
2006-01-02,RENUKA,EQ,533.85,537.3,547.7,528.0,532.75,534.65,538.91,291821,15726570080000.002,,37048.0,0.127
2006-01-03,RENUKA,EQ,534.65,538.6,556.0,528.0,531.0,532.3,541.86,698814,37865966640000.0,,111750.0,0.15990000000000001
2006-01-04,RENUKA,EQ,532.3,537.95,541.7,524.3,526.0,528.0,533.55,167774,8951586060000.0,,36449.0,0.21730000000000002
2006-01-05,RENUKA,EQ,528.0,529.0,535.8,522.0,531.5,527.65,528.71,228432,12077362475000.0,,57041.0,0.2497
2006-01-06,RENUKA,EQ,527.65,535.1,580.45,528.5,580.45,580.45,560.61,917078,51412412890000.0,,196910.0,0.2147
2006-01-09,RENUKA,EQ,580.45,591.3,638.5,591.3,638.5,638.5,622.84,1070134,66652215120000.01,,214544.0,0.2005
2006-01-10,RENUKA,EQ,638.5,642.0,702.35,642.0,702.35,702.35,682.71,1402030,95717702025000.0,,146727.0,0.10470000000000002
2006-01-12,RENUKA,EQ,702.35,706.0,737.5,667.5,671.2,684.05,702.01,3172788,222733760915000.0,,261650.0,0.0825
2006-01-13,RENUKA,EQ,684.05,678.8,718.25,674.0,718.25,707.6,703.31,1319537,92804901615000.0,,164641.0,0.12480000000000001
2006-01-16,RENUKA,EQ,707.6,721.5,743.0,718.75,743.0,742.2,733.67,793600,58224127250000.0,,91329.0,0.1151
2006-01-17,RENUKA,EQ,742.2,744.0,763.7,732.0,735.5,737.75,748.71,1016750,76124650445000.0,,119133.0,0.11720000000000001
2006-01-18,RENUKA,EQ,737.75,736.0,739.4,700.9,700.9,704.45,712.19,553885,39447112130000.0,,94097.0,0.1699
2006-01-19,RENUKA,EQ,704.45,701.0,739.7,699.9,739.7,736.3,726.52,561430,40788757255000.0,,65026.0,0.1158
2006-01-20,RENUKA,EQ,736.3,745.0,773.15,745.0,767.95,770.65,767.06,622925,47781826655000.0,,117617.0,0.1888
2006-01-23,RENUKA,EQ,770.65,760.0,809.2,750.1,799.8,800.3,798.6,632967,50548963675000.0,,152993.0,0.24170000000000003
2006-01-24,RENUKA,EQ,800.3,815.1,840.35,810.0,840.35,835.6,828.82,371361,30779153950000.0,,80497.0,0.2168
2006-01-25,RENUKA,EQ,835.6,850.55,871.9,793.85,796.1,800.05,830.41,864147,71759250605000.0,,104810.0,0.1213
2006-01-27,RENUKA,EQ,800.05,812.7,840.0,774.1,800.0,790.2,812.48,424397,34481458470000.0,,53184.0,0.1253
2006-01-30,RENUKA,EQ,790.2,802.0,825.0,781.55,810.0,802.25,804.39,440094,35400850740000.0,,76481.0,0.17379999999999998
2006-01-31,RENUKA,EQ,802.25,819.7,819.7,795.0,798.0,799.5,804.23,242461,19499525505000.0,,37274.0,0.1537
2006-02-01,RENUKA,EQ,799.5,810.0,810.0,778.7,791.5,787.7,793.76,223124,17710644300000.0,,34849.0,0.1562
2006-02-02,RENUKA,EQ,787.7,798.9,827.1,781.1,827.1,819.45,807.55,345665,27914278900000.0,,57436.0,0.16620000000000001
2006-02-03,RENUKA,EQ,819.45,830.0,860.45,826.0,860.45,860.45,849.13,398415,33830677655000.0,,94606.0,0.23750000000000002
