Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2005-08-11,REVATHI,EQ,675.9,737.5,799.9,708.0,708.0,716.9,721.3,48276,3482167915000.0,,23269,0.48200000000000004
2005-08-12,REVATHI,EQ,716.9,724.95,735.0,706.0,710.0,714.05,720.12,5172,372443910000.0,,3356,0.6489
2005-08-16,REVATHI,EQ,714.05,739.95,739.95,705.1,709.5,707.25,712.44,1466,104444090000.0,,868,0.5921000000000001
2005-08-17,REVATHI,EQ,707.25,713.0,740.0,710.0,725.0,721.75,727.12,4855,353014375000.0,,2331,0.48009999999999997
2005-08-18,REVATHI,EQ,721.75,725.0,727.9,711.0,715.1,715.45,718.83,4618,331954205000.0,,4390,0.9506
2005-08-19,REVATHI,EQ,715.45,716.0,742.0,715.0,735.0,735.55,726.74,5268,382845080000.0,,2689,0.5104
2005-08-22,REVATHI,EQ,735.55,740.0,755.0,738.0,750.0,749.8,747.02,3316,247710610000.0,,2541,0.7663
2005-08-23,REVATHI,EQ,749.8,750.0,753.0,655.0,734.05,733.8,738.62,3616,267086745000.00003,,2699,0.7464000000000001
2005-08-24,REVATHI,EQ,733.8,730.0,731.7,715.0,724.9,724.9,724.61,845,61229140000.0,,823,0.9740000000000001
2005-08-25,REVATHI,EQ,724.9,725.0,728.7,710.05,710.05,713.9,717.78,1141,81898375000.0,,725,0.6354
2005-08-26,REVATHI,EQ,713.9,734.5,734.7,715.0,720.0,720.9,721.16,1469,105938770000.0,,1140,0.7759999999999999
2005-08-29,REVATHI,EQ,720.9,715.0,722.45,700.0,700.0,703.7,714.69,1176,84047300000.0,,1036,0.881
2005-08-30,REVATHI,EQ,703.7,727.8,728.0,703.1,707.0,709.1,711.88,1242,88415185000.0,,1164,0.9372
2005-08-31,REVATHI,EQ,709.1,712.1,712.1,707.05,710.0,709.6,708.89,813,57632400000.0,,698,0.8584999999999999
2005-09-01,REVATHI,EQ,709.6,720.0,720.0,705.0,710.0,711.95,709.99,1596,113314100000.0,,1440,0.9023000000000001
2005-09-02,REVATHI,EQ,711.95,715.0,715.0,695.0,705.0,701.15,706.04,1490,105200475000.0,,1159,0.7779
2005-09-05,REVATHI,EQ,701.15,706.05,709.9,702.5,704.0,703.5,706.08,1537,108524860000.00002,,1223,0.7957
2005-09-06,REVATHI,EQ,703.5,726.0,726.0,706.0,709.0,711.1,710.52,950,67499750000.0,,750,0.7895000000000001
2005-09-08,REVATHI,EQ,711.1,726.0,726.0,710.0,710.0,713.75,713.55,389,27756980000.0,,338,0.8689
2005-09-09,REVATHI,EQ,713.75,715.0,715.0,704.5,709.95,709.95,710.27,745,52914900000.0,,700,0.9396
2005-09-12,REVATHI,EQ,709.95,703.55,713.0,703.55,710.0,706.8,708.87,691,48983150000.0,,691,1.0
2005-09-13,REVATHI,EQ,706.8,703.1,718.0,703.1,715.0,715.65,714.9,4699,335933380000.0,,4633,0.986
2005-09-14,REVATHI,EQ,715.65,725.0,757.0,725.0,744.85,738.5,743.75,3007,223646115000.0,,2506,0.8334
2005-09-15,REVATHI,EQ,738.5,744.85,760.5,733.0,756.0,757.75,753.34,3474,261708679999.99997,,2681,0.7717
2005-09-16,REVATHI,EQ,757.75,760.0,765.9,756.1,763.0,763.6,762.5,4082,311251790000.0,,2471,0.6053000000000001
2005-09-19,REVATHI,EQ,763.6,799.0,799.0,751.2,760.8,767.5,762.85,3031,231220660000.0,,2203,0.7268000000000001
2005-09-20,REVATHI,EQ,767.5,760.0,760.0,740.0,741.0,745.15,747.48,721,53893490000.0,,505,0.7004
2005-09-21,REVATHI,EQ,745.15,745.0,745.0,710.0,732.0,733.7,728.67,591,43064555000.0,,356,0.6024
2005-09-22,REVATHI,EQ,733.7,720.0,720.0,699.0,705.0,700.85,702.91,3464,243488900000.0,,3219,0.9293000000000001
2005-09-23,REVATHI,EQ,700.85,700.0,720.0,699.9,701.0,701.0,701.69,1983,139146000000.0,,1758,0.8865000000000001
2005-09-26,REVATHI,EQ,701.0,720.0,725.0,716.0,716.0,716.0,721.09,628,45284390000.0,,622,0.9904000000000001
2005-09-27,REVATHI,EQ,716.0,745.0,745.0,719.0,735.0,735.0,729.89,2962,216192860000.0,,808,0.27280000000000004
2005-09-28,REVATHI,EQ,735.0,735.0,735.0,729.0,735.0,735.0,733.64,1856,136163610000.00002,,1251,0.674
2005-09-29,REVATHI,EQ,735.0,750.0,755.0,730.0,730.0,732.9,744.07,2537,188771740000.0,,1518,0.5982999999999999
2005-09-30,REVATHI,EQ,732.9,730.0,736.9,710.0,722.85,722.85,721.33,450,32459840000.000004,,270,0.6
2005-10-03,REVATHI,EQ,722.85,710.8,736.5,710.8,721.0,724.05,726.96,678,49288085000.0,,530,0.7817000000000001
2005-10-04,REVATHI,EQ,724.05,710.0,737.0,710.0,736.0,732.3,732.63,577,42272800000.0,,517,0.8959999999999999
2005-10-05,REVATHI,EQ,732.3,740.0,742.0,732.0,739.95,739.8,739.46,422,31205375000.0,,410,0.9716
2005-10-06,REVATHI,EQ,739.8,725.05,726.0,723.0,723.0,723.75,725.03,239,17328100000.0,,139,0.5816
2005-10-07,REVATHI,EQ,723.75,653.2,722.65,650.1,706.0,710.2,700.05,1462,102347050000.0,,1277,0.8734999999999999
