Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2007-12-12,RJL,EQ,150.0,190.0,190.0,163.05,164.0,164.9,172.26,6206758,106920605875000.0,,1446134,0.233
2007-12-13,RJL,EQ,164.9,166.0,174.4,160.4,166.05,165.85,167.85,1142599,19178005040000.0,,281546,0.2464
2007-12-14,RJL,EQ,165.85,168.9,172.5,161.25,164.0,164.4,167.23,435952,7290570534999.999,,113875,0.2612
2007-12-17,RJL,EQ,164.4,167.0,167.0,151.0,155.0,154.25,162.21,276197,4480134625000.0,,138136,0.5001
2007-12-18,RJL,EQ,154.25,160.0,160.0,149.05,151.0,150.4,152.38,178838,2725076490000.0,,95327,0.533
2007-12-19,RJL,EQ,150.4,160.0,160.0,147.1,147.6,148.35,151.96,90209,1370835250000.0,,37307,0.4136
2007-12-20,RJL,EQ,148.35,149.0,150.9,138.0,138.2,140.0,142.91,147427,2106921300000.0,,68667,0.4658
2007-12-24,RJL,EQ,140.0,142.0,148.8,136.2,141.0,142.6,143.47,159737,2291685225000.0,,50395,0.3155
2007-12-26,RJL,EQ,142.6,143.0,149.0,142.25,143.9,143.6,145.3,99709,1448770215000.0,,28792,0.2888
2007-12-27,RJL,EQ,143.6,143.0,148.0,142.6,146.8,146.25,145.07,133548,1937319535000.0002,,78696,0.5893
2007-12-28,RJL,EQ,146.25,145.0,157.5,144.1,150.4,151.25,152.31,186524,2840999370000.0,,49284,0.26420000000000005
2007-12-31,RJL,EQ,151.25,153.9,159.8,151.55,153.4,153.05,154.94,180529,2797135855000.0,,99432,0.5508
2008-01-01,RJL,EQ,153.05,155.8,159.5,151.3,158.3,156.8,155.72,125040,1947162010000.0002,,50959,0.40750000000000003
2008-01-02,RJL,EQ,156.8,160.0,176.95,156.1,170.0,170.3,170.04,940731,15996397985000.0,,238808,0.2539
2008-01-03,RJL,EQ,170.3,167.3,175.6,164.15,166.5,166.1,170.16,515246,8767615384999.999,,145988,0.2833
2008-01-04,RJL,EQ,166.1,166.2,174.85,165.0,165.5,166.25,169.87,316610,5378204910000.0,,110175,0.348
2008-01-07,RJL,EQ,166.25,164.0,172.05,164.0,166.0,166.3,168.78,227525,3840181520000.0005,,83430,0.3667
2008-01-08,RJL,EQ,166.3,168.35,168.35,152.7,157.0,155.25,159.69,135426,2162608060000.0002,,56079,0.41409999999999997
2008-01-09,RJL,EQ,155.25,155.65,155.65,145.0,145.9,145.8,148.75,90494,1346074110000.0,,38653,0.42710000000000004
2008-01-10,RJL,EQ,145.8,148.5,151.9,141.0,142.0,142.4,147.73,74766,1104554970000.0,,30668,0.41020000000000006
2008-01-11,RJL,EQ,142.4,145.0,145.0,135.05,139.5,139.15,138.62,57725,800159860000.0,,27094,0.4694
2008-01-14,RJL,EQ,139.15,139.5,147.0,139.5,141.0,141.95,142.5,50820,724197995000.0,,16234,0.3194
2008-01-15,RJL,EQ,141.95,144.45,144.45,136.5,136.95,137.1,140.28,34059,477775065000.00006,,19325,0.5674
2008-01-16,RJL,EQ,137.1,137.0,139.8,130.0,131.0,131.9,133.22,31643,421562915000.00006,,18649,0.5894
2008-01-17,RJL,EQ,131.9,132.1,139.5,131.0,139.45,137.55,136.52,41156,561858760000.0,,16885,0.4103
2008-01-18,RJL,EQ,137.55,135.25,139.7,129.0,129.5,130.3,135.18,29260,395531030000.0,,14148,0.48350000000000004
2008-01-21,RJL,EQ,130.3,131.15,135.0,105.0,105.0,107.0,117.56,37311,438617965000.00006,,25034,0.6709999999999999
2008-01-22,RJL,EQ,107.0,100.0,109.0,86.0,100.0,98.25,91.32,43358,395960610000.0,,31237,0.7204
2008-01-23,RJL,EQ,98.25,100.0,109.9,93.35,104.8,103.45,102.91,26200,269625435000.0,,15273,0.5829
2008-01-24,RJL,EQ,103.45,104.8,108.0,88.0,99.95,94.45,97.08,28315,274874190000.0,,18697,0.6603
2008-01-25,RJL,EQ,94.45,99.0,100.0,96.0,99.9,99.4,98.18,25886,254143325000.0,,16078,0.6211
2008-01-28,RJL,EQ,99.4,98.0,99.0,93.05,97.75,96.9,95.53,17909,171084540000.0,,11050,0.617
2008-01-29,RJL,EQ,96.9,97.0,101.9,96.0,100.25,99.7,99.9,18715,186961560000.0,,9022,0.48210000000000003
2008-01-30,RJL,EQ,99.7,101.0,116.9,100.0,112.95,113.25,111.96,141888,1588542935000.0,,37806,0.2664
2008-01-31,RJL,EQ,113.25,114.0,115.5,105.1,114.2,113.5,111.3,44923,500009875000.0,,16507,0.3675
2008-02-01,RJL,EQ,113.5,108.5,113.65,104.0,110.0,109.35,107.58,64378,692576365000.0,,43348,0.6733
2008-02-04,RJL,EQ,109.35,111.1,117.4,111.1,116.2,115.2,115.29,39958,460679000000.0,,22540,0.5640999999999999
2008-02-05,RJL,EQ,115.2,114.0,116.8,112.3,114.0,113.2,114.2,19725,225259720000.00003,,9295,0.4712
2008-02-06,RJL,EQ,113.2,108.05,112.7,107.0,110.4,111.0,110.42,11214,123823939999.99998,,5640,0.5029
2008-02-07,RJL,EQ,111.0,109.85,114.95,106.2,109.25,107.25,110.37,12900,142379145000.0,,5792,0.449
2008-02-08,RJL,EQ,107.25,106.1,107.85,100.0,102.4,102.45,103.4,22744,235169615000.0,,17479,0.7685
2008-02-11,RJL,EQ,102.45,97.05,99.8,87.15,90.0,91.5,93.6,16131,150985630000.0,,10536,0.6531999999999999
2008-02-12,RJL,EQ,91.5,86.2,94.0,86.2,89.0,89.0,89.23,7295,65096675000.0,,4014,0.5502
2008-02-13,RJL,EQ,89.0,89.35,91.95,87.5,89.0,89.5,89.7,7959,71394115000.0,,4722,0.5933
2008-02-14,RJL,EQ,89.5,91.6,99.0,91.6,97.0,97.55,94.79,19157,181591910000.0,,10704,0.5588000000000001
2008-02-15,RJL,EQ,97.55,96.5,100.0,95.0,100.0,98.65,97.44,9555,93102030000.0,,5018,0.5252
