Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-12-18,RKEC,EQ,40.0,36.55,43.05,36.55,42.75,41.95,40.5,70205,284360195000.0,418,38562,0.5493
2020-12-21,RKEC,EQ,41.95,44.9,50.3,43.9,48.25,47.8,49.64,137817,684131550000.0,819,78266,0.5679
2020-12-22,RKEC,EQ,47.8,51.8,57.35,51.0,57.35,57.35,55.52,142567,791489345000.0,1098,78350,0.5496
2020-12-23,RKEC,EQ,57.35,66.0,68.0,48.0,51.5,51.5,57.2,697925,3991997804999.9995,6692,263424,0.3774
2020-12-24,RKEC,EQ,51.5,51.7,55.0,48.3,51.0,49.85,51.01,109355,557857200000.0,1195,55087,0.5037
2020-12-28,RKEC,EQ,49.85,51.6,52.0,49.05,50.1,50.05,50.01,41937,209714660000.0,477,31571,0.7528
2020-12-29,RKEC,EQ,50.05,49.85,50.0,47.0,47.05,47.15,48.09,46622,224222985000.0,571,28310,0.6072
2020-12-30,RKEC,EQ,47.15,47.15,48.0,43.5,46.0,45.05,45.47,53791,244612290000.0,450,43302,0.805
2020-12-31,RKEC,EQ,45.05,47.0,48.9,44.25,48.0,48.05,46.66,42616,198857685000.0,481,31039,0.7283
2021-01-01,RKEC,EQ,48.05,48.0,49.9,47.3,48.65,48.4,48.82,14300,69808495000.0,210,10754,0.752
2021-01-04,RKEC,EQ,48.4,46.25,50.0,46.25,48.5,48.75,49.06,17213,84443820000.0,213,12239,0.711
2021-01-05,RKEC,EQ,48.75,48.55,48.55,45.8,46.55,46.85,47.2,20996,99090630000.0,219,17658,0.841
2021-01-06,RKEC,EQ,46.85,46.8,47.7,45.5,46.0,45.9,46.14,20477,94490665000.0,245,15642,0.7639
2021-01-07,RKEC,EQ,45.9,45.95,47.5,45.5,45.9,45.9,46.2,9919,45828930000.0,141,8013,0.8078000000000001
2021-01-08,RKEC,EQ,45.9,47.8,47.8,45.0,46.0,45.9,45.72,15746,71998185000.0,161,11479,0.7290000000000001
2021-01-11,RKEC,EQ,45.9,44.6,47.0,44.5,45.45,45.1,45.15,7795,35192985000.0,138,6115,0.7845000000000001
2021-01-12,RKEC,EQ,45.1,44.5,45.8,44.5,45.5,45.5,44.99,16090,72394680000.0,174,10716,0.6659999999999999
2021-01-13,RKEC,EQ,45.5,45.25,45.65,44.0,44.9,44.25,44.64,20700,92408250000.0,235,15424,0.7451000000000001
2021-01-14,RKEC,EQ,44.25,47.0,47.9,45.5,47.9,47.6,47.07,29912,140796680000.0,329,15032,0.5025000000000001
2021-01-15,RKEC,EQ,47.6,46.3,47.3,45.25,46.4,45.85,46.03,10684,49183705000.0,141,7439,0.6962999999999999
2021-01-18,RKEC,EQ,45.85,45.85,47.7,44.5,44.65,44.7,45.12,17137,77329355000.0,199,13842,0.8077
2021-01-19,RKEC,EQ,44.7,45.05,45.4,44.5,45.25,44.65,44.88,4256,19099375000.0,74,3675,0.8634999999999999
2021-01-20,RKEC,EQ,44.65,46.35,49.0,44.6,46.7,47.2,47.19,18968,89518020000.0,193,14864,0.7836
2021-01-21,RKEC,EQ,47.2,47.55,48.8,45.0,47.95,47.0,47.2,20410,96333535000.0,301,13139,0.6437999999999999
2021-01-22,RKEC,EQ,47.0,46.2,46.85,45.2,45.25,45.45,45.52,4050,18435235000.0,75,3254,0.8035
2021-01-25,RKEC,EQ,45.45,45.6,47.0,45.1,45.1,45.75,45.68,4912,22436385000.0,95,2674,0.5444
2021-01-27,RKEC,EQ,45.75,47.1,47.15,45.05,46.3,46.15,46.16,8811,40669040000.0,168,4055,0.46020000000000005
2021-01-28,RKEC,EQ,46.15,45.65,46.0,45.25,46.0,45.75,45.61,6801,31020334999.999996,125,4264,0.627
