Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2006-04-13,ROHITFERRO,EQ,30.0,32.7,34.7,30.0,30.05,30.4,32.86,9989391,32820602480000.0,,2330071,0.23329999999999998
2006-04-17,ROHITFERRO,EQ,30.4,30.9,34.0,30.55,31.2,30.95,32.18,2052094,6603482470000.0,,604525,0.29460000000000003
2006-04-18,ROHITFERRO,EQ,30.95,32.0,32.0,30.05,30.35,30.35,30.89,573645,1771793870000.0,,198722,0.3464
2006-04-19,ROHITFERRO,EQ,30.35,31.25,32.0,30.0,30.1,30.1,30.42,313560,953978594999.9999,,158170,0.5044
2006-04-20,ROHITFERRO,EQ,30.1,30.4,30.45,28.1,30.0,30.05,30.01,283969,852263560000.0,,163390,0.5754
2006-04-21,ROHITFERRO,EQ,30.05,30.1,34.3,30.0,32.1,32.25,32.01,1448066,4635281025000.0,,840303,0.5803
2006-04-24,ROHITFERRO,EQ,32.25,32.0,38.7,32.0,37.7,38.45,36.53,2610077,9534765185000.0,,1040298,0.3986
2006-04-25,ROHITFERRO,EQ,38.45,38.95,44.4,36.0,42.05,43.1,41.32,3768215,15571476044999.998,,995675,0.26420000000000005
2006-04-26,ROHITFERRO,EQ,43.1,43.1,49.95,42.0,48.5,47.3,45.35,2182442,9898175370000.0,,573118,0.2626
2006-04-27,ROHITFERRO,EQ,47.3,48.6,52.05,46.8,49.3,49.0,50.84,1968478,10007785090000.0,,759852,0.386
2006-04-28,ROHITFERRO,EQ,49.0,47.9,49.9,44.1,49.0,48.1,47.59,625568,2977081310000.0,,209523,0.33490000000000003
2006-04-29,ROHITFERRO,EQ,48.1,49.25,52.95,48.8,52.8,52.8,51.54,1097194,5654542345000.0,,300503,0.27390000000000003
2006-05-02,ROHITFERRO,EQ,52.8,54.4,58.1,54.0,58.1,58.1,57.48,1392024,8000993480000.0,,767519,0.5514
2006-05-03,ROHITFERRO,EQ,58.1,60.15,60.9,54.1,55.0,55.85,57.34,1450067,8314206884999.999,,865191,0.5967
2006-05-04,ROHITFERRO,EQ,55.85,56.5,61.45,53.0,61.1,61.25,59.42,1731938,10291608630000.0,,589531,0.3404
2006-05-05,ROHITFERRO,EQ,61.25,61.7,61.7,58.2,58.2,58.25,58.7,573541,3366964765000.0,,245051,0.42729999999999996
2006-05-08,ROHITFERRO,EQ,58.25,59.9,59.95,55.55,55.85,56.4,57.7,241484,1393416035000.0,,103735,0.42960000000000004
2006-05-09,ROHITFERRO,EQ,56.4,57.5,57.5,53.6,54.0,54.0,54.29,235412,1278095455000.0,,104988,0.446
2006-05-10,ROHITFERRO,EQ,54.0,54.65,56.65,53.35,55.6,56.0,55.5,323453,1795130064999.9998,,129834,0.40140000000000003
2006-05-11,ROHITFERRO,EQ,56.0,55.3,58.25,53.75,57.5,55.85,55.99,249331,1396029970000.0,,99573,0.3994
2006-05-12,ROHITFERRO,EQ,55.85,56.0,58.65,54.0,58.0,57.45,57.06,571414,3260245945000.0,,294174,0.5147999999999999
2006-05-15,ROHITFERRO,EQ,57.45,59.0,59.0,54.6,54.6,54.6,55.97,198967,1113607550000.0,,127286,0.6397
2006-05-16,ROHITFERRO,EQ,54.6,56.4,56.4,51.9,51.9,51.9,52.25,34161,178502790000.0,,26282,0.7694
2006-05-17,ROHITFERRO,EQ,51.9,53.9,54.5,50.35,53.5,53.4,53.52,92518,495125184999.99994,,33524,0.3624
2006-05-18,ROHITFERRO,EQ,53.4,53.4,56.1,50.75,50.75,50.75,53.56,520059,2785458880000.0,,247609,0.4761
2006-05-19,ROHITFERRO,EQ,50.75,52.95,53.0,48.25,50.0,49.95,49.23,481946,2372828535000.0,,246222,0.5109
2006-05-22,ROHITFERRO,EQ,49.95,50.5,50.5,47.45,47.45,47.45,47.71,57595,274782904999.99997,,43503,0.7553000000000001
2006-05-23,ROHITFERRO,EQ,47.45,45.5,46.75,45.1,45.1,45.1,45.22,83760,378793975000.0,,61967,0.7398
2006-05-24,ROHITFERRO,EQ,45.1,46.0,47.4,43.15,45.0,45.05,46.36,110715,513296975000.0,,66938,0.6046
2006-05-25,ROHITFERRO,EQ,45.05,43.0,45.05,42.8,43.2,43.55,43.57,76953,335291280000.0,,55459,0.7206999999999999
2006-05-26,ROHITFERRO,EQ,43.55,45.0,45.35,43.6,43.6,44.15,44.64,40158,179256345000.0,,15486,0.38560000000000005
