Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-10-17,RUCHINFRA,EQ,150.0,155.0,155.0,155.0,,155.0,155.0,100,1550000000.0,,,
1996-10-18,RUCHINFRA,EQ,155.0,155.0,155.0,155.0,,155.0,155.0,100,1550000000.0,,,
1996-10-22,RUCHINFRA,EQ,155.0,151.0,151.0,151.0,,151.0,151.0,500,7550000000.0,,,
1996-10-23,RUCHINFRA,EQ,151.0,151.0,151.0,151.0,,151.0,151.0,500,7550000000.0,,,
1996-11-29,RUCHINFRA,EQ,151.0,150.0,150.0,150.0,,150.0,150.0,500,7500000000.0,,,
1996-12-02,RUCHINFRA,EQ,150.0,155.0,155.0,155.0,,155.0,155.0,500,7750000000.0,,,
1996-12-03,RUCHINFRA,EQ,155.0,150.0,150.0,150.0,,150.0,150.0,700,10500000000.0,,,
1996-12-05,RUCHINFRA,EQ,150.0,150.0,150.0,150.0,,150.0,150.0,500,7500000000.0,,,
1996-12-06,RUCHINFRA,EQ,150.0,150.0,150.0,150.0,,150.0,150.0,500,7500000000.0,,,
1996-12-09,RUCHINFRA,EQ,150.0,150.5,150.5,150.5,,150.5,150.5,500,7525000000.0,,,
1996-12-10,RUCHINFRA,EQ,150.5,149.5,149.5,149.5,,149.5,149.5,500,7475000000.0,,,
1996-12-11,RUCHINFRA,EQ,149.5,155.0,155.0,155.0,,155.0,155.0,100,1550000000.0,,,
1996-12-12,RUCHINFRA,EQ,155.0,153.5,153.5,153.5,,153.5,153.5,100,1535000000.0,,,
1996-12-13,RUCHINFRA,EQ,153.5,153.5,153.5,153.5,,153.5,153.5,300,4605000000.0,,,
1996-12-16,RUCHINFRA,EQ,153.5,153.5,153.5,153.5,,153.5,153.5,100,1535000000.0,,,
1996-12-17,RUCHINFRA,EQ,153.5,153.0,153.0,153.0,,153.0,153.0,100,1530000000.0,,,
1996-12-18,RUCHINFRA,EQ,153.0,152.0,152.0,152.0,,152.0,152.0,100,1520000000.0,,,
1996-12-19,RUCHINFRA,EQ,152.0,151.5,151.5,151.5,,151.5,151.5,100,1515000000.0,,,
1996-12-23,RUCHINFRA,EQ,151.5,154.0,154.0,154.0,,154.0,154.0,200,3080000000.0,,,
1996-12-31,RUCHINFRA,EQ,154.0,155.0,155.0,155.0,,155.0,155.0,300,4650000000.0,,,
1997-01-02,RUCHINFRA,EQ,155.0,155.0,155.0,155.0,,155.0,155.0,200,3100000000.0,,,
1997-01-03,RUCHINFRA,EQ,155.0,152.0,152.0,152.0,,152.0,152.0,300,4560000000.0,,,
1997-01-07,RUCHINFRA,EQ,152.0,154.6,154.6,154.6,,154.6,154.6,500,7730000000.0,,,
1997-01-08,RUCHINFRA,EQ,154.6,155.0,155.0,155.0,,155.0,155.0,200,3100000000.0,,,
1997-01-09,RUCHINFRA,EQ,155.0,156.0,156.0,156.0,,156.0,156.0,200,3120000000.0,,,
1997-01-10,RUCHINFRA,EQ,156.0,157.2,157.2,157.2,,157.2,157.2,300,4716000000.0,,,
1997-01-13,RUCHINFRA,EQ,157.2,157.5,157.5,157.5,,157.5,157.5,300,4725000000.0,,,
1997-01-31,RUCHINFRA,EQ,157.5,157.0,157.0,157.0,,157.0,157.0,200,3140000000.0,,,
1997-02-03,RUCHINFRA,EQ,157.0,155.0,155.0,155.0,,155.0,155.0,300,4650000000.0,,,
1997-02-10,RUCHINFRA,EQ,155.0,155.1,155.1,155.1,,155.1,155.1,100,1551000000.0,,,
1997-02-14,RUCHINFRA,EQ,155.1,156.0,156.0,156.0,,156.0,156.0,200,3120000000.0,,,
1997-02-17,RUCHINFRA,EQ,156.0,155.4,155.4,155.4,,155.4,155.4,200,3108000000.0,,,
1997-02-20,RUCHINFRA,EQ,155.4,155.45,155.45,155.45,,155.45,155.45,300,4663500000.0,,,
